start,end,teacher,point,total_variance,slow_variance,fast_variance,covariance,fast_ratio
432,612,432,ATU1,17.625563281707148,7.3805632429368693,11.300630609288746,-0.52781528525923349,0.6411500403517435
432,612,432,ATU5,399.82562061436755,775.37968143036903,81.941352391387142,-228.74770660369424,0.20494272544485015
432,612,432,MJ3,94.417826156171898,95.427100224576066,1.4606212477363956,-1.2349476580702863,0.015469761455008014
432,612,432,MJ1,104.98954083803514,109.17876540901035,0.38258567661054083,-2.2859051237928854,0.0036440360968979435
612,792,612,ATU1,21.515645128975532,11.073841849345255,9.6633150615377996,0.38924410904623774,0.4491296916086438
612,792,612,ATU5,22.029860590010763,18.437945225483503,5.7064721638384297,-1.0572783996555837,0.25903351228767996
612,792,612,MJ3,927.64143388467437,878.52807590984332,7.8121909139385552,20.65058353044623,0.0084215631477601478
612,792,612,MJ1,262.69263657490603,207.60300455874403,25.021294948808862,15.034168533676553,0.095249319794596193
792,972,792,ATU1,125.92610356989739,124.94033052162801,11.786236091508686,-5.4002315216196566,0.093596448689977435
792,972,792,ATU5,275.43173373124904,266.45086257220663,20.879093228828165,-5.9491110348928551,0.075804966065387447
792,972,792,MJ3,7.7301872974699153,6.7349573345603337,0.53708197094102783,0.22907399598427683,0.069478519765855395
792,972,792,MJ1,48.904251690371296,57.610922097946727,0.80879527472025781,-4.7577328411478419,0.016538342715905426
972,1152,792,ATU1,61.509714209247392,53.37985382236284,1.3294739588401827,3.400193214022178,0.021614048706477474
972,1152,792,ATU5,14.80103015775313,15.043714324124181,0.84626793618948226,-0.54447605128026777,0.057176286188849297
972,1152,792,MJ3,1014.0274277537718,787.8300389264906,38.38930193331683,93.904043446982314,0.037858248093303647
972,1152,792,MJ1,374.70380993962402,272.46928737691701,12.880286798775844,44.677117881965593,0.034374581888695611
