outer_days,strategy,station,primary,train_rmse_mm_minus_P0,train_mae_mm_minus_P0,train_crps_mm_minus_P0,prediction_rmse_mm_minus_P0,prediction_mae_mm_minus_P0,prediction_crps_mm_minus_P0,train_rmse_mm_minus_U,train_mae_mm_minus_U,train_crps_mm_minus_U,prediction_rmse_mm_minus_U,prediction_mae_mm_minus_U,prediction_crps_mm_minus_U,train_rmse_mm_minus_L,train_mae_mm_minus_L,train_crps_mm_minus_L,prediction_rmse_mm_minus_L,prediction_mae_mm_minus_L,prediction_crps_mm_minus_L,strict_mean_improvement
432,P,ATU1,False,-3.5980226560560746,-3.531720818368535,0.10579898555228162,10.029128761666989,9.931413531739508,7.758466296033241,4.552695183816539,2.8265985093089356,1.0346534372729295,-1.0292939805698609,-1.2489260076320363,-1.9483343047629447,2.793637602585758,2.234554240745388,1.107976916492957,-0.43168185600397635,-0.6536600232574017,-1.719420229097473,False
432,P,ATU5,False,-0.5516430103761789,-0.40928946753899176,0.9717316380955463,6.04953257189527,6.025109447913735,3.6845058596005202,2.4580100371087203,1.816563952820729,0.8817539789899307,-2.986030233699097,-3.3281225624668025,-4.685453562620168,1.6974743889500632,1.433652510468542,0.9624345633299072,-0.18515893686955565,-0.42911171597017983,-2.139733859582563,False
432,P,MJ3,False,-2.9610640199259466,-2.7645189634946257,-1.0104018229487366,-3.227110207971009,-2.854585332602813,-1.6239537564562623,2.770215636201076,2.2904441090411796,-0.2505068583336856,0.08796695968935353,-0.05423007577927308,-0.3731769083766254,2.4381080736149725,2.053419745329828,-0.05126705124085085,-0.4744896345579459,-0.6548635028757648,-0.3905831372591049,True
432,P,MJ1,False,-4.547590411453088,-4.145234888625503,-2.4566293143456046,-13.028434909184654,-11.168631222272957,-11.381978904964981,3.0233546336745887,2.2578562569556864,1.9484996193070652,-6.56153379001527,-5.06422115054145,-4.9875387625825764,2.5526322997847464,1.9385591946882985,1.8508545183413452,-5.087434815133012,-3.728156770951599,-4.143657497926902,True
432,R,ATU1,True,-2.5279036089419042,-2.774384181985483,0.2441211179589846,9.405508759259796,9.338708636100783,7.199019910889355,5.622814230930709,3.5839351456919877,1.1729755696796325,-1.6529139829770543,-1.8416309032707616,-2.5077806899068307,3.8637566496999285,2.99189087712844,1.24629904889966,-1.0553018584111697,-1.246364918896127,-2.278866614241359,False
432,R,ATU5,True,0.3240659387618585,-0.19868942532134115,1.0509673985614914,7.402709993700199,7.191778632528667,4.825388167155737,3.3337189862467578,2.0271639950383795,0.9609897394558757,-1.6328528118941676,-2.1614533778518705,-3.5445712550649517,2.573183338088101,1.6442525526861926,1.0416703237958522,1.1680184849353736,0.7375574686447521,-0.9988515520273467,False
432,R,MJ3,True,-2.1088622066848295,-2.068525079501448,-1.2417409161272417,-5.331044538772137,-4.704838186861739,-2.64267187930042,3.6224174494421932,2.9864379930343574,-0.4818459515121907,-2.015967371111774,-1.9044829300381991,-1.3918950312207832,3.2903098868560896,2.749413629323006,-0.28260614441935594,-2.5784239653590735,-2.505116357134691,-1.4093012601032626,True
432,R,MJ1,True,-4.387306145720796,-3.9074852418090606,-1.9992757895075859,-12.331887750318105,-10.66400636426227,-10.925864493236162,3.1836388994068807,2.495605903772129,2.405853144145084,-5.864986631148721,-4.559596292530763,-4.531424350853759,2.7129165655170384,2.176308841504741,2.3082080431793637,-4.390887656266463,-3.2235319129409117,-3.687543086198084,True
612,P,ATU1,False,-1.315329402386844,-1.7441597245934544,2.150423341715154,0.4316884959505485,0.8608727983286459,2.3483803226493514,5.414034359109586,3.4510669385441903,0.04353458107225805,-3.6577312406653277,-2.827739479967369,-0.5621720792396108,4.30598600640966,2.883655305872908,0.1474035843007666,-3.7345750661125425,-3.4452947430300975,-0.43813007970361717,False
612,P,ATU5,False,-3.581979281605575,-3.6336403820151038,1.2535687050602462,7.323003480464347,6.014896469496034,1.7606630967562182,4.635982176380709,3.405941427131651,-0.6008070403897818,6.986468682189651,5.901267228565399,-0.375935010549604,4.121649469589805,2.9973528181749765,0.04235509717184982,7.809627883018744,6.7789484312227195,0.2885659340946276,False
612,P,MJ3,False,-1.2639152313741988,-1.3231839158507945,-0.9516960751954002,6.202748011722882,6.75440126196083,7.5016466892759865,3.503242862547106,2.8524700054954657,0.413393611989481,6.569509868794157,6.702422497816791,6.953450901193072,3.3147570881541326,2.7419860346868554,0.42679545442355016,4.644131578995321,5.3453280455986985,5.4811033610053315,False
612,P,MJ1,False,-0.6375827131897145,-0.3555718356856499,-2.609252811427053,3.066033865018369,2.0764286130658647,3.301027904478879,3.7794360521273775,2.7684169829292626,-0.5928553203770783,3.23999515502134,2.301110459790081,3.304528298080342,3.5064533238183637,2.624388460410189,-0.2924978260124145,2.8516415127457932,2.339666822759167,2.9624799353497107,False
612,R,ATU1,True,11.155103042978482,8.006691984805167,3.966986035052191,32.83406316630012,33.53048726939674,10.309699129256842,17.88446680447491,13.201918647942811,1.860097274409295,28.744643429684245,29.84187499110072,7.39914672736788,16.776418451774987,12.634507015271529,1.9639662776378035,28.66779960423703,29.22431972803799,7.523188726903873,False
612,R,ATU5,True,16.303707837619072,11.293389846596899,3.2627181423572864,53.44342992849073,52.876773655879845,10.783136213066278,24.52166929560536,18.332971655743652,1.4083423969072584,53.10689513021603,52.76314441494921,8.646538105760456,24.007336588814454,17.92438304678698,2.05150453446889,53.93005433104513,53.640825617606524,9.311039050404688,False
612,R,MJ3,True,-1.0618287717304478,-1.1296195238833455,-1.2377908720681474,5.46268584391084,5.916447684112221,7.700467684274628,3.705329322190857,3.0460343974629147,0.1272988151167338,5.829447700982115,5.864468919968182,7.1522718961917136,3.5168435477978837,2.9355504266543044,0.14070065755080297,3.904069411183279,4.50737446775009,5.679924356003973,False
612,R,MJ1,True,-0.5915104323890237,-0.33557045576580125,-2.4947642630585047,2.7388634315743303,1.8183977862458676,2.904263216274858,3.8255083329280684,2.7884183628491113,-0.4783667720085303,2.9128247215773015,2.043079632970084,2.907763609876321,3.5525256046190545,2.6443898403300374,-0.17800927764386643,2.5244710793017546,2.0816359959391697,2.5657152471456897,False
