prefix,seed,epoch,total,data,physics,rate_prior,physics_weight,motion,basal_memory,contact_memory,bulk_memory,negative_slip,negative_gap,complementarity,gradient_norm,elapsed_seconds
342,0,1,0.011717580846588286,0.011717580846588286,4.9445064319640716e-26,0.0,0.05,2.986902718108397e-26,3.060014175341459e-27,2.6308842260910693e-25,5.0097908137909983e-26,0.0,1.1149557736197422e-33,7.701908688571748e-32,0.12100787686289083,8.0935999173671
342,0,2,0.011702820486998477,0.010896119196659457,0.008066910333789718,1.025696004821803e-05,0.1,0.053265449557829886,7.787459517387473e-18,0.002840083589749152,0.0003628391889489792,2.7142493955635097e-18,4.222279211497166e-26,7.308362032905694e-18,0.38284770097827353,8.189521208405495
342,0,3,44.44943109361164,0.010295564689060743,296.26090326834964,3.8670140020662885e-05,0.15,0.043927240209366995,846.0543858250892,0.9752543275108398,0.000796963216954376,424.62477453658073,1.9338740488239325e-09,802.1271839839068,34464.9439845318,8.275489958003163
342,0,4,101.59317618066613,0.009864974136870396,507.9165556534125,7.58467566922633e-05,0.2,0.18749961493705397,1494.4586005859107,2.9978759305964053,3.6477446637025377,673.0194297882066,8.226184998501359e-09,1381.104738982308,70996.22456461022,8.35841437522322
342,0,5,69.28097729385087,0.009519064589535529,277.08583246553917,0.00011287653480618649,0.25,0.39162754139329764,858.1669736007481,5.300114396090189,3.373039179714103,292.75398421203005,1.933510953214365e-08,779.6150883094633,61793.245420508254,8.448056166991591
342,0,6,31.42169694452077,0.009233399954297781,104.70821131651785,0.00014961112313740705,0.3,0.6201039992583999,319.5253525251476,7.544450550394074,0.8433135984917589,88.7369312658492,3.7062388152714206e-08,315.6873272394216,29585.62577498832,8.546888125129044
342,0,7,55.29001881814411,0.008987300428544457,157.94580380022265,0.00018763764702420938,0.35,0.8550935780703952,467.47782031903927,9.587058258339919,3.049034681111467,167.36625912690312,6.844675313184426e-08,457.28536056964765,56742.41340297157,8.62876291712746
342,0,8,31.253762382142288,0.008771722842207428,78.11247608595156,0.00022491945274572274,0.4,1.0854733216394972,227.1980085473802,11.363540965124104,2.3666450973776345,79.08135367689951,1.1071253650523017e-07,225.6923108825273,35142.826524059565,8.710399167146534
342,0,9,22.78085404671282,0.008582519141987087,50.60504725913284,0.0002609610549544259,0.45,1.3055643832333257,145.63661003893492,12.838140562290858,0.47535579731541444,57.12181748702074,1.662612619415093e-07,136.8578423788733,46785.28498232395,8.812193208374083
342,0,10,40.255032753131644,0.008417090218996982,80.49323073622405,0.00029480062039801276,0.5,1.5150115806694908,214.04497244605452,13.987273020431765,2.5797268750377325,124.43397643949945,2.292980761307908e-07,206.8916545625773,50024.39228244925,8.900604167021811
342,0,11,42.58077775716905,0.008271201391973194,77.4045567826886,0.0003252983420777985,0.55,1.7121343279796744,197.53543967995552,14.791530449318014,1.3613458178624238,134.523899256684,2.9278319280517887e-07,191.90754765423745,49422.90679544827,8.995526000391692
342,0,12,27.30216490782456,0.00814262448939289,45.49003654944294,0.00035366940558588544,0.6,1.8960392468415979,118.10499868840951,15.338078085052928,0.42385844376324766,76.90753933761607,3.489468896007533e-07,105.75974169547034,48306.515179437774,9.084704417269677
342,0,13,19.719678425804013,0.008029544779994771,30.32561307771232,0.00038051101092325583,0.65,2.0659011265420792,80.35281951576567,15.615230788742423,1.3345030085277763,34.25360628042683,3.9049647529146915e-07,78.65723043348497,32971.4714133039,9.17071979213506
342,0,14,20.9376203529478,0.007929088948627485,29.899558369266156,0.0004055128628059686,0.7,2.222054419120082,82.07701373770429,15.604672598031888,0.5217413008799361,29.17388727079475,4.1452313658101677e-07,79.697538843809,41413.141354609776,9.253176667261869
342,0,15,14.123609883500784,0.007838627156358885,18.82102777006418,0.0004287962900080942,0.75,2.3626375526640735,50.048227561378916,15.391774179725212,0.32737880651075596,17.529444936116906,4.2938790002905526e-07,46.087730924665486,19804.47188308183,9.339785292278975
342,0,16,18.903962788643806,0.00775658157706973,23.62025719597487,0.000450286839117275,0.8,2.478195544377768,61.783298388572,14.780621331923129,0.41579007608748286,28.459935916004078,4.3280113167785176e-07,57.4239586820585,44350.837165903664,9.451812458224595
342,0,17,6.692342242125898,0.007682467605527401,7.86430506355657,0.00047049728641606096,0.85,2.579108964546035,16.021864479754147,14.09234602231699,0.651666632254844,6.490667802334035,4.383038703315651e-07,15.21448110538606,17741.70144903179,9.663287208415568
342,0,18,33.109364799309326,0.007616199935612445,36.779720121961965,0.0004896079432266362,0.9,2.6632905853395967,102.20426968791006,13.102523860659847,0.11379385368104318,42.03965214827289,4.5503493923372327e-07,97.33451026283538,61147.19294142981,9.87259479239583
342,0,19,50.946871269444955,0.007555592324670601,53.6203317585039,0.0005065415826193918,0.95,2.74061653489259,152.22934117572444,12.181042439450524,0.651700921993606,62.22394001633817,4.779579104986188e-07,145.31568074317008,72839.83007498358,10.056283832993358
342,0,20,22.96550432535494,0.0074999795074653505,22.958003824592176,0.0005212552971751051,1.0,2.811970946340614,59.883250590297436,11.340254123472292,1.188292942872832,26.53992777033851,5.063480314593547e-07,58.94232989247551,39934.63238385507,10.164811208378524
342,0,21,18.493681617119186,0.007450215443418251,18.48623086744606,0.0005342297070463294,1.0,2.875291694789852,50.19172641915289,10.474358243683046,0.6477138780257237,21.103876593200795,5.45276098206388e-07,44.11064869799402,43999.37572012407,10.251145250163972
342,0,22,29.477469424990925,0.007405620687976513,29.470063257568295,0.0005467346547556275,1.0,2.9291090379465587,81.61407215526557,9.6124661682954,0.31926150974476575,36.117321478127735,5.913789148577688e-07,75.69821186221913,52969.6859946893,10.353946667164564
342,0,23,18.25992444159445,0.007364874534158166,18.252559008493538,0.0005585667539564835,1.0,2.9749773485828794,48.57086177312384,8.797918712081456,0.43509574132614304,18.713592837200576,6.377729658690154e-07,48.2754660093669,38734.82803378991,10.479276542086154
342,0,24,12.94360099667736,0.007328292605962614,12.936272134472619,0.0005695987786838991,1.0,3.01083615450172,34.60608887493707,7.977989472257875,0.46324334953053503,12.385460765902883,6.70220010864488e-07,32.11028565395823,26475.933401228893,10.607713208068162
342,0,25,15.337947780216018,0.007295482129606197,15.330651718365512,0.0005797208980884375,1.0,3.0329103169012694,40.46263501534018,7.160111662048753,0.3081429785502195,16.427883218202048,6.659493769015372e-07,39.92287817156673,36169.26315458744,10.765144750010222
342,0,26,11.408109101706962,0.007265514513909197,11.400842998279868,0.000588913184907055,1.0,3.046987963878308,30.79076926918727,6.397454308413531,0.26001244192464906,10.690440448652298,6.359707415195034e-07,28.62023591993228,25259.305554332535,10.887720042373985
342,0,27,8.408986164305942,0.007238738685727027,8.401746828227456,0.0005973927588076944,1.0,3.0542951351826297,21.044399677217665,5.671945438913145,0.2261910172101586,9.427446008851907,5.890601149373776e-07,19.38794993115657,23220.362721170906,10.99736591707915
342,0,28,11.700399137318534,0.0072143899058382515,11.693184142443243,0.0006049694530739786,1.0,3.057186955319954,27.394345672534822,5.021792806779753,0.30098416965574376,18.233603745021462,5.48417709417359e-07,27.84437509937326,24704.192169799568,11.097056875005364
342,0,29,5.380606210006581,0.007191678627126701,5.373413919496192,0.0006118832623839993,1.0,3.053534362536044,11.384584213611179,4.436488219523451,0.14817585361161434,6.871574875882204,5.28366526185815e-07,11.719539382942331,16519.383926159757,11.20806070836261
342,0,30,9.798888806736118,0.007171021164333911,9.791717167549573,0.0006180222111215729,1.0,3.041577101613446,28.391111465959046,3.9067510980042717,0.11788751623448199,8.029401060164641,5.418416738756867e-07,25.05529138902943,24760.244475766332,11.316350417211652
342,0,31,11.19452837326349,0.00715204635633472,11.187375703023836,0.0006238833185197472,1.0,3.0254558288132607,32.91288038102481,3.461497015838973,0.29947645587799937,8.503727279135774,5.627922257542905e-07,30.108592397683804,22652.381270108064,11.435475917067379
342,0,32,6.0411040040374875,0.007134836719006227,6.033968537601572,0.0006297169093656655,1.0,3.0038220646978724,14.998029288680826,3.080877174126282,0.2022439657442888,5.280564023946916,5.680252501289689e-07,15.672242677989567,23395.258951661795,11.549583792220801
342,0,33,6.092717744476778,0.007119720274336349,6.085597388812501,0.0006353899404521189,1.0,2.979578407988072,15.179906428681948,2.760011522540142,0.1035294722806001,6.206239176029763,5.469709707301413e-07,15.369916167196012,16624.627262691127,11.639469375368208
342,0,34,5.010861823674127,0.007105662778935678,5.003755520318275,0.00064057691676134,1.0,2.9514665405692613,11.720122639666167,2.482562261818845,0.07931376539971338,6.275746134262337,5.048468362077486e-07,11.517076795664758,16951.76904317885,11.721249000169337
342,0,35,4.979627277495086,0.007092834979887239,4.972533797443739,0.0006450714606846954,1.0,2.9193206818950417,12.962333337792852,2.2435109976449903,0.15037135330070478,6.436004318228,4.746849882852107e-07,10.096195418559597,18173.912970581503,11.807599042076617
342,0,36,3.9438022939461264,0.007081639523273169,3.9367200050043953,0.0006494184577275636,1.0,2.8853666588502302,9.852168864062019,2.0403159468973926,0.12626669844858554,3.048196988247495,4.752749877943836e-07,9.604724403250055,12542.816058669045,11.90499212499708
342,0,37,3.3792792552152062,0.007072004618471415,3.372206596915395,0.0006536813396856375,1.0,2.848638141714805,7.894654143487376,1.858074468002859,0.05356765363993272,2.7058826173206474,5.202896845116123e-07,8.244628633952463,10088.3553536001,12.030413500033319
342,0,38,3.605187286957157,0.007063555519981768,3.598123073621327,0.0006578158484194276,1.0,2.807039639160852,8.36995112801661,1.6870348648439555,0.08983115353205448,4.364097527988113,5.59066380348615e-07,7.868906642741326,15338.1731223512,12.218283917289227
