 origin              method       mae      rmse      crps
    792    BPLUS_CONTINUOUS 23.582514 27.313325 24.157337
    792              DRIFT1  4.960013  5.824270  6.274072
    792             RR_COND 27.493401 31.315924 24.693029
    792 BPLUS_ORIGIN_ANCHOR 23.564678 27.297235 24.151262
    792            G_CACHED 16.733052 19.372056 17.442212
    792           G_REFRESH 22.053266 24.684374 21.031805
    972    BPLUS_CONTINUOUS 61.563106 67.167389 48.091953
    972              DRIFT1  8.637339 10.594506  7.034024
    972             RR_COND 43.445352 48.588248 33.310714
    972 BPLUS_ORIGIN_ANCHOR 32.611769 40.433365 27.838012
    972            G_CACHED 18.279701 22.660456 17.281786
    972           G_REFRESH 18.575362 23.804193 17.446919
   1168    BPLUS_CONTINUOUS  6.901689  9.124173 14.894908
   1168              DRIFT1  9.109845 12.977735  7.585014
   1168             RR_COND 11.318237 12.338214 13.077240
   1168 BPLUS_ORIGIN_ANCHOR  6.891668  9.116413  8.882457
   1168            G_CACHED  7.066454 10.600134  7.264525
   1168           G_REFRESH  7.243168 11.068245  7.277227
