seed,outer_days,strategy,part,station,days,rmse_mm,mae_mm,crps_mm,coverage_80,width_80_mm,interval_score_80_mm,coverage_90,width_90_mm,interval_score_90_mm,coverage_95,width_95_mm,interval_score_95_mm
0,432,DIRECT_V2_0,train,ATU1,402,6.1184581139636105,4.65797881611783,9.91114779232047,1.0,104.75504565504193,104.75504565504193,1.0,134.45164603232024,134.45164603232024,1.0,160.2090175351453,160.2090175351453
0,432,DIRECT_V2_0,train,ATU5,402,3.6041063958125887,2.8689694521828932,12.965499984024168,1.0,141.15389471811474,141.15389471811474,1.0,181.1690632183875,181.1690632183875,1.0,215.87625352688744,215.87625352688744
0,432,DIRECT_V2_0,train,MJ3,402,3.7616187133314765,3.1004271346138856,7.049145534417368,1.0,75.24098447056006,75.24098447056006,1.0,96.57075845751531,96.57075845751531,1.0,115.07115600044959,115.07115600044959
0,432,DIRECT_V2_0,train,MJ1,402,3.5501096473006504,2.8349510074546496,2.5014931485752676,1.0,20.809810802170347,20.809810802170347,1.0,26.709103112669936,26.709103112669936,1.0,31.82585929737982,31.82585929737982
0,432,DIRECT_V2_0,prediction,ATU1,180,77.25399360448964,76.3044615619136,53.964076711123056,0.03888888888888889,108.488701156695,336.5064645001454,0.08888888888888889,139.2437410075633,300.52406620861154,0.8388888888888889,165.91915088475292,207.6281425652264
0,432,DIRECT_V2_0,prediction,ATU5,180,157.74140509853797,152.18104741367023,121.36284629553111,0.05,144.7279485115094,957.5633850977184,0.07222222222222222,185.75631161797654,1422.6339524009256,0.13333333333333333,221.34229712676395,2053.8139035176637
0,432,DIRECT_V2_0,prediction,MJ3,180,13.8874482887892,12.06085780147539,9.677583197061997,1.0,77.27810887438423,77.27810887438423,1.0,99.185379333809,99.185379333809,1.0,118.18666893152376,118.18666893152376
0,432,DIRECT_V2_0,prediction,MJ1,180,7.186883105483418,5.940966708088467,4.053749399308054,0.8833333333333333,21.43596020946321,23.286931482401148,1.0,27.512757179605444,27.512757179605444,1.0,32.783472181278,32.783472181278
1,432,DIRECT_V2_0,train,ATU1,402,6.008601721537458,4.287337934817589,9.858001848654633,1.0,104.27270226411567,104.27270226411567,1.0,133.832564297762,133.832564297762,1.0,159.47133620816123,159.47133620816123
1,432,DIRECT_V2_0,train,ATU5,402,4.019210140746455,3.4129042943312236,13.15374439179717,1.0,143.01487542021417,143.01487542021417,1.0,183.55760515088403,183.55760515088403,1.0,218.72237686079393,218.72237686079393
1,432,DIRECT_V2_0,train,MJ3,402,3.021811998406549,2.3839711213897776,6.520495275399108,1.0,70.11779756855876,70.11779756855876,1.0,89.99521876533373,89.99521876533373,1.0,107.23591723851885,107.23591723851885
1,432,DIRECT_V2_0,train,MJ1,402,3.520789605510765,2.7838557768170196,2.1918160990124065,0.9651741293532339,15.749081114652867,16.04577812905596,0.9950248756218906,20.213726748623905,20.238164615260807,1.0,24.086141002108906,24.086141002108906
1,432,DIRECT_V2_0,prediction,ATU1,180,79.91871263042333,78.96850255659515,54.41350203756896,0.03333333333333333,121.38473706226546,310.5711366291699,0.4166666666666667,155.7956231584419,221.89210142252972,0.9444444444444444,185.64193498663573,213.73651745543125
1,432,DIRECT_V2_0,prediction,ATU5,180,160.5150242582959,154.19316291429007,121.00090937379359,0.05,156.24587418014406,931.7935617002468,0.11666666666666667,200.53940819054026,1332.938516885587,0.15555555555555556,238.9574432377077,1820.5063760310968
1,432,DIRECT_V2_0,prediction,MJ3,180,13.909315181827814,12.691293333760918,9.61192653450421,1.0,77.07261595556085,77.07261595556085,1.0,98.92163151524122,98.92163151524122,1.0,117.87239406493742,117.87239406493742
1,432,DIRECT_V2_0,prediction,MJ1,180,6.658036942059195,5.576742116214658,3.788766386303718,0.7777777777777778,17.316025338967396,21.07757343249761,0.9388888888888889,22.224877885000932,23.48418180733287,0.9888888888888889,26.482575387996025,26.57009079517983
2,432,DIRECT_V2_0,train,ATU1,402,5.646601893992808,4.301371133997215,9.039262070317259,1.0,95.45643114031257,95.45643114031257,1.0,122.51700346204888,122.51700346204888,1.0,145.98801379706782,145.98801379706782
2,432,DIRECT_V2_0,train,ATU5,402,3.8504049542032335,3.127034233041417,12.512875056344866,1.0,136.03866762903462,136.03866762903462,1.0,174.60374030095312,174.60374030095312,1.0,208.05318876388483,208.05318876388483
2,432,DIRECT_V2_0,train,MJ3,402,3.5301194232919193,2.67668822492317,6.456463790358253,1.0,68.83158600814205,68.83158600814205,1.0,88.34438455866868,88.34438455866868,1.0,105.26882691706918,105.26882691706918
2,432,DIRECT_V2_0,train,MJ1,402,3.911591225184785,3.0440920670209963,2.5640192747916464,0.9975124378109452,20.055049348095753,20.057214896312303,1.0,25.74037727013398,25.74037727013398,1.0,30.671551261193454,30.671551261193454
2,432,DIRECT_V2_0,prediction,ATU1,180,77.22033199919339,76.45059990089518,54.03986370834197,0.027777777777777776,108.13969288718751,336.99389043820526,0.05,138.79579374143637,298.6329492596059,0.9444444444444444,165.38538879606497,189.06890281674083
