outer_days,station,train_rmse_mm_minus_P0,train_rmse_mm_relative_gain_P0,train_mae_mm_minus_P0,train_mae_mm_relative_gain_P0,train_crps_mm_minus_P0,train_crps_mm_relative_gain_P0,train_interval_score_90_mm_minus_P0,train_interval_score_90_mm_relative_gain_P0,prediction_rmse_mm_minus_P0,prediction_rmse_mm_relative_gain_P0,prediction_mae_mm_minus_P0,prediction_mae_mm_relative_gain_P0,prediction_crps_mm_minus_P0,prediction_crps_mm_relative_gain_P0,prediction_interval_score_90_mm_minus_P0,prediction_interval_score_90_mm_relative_gain_P0,train_rmse_mm_minus_DETACHED,train_rmse_mm_relative_gain_DETACHED,train_mae_mm_minus_DETACHED,train_mae_mm_relative_gain_DETACHED,train_crps_mm_minus_DETACHED,train_crps_mm_relative_gain_DETACHED,train_interval_score_90_mm_minus_DETACHED,train_interval_score_90_mm_relative_gain_DETACHED,prediction_rmse_mm_minus_DETACHED,prediction_rmse_mm_relative_gain_DETACHED,prediction_mae_mm_minus_DETACHED,prediction_mae_mm_relative_gain_DETACHED,prediction_crps_mm_minus_DETACHED,prediction_crps_mm_relative_gain_DETACHED,prediction_interval_score_90_mm_minus_DETACHED,prediction_interval_score_90_mm_relative_gain_DETACHED,train_rmse_mm_minus_DIRECT_V2_0,train_rmse_mm_relative_gain_DIRECT_V2_0,train_mae_mm_minus_DIRECT_V2_0,train_mae_mm_relative_gain_DIRECT_V2_0,train_crps_mm_minus_DIRECT_V2_0,train_crps_mm_relative_gain_DIRECT_V2_0,train_interval_score_90_mm_minus_DIRECT_V2_0,train_interval_score_90_mm_relative_gain_DIRECT_V2_0,prediction_rmse_mm_minus_DIRECT_V2_0,prediction_rmse_mm_relative_gain_DIRECT_V2_0,prediction_mae_mm_minus_DIRECT_V2_0,prediction_mae_mm_relative_gain_DIRECT_V2_0,prediction_crps_mm_minus_DIRECT_V2_0,prediction_crps_mm_relative_gain_DIRECT_V2_0,prediction_interval_score_90_mm_minus_DIRECT_V2_0,prediction_interval_score_90_mm_relative_gain_DIRECT_V2_0,rmse_guard,crps_guard,coverage_guard,width_guard,strict_mean_improvement,point_guards_passed
432,ATU1,5.629246748598263,-0.5825110662389824,4.582895125209834,-0.617248855508008,1.9313684673072231,-0.19554593241033938,8.32617544506708,-0.06626516047440935,2.5305851601644633,-0.045689978352486685,1.5383159011531902,-0.02821874605430045,0.3019640558811929,-0.008378683042967057,-1.2073328352878434,0.008577625099997689,9.584929244458953,-1.679187146644351,7.753273153434022,-1.8224410188181852,1.5626193342773291,-0.15251686370213707,-6.024214285839406,0.043030176917781514,-20.19413585236186,0.2585321897215317,-21.18890120834235,0.274321275412906,-18.739422689528745,0.34021605596956367,-199.9547924034773,0.5889663751917062,9.584929244458953,-1.679187146644351,7.753273153434022,-1.8224410188181852,2.2352221448868956,-0.2334935963808809,3.501402138289137,-0.026835985577278357,-20.19413585236186,0.2585321897215317,-21.18890120834235,0.274321275412906,-17.7458440765339,0.32809590240186826,-127.53589473519492,0.47751532990068735,False,False,True,True,False,False
432,ATU5,14.831454303812016,-3.702898461979036,12.379338957697477,-4.278452399918128,2.08690151356606,-0.16869481321832025,-9.577377933605504,0.05554359651977838,6.709626646802974,-0.04790394062421119,3.4773529496553692,-0.02583349052041556,5.326671410430791,-0.049920345846234004,184.0000676035679,-0.1503273315742651,15.190073256042325,-4.1653790393225805,12.224028523595422,-4.009553572132795,2.104471913251441,-0.1703570764624694,-9.664196097868,0.05601888936265764,-12.683575662182193,0.07954209879797192,-15.318411587098751,0.09985786341541246,-12.835265403483731,0.10279284968888668,-163.00005453437643,0.10375585390625303,15.190073256042325,-4.1653790393225805,12.224028523595422,-4.009553572132795,1.592323893081229,-0.12376747443235325,-17.005624286371244,0.09455019241846153,-12.683575662182193,0.07954209879797192,-15.318411587098751,0.09985786341541246,-9.592781331935228,0.07887317131691776,12.527411837983436,-0.008977206966647118,False,False,True,True,False,False
432,MJ3,9.250480218832195,-1.4132819705045168,5.9401279631982,-1.0526722096257823,4.36853608262775,-0.7076887059634024,30.940675606714393,-0.4034019628902332,-5.726808219617347,0.3890358599718559,-5.049525674646435,0.4024812226018366,-0.11241964515808789,0.012587453466672885,33.50279625351784,-0.4368066794264796,12.679790936443146,-4.069150360282102,9.09873889878681,-3.6625066224711094,2.4249798476340008,-0.2987709171741879,-5.059905049299488,0.04489713712648929,-4.074530839038195,0.31178885415133517,-4.046478772615843,0.35055864815301685,-1.2158573370977273,0.12116740395888734,-3.813795963493817,0.033449667537597184,12.679790936443146,-4.069150360282102,9.09873889878681,-3.6625066224711094,3.895951804044633,-0.5862499709696654,15.813370638946722,-0.17220890321470242,-4.074530839038195,0.31178885415133517,-4.046478772615843,0.35055864815301685,-0.4935564566512305,0.053000921522728624,12.02365397982885,-0.12246726850282985,True,True,True,False,False,False
432,MJ1,5.529233399575203,-0.667971734488334,4.362688363744054,-0.6297868451559097,2.791434269853654,-0.5252442945061164,16.3203361916865,-0.3102449304799882,-2.878554323060392,0.13157305591358243,-0.910623151863934,0.05018842321159368,-5.050474103371268,0.3084969466376486,-187.914829808089,0.7040171679767944,10.409981734356855,-3.064555803096979,8.716013203007092,-3.3862783181522422,3.0363890372758595,-0.598941746969915,0.639773270830787,-0.009369128910146988,11.988913519469207,-1.7101307251124838,11.38553440594082,-1.946934068136269,5.484310582322194,-0.9396664230904785,9.470349698229612,-0.13619977438990674,10.409981734356855,-3.064555803096979,8.716013203007092,-3.3862783181522422,5.771798596202943,-2.4727303496029376,44.13636346805256,-1.7805065399306108,11.988913519469207,-1.7101307251124838,11.38553440594082,-1.946934068136269,7.363808236486836,-1.8609825215686764,51.90133532877855,-1.9150512354445415,True,True,True,True,False,True
612,ATU1,2.3791889486526596,-0.28996757988629457,2.693890613075885,-0.4341398832123323,2.618096533248707,-0.19501480891563727,33.90275747689054,-0.18607060329685154,22.94701187689234,-5.381044141720045,20.653280123651548,-6.984430841980484,6.470265968503938,-0.4948882424585575,26.5893082096093,-0.14593174679612234,5.300097674108163,-1.0030259237656465,4.845342451600077,-1.1952978806342027,-1.6045304001701055,0.09091986203247118,-30.415467537891118,0.12337833301330364,19.245935129432528,-2.4161637235424727,16.872904588699353,-2.5043565456295402,1.8395552549593361,-0.10390087144432847,-35.673749867812035,0.14592473084137594,5.300097674108163,-1.0030259237656465,4.845342451600077,-1.1952978806342027,-1.528038557616572,0.08696241971059258,-29.28221021892014,0.11932990723001118,19.245935129432528,-2.4161637235424727,16.872904588699353,-2.5043565456295402,1.8618782526915183,-0.10529446735749473,-35.37210342262827,0.1448695893502472,False,False,True,False,False,False
612,ATU5,4.052813344890961,-0.42858456634909264,2.667014531960695,-0.33722343218680223,-7.838173569746964,0.23761564859193587,-116.7715843978271,0.25342695529300036,22.798166785163865,-4.539922494870405,19.98862189347382,-4.598199485403985,-6.049070455454942,0.184399774691111,-128.09494724391135,0.278001815560242,7.535691988815535,-1.2615423547168034,6.247455241540494,-1.4433951763828097,-2.971897243639784,0.10568437783629687,-50.43296804495844,0.1278624035070626,24.134494303359194,-6.548711051365406,21.311698939951082,-7.047572984864368,-1.23092258051134,0.04398357233360553,-60.774776021174034,0.15446632178267636,7.535691988815535,-1.2615423547168034,6.247455241540494,-1.4433951763828097,-10.818812112084359,0.3007948448592415,-161.15136155966906,0.31901687515052096,24.134494303359194,-6.548711051365406,21.311698939951082,-7.047572984864368,-9.129527529783903,0.2544137584994278,-172.0606733273599,0.3408924755681092,False,True,True,True,False,False
612,MJ3,4.403008787162911,-0.7852329482207243,2.9405044696154823,-0.6060762662585151,3.818404068198131,-0.893529665887703,46.12316029125547,-0.9524425730443451,19.305323084954843,-0.3162446711634607,15.066680374110682,-0.2978001478105807,11.775140077079392,-0.26903307600980936,113.24263700406402,-0.17184994244040885,5.8215636778419775,-1.3898227151345743,4.447468185318667,-1.3296889458962355,0.018344681592399326,-0.002272222472408924,-16.25833823058794,0.14672572972001402,21.037362538263686,-0.3546809145456977,16.831268385880456,-0.34470051348834063,19.430267909695324,-0.538037157994337,476.1245508967402,-1.6080920547736537,5.8215636778419775,-1.3898227151345743,4.447468185318667,-1.3296889458962355,4.461459552192114,-1.2289377062916789,50.468019651583624,-1.1448843441656047,21.037362538263686,-0.3546809145456977,16.831268385880456,-0.34470051348834063,13.110144022651767,-0.3089583563454609,131.4905928137607,-0.20522497991961047,False,False,True,False,False,False
612,MJ1,7.993922589767046,-1.4525824279664923,6.854505444042886,-1.7469938971063368,2.3365434969986625,-0.41318656588314806,-8.749318731297478,0.12156526952412419,20.080490869811914,-1.0768447563385568,16.113857583772596,-1.052426825848103,14.40251080632051,-1.3323932733946107,232.90571575089922,-3.2360515119522204,8.909109633210452,-1.9418024409330557,7.394486733851039,-2.185378179493191,2.095110248472716,-0.35532210362242855,-14.698532378953402,0.1886327966957328,21.02140763924072,-1.1872068253716,16.37983439953257,-1.0887107689129627,15.000488855893373,-1.4689761844560625,224.3723842665653,-2.787043408359188,8.909109633210452,-1.9418024409330557,7.394486733851039,-2.185378179493191,5.259005053866682,-1.9246311643484488,39.457677052446044,-1.66031364745313,21.02140763924072,-1.1872068253716,16.37983439953257,-1.0887107689129627,13.32603262488172,-1.1211553319687046,170.87497858183553,-1.2751585477078755,False,False,False,True,False,False
