outer_days,strategy,part,days,point_days,aggregation,rmse_mm,mae_mm,crps_mm,coverage_80,width_80_mm,interval_score_80_mm,coverage_90,width_90_mm,interval_score_90_mm,coverage_95,width_95_mm,interval_score_95_mm
432,P0,train,402,1608,point_mean,7.123039387176306,5.722069264949527,8.43379475889341,0.8445273631840796,75.63459471106239,82.64258829833635,0.871268656716418,97.07595173388478,106.84583452463103,0.8973880597014925,115.67313091753678,129.23578432641494
432,P0,train,402,1608,pooled,7.4295477175734925,5.722069264949527,8.43379475889341,0.8445273631840796,75.63459471106239,82.64258829833635,0.871268656716418,97.07595173388478,106.84583452463103,0.8973880597014925,115.67313091753678,129.23578432641494
432,P0,prediction,180,720,point_mean,58.01217449884722,54.95261030157084,42.011323088700955,0.3666666666666667,75.63459471106233,301.9113772288378,0.5833333333333333,97.07595173388461,427.0917939550213,0.6027777777777777,115.67313091753681,620.9365639698742
432,P0,prediction,180,720,pooled,76.45411452382022,54.95261030157084,42.011323088700955,0.3666666666666667,75.63459471106233,301.9113772288378,0.5833333333333333,97.07595173388461,427.0917939550213,0.6027777777777777,115.67313091753681,620.9365639698742
432,DIRECT_V2_0,train,402,1608,point_mean,3.966949262055404,3.090318422706082,7.854530732678156,1.0,83.06930079847292,83.06930079847292,1.0,106.73690886236734,106.73690886236734,1.0,127.32817518330714,127.32817518330714
432,DIRECT_V2_0,train,402,1608,pooled,4.096637115727038,3.090318422706082,7.854530732678156,1.0,83.06930079847292,83.06930079847292,1.0,106.73690886236734,106.73690886236734,1.0,127.32817518330714,127.32817518330714
432,DIRECT_V2_0,prediction,180,720,point_mean,64.4117190234479,62.00855459817443,47.244851925304985,0.4930555555555555,89.89317538743097,344.73169069138305,0.5597222222222222,115.50518259281448,446.9578426555995,0.7722222222222221,137.79170261103692,581.8605849235574
432,DIRECT_V2_0,prediction,180,720,pooled,89.0896614246498,62.00855459817443,47.244851925304985,0.4930555555555555,89.89317538743097,344.73169069138305,0.5597222222222222,115.50518259281448,446.9578426555995,0.7722222222222221,137.79170261103692,581.8605849235574
432,DETACHED,train,402,1608,point_mean,3.966949262055404,3.090318422706082,8.946239809122424,1.0,96.1112047546876,96.1112047546876,1.0,123.37542239264067,123.37542239264067,1.0,147.03384908101359,147.03384908101359
432,DETACHED,train,402,1608,pooled,4.096637115727038,3.090318422706082,8.946239809122424,1.0,96.1112047546876,96.1112047546876,1.0,123.37542239264067,123.37542239264067,1.0,147.03384908101359,147.03384908101359
432,DETACHED,prediction,180,720,point_mean,64.4117190234479,62.00855459817443,48.95431723009361,0.5236111111111111,96.27119401911827,376.9836508362298,0.5458333333333334,123.71135384090832,523.511542559228,0.7291666666666666,147.59861588467248,705.4143915426604
432,DETACHED,prediction,180,720,pooled,89.0896614246498,62.00855459817443,48.95431723009361,0.5236111111111111,96.27119401911827,376.9836508362298,0.5458333333333334,123.71135384090832,523.511542559228,0.7291666666666666,147.59861588467248,705.4143915426604
432,JOINT,train,402,1608,point_mean,15.933143054880723,12.538331867411918,11.228354842232081,0.9664179104477613,91.69428798510772,94.10142366231435,0.9888059701492538,117.67296900605629,118.34828685209665,0.9981343283582089,140.202980863438,140.29860321108802
432,JOINT,train,402,1608,pooled,16.03777677088738,12.538331867411918,11.228354842232081,0.9664179104477613,91.69428798510772,94.10142366231435,0.9888059701492538,117.67296900605629,118.34828685209665,0.9981343283582089,140.202980863438,140.29860321108802
432,JOINT,prediction,180,720,point_mean,58.170886814919655,54.71649030764539,42.12775851814661,0.6055555555555556,95.88771182366392,308.43578295744845,0.7666666666666666,122.82290853992467,434.1869692584485,0.8027777777777778,146.1077818995849,642.3025345101223
432,JOINT,prediction,180,720,pooled,79.59074943510583,54.71649030764539,42.12775851814661,0.6055555555555556,95.88771182366392,308.43578295744845,0.7666666666666666,122.82290853992467,434.1869692584485,0.8027777777777778,146.1077818995849,642.3025345101223
612,P0,train,582,2328,point_mean,7.1929512450532975,5.722293636742206,14.085054872169797,1.0,148.6911859331073,148.6911859331073,1.0,190.84307130504664,190.84307130504664,1.0,227.40354517778044,227.40354517778044
612,P0,train,582,2328,pooled,7.390375448803525,5.722293636742206,14.085054872169797,1.0,148.6911859331073,148.6911859331073,1.0,190.84307130504664,190.84307130504664,1.0,227.40354517778044,227.40354517778044
612,P0,prediction,180,720,point_mean,22.244794833549626,18.30212570672975,25.114045869601284,0.773611111111111,148.69118593310725,234.82155289798197,0.8333333333333334,190.84307130504672,343.4771053942398,0.8458333333333333,227.40354517778044,503.2568597622399
612,P0,prediction,180,720,pooled,32.08461307766866,18.30212570672975,25.114045869601284,0.773611111111111,148.69118593310725,234.82155289798197,0.8333333333333334,190.84307130504672,343.4771053942398,0.8458333333333333,227.40354517778044,503.2568597622399
612,DIRECT_V2_0,train,582,2328,point_mean,5.008568919177661,3.7775842483383735,14.975369020254965,0.9780927835051546,159.22765574003955,159.68149826106102,0.9918384879725086,204.44892208786248,204.5962937334419,0.9987113402061856,243.71842805342953,243.73398810094486
612,DIRECT_V2_0,train,582,2328,pooled,5.054672572582311,3.7775842483383735,14.975369020254965,0.9780927835051546,159.22765574003955,159.68149826106102,0.9918384879725086,204.44892208786248,204.5962937334419,0.9987113402061856,243.71842805342953,243.73398810094486
612,DIRECT_V2_0,prediction,180,720,point_mean,22.167743085181336,18.408809121966048,26.971625626103236,0.6472222222222221,159.3595159106392,261.22605525394835,0.6888888888888889,204.60077672566445,380.9045851630031,0.7138888888888889,243.88127845828342,553.025288322581
612,DIRECT_V2_0,prediction,180,720,pooled,31.259578979931007,18.408809121966048,26.971625626103236,0.6472222222222221,159.3595159106392,261.22605525394835,0.6888888888888889,204.60077672566445,380.9045851630031,0.7138888888888889,243.88127845828342,553.025288322581
