fit_days,strategy,seed,epoch,loss,anchor_loss,paired_loss,balanced_loss,anchor_weight,paired_weight,anchor_norm,paired_norm,gradient_norm,gradient_dot,raw_anchor_slope,raw_paired_slope,elapsed_seconds
432,OOF_CARRY,2,1,0.12182083997927559,0.005981883076662482,0.2376597968818887,0.010806404017852555,0.9791757407430469,0.020824259256953137,0.016830941007399732,0.7914062596402031,0.019370863072523944,-0.0041190546782127425,-0.00019160520454159156,-0.0090094521861368,410.562121541705
432,OOF_CARRY,2,2,0.12080291550914911,0.005955780316813956,0.23565005070148426,0.011062585828750523,0.9777669442803942,0.02223305571960577,0.017864317586871823,0.7856382603839349,0.019079323434636586,-0.005662270294853968,-0.00018614895136968482,-0.008186472145672459,410.7876265826635
432,OOF_CARRY,2,3,0.11974870331622449,0.00591933760628985,0.23357806902615913,0.011492700843589072,0.9755187811047743,0.02448121889522572,0.019739901357341615,0.78658846986568,0.020912077433406458,-0.0063713916311348194,-0.00022414482993629752,-0.008931642342899681,411.0473633329384
432,OOF_CARRY,2,4,0.11863975273278218,0.005870126689089197,0.23140937877647516,0.011869391953714347,0.9734003495662,0.02659965043379994,0.02155148411816097,0.7886653332718785,0.02293397806697245,-0.0068400040489677095,-0.0002701701053481093,-0.0098867342502372,411.29055824968964
432,OOF_CARRY,2,5,0.11746863194795755,0.005807568407468439,0.22912969548844667,0.012166416034148825,0.9715261191992202,0.028473880800779856,0.023193950410087132,0.791375393767679,0.024947548108418222,-0.007105844965038834,-0.0003203105631039741,-0.010928966110667914,411.51852024998516
432,OOF_CARRY,2,6,0.11622768855982123,0.005731739650270417,0.22672363746937205,0.012367142817470079,0.9699744504993969,0.030025549500603113,0.024596702939337915,0.7945957297867925,0.02682755991731241,-0.007188344291121929,-0.00037099841688945345,-0.011985092414420771,411.74131704168394
432,OOF_CARRY,2,7,0.11491060313772719,0.005643170795895938,0.22417803547955845,0.012460058073543449,0.9688064085906145,0.031193591409385477,0.025698214325036283,0.7981317188100193,0.028465293304325557,-0.007104568202381072,-0.0004181810296238843,-0.01298781073758451,411.9814791670069
432,OOF_CARRY,2,8,0.11351293212423713,0.0055428870647040995,0.22148297718377016,0.012434478883049854,0.9680856305350903,0.03191436946490963,0.026432301844066194,0.801793424912934,0.029747253047834522,-0.006872563934783525,-0.00045703553279826574,-0.013863646356304505,412.2177579579875
432,OOF_CARRY,2,9,0.11203154916169415,0.00543242460035576,0.21863067372303255,0.012284370826206557,0.9678611515148602,0.032138848485139794,0.026743480789209968,0.8053796987819402,0.03057021701165939,-0.006516797640110383,-0.00048278524594010455,-0.014539073616344038,412.45549204200506
432,OOF_CARRY,2,10,0.11046723922196561,0.005313620124616286,0.21562085831931493,0.012009140268113078,0.9681631493001767,0.031836850699823276,0.026592115107304255,0.8086699953957256,0.03084800846518951,-0.006067860023934721,-0.0004914459029742326,-0.01494493967447738,412.6889401669614
432,OOF_CARRY,2,11,0.1088260473023534,0.0051885256097498065,0.212463568994957,0.011614965038888352,0.9689955948184489,0.031004405181551092,0.025961797799210998,0.811396559737006,0.030522520347842516,-0.005560534371255271,-0.0004807164518425958,-0.015024062595769706,412.9125655000098
432,OOF_CARRY,2,12,0.1071213719095182,0.0050592417911023415,0.20918350202793407,0.011116402008257387,0.970326113073834,0.02967388692616609,0.024867954881635547,0.8131737530857583,0.029580782771671806,-0.005027091788708931,-0.00045089104456485623,-0.014743985369393095,413.1328860418871
432,OOF_CARRY,2,13,0.10537148129423576,0.004927896241744957,0.20581506634672658,0.010539784579339385,0.9720644761202932,0.02793552387970676,0.023381154356504452,0.8135873756480199,0.028082239548051557,-0.004502111340180995,-0.0004056377932776961,-0.01411486287907103,413.3535829577595
432,OOF_CARRY,2,14,0.10359406647448065,0.004796635985048061,0.20239149696391323,0.00992865993960053,0.974027543382814,0.025972456617185974,0.021660423104311634,0.8123162554813764,0.026191217623151145,-0.0040370674114066085,-0.0003521357713360155,-0.013205910605494094,413.57665329193696
432,OOF_CARRY,2,15,0.1018072561184577,0.004666921999680717,0.19894759023723468,0.009340224068382889,0.975945614604393,0.024054385395606927,0.01994214644392309,0.8091019598987458,0.02417506171956934,-0.0036876388972413307,-0.0002994191481570883,-0.01214817172696756,413.80382474977523
432,OOF_CARRY,2,16,0.10002745629526585,0.0045390123386589865,0.1955159002518727,0.008830854281316355,0.9775269039643807,0.022473096035619373,0.018478663378505594,0.8037784635085646,0.022331935663107972,-0.0035018303320330318,-0.000255090345052726,-0.01109583098098145,414.0261827078648
432,OOF_CARRY,2,17,0.09826595576033799,0.004412042137297368,0.1921198693833786,0.008432444698920865,0.9785815934230978,0.021418406576902246,0.017429554990326328,0.7963356953678623,0.020845679254066583,-0.0035136168464918274,-0.0002220266283792362,-0.010144133318302849,414.2586730415933
432,OOF_CARRY,2,18,0.09652954340302695,0.004284674439536636,0.18877441236651726,0.008136288449095398,0.9791228821026177,0.020877117897382436,0.016779631604810608,0.786953512370701,0.019682037217503473,-0.0037292851871967383,-0.00019782123169224025,-0.00927768360880315,414.48813749989495
432,OOF_CARRY,2,19,0.09482357512085647,0.004155902564877146,0.1854912476768358,0.007906067889273557,0.9793191706664743,0.02068082933352575,0.01638687273582544,0.7759833205262328,0.018662623077762768,-0.004117430579859419,-0.00017782430415694443,-0.008420685034570254,414.7184612918645
432,OOF_CARRY,2,20,0.09315321196509807,0.004025523860133731,0.18228090007006242,0.007706490750476367,0.9793500371848105,0.020649962815189462,0.016106680047743464,0.7638792304303081,0.01763635136335053,-0.00461348874414661,-0.0001587996516065178,-0.007531269963904347,414.9506079996936
432,OOF_CARRY,2,21,0.09152313473714838,0.003894125557860258,0.1791521439164365,0.007517788402142002,0.9793238399120332,0.020676160087966786,0.015858785707383187,0.7511494808136698,0.01657555357681373,-0.0051279431910915664,-0.00014027483309428143,-0.006644100626250278,415.1694575827569
432,OOF_CARRY,2,22,0.08993847505678682,0.0037627969096780184,0.17611415320389562,0.007329109304182276,0.9793078948075333,0.020692105192466694,0.015600533862469531,0.7383359901094445,0.015542883488562384,-0.005557571055393756,-0.00012334283651746925,-0.005837521723671136,415.3888836246915
432,OOF_CARRY,2,23,0.08840687210457984,0.003632921168986669,0.17318082304017302,0.0071228754703280914,0.9794161162549041,0.020583883745095868,0.015258045017443276,0.7260036724695941,0.01458246906075866,-0.005803427807829951,-0.00010855876290922672,-0.005165410146631032,415.6099348748103
432,OOF_CARRY,2,24,0.08693640754081511,0.0035062762882021067,0.1703665387934281,0.006869676804863221,0.9798430107554471,0.0201569892445529,0.014702742771625857,0.7147089066193681,0.013642002390588166,-0.005796845149354828,-9.496635031428612e-05,-0.004616369710945422,415.82905762502924
432,OOF_CARRY,2,25,0.08552876962786848,0.0033852598306390942,0.16767227942509788,0.006545961888494147,0.9807610968556297,0.019238903144370264,0.013828375378874451,0.7049431302056809,0.012622572126915872,-0.0055261797432190314,-8.122738942746174e-05,-0.004140811092596432,416.0491060419008
432,OOF_CARRY,2,26,0.08417664363310998,0.0032725044415605337,0.16508078282465943,0.006157175650024074,0.9821722890986222,0.01782771090137776,0.012653571095623229,0.6971162454345144,0.011511471212265884,-0.005037033668884371,-6.745963561669992e-05,-0.0037165166690184886,416.27256704168394
432,OOF_CARRY,2,27,0.08286804141270929,0.003169697801569214,0.16256638502384935,0.005745462782348864,0.9838405363018133,0.016159463698186664,0.011359052614291397,0.691575947361361,0.010473372567071973,-0.004405867141327063,-5.574660165000845e-05,-0.0033940338298790464,416.50739549985155
432,OOF_CARRY,2,28,0.0815894385099862,0.0030765786258418193,0.1601022983941306,0.005381753932697854,0.9853197596530198,0.014680240346980178,0.010258749871704371,0.6885547320080159,0.009837046155035903,-0.003718765128458297,-4.9104605945578154e-05,-0.0032958410342447952,416.7380106248893
432,OOF_CARRY,2,29,0.08032436576833539,0.0029907401764822806,0.1576579913601885,0.0051334475586452925,0.9861463408332123,0.013853659166787729,0.009665721136454503,0.6880359488762422,0.009894912382414843,-0.0030670233957331887,-4.9642374058266725e-05,-0.0035336978439021675,416.9596531246789
432,OOF_CARRY,2,30,0.07905312558484644,0.002908114765337367,0.1551981364043555,0.005004858205308893,0.9862319052988149,0.013768094701185075,0.009628130288540015,0.6896792537397877,0.010546384984916054,-0.0025446574070677676,-5.6389494018834634e-05,-0.004039274811223121,417.18897491693497
