phase,candidate,reference,metric,difference,lower,upper,n,block_length,replicates,seed,confidence
development,C8_ONLINE_DATA,DRIFT1,crps,-1.44135472523,-2.02066469282,-0.996517261507,347,30,2000,20260913,0.95
development,C8_ONLINE_DATA,DRIFT1,coverage90,-0.0871757925072,-0.163544668588,-0.0194524495677,347,30,2000,20260913,0.95
development,C8_ONLINE_DATA,DRIFT1,width90,-19.8964654795,-28.5615405498,-13.5052337337,347,30,2000,20260913,0.95
development,C8_ONLINE_DATA,DRIFT1,interval_score90,-19.73686514,-28.2584609641,-13.3752124021,347,30,2000,20260913,0.95
development,C8_ONLINE_FULL,C8_STATIC_FULL,mae,-0.035127153769,-0.0620854830627,-0.0141689522616,347,30,2000,20260913,0.95
development,C8_ONLINE_FULL,C8_STATIC_FULL,rmse,-0.0324444566436,-0.0668877719351,-0.0156463911753,347,30,2000,20260913,0.95
development,C8_ONLINE_FULL,C8_STATIC_FULL,pooled_rmse,-0.0458204824091,-0.0762515585492,-0.0191991166486,347,30,2000,20260913,0.95
development,C8_ONLINE_FULL,C8_STATIC_FULL,crps,-0.0220140216429,-0.0366929067542,-0.010942074044,347,30,2000,20260913,0.95
development,C8_ONLINE_FULL,C8_STATIC_FULL,coverage90,0.00504322766571,0,0.0122478386167,347,30,2000,20260913,0.95
development,C8_ONLINE_FULL,C8_STATIC_FULL,width90,-0.119238929913,-0.175493945916,-0.0697880304154,347,30,2000,20260913,0.95
development,C8_ONLINE_FULL,C8_STATIC_FULL,interval_score90,-0.231529211605,-0.339482958273,-0.14046053413,347,30,2000,20260913,0.95
development,C8_ONLINE_DATA,C8_STATIC_DATA,mae,-0.000407197931732,-0.000944648226104,0.000139907147551,347,30,2000,20260913,0.95
development,C8_ONLINE_DATA,C8_STATIC_DATA,rmse,-0.000772029750413,-0.00149288556521,-0.000124632392556,347,30,2000,20260913,0.95
development,C8_ONLINE_DATA,C8_STATIC_DATA,pooled_rmse,-0.000856883485319,-0.00156978297252,-0.000150368853354,347,30,2000,20260913,0.95
development,C8_ONLINE_DATA,C8_STATIC_DATA,crps,-0.000450571988081,-0.000973977935475,6.82916975045e-05,347,30,2000,20260913,0.95
development,C8_ONLINE_DATA,C8_STATIC_DATA,coverage90,0.000720461095101,0,0.0021613832853,347,30,2000,20260913,0.95
development,C8_ONLINE_DATA,C8_STATIC_DATA,width90,-0.00885370839083,-0.0142670921039,-0.00356793962426,347,30,2000,20260913,0.95
development,C8_ONLINE_DATA,C8_STATIC_DATA,interval_score90,-0.00577838412145,-0.0118933418255,0.000445798895862,347,30,2000,20260913,0.95
later_exploratory,C8_ONLINE_FULL,B_ANCHOR,mae,-2.52200412737,-3.93209609498,-1.37508373584,264,30,2000,20260913,0.95
later_exploratory,C8_ONLINE_FULL,B_ANCHOR,rmse,-3.75402050172,-5.56833678339,-1.75757534888,264,30,2000,20260913,0.95
later_exploratory,C8_ONLINE_FULL,B_ANCHOR,pooled_rmse,-3.76335921435,-5.92336758313,-1.61460894617,264,30,2000,20260913,0.95
later_exploratory,C8_ONLINE_FULL,B_ANCHOR,crps,-2.62304328181,-3.91210979819,-1.5982048448,264,30,2000,20260913,0.95
later_exploratory,C8_ONLINE_FULL,B_ANCHOR,coverage90,-0.0785984848485,-0.260464015152,0.0795454545455,264,30,2000,20260913,0.95
later_exploratory,C8_ONLINE_FULL,B_ANCHOR,width90,-23.5788307346,-33.753423963,-15.1759854962,264,30,2000,20260913,0.95
later_exploratory,C8_ONLINE_FULL,B_ANCHOR,interval_score90,-29.7988319874,-49.4810886931,-14.5895516962,264,30,2000,20260913,0.95
later_exploratory,C8_ONLINE_FULL,DRIFT1,mae,-1.27551939641,-2.32320948725,-0.527045596645,264,30,2000,20260913,0.95
later_exploratory,C8_ONLINE_FULL,DRIFT1,rmse,-2.30971648324,-3.62312420197,-0.752324844663,264,30,2000,20260913,0.95
later_exploratory,C8_ONLINE_FULL,DRIFT1,pooled_rmse,-2.78432070124,-4.5586767099,-0.872101330772,264,30,2000,20260913,0.95
later_exploratory,C8_ONLINE_FULL,DRIFT1,crps,-1.76429647884,-2.79621460068,-0.977939057752,264,30,2000,20260913,0.95
later_exploratory,C8_ONLINE_FULL,DRIFT1,coverage90,-0.0804924242424,-0.19696969697,0.0123106060606,264,30,2000,20260913,0.95
later_exploratory,C8_ONLINE_FULL,DRIFT1,width90,-16.108066,-24.0455667343,-9.4521077098,264,30,2000,20260913,0.95
later_exploratory,C8_ONLINE_FULL,DRIFT1,interval_score90,-23.2823059844,-40.0091923365,-10.5462117355,264,30,2000,20260913,0.95
later_exploratory,C8_ONLINE_FULL,C8_ONLINE_DATA,mae,0.0167947880148,-0.00264315150055,0.0412564031948,264,30,2000,20260913,0.95
later_exploratory,C8_ONLINE_FULL,C8_ONLINE_DATA,rmse,0.0221558566956,-0.00322843787809,0.0475403773523,264,30,2000,20260913,0.95
later_exploratory,C8_ONLINE_FULL,C8_ONLINE_DATA,pooled_rmse,0.0250471376306,-0.00286272577217,0.0512539932614,264,30,2000,20260913,0.95
later_exploratory,C8_ONLINE_FULL,C8_ONLINE_DATA,crps,0.00630029554961,-0.0151048424583,0.035341445287,264,30,2000,20260913,0.95
later_exploratory,C8_ONLINE_FULL,C8_ONLINE_DATA,coverage90,-0.00473484848485,-0.0350378787879,0.0208333333333,264,30,2000,20260913,0.95
later_exploratory,C8_ONLINE_FULL,C8_ONLINE_DATA,width90,-0.451519654745,-0.926153299697,-0.0210171050433,264,30,2000,20260913,0.95
later_exploratory,C8_ONLINE_FULL,C8_ONLINE_DATA,interval_score90,0.151623197787,-0.29515483159,0.79254856392,264,30,2000,20260913,0.95
later_exploratory,C8_ONLINE_DATA,B_ANCHOR,mae,-2.53879891539,-3.9568909691,-1.37266659259,264,30,2000,20260913,0.95
later_exploratory,C8_ONLINE_DATA,B_ANCHOR,rmse,-3.77617635842,-5.60530654695,-1.76068156695,264,30,2000,20260913,0.95
later_exploratory,C8_ONLINE_DATA,B_ANCHOR,pooled_rmse,-3.78840635198,-5.97468832299,-1.62311557584,264,30,2000,20260913,0.95
later_exploratory,C8_ONLINE_DATA,B_ANCHOR,crps,-2.62934357736,-3.9233257034,-1.5951918578,264,30,2000,20260913,0.95
later_exploratory,C8_ONLINE_DATA,B_ANCHOR,coverage90,-0.0738636363636,-0.261410984848,0.100378787879,264,30,2000,20260913,0.95
later_exploratory,C8_ONLINE_DATA,B_ANCHOR,width90,-23.1273110798,-33.5227563509,-14.4565671979,264,30,2000,20260913,0.95
