phase,model,horizon,n,crps,coverage90,width90,interval_score90,mae,rmse,pooled_rmse
development,C8_ONLINE_FULL,1,376,0.00237844157425,1,0.0332837090458,0.0332837090458,0.000218796317842,0.000494514221943,0.000619467583074
development,C8_ONLINE_FULL,2,375,0.00269386409121,0.996666666667,0.0357490833719,0.0366511172398,0.000853631501687,0.0019535375091,0.00250281557946
development,C8_ONLINE_FULL,3,374,0.00359764692117,0.991978609626,0.042922207469,0.0464410154366,0.00213349066973,0.00478538587743,0.00617500725363
development,C8_ONLINE_FULL,4,373,0.00541025474551,0.985924932976,0.0567362803109,0.0667839160229,0.00429210467896,0.00954677003997,0.0124079721582
development,C8_ONLINE_FULL,5,372,0.00834274124808,0.974462365591,0.0779609971597,0.100650966811,0.00756292661068,0.0168219274607,0.0220344655246
development,C8_ONLINE_FULL,6,371,0.0126550285139,0.960916442049,0.108602279468,0.151508802553,0.0121664345659,0.0268309150427,0.0352711197176
development,C8_ONLINE_FULL,7,370,0.0182946251612,0.953378378378,0.147723644433,0.218425436541,0.0181542521009,0.0394356059483,0.0517417889159
development,C8_ONLINE_FULL,8,369,0.0252840469084,0.943089430894,0.195823709769,0.301953495968,0.025519674825,0.0545423140641,0.0712108592124
development,C8_ONLINE_FULL,9,368,0.0336905069333,0.936141304348,0.253137345409,0.401615036703,0.0343139318066,0.0722027697285,0.0937336505576
development,C8_ONLINE_FULL,10,367,0.0434100444452,0.929836512262,0.317268186753,0.515984344588,0.0447030856942,0.0925280213034,0.119430375584
development,C8_ONLINE_FULL,11,366,0.0544050422829,0.926229508197,0.386099446024,0.644287877883,0.0567531856729,0.115572641835,0.148270855219
development,C8_ONLINE_FULL,12,365,0.0669942553123,0.920547945205,0.469535059418,0.791869234868,0.0703754805105,0.141205622826,0.179989615642
development,C8_ONLINE_FULL,13,364,0.0811064333377,0.916895604396,0.561473556343,0.957996252709,0.0855142388524,0.169318657524,0.214387116469
development,C8_ONLINE_FULL,14,363,0.09677740623,0.91391184573,0.662738639684,1.13957110488,0.10229440601,0.199819017244,0.251313850608
development,C8_ONLINE_FULL,15,362,0.113707413125,0.91091160221,0.771841492707,1.33155462694,0.120892072105,0.232512742678,0.290456358062
development,C8_ONLINE_FULL,16,361,0.132455960358,0.904432132964,0.904992620156,1.54375621293,0.140965548528,0.267147914518,0.331426379049
development,C8_ONLINE_FULL,17,360,0.151613267161,0.901388888889,1.0374778647,1.75653208788,0.162257427304,0.303412996676,0.373765022195
development,C8_ONLINE_FULL,18,359,0.171500093182,0.895543175487,1.17481683272,1.97868681135,0.184573401328,0.340945501682,0.416999971887
development,C8_ONLINE_FULL,19,358,0.191954407431,0.893156424581,1.31911928227,2.20477555697,0.207745895885,0.379459802332,0.460844361605
development,C8_ONLINE_FULL,20,357,0.212950496056,0.890756302521,1.46828806553,2.43421263397,0.231668110726,0.41860731864,0.505065777605
development,C8_ONLINE_FULL,21,356,0.23371006285,0.886938202247,1.61736706252,2.65297710059,0.256383670779,0.458441660587,0.550153387323
development,C8_ONLINE_FULL,22,355,0.256217536345,0.885915492958,1.77013416085,2.8734787932,0.28330919369,0.500500348576,0.598129275186
development,C8_ONLINE_FULL,23,354,0.27984290052,0.885593220339,1.91256873399,3.09827628765,0.312559689694,0.545574910536,0.650414613286
development,C8_ONLINE_FULL,24,353,0.307779025543,0.883144475921,2.11914057313,3.35481904638,0.344701025143,0.595192705788,0.709473199588
development,C8_ONLINE_FULL,25,352,0.341075559319,0.878551136364,2.39617037406,3.68437772987,0.379795952341,0.651154802125,0.778150270814
development,C8_ONLINE_FULL,26,351,0.376441297409,0.874643874644,2.65396945512,4.0570599113,0.41794274552,0.7151615323,0.859231739136
development,C8_ONLINE_FULL,27,350,0.418635749636,0.872857142857,2.97088937036,4.52972632863,0.45927519164,0.788733422116,0.955095990725
