outer_days,strategy,part,station,days,rmse_mm,mae_mm,crps_mm,coverage_80,width_80_mm,interval_score_80_mm,coverage_90,width_90_mm,interval_score_90_mm,coverage_95,width_95_mm,interval_score_95_mm
432,P0,train,ATU1,402,9.663759325541799,7.424712228000846,9.876802056175642,1.0,97.89694309558229,97.89694309558229,1.0,125.64936665749913,125.64936665749913,1.0,149.72045475197956,149.72045475197956
432,P0,train,ATU5,402,4.005363489196314,2.893415141871011,12.37086946393099,1.0,134.3449837170556,134.3449837170556,1.0,172.42992052549423,172.42992052549423,1.0,205.46292274035827,205.46292274035827
432,P0,train,MJ3,402,6.545388968296211,5.642903753780936,6.172962837778656,1.0,59.75862724224088,59.75862724224088,1.0,76.69936800762032,76.69936800762032,1.0,91.39293386645171,91.39293386645171
432,P0,train,MJ1,402,8.277645765670897,6.927245936145315,5.3145446776883505,0.3781094527363184,10.537824789370815,38.569799138466614,0.48507462686567165,13.52515174492545,52.60468290791045,0.5895522388059702,16.116212311357582,70.3668259468702
432,P0,prediction,ATU1,180,55.386000418770955,54.513970896972424,36.03956067232512,0.16666666666666666,97.8969430955823,168.29153845489765,0.9444444444444444,125.6493666574992,140.75374258175128,0.9666666666666667,149.72045475197956,159.11091435770655
432,P0,prediction,ATU5,180,140.06419011407704,134.6063919201048,106.70341561410947,0.06666666666666667,134.34498371705558,831.0425103555029,0.13333333333333333,172.42992052549423,1223.9961002212544,0.17222222222222222,205.4629227403582,1748.5565414047974
432,P0,prediction,MJ3,180,14.720515018928182,12.545990697413949,8.931087249357883,1.0,59.75862724224062,59.75862724224062,1.0,76.69936800761951,76.69936800761951,1.0,91.39293386645186,91.39293386645186
432,P0,prediction,MJ1,180,21.877992443612733,18.144087691792183,16.371228819011314,0.23333333333333334,10.537824789370836,148.55283286270986,0.25555555555555554,13.52515174492547,266.9179650094598,0.2722222222222222,16.116212311357604,484.6858662505409
432,IN,train,ATU1,402,13.411432336685806,11.05170803115763,10.950587022593197,1.0,100.6409325351783,100.6409325351783,1.0,129.28280456997996,129.28280456997996,1.0,154.18866235699124,154.18866235699124
432,IN,train,ATU5,402,17.66364470839233,14.198453719091265,15.151577626602483,1.0,141.90412563984967,141.90412563984967,1.0,182.16001848508574,182.16001848508574,1.0,217.09236708283706,217.09236708283706
432,IN,train,MJ3,402,6.180715322470607,5.403550491977802,6.2058640825056575,1.0,61.07412967176632,61.07412967176632,1.0,78.43924954673253,78.43924954673253,1.0,93.53113918714126,93.53113918714126
432,IN,train,MJ1,402,6.783934586300537,5.600119751054002,4.118166154864968,0.5298507462686567,11.170639434535502,27.775388001479225,0.6517412935323383,14.230472649473088,34.76710898113651,0.7935323383084577,16.853723329466586,44.297118509162104
432,IN,prediction,ATU1,180,68.37213375813782,67.26273509575884,47.027109750980465,0.044444444444444446,100.652562708667,280.8689781075898,0.3611111111111111,129.29932253024134,253.4102077394778,0.9666666666666667,154.2103874704845,163.75979064575444
432,IN,prediction,ATU5,180,159.10659597973,151.53701486754207,122.06817549473811,0.07777777777777778,142.42285537030983,971.0696113667635,0.15,182.82083101888432,1488.4239340254364,0.18888888888888888,217.8731840487276,2249.2730244982795
432,IN,prediction,MJ3,180,7.3848042573448875,6.235945592095648,6.428794984312751,1.0,60.65513065230456,60.65513065230456,1.0,77.91859753416949,77.91859753416949,1.0,92.93291234659215,92.93291234659215
432,IN,prediction,MJ1,180,15.62947497278031,12.649763122810933,10.690707395004077,0.3,12.084232354297056,89.17520788324326,0.35555555555555557,15.273650775671738,147.60070364348186,0.4222222222222222,17.975164305576826,249.56004983325766
432,OOF,train,ATU1,402,16.611082672520926,13.238619616489425,9.477197995478157,0.7437810945273632,37.556138015553536,59.04286045704182,0.818407960199005,48.20446230085099,66.9050642925122,0.9203980099502488,57.44296756220066,71.53073846889863
432,OOF,train,ATU5,402,19.876515189162618,14.834121973034124,11.268340929109847,0.818407960199005,61.411983711241064,73.21136426407675,0.9676616915422885,79.06151735949203,81.31671913801911,1.0,94.50178230102657,94.50178230102657
432,OOF,train,MJ3,402,19.75852111937552,13.933085519535531,10.834692269615331,0.8233830845771144,50.989782003522976,75.64719924138349,0.8681592039800995,65.49421255893172,93.47550653482625,0.8855721393034826,78.10236417146893,103.28059214055763
432,OOF,train,MJ1,402,13.62243213061045,10.028617469175769,8.55059091249507,0.9751243781094527,63.87091915212127,64.03035753829278,1.0,82.340305971329,82.340305971329,1.0,98.58445379538264,98.58445379538264
432,OOF,prediction,ATU1,180,44.56832468707868,43.35952586015898,35.33104482232138,0.03888888888888889,37.49639437132627,287.03288196212793,0.05,48.12780098631138,446.52523583248046,0.05555555555555555,57.352769410487014,680.6419609219672
432,OOF,prediction,ATU5,180,132.31162844214944,123.62401174679216,110.69305046216206,0.06666666666666667,61.03736197999909,1000.3039453402818,0.07777777777777778,78.57071973873947,1792.8440912453539,0.08888888888888889,93.90756631624673,3237.7623367920633
432,OOF,prediction,MJ3,180,25.903768049339003,25.009337716555965,16.221677775946524,0.4888888888888889,50.39956766642521,78.05119691116195,0.8555555555555555,64.75420778580157,76.07369727207784,1.0,77.24193376919708,77.24193376919708
432,OOF,prediction,MJ1,180,29.680484576971327,28.667754316069143,18.14499379643837,0.6722222222222223,63.83864026998746,83.66461346790162,0.9111111111111111,82.28600482303435,89.29791380332193,1.0,98.50574427389755,98.50574427389755
612,P0,train,ATU1,582,8.205017090481682,6.205121246043955,13.425116522208764,1.0,141.96003093320132,141.96003093320132,1.0,182.2037273819287,182.2037273819287,1.0,217.10913195809985,217.10913195809985
