Date,MJ1/mm,MJ3/mm,ATU5/mm,ATU1/mm,Rainfall/mm,RWL/m
2016-07-01,673.7466666666666,944.5426666666664,0.0,0.0,77.216,150.2
2016-07-02,673.9429336688377,944.7410729376892,1.633218549545173,0.9193421171762404,0.0,152.28
2016-07-03,674.1392824027828,944.9395475700554,3.265307346058913,1.83782592676529,0.0,153.28
2016-07-04,674.3357946002761,945.1381589251092,4.895136636509791,2.75459312117996,0.0,153.52
2016-07-05,674.5325519930916,945.3369753641944,6.521576667866374,3.668785392833059,0.0,152.7
2016-07-06,674.7296363130034,945.5360652486548,8.14349768709723,4.579544434137397,0.0,151.52
2016-07-07,674.9271292917855,945.7354969398336,9.759769941170932,5.486011937505785,0.0,150.56
2016-07-08,675.1251126612119,945.9353387990748,11.36926367705604,6.38732959535103,0.0,150.83
2016-07-09,675.3236681530568,946.1356591877222,12.97084914172113,7.282639100085945,0.0,151.79
2016-07-10,675.5228774990943,946.3365264671196,14.56339658213477,8.171082144123337,0.0,152.28
2016-07-11,675.7228224310983,946.5380089986108,16.14577624526553,9.051800419876018,0.0,152.47
2016-07-12,675.923584680843,946.7401751435392,17.71685837808197,9.923935619756795,0.7619999999999999,152.59
2016-07-13,676.1252459801024,946.9430932632488,19.27551322755266,10.78662943617848,3.556,152.73
2016-07-14,676.3278880606506,947.1468317190836,20.82061104064617,11.63902356155389,84.582,152.87
2016-07-15,676.5315926542615,947.3514588723868,22.35102206433108,12.48025968829582,84.836,153.6
2016-07-16,676.7364414927096,947.5570430845024,23.86561654557594,13.30947950881709,0.0,154.89
2016-07-17,676.9425163077685,947.7636527167742,25.36326473134933,14.1258247155305,0.0,156.03
2016-07-18,677.1498988312125,947.971356130546,26.84283686861982,14.92843700084887,0.0,156.45
2016-07-19,677.3586707948156,948.1802216871612,28.30320320435596,15.71645805718501,23.622,156.39
2016-07-20,677.5689139303518,948.390317747964,29.74323398552635,16.48902957695172,0.0,157.41
2016-07-21,677.7807099695951,948.6017126742976,31.16179945909953,17.24529325256182,0.0,159.22
2016-07-22,677.9941406443199,948.8144748275064,32.55776987204408,17.98439077642812,0.0,159.87
2016-07-23,678.2092876863001,949.0286725689336,33.93001547132857,18.70546384096342,0.0,159.55
2016-07-24,678.4262328273096,949.2443742599232,35.27740650392158,19.40765413858054,0.0,158.86
2016-07-25,678.6450577991227,949.4616482618188,36.59881321679165,20.09010336169228,0.0,158.2
2016-07-26,678.8658443335132,949.6805629359644,37.89310585690736,20.75195320271146,0.0,157.73
2016-07-27,679.0886741622555,949.9011866437032,39.15915467123729,21.39234535405088,0.0,157.16
2016-07-28,679.3136290171234,950.1235877463796,40.39582990675,22.01042150812335,20.32,156.65
2016-07-29,679.540790629891,950.3478346053372,41.60200181041405,22.60532335734169,0.508,156.44
2016-07-30,679.7702407323326,950.5739955819192,42.77654062919802,23.17619259411871,0.0,156.13
2016-07-31,680.0020610562219,950.8021390374702,43.91831661007049,23.72217091086721,0.0,155.56
2016-08-01,680.2363333333333,951.0323333333332,45.0262,24.2424,0.0,154.76
2016-08-02,680.4730575636665,951.2645784695084,46.09938237362321,24.73634584117537,0.0,153.86
2016-08-03,680.7119068201256,951.498601000621,47.138340616249,25.20477156303351,0.0,153.0
2016-08-04,680.9524724438398,951.7340591199522,48.14387294085437,25.6487645814601,0.254,152.31
2016-08-05,681.1943457759392,951.9706110207834,49.11677756041625,26.06941231234078,15.494,151.49
2016-08-06,681.4371181575533,952.2079148963956,50.05785268791163,26.46780217156124,18.796,151.05
2016-08-07,681.6803809298119,952.4456289400704,50.96789653631748,26.84502157500714,27.178,150.67
2016-08-08,681.9237254338444,952.6834113450886,51.84770731861077,27.20215793856415,32.766,150.37
2016-08-09,682.1667430107806,952.9209203047322,52.69808324776847,27.54029867811793,34.036,149.79
2016-08-10,682.4090250017504,953.157814012282,53.51982253676753,27.86053120955416,35.052,149.05
2016-08-11,682.6501627478831,953.3937506610196,54.31372339858495,28.16394294875849,0.0,148.33
2016-08-12,682.8897475903087,953.6283884442256,55.08058404619767,28.45162131161661,0.0,148.47
2016-08-13,683.1273708701567,953.8613855551824,55.82120269258267,28.72465371401417,0.0,148.4
2016-08-14,683.3626239285568,954.09240018717,56.53637755071694,28.98412757183684,0.0,148.05
2016-08-15,683.5950981066387,954.3210905334709,57.22690683357741,29.23113030097029,0.0,147.43
2016-08-16,683.824384745532,954.5471147873654,57.89358875414108,29.46674931730018,0.0,146.75
2016-08-17,684.0500751863666,954.7701311421356,58.5372215253849,29.6920720367122,0.0,146.85
2016-08-18,684.271760770272,954.9897977910624,59.15860336028584,29.90818587509199,0.0,146.95
2016-08-19,684.4890328383776,955.2057729274268,59.75853247182089,30.11617824832524,0.0,146.79
2016-08-20,684.7014827318137,955.4177147445106,60.337807072967,30.3171365722976,0.0,146.6
2016-08-21,684.9087017917095,955.6252814355948,60.89722537670114,30.51214826289475,0.0,146.6
2016-08-22,685.1102813591949,955.8281311939606,61.43758559600028,30.70230073600234,0.0,146.62
2016-08-23,685.3058127753994,956.0259222128896,61.95968594384139,30.88868140750606,0.0,146.49
2016-08-24,685.4948873814528,956.2183126856628,62.46432463320144,31.07237769329157,0.0,146.45
2016-08-25,685.6770965184846,956.404960805562,62.9522998770574,31.25447700924452,5.08,146.52
2016-08-26,685.8520315276248,956.5855247658678,63.42440988838624,31.4360667712506,0.0,146.67
2016-08-27,686.0192837500028,956.7596627598618,63.88145288016495,31.61823439519547,0.0,146.95
2016-08-28,686.1784445267484,956.9270329808252,64.32422706537044,31.80206729696479,0.0,147.31
2016-08-29,686.3291051989913,957.0872936220396,64.75353065697973,31.98865289244424,1.016,147.44
2016-08-30,686.4708571078611,957.2401028767858,65.17016186796978,32.17907859751948,3.302,147.53
2016-08-31,686.6032915944874,957.3851189383456,65.57491891131754,32.37443182807618,5.334,147.71
2016-09-01,686.726,957.5219999999998,65.9686,32.5758,0.0,147.76
2016-09-02,686.8387126775118,957.6505206144534,66.35188151550868,32.78399595600305,0.0,147.65
2016-09-03,686.9417160280692,957.7709207721044,66.72495251339335,32.99873424610315,0.0,147.63
2016-09-04,687.0354354647013,957.8835568227744,67.08788021771834,33.21945484714457,0.0,147.4
2016-09-05,687.1202964004384,957.988785116285,67.44073185254798,33.44559773597155,1.016,147.25
2016-09-06,687.1967242483091,958.0869620024578,67.78357464194661,33.67660288942835,0.0,146.91
2016-09-07,687.2651444213436,958.178443831114,68.11647580997857,33.91191028435925,0.0,146.49
2016-09-08,687.325982332571,958.2635869520756,68.43950258070815,34.1509598976085,0.0,146.25
2016-09-09,687.3796633950211,958.342747715164,68.75272217819972,34.39319170602035,2.54,146.39
2016-09-10,687.4266130217234,958.4162824702008,69.05620182651761,34.63804568643906,2.286,146.7
2016-09-11,687.4672566257074,958.4845475670072,69.35000874972613,34.88496181570889,0.0,147.67
2016-09-12,687.5020196200023,958.5478993554052,69.63421017188959,35.13338007067412,0.0,148.81
2016-09-13,687.5313274176382,958.6066941852162,69.90887331707238,35.38274042817898,0.0,149.52
2016-09-14,687.5556054316442,958.6612884062616,70.1740654093388,35.63248286506773,0.508,150.0
2016-09-15,687.5752790750499,958.7120383683632,70.42985367275318,35.88204735818464,0.508,150.28
2016-09-16,687.590773760885,958.7593004213423,70.67630533137985,36.13087388437398,0.0,150.53
2016-09-17,687.6025149021789,958.8034309150208,70.91348760928314,36.37840242047999,0.0,150.86
2016-09-18,687.610927911961,958.8447861992198,71.14146773052738,36.62407294334693,0.0,150.95
2016-09-19,687.6164382032609,958.8837226237612,71.36031291917692,36.86732542981907,0.254,151.05
2016-09-20,687.6194711891083,958.9205965384664,71.57009039929606,37.10759985674066,0.0,151.3
2016-09-21,687.6204522825326,958.9557642931568,71.77086739494916,37.34433620095596,0.508,151.65
2016-09-22,687.6198068965633,958.9895822376544,71.96271113020055,37.57697443930923,0.508,152.84
2016-09-23,687.61796044423,959.0224067217804,72.14568882911453,37.80495454864472,0.508,154.59
2016-09-24,687.6153383385621,959.0545940953564,72.31986771575544,38.02771650580671,19.05,156.23
2016-09-25,687.6123659925892,959.086500708204,72.48531501418765,38.24470028763945,23.114,157.54
2016-09-26,687.6094688193408,959.1184829101448,72.64209794847544,38.45534587098718,23.622,158.91
2016-09-27,687.6070722318465,959.150897051,72.79028374268316,38.65909323269418,29.21,160.19
2016-09-28,687.6056016431356,959.1840994805918,72.92993962087515,38.8553823496047,32.512,161.14
2016-09-29,687.6054824662381,959.2184465487412,73.06113280711573,39.04365319856301,0.0,161.71
2016-09-30,687.6071401141829,959.25429460527,73.18393052546924,39.22334575641336,0.0,162.01
2016-10-01,687.611,959.2919999999998,73.2984,39.3939,0.0,162.54
2016-10-02,687.6173986501444,959.3318430748432,73.40464925503856,39.55492041587354,0.0,163.24
