outer_days,strategy,seed,station,part,rmse_mm,mae_mm
432,P0,0,ATU1,train,9.663759325541799,7.424712228000846
432,P0,0,ATU1,prediction,55.386000418770955,54.513970896972424
432,P0,0,ATU5,train,4.005363489196314,2.893415141871011
432,P0,0,ATU5,prediction,140.06419011407704,134.6063919201048
432,P0,0,MJ3,train,6.545388968296211,5.642903753780936
432,P0,0,MJ3,prediction,14.720515018928182,12.545990697413949
432,P0,0,MJ1,train,8.277645765670897,6.927245936145315
432,P0,0,MJ1,prediction,21.877992443612733,18.144087691792183
432,IN,0,ATU1,train,13.775832559782428,11.581590513875398
432,IN,0,ATU1,prediction,67.32426318777682,66.30681389611028
432,IN,0,ATU5,train,18.06378203966604,14.675591268208105
432,IN,0,ATU5,prediction,163.57218064972554,155.32823335507877
432,IN,0,MJ3,train,6.446139943317,5.6777769025551095
432,IN,0,MJ3,prediction,8.793580770699643,7.442350888478668
432,IN,0,MJ1,train,6.904746537480108,5.7446900471686275
432,IN,0,MJ1,prediction,12.882411042776338,10.339837601678878
432,IN,1,ATU1,train,13.296129094637353,10.923870016466175
432,IN,1,ATU1,prediction,68.30495938781462,67.16067026396935
432,IN,1,ATU5,train,18.678383244215205,15.399548145064099
432,IN,1,ATU5,prediction,153.3205251398188,145.95695898472295
432,IN,1,MJ3,train,8.57195732245055,7.279178705374639
432,IN,1,MJ3,prediction,6.373094564099065,5.314955413261984
432,IN,1,MJ1,train,7.674115533209741,6.618660812250977
432,IN,1,MJ1,prediction,17.433025093954523,14.892120221373634
432,IN,2,ATU1,train,13.394705965155385,11.052048717943267
432,IN,2,ATU1,prediction,69.52490489668045,68.32072112719689
432,IN,2,ATU5,train,16.625764699656525,13.17599006756702
432,IN,2,ATU5,prediction,160.51160227749438,153.33397392155535
432,IN,2,MJ3,train,6.189398286316869,5.109132511376624
432,IN,2,MJ3,prediction,7.866524716927174,6.208910266917912
432,IN,2,MJ1,train,6.626982089999148,5.255091195014748
432,IN,2,MJ1,prediction,16.862685588075472,13.681439579078427
432,OOF,0,ATU1,train,17.77452385632163,13.758691843314503
432,OOF,0,ATU1,prediction,43.25867962599847,42.1227386750751
432,OOF,0,ATU5,train,21.360812859789455,15.991228978502681
432,OOF,0,ATU5,prediction,133.54416350583514,124.15703323605455
432,OOF,0,MJ3,train,19.93025490698302,14.661822815405651
432,OOF,0,MJ3,prediction,27.056433592220014,26.17970412575747
432,OOF,0,MJ1,train,12.78956420964828,10.339787239260524
432,OOF,0,MJ1,prediction,28.16357072366753,27.143763519612552
432,OOF,1,ATU1,train,17.419573846527804,13.86193754234966
432,OOF,1,ATU1,prediction,44.35403334361266,43.005426528486836
432,OOF,1,ATU5,train,22.16330375116395,17.177686371111434
432,OOF,1,ATU5,prediction,130.17900028379296,122.04510173567542
432,OOF,1,MJ3,train,21.91998542086496,15.915028368198255
432,OOF,1,MJ3,prediction,24.996562432436857,24.34102890562606
432,OOF,1,MJ1,train,15.02355967401901,11.468337802117937
432,OOF,1,MJ1,prediction,29.873048509266173,29.028042853533012
432,OOF,2,ATU1,train,15.385990971945319,12.320917424581404
432,OOF,2,ATU1,prediction,46.33263777791963,44.96776090765436
432,OOF,2,ATU5,train,16.887560729165152,11.583395132821622
432,OOF,2,ATU5,prediction,133.28283475606054,124.66990026864656
432,OOF,2,MJ3,train,18.307415965758484,11.989644579299902
432,OOF,2,MJ3,prediction,25.897092835074897,24.507280118284346
432,OOF,2,MJ1,train,14.11318876226238,9.653031456081855
432,OOF,2,MJ1,prediction,31.406683010353923,29.831456575061868
612,P0,0,ATU1,train,8.205017090481682,6.205121246043955
612,P0,0,ATU1,prediction,4.264416212270162,2.9570455475789585
612,P0,0,ATU5,train,9.456274591068324,7.908746182511195
612,P0,0,ATU5,prediction,5.021708368573075,4.3470540930039006
612,P0,0,MJ3,train,5.607264439348578,4.851707010023789
612,P0,0,MJ3,prediction,61.04552849517042,50.59326022797686
612,P0,0,MJ1,train,5.503248859314611,3.9236001083898824
612,P0,0,MJ1,prediction,18.647526258184858,15.311142958359284
612,IN,0,ATU1,train,12.86858370093109,11.142536442540038
612,IN,0,ATU1,prediction,10.253941590839005,8.580116923431907
612,IN,0,ATU5,train,11.035691126564826,9.065151737745838
612,IN,0,ATU5,prediction,8.701105031764229,7.630638376952303
612,IN,0,MJ3,train,9.752599321416644,8.563970391355681
612,IN,0,MJ3,prediction,56.221614627293455,44.75963305251441
612,IN,0,MJ1,train,7.204911037998957,4.951277243179522
612,IN,0,MJ1,prediction,17.129180446840564,14.886796696245405
612,IN,1,ATU1,train,10.192358758890178,8.283954579270365
612,IN,1,ATU1,prediction,11.10003509397795,9.572072219301356
612,IN,1,ATU5,train,10.506507723702892,8.69350270055398
612,IN,1,ATU5,prediction,7.654041246277843,6.264651789590948
612,IN,1,MJ3,train,6.4024866574940935,5.326205186123426
612,IN,1,MJ3,prediction,57.341831669451174,46.294050129472474
612,IN,1,MJ1,train,6.786233383265476,5.80716187410482
612,IN,1,MJ1,prediction,19.15001544524948,16.09591400809474
612,IN,2,ATU1,train,12.421992009158004,9.80447101215079
612,IN,2,ATU1,prediction,8.049068065669474,7.047086182016503
612,IN,2,ATU5,train,11.979719034361386,9.743600005570801
612,IN,2,ATU5,prediction,8.98729371480403,7.672933538433711
612,IN,2,MJ3,train,8.766136854944035,7.447295769743865
612,IN,2,MJ3,prediction,55.12727104145011,44.3447953940186
612,IN,2,MJ1,train,6.347422363495458,5.24458013547244
612,IN,2,MJ1,prediction,17.980826520256187,15.701729641097513
612,OOF,0,ATU1,train,21.135119253688647,15.23085102160932
612,OOF,0,ATU1,prediction,42.95475551577113,38.34034405611441
612,OOF,0,ATU5,train,18.03116914863255,14.200645261358584
612,OOF,0,ATU5,prediction,21.003094383989875,18.47177466418229
612,OOF,0,MJ3,train,10.513848015048643,8.082611977353853
612,OOF,0,MJ3,prediction,76.57405723945783,62.88691073750523
612,OOF,0,MJ1,train,6.701217814538643,5.292084063441433
612,OOF,0,MJ1,prediction,22.412742268661184,18.84328739563068
612,OOF,1,ATU1,train,24.037583291546596,18.264151521739105
612,OOF,1,ATU1,prediction,46.60311896684777,41.41425897340441
612,OOF,1,ATU5,train,22.337470371318208,16.349848845388685
612,OOF,1,ATU5,prediction,35.85477720106057,33.68011521265726
612,OOF,1,MJ3,train,14.068742261002459,10.304451156730078
612,OOF,1,MJ3,prediction,89.8990885109813,78.0157826661409
612,OOF,1,MJ1,train,6.73748811654569,5.608719351386343
612,OOF,1,MJ1,prediction,24.395956650643,18.77067794362089
612,OOF,2,ATU1,train,23.812312084110847,18.021548960311584
