outer_days,strategy,seed,max_abs_correction_mm,max_abs_daily_correction_change_mm,negative_prediction_increment_fraction
432,P0,0,0.0,0.0,0.008333333333333333
432,IN,0,32.36874803636351,4.71162558605522,0.23333333333333334
432,IN,1,30.312578251379968,9.651189407410207,0.21944444444444444
432,IN,2,30.669248601118397,5.428363878115746,0.27361111111111114
432,OOF,0,46.10598146406261,8.652424465261845,0.36527777777777776
432,OOF,1,43.2189281733354,8.719887259745917,0.36527777777777776
432,OOF,2,42.85596635594311,12.606807959353404,0.32222222222222224
612,P0,0,0.0,0.0,0.08055555555555556
612,IN,0,20.026818438479783,10.288251097664656,0.3416666666666667
612,IN,1,16.54971054561392,10.500927755635303,0.25277777777777777
612,IN,2,20.51972150811767,8.831659273170175,0.25972222222222224
612,OOF,0,69.15463292143227,15.117035902095566,0.40555555555555556
612,OOF,1,84.70472511688078,23.553913549100173,0.375
612,OOF,2,65.77003877762198,16.021693648650512,0.32916666666666666
