outer_days,strategy,seed,epoch,loss,gradient_norm,elapsed_seconds
432,IN,0,1,0.022657576450818246,0.2014245457280473,3.9099639169871807
432,IN,0,2,0.022238564506078022,0.19704996033898384,3.996491167228669
432,IN,0,3,0.021771196523804784,0.19454621575519382,4.104524666909128
432,IN,0,4,0.021245685270971572,0.1919331545344846,4.205428666900843
432,IN,0,5,0.020659244473803785,0.18904041668998345,4.293416624888778
432,IN,0,6,0.020010254638549982,0.18574296783908248,4.374268291983753
432,IN,0,7,0.019298308654946993,0.18189886108539247,4.464138542301953
432,IN,0,8,0.01852477100401235,0.1773317330485564,4.561117458157241
432,IN,0,9,0.017693399847275956,0.171820334647305,4.641081583220512
432,IN,0,10,0.016810983711914116,0.16510691661982851,4.71813500020653
432,IN,0,11,0.015887968222092805,0.15690981194669326,4.797297582961619
432,IN,0,12,0.014938811682553918,0.14694798679223936,4.874751792289317
432,IN,0,13,0.01398198308944413,0.1349909043791853,4.948277208022773
432,IN,0,14,0.013039068992190078,0.12094747882991354,5.022002958226949
432,IN,0,15,0.012133163695383812,0.1049895193325835,5.095557250082493
432,IN,0,16,0.01128620596155534,0.08777305048291797,5.156941708177328
432,IN,0,17,0.010515066390304032,0.07085267979352683,5.215449250303209
432,IN,0,18,0.009826291186125618,0.057304712542620255,5.2751695001497865
432,IN,0,19,0.009211413695805562,0.05147584867989452,5.334473458118737
432,IN,0,20,0.008645449414366634,0.0548586684716409,5.393388458061963
432,IN,0,21,0.008091211458376438,0.06309168099547713,5.452488332986832
432,IN,0,22,0.0075096600259233455,0.07094554407945654,5.509296667296439
432,IN,0,23,0.006871885083128145,0.07551363398162611,5.560698667075485
432,IN,0,24,0.0061694789090977415,0.07587582936773841,5.613298167008907
432,IN,0,25,0.005427414227197479,0.07234795467393867,5.666429083328694
432,IN,0,26,0.004707607537569618,0.0663318438544697,5.724309583194554
432,IN,0,27,0.004065959296550333,0.06001188741285053,5.7830770830623806
432,IN,0,28,0.0035287548355090624,0.05471012427173787,5.841911416966468
432,IN,0,29,0.0031024493900735886,0.05075234916581386,5.9017566670663655
432,IN,0,30,0.002775538315559728,0.04776835544941035,5.959817999973893
432,IN,0,31,0.0025261510252935606,0.04506905660847891,6.017476917244494
432,IN,0,32,0.002328392548950477,0.04190770924041914,6.070142917335033
432,IN,0,33,0.002156969722139906,0.037583425736151185,6.121389583218843
432,IN,0,34,0.0019940835229851584,0.031628252011132625,6.17201791703701
432,IN,0,35,0.0018359509325244646,0.024375332328472457,6.224321958143264
432,IN,0,36,0.0016922900743496358,0.018447860099282207,6.273331167176366
432,IN,0,37,0.0015761120380645172,0.019615222741477093,6.32350066723302
432,IN,0,38,0.0014906280829326275,0.027545257515647733,6.3770939582027495
432,IN,0,39,0.001423776141131055,0.036283652350345585,6.435584708116949
432,IN,0,40,0.0013541615936851399,0.042383187254829646,6.486267041880637
432,IN,0,41,0.0012633765110514018,0.044421598047730305,6.539997250307351
432,IN,0,42,0.0011457890999408563,0.042222660262260764,6.592254958115518
432,IN,0,43,0.0010102229309591406,0.03648087616127035,6.645156667102128
432,IN,0,44,0.0008742012696433115,0.028476502324836065,6.703702125232667
432,IN,0,45,0.0007551054035266498,0.019943981598575123,6.7622422920539975
432,IN,0,46,0.0006632556159623524,0.013419465817905698,6.8209864581003785
432,IN,0,47,0.0005998586970308606,0.012331441442097375,6.878414750099182
432,IN,0,48,0.0005591762028278507,0.01569268601818971,6.9355998751707375
432,IN,0,49,0.0005324866812781168,0.019414729946202514,6.993083083070815
432,IN,0,50,0.0005118051561614619,0.02176877018898246,7.048568707890809
432,IN,0,51,0.0004921789795887787,0.022350984643681366,7.1020523752085865
432,IN,0,52,0.0004722098724751306,0.021232158215259398,7.156835542060435
432,IN,0,53,0.0004531704145441849,0.018714614030657717,7.21062987530604
432,IN,0,54,0.0004374267791945021,0.015267954529993123,7.265883167274296
432,IN,0,55,0.00042685835292443047,0.011558528067516016,7.322695042006671
432,IN,0,56,0.00042178461294151864,0.0086010182338251,7.375456292182207
432,IN,0,57,0.0004206795610037887,0.007694806164283821,7.430951500311494
432,IN,0,58,0.0004206788760041249,0.008842249989684138,7.488933792337775
432,IN,0,59,0.00041860318933556554,0.010514638290403652,7.541943792253733
432,IN,0,60,0.00041204537362213414,0.011661126016719852,7.597551832906902
