model,component,station,metric,value,valid_days,mask_sha256,unit,status
M1,mixture,ATU1,picp_80,0.9283276450511946,293,59a810e3912d7811629873ef32d42e8d0da1912706ec164cfd5659f86baf2071,fraction,valid
M1,mixture,ATU5,picp_80,0.7201365187713311,293,59a810e3912d7811629873ef32d42e8d0da1912706ec164cfd5659f86baf2071,fraction,valid
M1,mixture,MJ3,picp_80,0.689419795221843,293,59a810e3912d7811629873ef32d42e8d0da1912706ec164cfd5659f86baf2071,fraction,valid
M1,mixture,MJ1,picp_80,1.0,293,59a810e3912d7811629873ef32d42e8d0da1912706ec164cfd5659f86baf2071,fraction,valid
M1,mixture,four_point_mean,picp_80,0.8344709897610922,293,59a810e3912d7811629873ef32d42e8d0da1912706ec164cfd5659f86baf2071,fraction,valid
M1,mixture,ATU1,width_80,22.631270075379394,293,59a810e3912d7811629873ef32d42e8d0da1912706ec164cfd5659f86baf2071,mm,valid
M1,mixture,ATU5,width_80,22.63127007537893,293,59a810e3912d7811629873ef32d42e8d0da1912706ec164cfd5659f86baf2071,mm,valid
M1,mixture,MJ3,width_80,22.6312700753795,293,59a810e3912d7811629873ef32d42e8d0da1912706ec164cfd5659f86baf2071,mm,valid
M1,mixture,MJ1,width_80,22.63127007537912,293,59a810e3912d7811629873ef32d42e8d0da1912706ec164cfd5659f86baf2071,mm,valid
M1,mixture,four_point_mean,width_80,22.631270075379238,293,59a810e3912d7811629873ef32d42e8d0da1912706ec164cfd5659f86baf2071,mm,valid
M1,mixture,ATU1,interval_score_80,31.597295934570916,293,59a810e3912d7811629873ef32d42e8d0da1912706ec164cfd5659f86baf2071,mm,valid
M1,mixture,ATU5,interval_score_80,25.392853042699013,293,59a810e3912d7811629873ef32d42e8d0da1912706ec164cfd5659f86baf2071,mm,valid
M1,mixture,MJ3,interval_score_80,55.565534933641224,293,59a810e3912d7811629873ef32d42e8d0da1912706ec164cfd5659f86baf2071,mm,valid
M1,mixture,MJ1,interval_score_80,22.63127007537912,293,59a810e3912d7811629873ef32d42e8d0da1912706ec164cfd5659f86baf2071,mm,valid
M1,mixture,four_point_mean,interval_score_80,33.796738496572566,293,59a810e3912d7811629873ef32d42e8d0da1912706ec164cfd5659f86baf2071,mm,valid
M1,mixture,ATU1,picp_90,0.9385665529010239,293,59a810e3912d7811629873ef32d42e8d0da1912706ec164cfd5659f86baf2071,fraction,valid
M1,mixture,ATU5,picp_90,1.0,293,59a810e3912d7811629873ef32d42e8d0da1912706ec164cfd5659f86baf2071,fraction,valid
M1,mixture,MJ3,picp_90,0.726962457337884,293,59a810e3912d7811629873ef32d42e8d0da1912706ec164cfd5659f86baf2071,fraction,valid
M1,mixture,MJ1,picp_90,1.0,293,59a810e3912d7811629873ef32d42e8d0da1912706ec164cfd5659f86baf2071,fraction,valid
