phase,model,horizon,point,n,mae,rmse,crps,coverage80,width80,interval_score80,coverage90,width90,interval_score90,coverage95,width95,interval_score95
inner,B_ANCHOR,3,MJ3,178,1.60826758501648,1.76070173092427,1.10060210216821,0.443820224719101,3.3930891514869,6.34773647468359,0.606741573033708,4.35498277825534,7.31566508380658,0.792134831460674,5.18928204845336,8.40289406728757
inner,B_ANCHOR,3,MJ1,178,0.767270861859579,0.868107507610117,0.54558690970693,0.612359550561798,1.94742935267833,3.37425352510847,0.792134831460674,2.49949851422754,4.36575449616002,0.848314606741573,2.97833617960092,6.01873911227112
inner,B_ANCHOR,4,ATU1,177,0.818361940156219,1.27003700125179,0.696669592689559,0.700564971751412,2.73466224681686,5.72799564264603,0.706214689265537,3.50990099508987,8.51725231588357,0.72316384180791,4.18230499477775,12.6535421594144
inner,B_ANCHOR,4,ATU5,177,0.838724554735111,0.988018380847396,0.601535499848036,0.655367231638418,2.09684465352325,4.02464494043122,0.717514124293785,2.69127097670538,5.44653315447315,0.76271186440678,3.20684716290326,7.07486411757389
inner,B_ANCHOR,4,MJ3,177,2.1378718554652,2.34276347177285,1.47012629274402,0.418079096045198,4.45194648149219,8.56056755306852,0.593220338983051,5.71401144827475,9.96186314848093,0.76271186440678,6.80866459018878,11.5040590868771
inner,B_ANCHOR,4,MJ1,177,1.02884872634806,1.16224611278313,0.733583896061587,0.621468926553672,2.5964341889136,4.55013315802815,0.790960451977401,3.33248720347859,5.96147059390107,0.847457627118644,3.97090342309914,8.33056817494597
inner,B_ANCHOR,5,ATU1,176,1.00017821129457,1.53571474144504,0.856702383066007,0.698863636363636,3.31730265424531,7.08984669872487,0.710227272727273,4.25771186211488,10.6171517607477,0.721590909090909,5.07337660297499,15.901223953021
inner,B_ANCHOR,5,ATU5,176,1.04699584802928,1.23866533881934,0.754592520113108,0.659090909090909,2.62704211953493,5.11705852511722,0.715909090909091,3.37177205712753,6.9456957557849,0.75,4.01771421345048,9.04288276507759
inner,B_ANCHOR,5,MJ3,176,2.66139437889587,2.92075032193352,1.83947496191744,0.409090909090909,5.47900809342068,10.8205825073828,0.573863636363636,7.03223075595068,12.723978002441,0.761363636363636,8.37941977742002,14.7614306842347
inner,B_ANCHOR,5,MJ1,176,1.2916111699034,1.45745671453141,0.923207222718364,0.647727272727273,3.24597833741761,5.755816125864,0.789772727272727,4.16616809253271,7.62031019939627,0.846590909090909,4.96429547353574,10.7811236345567
inner,B_ANCHOR,6,ATU1,175,1.17495857246352,1.78565515867756,1.01214862185708,0.697142857142857,3.87235372234494,8.41892819134486,0.708571428571429,4.97011219547096,12.6752785770941,0.72,5.92225395781904,19.0764159702738
inner,B_ANCHOR,6,ATU5,175,1.25502402759787,1.49117533020404,0.908183081670989,0.662857142857143,3.16696434888401,6.23519221611389,0.714285714285714,4.06475473616562,8.4619345376275,0.742857142857143,4.84345400607993,11.0095197574667
inner,B_ANCHOR,6,MJ3,175,3.17819128381823,3.49359320490174,2.20781591250546,0.4,6.47410406743835,13.1185226065914,0.565714285714286,8.30942261153726,15.5667289764548,0.737142857142857,9.90128774018644,18.1263635497995
inner,B_ANCHOR,6,MJ1,175,1.55410832854582,1.7522981648441,1.11335983475629,0.668571428571429,3.89505057016435,6.98888575582467,0.8,4.99924328426976,9.34474053499006,0.845714285714286,5.9569657911035,13.3572657108899
inner,B_ANCHOR,7,ATU1,174,1.34399890633028,2.02190214854593,1.16325973174136,0.701149425287356,4.40494625408383,9.71190982383959,0.706896551724138,5.65368730947403,14.670663068956,0.718390804597701,6.73678394530311,22.1324731369333
inner,B_ANCHOR,7,ATU5,174,1.46493698611955,1.7460586677728,1.06269538443246,0.660919540229885,3.71709171636396,7.3681477612207,0.695402298850575,4.77083556819217,9.98991437310001,0.741379310344828,5.68480121064001,12.9507970205285
inner,B_ANCHOR,7,MJ3,174,3.68968919970151,4.06247225218011,2.5757115323224,0.385057471264368,7.43651314257032,15.4483047246117,0.563218390804598,9.54466128659522,18.4871841281069,0.729885057471264,11.3731654050165,21.6131490682006
inner,B_ANCHOR,7,MJ1,174,1.81736032679002,2.0478113543843,1.30489799172326,0.666666666666667,4.54271950625394,8.25042797468589,0.798850574712644,5.83051736424644,11.1320113148611,0.844827586206897,6.94748995163663,16.0507446312907
inner,DRIFT1,1,ATU1,180,0.0050592495042707,0.0064580544576913,0.0036885071611481,0.777777777777778,0.0169927493317383,0.0246034712803331,0.866666666666667,0.021809957649508,0.0291020436609023,0.916666666666667,0.0259881674557259,0.0330909014939247
inner,DRIFT1,1,ATU5,180,0.009498681506293,0.0116250632745621,0.0070852892784153,0.661111111111111,0.0280687757656602,0.0452711060647611,0.766666666666667,0.036025883673764,0.0583475803240143,0.783333333333333,0.0429274881088746,0.0708573552515506
inner,DRIFT1,1,MJ3,180,0.0015904152591221,0.0022695853432811,0.0012535810978318,0.85,0.0066581474876026,0.0092555699016202,0.883333333333333,0.0085456397840036,0.0117787915800944,0.905555555555556,0.0101827578618819,0.0141474732138199
inner,DRIFT1,1,MJ1,180,0.0058350502438031,0.0079481650929456,0.0044600689085876,0.844444444444444,0.0244070063300683,0.031562574821314,0.905555555555556,0.0313260534842129,0.0371661172357209,0.955555555555556,0.037327295025428,0.0408073332790587
inner,DRIFT1,2,ATU1,179,0.0151996110915069,0.019402673922343,0.0111144118386676,0.776536312849162,0.0515626071137471,0.0743296850776285,0.871508379888268,0.0661798897573686,0.0885068690190069,0.916201117318436,0.0788582025171815,0.102017214165487
inner,DRIFT1,2,ATU5,179,0.0286054455903086,0.0349570765131455,0.0214720816435358,0.653631284916201,0.0851096741796063,0.138369907216753,0.770949720670391,0.10923708419294,0.179578184332791,0.787709497206704,0.130164014162848,0.222004943439742
inner,DRIFT1,2,MJ3,179,0.004690398543458,0.0066666469797622,0.0036925893971972,0.854748603351955,0.0197100162791461,0.0273925021230915,0.88268156424581,0.0252975320194914,0.0350219396921313,0.910614525139665,0.0301438686357905,0.0422662210324172
inner,DRIFT1,2,MJ1,179,0.0173943753522632,0.023696213700092,0.0132855448876906,0.843575418994413,0.0724114757100723,0.0940551004992348,0.905027932960894,0.092939122901394,0.110684633711818,0.955307262569832,0.110743795470159,0.121784714450963
inner,DRIFT1,3,ATU1,178,0.0304445046296714,0.0388568106035556,0.0223154718523143,0.780898876404494,0.10438065474666,0.149428505623815,0.882022471910112,0.133971119976477,0.179116279661112,0.915730337078652,0.159636435619527,0.209092394771217
inner,DRIFT1,3,ATU5,178,0.0574382650815198,0.070069273914723,0.0433632894193523,0.646067415730337,0.172161170883714,0.28166123499723,0.775280898876405,0.220966470614044,0.367580679636873,0.792134831460674,0.263297789601578,0.461372833604269
inner,DRIFT1,3,MJ3,178,0.0092163932365884,0.0130517591575596,0.0072430066834844,0.859550561797753,0.0388225715408358,0.0539179806635633,0.882022471910112,0.0498282311249788,0.0691636441301878,0.904494382022472,0.0593739994964345,0.0838379892233324
inner,DRIFT1,3,MJ1,178,0.0345702515874601,0.0470925251880322,0.0263815540262806,0.842696629213483,0.142901930142884,0.186801129035005,0.898876404494382,0.183412641686403,0.219816799250266,0.955056179775281,0.218549642426824,0.241971726207984
inner,DRIFT1,4,ATU1,177,0.050826252488429,0.064837840242608,0.0373136723317595,0.779661016949153,0.176202848997061,0.250037687060786,0.898305084745763,0.226153908312571,0.301925850201327,0.926553672316384,0.26947900286856,0.355739814240658
inner,DRIFT1,4,ATU5,177,0.0961012173538816,0.117026332253145,0.0729452485919746,0.644067796610169,0.290406899169564,0.47740245545022,0.779661016949153,0.372733219819998,0.625515951377655,0.796610169491525,0.444139025332489,0.795223791441722
inner,DRIFT1,4,MJ3,177,0.0150814270892832,0.0212883305235875,0.0118263724345308,0.858757062146893,0.0635965854459529,0.0882422886026026,0.887005649717514,0.0816253337321248,0.113486320571582,0.909604519774011,0.0972625841714189,0.137784286134471
inner,DRIFT1,4,MJ1,177,0.0572301735024534,0.0779823405279764,0.043659490603173,0.836158192090395,0.234490611597119,0.309357900129126,0.898305084745763,0.300965441689176,0.364189690720781,0.954802259887006,0.358622443138135,0.401710596452903
inner,DRIFT1,5,ATU1,176,0.0763568945401438,0.0973575503567787,0.0561059628573824,0.795454545454545,0.267821649244276,0.375858325162408,0.897727272727273,0.343745365367619,0.456503845658328,0.926136363636364,0.409597866298759,0.541686295458197
inner,DRIFT1,5,ATU5,176,0.144694975728529,0.175884469163029,0.110377937272105,0.636363636363636,0.441136468030499,0.727433718978327,0.784090909090909,0.566192527034348,0.955579445195388,0.801136363636364,0.674660008112553,1.22771826394666
inner,DRIFT1,5,MJ3,176,0.0222234469155376,0.0312427714708661,0.0173648945127674,0.863636363636364,0.0936565212410792,0.129756524283984,0.892045454545455,0.120206843636174,0.167008858213884,0.909090909090909,0.143235288758622,0.202627663493437
inner,DRIFT1,5,MJ1,176,0.0852525985887059,0.116208004477414,0.0650410050279797,0.829545454545455,0.345754596895506,0.461633293054334,0.897727272727273,0.443771220783476,0.543635555396098,0.948863636363636,0.528786024397215,0.600876782865663
inner,DRIFT1,6,ATU1,175,0.107069849683111,0.136422119081684,0.0786570207275535,0.794285714285714,0.38001450976155,0.526515875786757,0.902857142857143,0.487743342898461,0.64214904467345,0.931428571428571,0.581182039615216,0.762465133114777
inner,DRIFT1,6,ATU5,175,0.203363829364866,0.24669153118546,0.155788097928808,0.634285714285714,0.625693178851251,1.03314449796019,0.788571428571429,0.803068500918983,1.35891614549229,0.805714285714286,0.956915140125235,1.76081170522926
inner,DRIFT1,6,MJ3,175,0.0305451831497872,0.0427846730032249,0.0237822482485196,0.868571428571429,0.128644519448852,0.177764059321866,0.885714285714286,0.165113453170304,0.228882233388111,0.908571428571429,0.196744814416483,0.277380300288558
inner,DRIFT1,6,MJ1,175,0.11853415497968,0.161609224215956,0.0904579769665852,0.828571428571429,0.475239342326761,0.643491833972062,0.885714285714286,0.609963092327081,0.760013228372531,0.942857142857143,0.726815853563499,0.840512583344238
inner,DRIFT1,7,ATU1,174,0.143015222631742,0.182032086516687,0.104895699319752,0.804597701149425,0.513513672585509,0.700580524978768,0.908045977011494,0.659087663384429,0.855338699547962,0.925287356321839,0.785351390374054,1.01196327308733
inner,DRIFT1,7,ATU5,174,0.272182879553379,0.329487073666101,0.209265012825292,0.637931034482759,0.845440091114873,1.39558984721308,0.793103448275862,1.08511060938038,1.83560301735195,0.810344827586207,1.29298904095775,2.39424421315101
inner,DRIFT1,7,MJ3,174,0.0399551567296704,0.0557869986661101,0.0310037700374394,0.867816091954023,0.168204035573999,0.23161818130332,0.890804597701149,0.215887542429216,0.298203523853312,0.908045977011494,0.257245873395021,0.360613208738743
inner,DRIFT1,7,MJ1,174,0.156887266512664,0.214023349521085,0.119851930571087,0.82183908045977,0.621433738588731,0.855456138369339,0.879310344827586,0.797601568527854,1.01457598750667,0.931034482758621,0.950400888390636,1.12097194789676
inner,RR_DIRECT,1,ATU1,180,0.0023766472640419,0.002774674798884,0.001721069554575,0.75,0.0083995821948646,0.0109891303251276,0.877777777777778,0.0107807470331718,0.0131166483692172,0.927777777777778,0.0128460524178163,0.0146988076689348
inner,RR_DIRECT,1,ATU5,180,0.002520235680747,0.002921853135854,0.0018371744152337,0.783333333333333,0.0087823980623745,0.011877653730372,0.861111111111111,0.0112720858798222,0.0144655683603421,0.911111111111111,0.0134315187643993,0.0164096074401679
inner,RR_DIRECT,1,MJ3,180,0.0027093358264197,0.0028040019353217,0.0016913687769681,0.822222222222222,0.0081886541305064,0.0090655349526034,1,0.0105100237934746,0.0105100237934746,1,0.0125234657809895,0.0125234657809895
inner,RR_DIRECT,1,MJ1,180,0.0004488045124642,0.0005345380753201,0.0011436352673453,0.838888888888889,0.0109014521165616,0.0112667624177119,0.905555555555556,0.0139918623136737,0.0143612463564169,0.944444444444444,0.0166723322744954,0.0170084061421499
inner,RR_DIRECT,2,ATU1,179,0.0080727581514219,0.009854793104514,0.0059352376482968,0.759776536312849,0.0280360089804379,0.0394842861831722,0.88268156424581,0.035983827960232,0.0489942712513934,0.899441340782123,0.0428773756353379,0.0577617136559568
inner,RR_DIRECT,2,ATU5,179,0.0089302812342137,0.0104611495313018,0.0064927105748642,0.782122905027933,0.0303424004453375,0.0421062921883021,0.871508379888268,0.0389440493576389,0.0525999599633299,0.899441340782123,0.0464046969909391,0.0618823169201438
inner,RR_DIRECT,2,MJ3,179,0.006433495744631,0.0066383766137531,0.0040929138735561,0.815642458100559,0.0213706765741904,0.0235731737282641,0.977653631284916,0.0274289664330024,0.0274941937363105,1,0.0326836293886458,0.0326836293886458
inner,RR_DIRECT,2,MJ1,179,0.001323167559848,0.0016296222577412,0.0033294342393567,0.88268156424581,0.0324565764801566,0.0333031288776957,0.955307262569832,0.0416575649214017,0.0425662190376219,0.966480446927374,0.0496380502141751,0.0508286247690976
inner,RR_DIRECT,3,ATU1,178,0.019621597966038,0.0240965109865398,0.0143257885957458,0.752808988764045,0.0643561893689647,0.0943847409591879,0.865168539325843,0.0826002748124549,0.116807374669028,0.898876404494382,0.0984242981216368,0.13838964198207
inner,RR_DIRECT,3,ATU5,178,0.0221957228439586,0.0258911814305185,0.0159199855486651,0.769662921348315,0.0718415367602014,0.100874894873858,0.882022471910112,0.0922076141786639,0.125618332785073,0.904494382022472,0.109872149065001,0.148436414339172
inner,RR_DIRECT,3,MJ3,178,0.0117734291521945,0.0121610262921544,0.0075606657159448,0.837078651685393,0.0403406616780782,0.0446878371701893,0.949438202247191,0.0517766787219638,0.0526142919243386,1,0.0616957180087856,0.0616957180087856
inner,RR_DIRECT,3,MJ1,178,0.0028918301764392,0.0036934340593155,0.0066024643019917,0.932584269662921,0.0646418430250508,0.0659947613794174,0.971910112359551,0.0829669073108334,0.0844574426872592,0.971910112359551,0.0988611676889914,0.100580149051451
inner,RR_DIRECT,4,ATU1,177,0.0393576299216624,0.0484531254342325,0.028620939276298,0.745762711864407,0.122845545472116,0.187820073655384,0.824858757062147,0.157670550649105,0.231039019456168,0.892655367231638,0.187876049048566,0.267691821890255
inner,RR_DIRECT,4,ATU5,177,0.0454752608313766,0.0527707606384878,0.0322102100798921,0.76271186440678,0.141091770429744,0.200319591610078,0.875706214689266,0.18108932684714,0.24712950316358,0.915254237288136,0.215781242044504,0.291924478716589
inner,RR_DIRECT,4,MJ3,177,0.0194666412186325,0.0201798409996807,0.0124969445330786,0.847457627118644,0.0659828218014686,0.073848531986405,0.943502824858757,0.0846880349371696,0.0872501523829741,1,0.100912017749556,0.100912017749556
inner,RR_DIRECT,4,MJ1,177,0.005435411041829,0.0070758655025474,0.0109895646152131,0.949152542372881,0.107035084513818,0.109068420910168,0.971751412429379,0.137378043698776,0.139385578143955,0.983050847457627,0.163696035625493,0.165632311401586
inner,RR_DIRECT,5,ATU1,176,0.0696703121481189,0.0858761914297053,0.0505762739286447,0.721590909090909,0.208782106312973,0.332371432291947,0.823863636363636,0.267968932381996,0.408631337591523,0.869318181818182,0.319304677230015,0.470743601250254
inner,RR_DIRECT,5,ATU5,176,0.0816725651613339,0.0944272642424869,0.057307476656551,0.721590909090909,0.245219507167438,0.352960989548626,0.863636363636364,0.314735830073455,0.431567127299292,0.920454545454545,0.375030872948612,0.510929710983853
inner,RR_DIRECT,5,MJ3,176,0.0303896008213862,0.0316403371185913,0.019403489434874,0.852272727272727,0.0994168456554896,0.112396603345499,0.9375,0.127600139981124,0.133221214394418,1,0.15204494472178,0.15204494472178
inner,RR_DIRECT,5,MJ1,176,0.009293640148979,0.0121155567966251,0.0165310874922579,0.954545454545455,0.15919331131195,0.162170997079041,0.971590909090909,0.204322403044779,0.207251251945515,0.988636363636364,0.24346515984201,0.246279639732218
inner,RR_DIRECT,6,ATU1,175,0.112904659374358,0.1392056745043,0.0818868410180758,0.702857142857143,0.326994425417828,0.541094795953636,0.805714285714286,0.419692801368365,0.663751743027557,0.851428571428571,0.500094818027831,0.770697679795851
inner,RR_DIRECT,6,ATU5,175,0.132858629738791,0.153499039215346,0.0926981742913769,0.737142857142857,0.389290992220618,0.569968198920216,0.857142857142857,0.499649579236035,0.690906581753648,0.92,0.595369195256718,0.822796589095431
inner,RR_DIRECT,6,MJ3,175,0.0455680371483842,0.0476258889470943,0.0289060588971113,0.857142857142857,0.142009412696264,0.162025015059496,0.937142857142857,0.182267107945375,0.192542499312744,0.994285714285714,0.217184654783723,0.217285512304045
inner,RR_DIRECT,6,MJ1,175,0.0148211734456618,0.0191617185775395,0.0232997066839467,0.96,0.220671826162957,0.225097939697694,0.971428571428571,0.283229222599336,0.28737733573133,0.988571428571429,0.337488434574456,0.341400490685184
inner,RR_DIRECT,7,ATU1,174,0.171996285819746,0.211999628760057,0.124588109968277,0.683908045977011,0.482359877483928,0.825723366152353,0.793103448275862,0.619102200260004,1.01302170777916,0.850574712643678,0.737705772341597,1.19186292750726
inner,RR_DIRECT,7,ATU5,174,0.200936978829975,0.232588084082706,0.139739800286694,0.729885057471264,0.576699156424985,0.857994761702727,0.867816091954023,0.740185353916974,1.04103285045034,0.919540229885057,0.881985248894185,1.24433261399501
inner,RR_DIRECT,7,MJ3,174,0.0661640899361073,0.0693450336700279,0.0417605656117181,0.862068965517241,0.19534860501068,0.224928981705873,0.936781609195402,0.250727220121802,0.267433136550812,0.988505747126437,0.298759909897488,0.29963330389612
inner,RR_DIRECT,7,MJ1,174,0.0222895421759828,0.0285854839980795,0.0313914913302748,0.959770114942529,0.290992490561695,0.297410302180451,0.977011494252874,0.373484818234881,0.379126067576865,0.988505747126437,0.445034610082321,0.450166653781049
inner,TCN_DIRECT,1,ATU1,180,0.443592246618044,0.548709597990582,0.329059280024841,0.594444444444444,1.19320923383435,2.23980263839238,0.716666666666667,1.53146747173639,2.90525581921731,0.772222222222222,1.82485604731958,3.66031144086544
inner,TCN_DIRECT,1,ATU5,180,0.464195880933105,0.606073647415295,0.326624335765437,0.427777777777778,0.822178041364583,2.03983501084526,0.572222222222222,1.0552540917569,2.51481372994511,0.633333333333333,1.2574128059135,3.00803129152596
inner,TCN_DIRECT,1,MJ3,180,0.634387103498316,0.682813920249894,0.422939043268613,0.394444444444444,1.30155183784645,2.35996796079087,0.666666666666667,1.67052369854292,2.77666032673966,0.727777777777778,1.99055176145555,3.18207785485138
inner,TCN_DIRECT,1,MJ1,180,0.226917264798732,0.252028602548326,0.155136571858651,0.627777777777778,0.503272412888361,0.937284633363724,0.7,0.645943148867574,1.15031682150762,0.788888888888889,0.769688735275046,1.33983709399612
inner,TCN_DIRECT,2,ATU1,179,0.822835830020354,1.00176023904745,0.608405670308154,0.592178770949721,2.1715349624584,4.11664738122914,0.698324022346369,2.7871349503863,5.36662033275733,0.76536312849162,3.32107613303828,6.80030338032133
inner,TCN_DIRECT,2,ATU5,179,0.902163609138905,1.19022608701066,0.640804256167863,0.435754189944134,1.53540739071028,4.0299935724035,0.547486033519553,1.97067405117222,5.02363929011575,0.614525139664804,2.34820296607411,6.18668572502165
inner,TCN_DIRECT,2,MJ3,179,1.2679340631048,1.36339580682874,0.848697211018431,0.374301675977654,2.56486122157145,4.77849275139266,0.659217877094972,3.29196373860788,5.65944595161437,0.726256983240223,3.92261673644571,6.61808391689397
inner,TCN_DIRECT,2,MJ1,179,0.453696791860949,0.503040257313949,0.311021486621231,0.631284916201117,0.996783486618448,1.88912596430907,0.698324022346369,1.27935775456134,2.34981295114527,0.787709497206704,1.52444879057693,2.79347026713424
inner,TCN_DIRECT,3,ATU1,178,1.14328910123914,1.36210765861283,0.837373921253551,0.584269662921348,2.94025325809678,5.59742844477479,0.702247191011236,3.77377420133787,7.31247117796893,0.758426966292135,4.49672931330494,9.25019646656344
inner,TCN_DIRECT,3,ATU5,178,1.32589817404438,1.76119753617728,0.948044339334489,0.393258426966292,2.16527771609281,5.95172925040391,0.539325842696629,2.7791038616218,7.48455120516788,0.617977528089888,3.31150650053289,9.61181907551125
inner,TCN_DIRECT,3,MJ3,178,1.90106258498471,2.04220113114327,1.27754585445675,0.359550561797753,3.78964357823331,7.25471943552134,0.651685393258427,4.86395487477828,8.63985008596155,0.719101123595506,5.79575970821308,10.2838004429644
inner,TCN_DIRECT,3,MJ1,178,0.67996458755509,0.752934595745986,0.467395093314658,0.634831460674157,1.48062556720056,2.85284593577288,0.696629213483146,1.90036234190231,3.59227380699834,0.786516853932584,2.26442139694089,4.34698314464557
inner,TCN_DIRECT,4,ATU1,177,1.40910369598702,1.63424286098529,1.01618332202097,0.593220338983051,3.50882291924662,6.6802501340814,0.700564971751412,4.50352546103023,8.67303855870533,0.779661016949153,5.36628157207985,10.942455774653
inner,TCN_DIRECT,4,ATU5,177,1.74241784742091,2.321712780088,1.2514266807449,0.389830508474576,2.74516077596512,7.91387198252609,0.525423728813559,3.52337571137242,10.0477589223175,0.615819209039548,4.19836110954868,13.1379696783703
inner,TCN_DIRECT,4,MJ3,177,2.53440650164145,2.71997470752084,1.70991531335254,0.344632768361582,4.97604953732065,9.79158032918919,0.638418079096045,6.38669043790983,11.7234759247978,0.711864406779661,7.61021104468096,14.1722320159835
inner,TCN_DIRECT,4,MJ1,177,0.905852856771655,1.0023311433389,0.624404263154478,0.632768361581921,1.95452460585051,3.82712915617068,0.694915254237288,2.50860517308404,4.87399449147717,0.785310734463277,2.98918743291961,5.98861852009139
inner,TCN_DIRECT,5,ATU1,176,1.62599352051804,1.82746771072255,1.14821828688982,0.573863636363636,3.89366888602666,7.34416410952613,0.710227272727273,4.99746991187781,9.44096166642268,0.767045454545455,5.95485268756504,12.0037775074872
inner,TCN_DIRECT,5,ATU5,176,2.15346420794321,2.88282999030927,1.5600078932215,0.346590909090909,3.31442071207805,9.9892653852587,0.511363636363636,4.2540129293884,12.6177140275277,0.642045454545455,5.06896905277943,16.7131179240821
inner,TCN_DIRECT,5,MJ3,176,3.16812927756375,3.39701317275871,2.14598404497641,0.335227272727273,6.12446294502895,12.389705236786,0.625,7.86066308926074,14.914284472572,0.698863636363636,9.36655778794652,18.2649092064151
inner,TCN_DIRECT,5,MJ1,176,1.1310684861077,1.2511038948135,0.781870998437233,0.636363636363636,2.41876974140081,4.81131444617147,0.693181818181818,3.10445735378031,6.18986982699101,0.784090909090909,3.69918909819776,7.70802487121603
inner,TCN_DIRECT,6,ATU1,175,1.79392928304006,1.95788372003589,1.24164895956465,0.56,4.12196643469007,7.65021547112411,0.708571428571429,5.29048664334548,9.79292467486513,0.771428571428571,6.30400365828615,12.2562148714172
inner,TCN_DIRECT,6,ATU5,175,2.58118398433495,3.45875485014354,1.88591217301057,0.36,3.9124267782261,12.2118791086193,0.52,5.021545405871,15.4520925083745,0.674285714285714,5.98354040807917,20.6566938867775
inner,TCN_DIRECT,6,MJ3,175,3.80251597493587,4.07374119622343,2.58603912272155,0.331428571428571,7.23529325178567,15.0533688321383,0.617142857142857,9.28639835276529,18.2033054924182,0.685714285714286,11.0654261384008,22.5551693037199
inner,TCN_DIRECT,6,MJ1,175,1.35455273241529,1.49838446425705,0.93911198262544,0.634285714285714,2.87174323341889,5.80176031265461,0.691428571428571,3.68584253662482,7.53405530643094,0.782857142857143,4.39195227228783,9.49443873011902
inner,TCN_DIRECT,7,ATU1,174,1.91879919275312,2.05204518591222,1.31202657077454,0.551724137931034,4.2307649463642,7.75794838335151,0.706896551724138,5.43012802130132,9.63244993982414,0.810344827586207,6.47039662302203,12.2041510910972
inner,TCN_DIRECT,7,ATU5,174,3.06513806459474,4.06644366962422,2.2417308531472,0.373563218390805,4.57005934046103,14.7360921140913,0.522988505747126,5.86560766155857,18.6846381676098,0.660919540229885,6.98930261983498,24.4719661029785
inner,TCN_DIRECT,7,MJ3,174,4.43826606921084,4.75100602080996,3.03065255716387,0.32183908045977,8.30899312040305,17.7851009064508,0.609195402298851,10.6644772148532,21.5932141565427,0.683908045977011,12.7075083840739,27.051793199286
inner,TCN_DIRECT,7,MJ1,174,1.57658273776775,1.74487726473921,1.09643115194466,0.637931034482759,3.31376578054157,6.80096101068818,0.689655172413793,4.25317233386174,8.90851435082384,0.781609195402299,5.06796742143007,11.3472010371917
inner,TCN_BRES,1,ATU1,180,0.339618780290283,0.380299348499987,0.235116838518227,0.522222222222222,0.769265926027891,1.38258912619572,0.733333333333333,0.987342126947073,1.58598711893174,0.85,1.17649070867296,1.95676100179228
inner,TCN_BRES,1,ATU5,180,0.433996944573894,0.546847892401046,0.303318020455614,0.383333333333333,0.750607712342253,1.80872760524243,0.533333333333333,0.963394568941307,2.05830137000686,0.661111111111111,1.14795543329045,2.26951975871364
inner,TCN_BRES,1,MJ3,180,0.426645933833302,0.450904483182788,0.281352499843589,0.461111111111111,0.850885035777936,1.46857495053181,0.677777777777778,1.09209912019678,1.66253085655845,0.811111111111111,1.30131636521401,1.93715417481907
inner,TCN_BRES,1,MJ1,180,0.184518666858888,0.201847622766022,0.125042118444623,0.633333333333333,0.399477850949038,0.739065132326071,0.7,0.512724270865423,0.906047715291762,0.827777777777778,0.610948651253719,1.05992662312486
inner,TCN_BRES,2,ATU1,179,0.696019874381073,0.764203839893853,0.477795021437226,0.513966480446927,1.52737550732654,2.78826200745296,0.726256983240223,1.9603652404539,3.23922477169224,0.837988826815642,2.33591926046025,3.91721861243648
