horizon,mean_best,probability_best,recommended
1,RR_DIRECT,RR_DIRECT,RR_DIRECT
2,RR_DIRECT,RR_DIRECT,RR_DIRECT
3,RR_DIRECT,RR_DIRECT,RR_DIRECT
4,RR_DIRECT,RR_DIRECT,RR_DIRECT
5,RR_DIRECT,RR_DIRECT,RR_DIRECT
6,RR_DIRECT,RR_DIRECT,RR_DIRECT
7,RR_DIRECT,RR_DIRECT,
