phase,model,horizon,n_per_point,mae,rmse,crps,coverage80,width80,interval_score80,coverage90,width90,interval_score90,coverage95,width95,interval_score95,pooled_rmse
inner,B_ANCHOR,1,180,0.308476616315764,0.372295747403468,0.220947479185099,0.604166666666667,0.784196677563779,1.40920099608995,0.7125,1.00650553907749,1.78689268327764,0.786111111111111,1.19932532263563,2.29248204464652,0.395170915654636
inner,B_ANCHOR,2,179,0.608985440500811,0.732440600750352,0.438506361536362,0.608938547486033,1.53027818764292,2.82277585976516,0.709497206703911,1.96409079030663,3.6147119657722,0.787709497206704,2.34035852691796,4.69611445293479,0.778947162095222
inner,B_ANCHOR,3,178,0.908803058998548,1.08868624538644,0.656877586901825,0.60252808988764,2.2581746710548,4.25811033705265,0.706460674157303,2.89833581249304,5.51337930857259,0.780898876404494,3.45358013291269,7.23648255835695,1.15905834113772
inner,B_ANCHOR,4,177,1.20595176917615,1.44076624166379,0.875478820335799,0.598870056497175,2.96997189268648,5.71583532354348,0.701977401129944,3.81191765588715,7.47177980318468,0.774011299435028,4.54218004274223,9.89075838470284,1.53529565693335
inner,B_ANCHOR,5,176,1.50004490203078,1.78814677918233,1.09349427195373,0.603693181818182,3.66733280115464,7.19582596427222,0.697443181818182,4.70697069193145,9.47678392959247,0.769886363636364,5.60870151684531,12.6216652592225,1.90707066639463
inner,B_ANCHOR,6,175,1.79057055310636,2.13068046465686,1.31037686269746,0.607142857142857,4.35211817720791,8.6903821924687,0.697142857142857,5.5858832068609,11.5121706565416,0.761428571428571,6.65599037379723,15.3923912471075,2.27419824064287
inner,B_ANCHOR,7,174,2.07899635473534,2.46956110572079,1.52664116005487,0.603448275862069,5.02531765481801,10.1946975710895,0.691091954022988,6.44992538212696,13.569943221256,0.758620689655172,7.68556012814906,18.1867909642383,2.63789789948729
inner,DRIFT1,1,180,0.0054958491283722,0.00707521704212,0.0041218616114957,0.783333333333333,0.0190316697287674,0.0276731805170071,0.855555555555556,0.0244268836478721,0.034098633200183,0.890277777777778,0.0291064271129776,0.0397257658095885,0.0078289991296978
inner,DRIFT1,2,179,0.0164724576443842,0.0211806527788357,0.0123911569417728,0.782122905027933,0.057198443320643,0.0835367987291769,0.857541899441341,0.0734134072177985,0.103447906688937,0.892458100558659,0.0874774701964948,0.122018273272152,0.0234756026512414
inner,DRIFT1,3,178,0.0329173536338099,0.0422675922159676,0.0248258304953579,0.782303370786517,0.114566581828523,0.167952212579903,0.859550561797753,0.147044615850476,0.208919350669609,0.89185393258427,0.175214466786091,0.249068735951701,0.046924431863661
inner,DRIFT1,4,177,0.0548097676085118,0.0702837108868292,0.0414361959903595,0.779661016949152,0.191174236302424,0.281260082810684,0.865819209039548,0.245369475888468,0.351279453217836,0.896892655367232,0.292375763877651,0.422614622067439,0.0781561680525794
inner,DRIFT1,5,176,0.082131978943229,0.105173198867022,0.0622224499175587,0.78125,0.28709230885284,0.423670465369763,0.867897727272727,0.368478989205404,0.530681926115924,0.896306818181818,0.439069796891787,0.64322725144099,0.117147610067424
inner,DRIFT1,6,175,0.114878254294361,0.146876886871581,0.0871713359678666,0.781428571428571,0.402397887597104,0.595229066760219,0.865714285714286,0.516472097328707,0.747490162981597,0.897142857142857,0.615414461930108,0.910292430494207,0.1638717301192
inner,DRIFT1,7,174,0.153010131356864,0.195332377092496,0.116254103188393,0.783045977011494,0.537147884465778,0.795811172966128,0.867816091954023,0.689421845930471,1.00093030706498,0.89367816091954,0.821496798279366,1.22194816071846,0.218297729944144
inner,RR_DIRECT,1,180,0.0020137558209182,0.0022587669863449,0.0015983120035305,0.798611111111111,0.0090680216260767,0.0107997703564537,0.911111111111111,0.0116386797550356,0.0131133717198627,0.945833333333333,0.0138683423094251,0.0151600717580605,0.0024690182155219
inner,RR_DIRECT,2,179,0.0061899256725287,0.0071459853768275,0.0049625740840185,0.810055865921788,0.0280514156200306,0.0346167202443585,0.921787709497207,0.0360036021680687,0.0429136609971639,0.941340782122905,0.0429009380572745,0.050789071183461,0.0079573285312657
inner,RR_DIRECT,3,178,0.0141206450346576,0.0164605381921321,0.0111022260405869,0.823033707865168,0.0602950577080738,0.0764855585956632,0.917134831460674,0.077387868755979,0.0948743605164245,0.943820224719101,0.0922133332211036,0.11227548084537,0.0187918009596036
inner,RR_DIRECT,4,177,0.0274337357533751,0.0321198981437371,0.0210794146261205,0.826271186440678,0.109238805554287,0.142764154540509,0.903954802259887,0.140206489033047,0.17620106328667,0.94774011299435,0.16706633611703,0.206540157439496,0.0373823233564093
inner,RR_DIRECT,5,176,0.0477565295699545,0.0560148373968522,0.0359545818780819,0.8125,0.178152942611963,0.239975005566278,0.899147727272727,0.228656826370339,0.295167732807687,0.944602272727273,0.272461413685604,0.344999474172026,0.0660286417705646
inner,RR_DIRECT,6,175,0.0765381249267987,0.08987308031107,0.0566976952226277,0.814285714285714,0.269741664124417,0.374546487407761,0.892857142857143,0.346209677787278,0.45864453995632,0.938571428571429,0.412534275660682,0.538045067970128,0.106742179585997
inner,RR_DIRECT,7,174,0.115346724190453,0.135629557627718,0.0843699917992409,0.808908045977011,0.386350032370322,0.551514352935351,0.89367816091954,0.495874898133415,0.675153440589294,0.936781609195402,0.590871385303898,0.79649887479486,0.161761338892957
inner,TCN_DIRECT,1,180,0.442273123962049,0.522406442051024,0.308439807729386,0.511111111111111,0.955052881483436,1.89422256084806,0.663888888888889,1.22579710272595,2.33676167435243,0.730555555555556,1.46062733749092,2.79756442030972,0.547302648268706
inner,TCN_DIRECT,2,179,0.861657573531252,1.0146055975502,0.60223215602892,0.508379888268156,1.81714676533964,3.7035649173336,0.650837988826816,2.33228262368194,4.59987963140818,0.723463687150838,2.77908615653376,5.5996358223428,1.06443169594082
inner,TCN_DIRECT,3,178,1.26255361195583,1.47961023041984,0.882589802089863,0.492977528089888,2.59395002990586,5.41418076661823,0.64747191011236,3.32929881991006,6.75728656902418,0.720505617977528,3.96710422974795,8.37319978242116,1.55681164568829
inner,TCN_DIRECT,4,177,1.64794522545526,1.91956537298326,1.15048239481822,0.490112994350283,3.29613945959573,7.05320790049184,0.639830508474576,4.23054919584913,8.82956697432445,0.72316384180791,5.04101028980728,11.0603189972745,2.02879459854648
inner,TCN_DIRECT,5,176,2.01966387303318,2.33960369215101,1.40902030588124,0.473011363636364,3.93783057113362,8.63361229443556,0.634943181818182,5.05415082107681,10.7907074983784,0.723011363636364,6.02239215662219,13.6724573773001,2.48773523703155
inner,TCN_DIRECT,6,175,2.38304549368154,2.74719105766498,1.66317805948055,0.471428571428571,4.53535742453018,10.1793059311341,0.634285714285714,5.82106823465165,12.7455944955222,0.728571428571429,6.93623061926348,16.2406291980084,2.9426525920973
inner,TCN_DIRECT,7,174,2.74969651608161,3.1535930352714,1.92021028325757,0.471264367816092,5.10589579694246,11.7700256036454,0.632183908045977,6.5533463078937,14.7047041537001,0.73419540229885,7.80879376209025,18.7687778576383,3.4045377234666
inner,TCN_BRES,1,180,0.346195081389092,0.394974836712461,0.236207369315513,0.5,0.692559131274279,1.34973920357401,0.661111111111111,0.888890021737645,1.5532167651972,0.7875,1.05917778960778,1.80584038961246,0.414646695291188
inner,TCN_BRES,2,179,0.708102896432193,0.80524511319014,0.483839604376279,0.490223463687151,1.38878845817458,2.77814216135785,0.653631284916201,1.78249068856317,3.24327434351074,0.784916201117318,2.12396865904523,3.78784212889096,0.849312989882166
inner,TCN_BRES,3,178,1.08369598581548,1.22976626839366,0.742143136071021,0.474719101123596,2.08344167931454,4.28100419466825,0.633426966292135,2.67406844554561,5.0309703068271,0.773876404494382,3.1863490827315,5.93065272836968,1.30370887427367
inner,TCN_BRES,4,177,1.47120715667899,1.66880714022742,1.01138954202158,0.467514124293785,2.78172094111719,5.86997425844896,0.632768361581921,3.57030017533402,6.90867881712904,0.761299435028249,4.25427505705841,8.26176700288499,1.77821046912869
inner,TCN_BRES,5,176,1.88073831534794,2.12878247270188,1.29569140685502,0.457386363636364,3.49737577790141,7.54438972076387,0.629261363636364,4.48883321417405,8.909628045428,0.757102272727273,5.34877468014841,10.8328377897839,2.27790301661159
inner,TCN_BRES,6,175,2.31008336001676,2.61020301416635,1.59515855713261,0.454285714285714,4.23312520035798,9.30228192373123,0.63,5.43315737450612,11.0514849267168,0.752857142857143,6.47400632000696,13.6555965891469,2.80342988940326
inner,TCN_BRES,7,174,2.76372322025443,3.12216945112283,1.91456492582746,0.44683908045977,4.99795715640617,11.1932161560738,0.629310344827586,6.41480856259517,13.3786981769884,0.747126436781609,7.64371585677672,16.7297409007066,3.36312956913661
development,B_ANCHOR,1,376,0.220092749099401,0.465829533648836,0.186439190153941,0.81781914893617,0.875127550516105,1.43732749542164,0.898271276595745,1.12321405100846,2.01122115156576,0.93218085106383,1.33839209205869,2.84506333229192,0.479452257022598
development,B_ANCHOR,2,375,0.441125870468915,0.949962461457055,0.379391474549557,0.822666666666667,1.77370388449101,2.96553035356821,0.904,2.27652428976055,4.21843515466001,0.932666666666667,2.71264600372428,6.10070225333399,0.986164535010977
development,B_ANCHOR,3,374,0.66372893157366,1.44958076194871,0.579381005965086,0.828208556149733,2.69231107910006,4.58735132805443,0.904411764705882,3.45554385980363,6.61058522109992,0.929812834224599,4.11753447312272,9.72802164721301,1.51900233949889
development,B_ANCHOR,4,373,0.887475157853584,1.96217121845656,0.785404953842402,0.827747989276139,3.62473954336541,6.28868172581815,0.901474530831099,4.65230283740114,9.16279225763927,0.92828418230563,5.54356075037476,13.6668826556328,2.07592680988729
development,B_ANCHOR,5,372,1.1126314983555,2.48569124901913,0.996776851042793,0.82997311827957,4.56627517303557,8.05665349733647,0.899865591397849,5.86075073524978,11.8466256416412,0.926075268817204,6.98351523517971,17.8634185330196,2.65458900769919
development,B_ANCHOR,6,371,1.33875519237471,3.01799936955298,1.21274023965756,0.825471698113208,5.51313892802878,9.88536287970697,0.894878706199461,7.07603720791513,14.638095486798,0.923854447439353,8.43161838447781,22.2661905588281,3.25213043847806
development,B_ANCHOR,7,370,1.5656945771687,3.55703560971604,1.43230546149746,0.817567567567568,6.46381499311425,11.7618395294814,0.893918918918919,8.29621672761108,17.5160817399976,0.921621621621622,9.88555195892587,26.8453277509284,3.86545130971596
development,DRIFT1,1,376,0.0024454796338849,0.0032156636508074,0.0018187956192182,0.779255319148936,0.0083754840441825,0.0123494439781401,0.860372340425532,0.010749817391618,0.0153496718007097,0.90093085106383,0.0128091974767432,0.0183509184090344,0.0032754302856007
development,DRIFT1,2,375,0.007331805838563,0.0096394483402233,0.0054735760187775,0.779333333333333,0.0251563896713433,0.0374235864374696,0.856666666666667,0.0322878765899149,0.0468135777156586,0.9,0.0384733779447519,0.056654701927719,0.0098192552552009
development,DRIFT1,3,374,0.0146478441978454,0.019254971200131,0.0109781958063372,0.774064171122995,0.0503616652503636,0.0755842389429959,0.853609625668449,0.0646384975630439,0.0951621627122133,0.895053475935829,0.077021520433497,0.116500501517592,0.0196152287870836
development,DRIFT1,4,373,0.0243833981178174,0.0320385218401438,0.0183437500030579,0.773458445040214,0.0840018903674773,0.127159839293597,0.851206434316354,0.107815259062953,0.161184853027369,0.89343163538874,0.128469805023861,0.199407364756314,0.0326394047151099
development,DRIFT1,5,372,0.0365066949287708,0.0479595194903097,0.0275780267978448,0.771505376344086,0.126079388185474,0.192414534832263,0.850134408602151,0.161821142836783,0.245627635273822,0.889112903225806,0.192821784686724,0.306577102587861,0.0488606087007092
development,DRIFT1,6,371,0.0509911440253607,0.0669805715601617,0.0386842811029426,0.768867924528302,0.176587360744635,0.271647502927867,0.849056603773585,0.226647423797705,0.34919395731026,0.887466307277628,0.270067062839869,0.439266607040392,0.0682405171145062
development,DRIFT1,7,370,0.0678147081251103,0.0890575090641191,0.0516596146640934,0.768243243243243,0.235508035039766,0.365002379016515,0.844594594594595,0.30227129054051,0.472209718065959,0.883108108108108,0.360178458017478,0.597724746345551,0.0907337126636265
development,RR_DIRECT,1,376,0.0007092938976777,0.0009175693276421,0.0005322929725484,0.761968085106383,0.0026603563499319,0.003497706547508,0.893617021276596,0.0034145304089328,0.0041685543588996,0.942154255319149,0.0040686639321421,0.0047374607096424,0.0011472692174504
development,RR_DIRECT,2,375,0.0026483893837105,0.0035268970313656,0.0019971530505823,0.756666666666667,0.0096052047422123,0.0132414340622582,0.874666666666667,0.0123281468203236,0.0156690599376146,0.937333333333333,0.0146898929898863,0.018097266479634,0.0044654417112749
development,RR_DIRECT,3,374,0.006674882171809,0.0090342761146059,0.0050661854198476,0.76403743315508,0.0238922344004985,0.0340401960166739,0.868983957219251,0.0306653508654864,0.0409779857062115,0.925133689839572,0.0365400192970526,0.0477565634559675,0.011514149458839
development,RR_DIRECT,4,373,0.0136806823028485,0.0187490467085772,0.0104562588600496,0.764745308310992,0.0487771345257537,0.0709290770734798,0.861260053619303,0.0626047743953897,0.0870039469089758,0.916890080428954,0.0745981898113554,0.102914775681634,0.0239979073770819
development,RR_DIRECT,5,372,0.0244643426663426,0.0336094422379359,0.0187507874736757,0.764784946236559,0.0866890750716767,0.127748263547951,0.85752688172043,0.111264223291802,0.157549413243272,0.911962365591398,0.132579499383128,0.187707427527069,0.0431601522001977
development,RR_DIRECT,6,371,0.0395640664194907,0.0536654547806813,0.030163255278776,0.755390835579515,0.138244753742885,0.205091654120846,0.855795148247978,0.177435220489446,0.250813138190167,0.909029649595687,0.21142710576186,0.295530446317819,0.0691461665424525
development,RR_DIRECT,7,370,0.059359770797924,0.0792642751563104,0.0448227533520925,0.754054054054054,0.204733617542456,0.303378285466974,0.852702702702703,0.262772753299625,0.367531876096385,0.906081081081081,0.313113047961734,0.429975519870692,0.102639816509493
development,TCN_DIRECT,1,376,0.12263154767673,0.196249740561576,0.101066565543419,0.805186170212766,0.58598227501618,0.763496883075242,0.915558510638298,0.752100107637913,0.989737754067299,0.967420212765957,0.896182553623962,1.28435767620245,0.21247915347644
development,TCN_DIRECT,2,375,0.251323994418102,0.410223348350638,0.209975475853961,0.806,1.21150975184273,1.61127205956783,0.91,1.55495593231066,2.11210992393059,0.962,1.85284427437124,2.78084753492181,0.446952492315043
development,TCN_DIRECT,3,374,0.386838597155744,0.643023209302535,0.327235668987587,0.806149732620321,1.8781834436251,2.54809968129372,0.904411764705882,2.410622352144,3.3794150224767,0.956550802139037,2.87243370055132,4.50821144139651,0.704786099409335
development,TCN_DIRECT,4,373,0.529779229190628,0.89484903820629,0.452958884794024,0.806300268096515,2.58373285005323,3.57303433556188,0.896112600536193,3.31618521153905,4.79513535593022,0.956434316353887,3.95147840159314,6.46152565559018,0.986144393706002
development,TCN_DIRECT,5,372,0.681419770239527,1.16510341997207,0.587141127424874,0.80241935483871,3.32702677581381,4.682784270925,0.893145161290323,4.27019263702936,6.34692090330417,0.950940860215054,5.08824836355642,8.64008565489162,1.29010519795079
development,TCN_DIRECT,6,371,0.843272609964956,1.45296208630047,0.730078840994137,0.799191374663073,4.10867108253313,5.86563517817131,0.887466307277628,5.27342224359371,8.01498872732675,0.943396226415094,6.28367017183895,11.0014778015677,1.61546490246686
development,TCN_DIRECT,7,370,1.01708184626587,1.75758439570562,0.882427170224961,0.793918918918919,4.93311764844564,7.1131269663739,0.890540540540541,6.33158795508625,9.77431311009592,0.933783783783784,7.54455238665609,13.496728849096,1.96094768367412
development,TCN_BRES,1,376,0.0904857361891023,0.127536031463906,0.0755661864100111,0.802526595744681,0.441957797086886,0.567572803866808,0.88563829787234,0.56724669146569,0.71129698123868,0.93218085106383,0.675916122507998,0.870956976926118,0.142598862488573
development,TCN_BRES,2,375,0.185355920746023,0.235670915179631,0.148620042488808,0.808666666666667,0.865994261591414,1.08125224412382,0.890666666666667,1.11149160158256,1.33555427182511,0.932,1.3244239320298,1.5908056538666,0.259915003953319
development,TCN_BRES,3,374,0.291083227275565,0.362085506682507,0.230761848937429,0.804144385026738,1.33978846266136,1.65672559160893,0.897058823529412,1.71959987518706,2.03698286254556,0.935160427807487,2.04902963276601,2.40205305941135,0.406955367679955
development,TCN_BRES,4,373,0.425992136802718,0.545195641683224,0.339993307217255,0.800268096514745,1.9483667565164,2.48823707852924,0.894101876675603,2.50070165902829,3.1168596439471,0.926943699731903,2.97976981505578,3.7615464642748,0.624431649299008
