phase,horizon,point,candidate,reference,mae_difference,rmse_difference,crps_difference,interval_score90_difference,coverage90_difference,width90_difference
development,2,ATU5,TCN_BRES,TCN_DIRECT,0.00207667750532103,-0.121302957158181,-0.030177389255507,-0.83283404665889,0.037333333333334,-0.3260207609172
development,2,MJ3,TCN_BRES,TCN_DIRECT,-0.0899322696222864,-0.110453183653958,-0.0676039874514799,-0.579422962215722,0.00533333333333297,-0.51695350250284
development,2,MJ1,TCN_BRES,TCN_DIRECT,-0.095532834662002,-0.100871520235528,-0.0556191149242122,-0.19884562185088,-0.037333333333334,-0.302271051424315
development,3,ATU1,TCN_DIRECT,B_ANCHOR,-0.102865481790012,-0.27316380088448,-0.099124315258992,-0.89333879746943,-0.024064171122994,-0.44019845267859
development,3,ATU5,TCN_DIRECT,B_ANCHOR,-0.163057015773056,-1.36705962087674,-0.275117718889729,-5.4254542397913,-0.042780748663102,-1.42718441424687
development,3,MJ3,TCN_DIRECT,B_ANCHOR,-0.491083391247687,-1.03624648909688,-0.382041426862372,-4.22271295170127,0.0267379679144381,-1.39021441854327
development,3,MJ1,TCN_DIRECT,B_ANCHOR,-0.350555448860908,-0.549760299726602,-0.252297886898903,-2.38317480553085,0.040106951871657,-0.92208874516977
development,3,ATU1,TCN_DIRECT,DRIFT1,0.405940085131371,0.999099227114347,0.385268768985293,5.10823599305295,0.029411764705883,2.66363562663364
development,3,ATU5,TCN_DIRECT,DRIFT1,0.470026463342722,0.801450302785509,0.434488161274708,4.59270393875226,-0.00534759358288794,3.41476893367416
development,3,MJ3,TCN_DIRECT,DRIFT1,0.268626001444315,0.317316998445501,0.22390742644031,2.07633964769935,0.0802139037433151,1.96310460859741
development,3,MJ1,TCN_DIRECT,DRIFT1,0.344170461913189,0.377206424064256,0.22136553602469,1.35973185955338,0.0989304812834221,1.34242624941863
development,3,ATU1,TCN_DIRECT,RR_DIRECT,0.412287663713853,1.00618273490566,0.389619368938182,5.1408478032446,0.064171122994653,2.68907034986817
development,3,ATU5,TCN_DIRECT,RR_DIRECT,0.473302134227322,0.804311221073106,0.43684006147677,4.61751589572437,0.0588235294117641,3.43352683597243
development,3,MJ3,TCN_DIRECT,RR_DIRECT,0.278008364061742,0.329669603876273,0.230628348198293,2.13249798544421,0.0267379679144381,1.99777909841729
development,3,MJ1,TCN_DIRECT,RR_DIRECT,0.357056697932824,0.395792172896678,0.231590155657715,1.46288646266877,-0.00802139037433192,1.39945172085619
development,3,ATU1,TCN_BRES,B_ANCHOR,-0.243954278064986,-0.92060873786598,-0.274154651158375,-3.96072512185299,-0.096256684491978,-1.64226559217228
development,3,ATU5,TCN_BRES,B_ANCHOR,-0.131350514569343,-1.52981663765432,-0.304795319796698,-6.56990442577345,-0.00267379679144408,-1.7782955331745
development,3,MJ3,TCN_BRES,B_ANCHOR,-0.627068579585529,-1.20452492938953,-0.483285083874766,-5.1007780310861,0.050802139037433,-2.16095150888368
development,3,MJ1,TCN_BRES,B_ANCHOR,-0.488209444972521,-0.695030716154986,-0.332241573280792,-2.66300185550489,0.018716577540107,-1.36226330423579
development,3,ATU1,TCN_BRES,DRIFT1,0.264851288856397,0.351654290132847,0.21023843308591,2.04084966866939,-0.042780748663101,1.46156848713995
development,3,ATU5,TCN_BRES,DRIFT1,0.501732964546435,0.638693286007928,0.404810560367739,3.44825375277011,0.03475935828877,3.06365781474653
development,3,MJ3,TCN_BRES,DRIFT1,0.132640813106473,0.149038558152858,0.122663769427916,1.19827456831452,0.10427807486631,1.192367518257
development,3,MJ1,TCN_BRES,DRIFT1,0.206516465801576,0.231936007635872,0.141421849642801,1.07990480957934,0.0775401069518721,0.902251690352613
development,3,ATU1,TCN_BRES,RR_DIRECT,0.271198867438879,0.358737797924155,0.214589033038799,2.07346147886104,-0.00802139037433103,1.48700321037448
development,3,ATU5,TCN_BRES,RR_DIRECT,0.505008635431035,0.641554204295525,0.407162460569801,3.47306570974222,0.098930481283422,3.0824157170448
development,3,MJ3,TCN_BRES,RR_DIRECT,0.1420231757239,0.161391163583631,0.129384691185899,1.25443290605938,0.050802139037433,1.22704200807688
development,3,MJ1,TCN_BRES,RR_DIRECT,0.219402701821211,0.250521756468294,0.151646469275826,1.18305941269473,-0.0294117647058819,0.959277161790167
development,3,ATU1,TCN_BRES,TCN_DIRECT,-0.141088796274974,-0.6474449369815,-0.175030335899383,-3.06738632438356,-0.072192513368984,-1.20206713949369
development,3,ATU5,TCN_BRES,TCN_DIRECT,0.031706501203713,-0.162757016777581,-0.029677600906969,-1.14445018598215,0.0401069518716579,-0.35111111892763
development,3,MJ3,TCN_BRES,TCN_DIRECT,-0.135985188337842,-0.168278440292643,-0.101243657012394,-0.87806507938483,0.024064171122995,-0.77073709034041
development,3,MJ1,TCN_BRES,TCN_DIRECT,-0.137653996111613,-0.145270416428384,-0.079943686381889,-0.27982704997404,-0.02139037433155,-0.440174559066018
development,4,ATU1,TCN_DIRECT,B_ANCHOR,-0.114937023488467,-0.26914783803087,-0.101254958225874,-0.546191005601779,-0.03485254691689,-0.34583060270551
development,4,ATU5,TCN_DIRECT,B_ANCHOR,-0.218442222500814,-1.91913022828418,-0.393282785707169,-7.9585214405221,-0.0509383378016079,-2.06455720882315
development,4,MJ3,TCN_DIRECT,B_ANCHOR,-0.64203113319068,-1.36090093325617,-0.504052907293561,-5.73832684052685,0.024128686327078,-1.76524185040251
development,4,MJ1,TCN_DIRECT,B_ANCHOR,-0.455373335471859,-0.720109721429856,-0.331193624966908,-3.22758832018552,0.0402144772117959,-1.16884084151718
development,4,ATU1,TCN_DIRECT,DRIFT1,0.549397283372728,1.39121174708441,0.535415231420218,7.38101361708254,0.010723860589812,3.6666187268789
development,4,ATU5,TCN_DIRECT,DRIFT1,0.650950599100811,1.13219556617929,0.606255742589998,6.53799290426085,-0.010723860589812,4.70995856520469
development,4,MJ3,TCN_DIRECT,DRIFT1,0.359824873389734,0.423843278008102,0.300582436673871,2.80269301633927,0.0884718498659519,2.65779219803244
development,4,MJ1,TCN_DIRECT,DRIFT1,0.46141056842797,0.503991474192783,0.296207128479778,1.81410247392875,0.091152815013404,1.79911031978836
development,4,ATU1,TCN_DIRECT,RR_DIRECT,0.554766343085632,1.39597929978018,0.538771623539487,7.40307055601987,0.058981233243967,3.68795410558555
development,4,ATU5,TCN_DIRECT,RR_DIRECT,0.652251133730877,1.13035199085902,0.606776908266287,6.54660578224823,0.058981233243968,4.7210474211568
development,4,MJ3,TCN_DIRECT,RR_DIRECT,0.374845469458498,0.443589332176677,0.31141545521115,2.89492059058556,0.037533512064343,2.71295715896171
development,4,MJ1,TCN_DIRECT,RR_DIRECT,0.482531241276111,0.534479343174978,0.313046516718973,1.98792870723131,-0.0160857908847191,1.89236306287059
development,4,ATU1,TCN_BRES,B_ANCHOR,-0.261874512542334,-1.10711163742713,-0.315045052407288,-4.66763975103444,-0.109919571045576,-1.84877777919434
development,4,ATU5,TCN_BRES,B_ANCHOR,-0.123698719851916,-2.06225849018076,-0.393443986528624,-9.01199324011235,-0.00536193029490595,-2.23042008350102
development,4,MJ3,TCN_BRES,B_ANCHOR,-0.826438681790587,-1.59046788775979,-0.638491542451016,-6.9162054787133,0.064343163538874,-2.77940447941891
development,4,MJ1,TCN_BRES,B_ANCHOR,-0.633920170018623,-0.908064291725664,-0.434666005113659,-3.58789198490863,0.021447721179625,-1.74780237137712
development,4,ATU1,TCN_BRES,DRIFT1,0.402459794318861,0.55324794768815,0.321625137238804,3.25956487164988,-0.064343163538874,2.16367155039007
development,4,ATU5,TCN_BRES,DRIFT1,0.745694101749709,0.989067304282715,0.606094541768543,5.4845211046706,0.03485254691689,4.54409569052682
development,4,MJ3,TCN_BRES,DRIFT1,0.175417324789827,0.194276323504484,0.166143801516416,1.62481437815282,0.128686327077748,1.64362956901604
development,4,MJ1,TCN_BRES,DRIFT1,0.282863733881206,0.316036903896975,0.192734748333027,1.45379880920564,0.0723860589812331,1.22014878992842
development,4,ATU1,TCN_BRES,RR_DIRECT,0.407828854031765,0.558015500383922,0.324981529358073,3.28162181058721,-0.0160857908847191,2.18500692909672
development,4,ATU5,TCN_BRES,RR_DIRECT,0.746994636379775,0.98722372896244,0.606615707444832,5.49313398265798,0.10455764075067,4.55518454647893
development,4,MJ3,TCN_BRES,RR_DIRECT,0.190437920858591,0.214022377673059,0.176976820053695,1.71704195239911,0.077747989276139,1.69879452994531
development,4,MJ1,TCN_BRES,RR_DIRECT,0.303984406729347,0.34652477287917,0.209574136572222,1.6276250425082,-0.03485254691689,1.31340153301065
development,4,ATU1,TCN_BRES,TCN_DIRECT,-0.146937489053867,-0.837963799396256,-0.213790094181414,-4.12144874543266,-0.075067024128686,-1.50294717648883
development,4,ATU5,TCN_BRES,TCN_DIRECT,0.094743502648898,-0.14312826189658,-0.000161200821454988,-1.05347179959025,0.045576407506702,-0.16586287467787
development,4,MJ3,TCN_BRES,TCN_DIRECT,-0.184407548599907,-0.229566954503618,-0.134438635157455,-1.17787863818645,0.0402144772117961,-1.0141626290164
development,4,MJ1,TCN_BRES,TCN_DIRECT,-0.178546834546764,-0.187954570295808,-0.103472380146751,-0.36030366472311,-0.0187667560321709,-0.57896152985994
development,5,ATU1,TCN_DIRECT,B_ANCHOR,-0.118577576651069,-0.22280085510621,-0.087569016679236,0.148058544827999,-0.0510752688172049,-0.14982508070125
development,5,ATU5,TCN_DIRECT,B_ANCHOR,-0.266786237369345,-2.5018717358882,-0.521401144929568,-10.765268035665,-0.0376344086021509,-2.750961377761
development,5,MJ3,TCN_DIRECT,B_ANCHOR,-0.785747208805528,-1.67420832255754,-0.622426117567075,-7.28589332888686,0.0161290322580649,-2.08270130256414
development,5,MJ1,TCN_DIRECT,B_ANCHOR,-0.553735889637947,-0.883470402636303,-0.407146615295796,-4.09571613362439,0.045698924731183,-1.37874463185527
development,5,ATU1,TCN_DIRECT,DRIFT1,0.695345656224997,1.81022441383195,0.696629269624377,9.91677991434236,-0.010752688172043,4.72230574774573
development,5,ATU5,TCN_DIRECT,DRIFT1,0.850975733667115,1.49451172238637,0.791006561668887,8.67307257312643,0.00537634408602106,6.07282831623796
development,5,MJ3,TCN_DIRECT,DRIFT1,0.4528023409568,0.531898422971878,0.378702889406842,3.54775443717668,0.086021505376344,3.37570973313336
development,5,MJ1,TCN_DIRECT,DRIFT1,0.580528570394115,0.631941042736831,0.371913681808011,2.2675661474759,0.091397849462366,2.26264217965327
development,5,ATU1,TCN_DIRECT,RR_DIRECT,0.695007812263695,1.80619264875094,0.695434315108654,9.89948296950018,0.0483870967741931,4.72134821516678
development,5,ATU5,TCN_DIRECT,RR_DIRECT,0.846873705783806,1.48269486015347,0.786971139527447,8.64416341820862,0.07258064516129,6.06122396154787
development,5,MJ3,TCN_DIRECT,RR_DIRECT,0.474342214448533,0.560187163782548,0.394305121304676,3.68294752583144,0.0403225806451619,3.45350499160024
development,5,MJ1,TCN_DIRECT,RR_DIRECT,0.611597977796705,0.676901238249569,0.396850783864016,2.53089204670333,-0.018817204301075,2.39963648663535
development,5,ATU1,TCN_BRES,B_ANCHOR,-0.231428846346639,-1.14461337226746,-0.298636320561551,-4.36023809015421,-0.115591397849463,-1.67344710485358
development,5,ATU5,TCN_BRES,B_ANCHOR,-0.0887126428754801,-2.58253745498361,-0.471993870191198,-11.4875135583084,-0.00537634408602194,-2.61083888991889
development,5,MJ3,TCN_BRES,B_ANCHOR,-1.02078555757273,-1.96756456613635,-0.78962420547621,-8.75191875325565,0.053763440860215,-3.33207340695267
development,5,MJ1,TCN_BRES,B_ANCHOR,-0.772108466830342,-1.11242570139309,-0.533376280232867,-4.53662535783608,0.029569892473118,-2.09889492150035
development,5,ATU1,TCN_BRES,DRIFT1,0.582494386529427,0.888411896670696,0.485561965742062,5.40848327936015,-0.075268817204301,3.1986837235934
development,5,ATU5,TCN_BRES,DRIFT1,1.02904932816098,1.41384600329096,0.840413836407257,7.95082705048301,0.0376344086021501,6.21295080408007
development,5,MJ3,TCN_BRES,DRIFT1,0.217763992189596,0.238542179393071,0.211504801497707,2.08172901280789,0.123655913978494,2.12633762874483
development,5,MJ1,TCN_BRES,DRIFT1,0.362155993201719,0.402985743980041,0.24568401687094,1.82665692326421,0.075268817204301,1.54249189000819
development,5,ATU1,TCN_BRES,RR_DIRECT,0.582156542568125,0.88438013158969,0.484367011226339,5.39118633451797,-0.0161290322580649,3.19772619101445
development,5,ATU5,TCN_BRES,RR_DIRECT,1.02494730027767,1.40202914105806,0.836378414265817,7.92191789556519,0.104838709677419,6.20134644938998
development,5,MJ3,TCN_BRES,RR_DIRECT,0.239303865681329,0.266830920203741,0.227107033395541,2.21692210146265,0.077956989247312,2.20413288721171
development,5,MJ1,TCN_BRES,RR_DIRECT,0.39322540060431,0.447945939492779,0.270621118926945,2.08998282249164,-0.03494623655914,1.67948619699027
development,5,ATU1,TCN_BRES,TCN_DIRECT,-0.11285126969557,-0.921812517161251,-0.211067303882315,-4.50829663498221,-0.064516129032258,-1.52362202415233
development,5,ATU5,TCN_BRES,TCN_DIRECT,0.178073594493865,-0.0806657190954099,0.0494072747383699,-0.722245522643421,0.032258064516129,0.14012248784211
development,5,MJ3,TCN_BRES,TCN_DIRECT,-0.235038348767204,-0.293356243578807,-0.167198087909135,-1.46602542436879,0.0376344086021501,-1.24937210438853
development,5,MJ1,TCN_BRES,TCN_DIRECT,-0.218372577192395,-0.22895529875679,-0.126229664937071,-0.44090922421169,-0.0161290322580649,-0.72015028964508
development,6,ATU1,TCN_DIRECT,B_ANCHOR,-0.113609676750848,-0.13843364430142,-0.056820667281745,1.1676018541334,-0.064690026954178,0.14228519094969
development,6,ATU5,TCN_DIRECT,B_ANCHOR,-0.30117626948877,-3.1066118752,-0.65704006348069,-13.8188359586537,-0.032345013477089,-3.46448283737161
development,6,MJ3,TCN_DIRECT,B_ANCHOR,-0.921754271454333,-1.97570545903387,-0.736805985627596,-8.85791595710313,0.018867924528302,-2.33883071061444
development,6,MJ1,TCN_DIRECT,B_ANCHOR,-0.645390111945071,-1.03939815447475,-0.479978878263677,-4.98327697626147,0.0485175202156329,-1.54943150024931
development,6,ATU1,TCN_DIRECT,DRIFT1,0.843656170715746,2.25382666593206,0.870488548572131,12.6745982741934,-0.032345013477089,5.8342817049997
development,6,ATU5,TCN_DIRECT,DRIFT1,1.0758493501517,1.88664537162464,0.988067556855108,10.9572469606178,0.00539083557951403,7.50185056825917
development,6,MJ3,TCN_DIRECT,DRIFT1,0.548003031252965,0.642030456553728,0.458373850305293,4.31322299391578,0.091644204851752,4.11767146934764
development,6,MJ1,TCN_DIRECT,DRIFT1,0.701617311637971,0.761423564850799,0.448648283832242,2.71811085133894,0.0889487870619939,2.73329553657751
development,6,ATU1,TCN_DIRECT,RR_DIRECT,0.830812696417672,2.23194117724288,0.859701558514501,12.5799224961942,0.035040431266846,5.78555316750622
development,6,ATU5,TCN_DIRECT,RR_DIRECT,1.06307645711261,1.86227626366698,0.977641071658317,10.8898363003857,0.075471698113207,7.45890590931133
development,6,MJ3,TCN_DIRECT,RR_DIRECT,0.576700825539822,0.679714983342573,0.479222176808933,4.49700410907668,0.043126684636118,4.21861887737843
development,6,MJ1,TCN_DIRECT,RR_DIRECT,0.744244195111762,0.823254101826721,0.48309753587969,3.08993945088976,-0.026954177897575,2.92087013822109
development,6,ATU1,TCN_BRES,B_ANCHOR,-0.151259136263191,-1.07381957670139,-0.2398337624501,-3.52258876697907,-0.105121293800539,-1.26752527292221
development,6,ATU5,TCN_BRES,B_ANCHOR,-0.0263705981721001,-3.08186587568459,-0.53895127164738,-13.9496512203301,-0.00539083557951392,-2.90479373619197
development,6,MJ3,TCN_BRES,B_ANCHOR,-1.21019712125313,-2.33460326561717,-0.93625757719638,-10.5971701705172,0.067385444743936,-3.81731013653536
development,6,MJ1,TCN_BRES,B_ANCHOR,-0.902506197634347,-1.30808194478887,-0.628433582020676,-5.50842396679658,0.043126684636119,-2.41314053908104
development,6,ATU1,TCN_BRES,DRIFT1,0.806006711203403,1.31844073353209,0.687475453403776,7.98440765308096,-0.07277628032345,4.4244712411278
development,6,ATU5,TCN_BRES,DRIFT1,1.35065502146837,1.91139137114005,1.10615634868842,10.8264316989414,0.0323450134770891,8.06153966943881
development,6,MJ3,TCN_BRES,DRIFT1,0.259560181454165,0.283132649970427,0.258922258736509,2.57396878050168,0.140161725067386,2.63919204342672
development,6,MJ1,TCN_BRES,DRIFT1,0.444501225948695,0.492739774536671,0.300193580075243,2.19296386080383,0.08355795148248,1.86958649774578
development,6,ATU1,TCN_BRES,RR_DIRECT,0.793163236905329,1.29655524484291,0.676688463346146,7.88973187508172,-0.00539083557951503,4.37574270363432
development,6,ATU5,TCN_BRES,RR_DIRECT,1.33788212842928,1.88702226318239,1.09572986349163,10.7590210387093,0.102425876010782,8.01859501049097
development,6,MJ3,TCN_BRES,RR_DIRECT,0.288257975741022,0.320817176759272,0.279770585240149,2.75774989566257,0.0916442048517521,2.74013945145751
development,6,MJ1,TCN_BRES,RR_DIRECT,0.487128109422486,0.554570311512593,0.334642832122691,2.56479246035465,-0.032345013477089,2.05716109938936
development,6,ATU1,TCN_BRES,TCN_DIRECT,-0.037649459512343,-0.93538593239997,-0.183013095168355,-4.69019062111247,-0.040431266846361,-1.4098104638719
development,6,ATU5,TCN_BRES,TCN_DIRECT,0.27480567131667,0.02474599951541,0.11808879183331,-0.1308152616764,0.026954177897575,0.55968910117964
development,6,MJ3,TCN_BRES,TCN_DIRECT,-0.2884428497988,-0.358897806583301,-0.199451591568784,-1.73925421341411,0.048517520215634,-1.47847942592092
development,6,MJ1,TCN_BRES,TCN_DIRECT,-0.257116085689276,-0.268683790314128,-0.148454703756999,-0.52514699053511,-0.00539083557951392,-0.86370903883173
development,7,ATU1,TCN_DIRECT,B_ANCHOR,-0.09272572379963,-0.0200382382448301,-0.00696958592911012,2.4025302708675,-0.064864864864865,0.53843197044327
development,7,ATU5,TCN_DIRECT,B_ANCHOR,-0.32173249147828,-3.72510988805098,-0.79601558082106,-17.0321507200558,-0.0162162162162169,-4.17957823323177
development,7,MJ3,TCN_DIRECT,B_ANCHOR,-1.0497479941622,-2.26485121667361,-0.846949159518379,-10.4525439737927,0.0189189189189189,-2.53506051849779
development,7,MJ1,TCN_DIRECT,B_ANCHOR,-0.730244714171217,-1.18780551307226,-0.54957883882144,-5.88491009662554,0.0486486486486489,-1.68230830881305
development,7,ATU1,TCN_DIRECT,DRIFT1,1.00231628749153,2.71955975379592,1.05942162905297,15.572842158468,-0.035135135135135,7.0168567700633
development,7,ATU5,TCN_DIRECT,DRIFT1,1.32396630296932,2.30693031268571,1.19723972297241,13.3703938293893,0.027027027027027,9.00151590168806
development,7,MJ3,TCN_DIRECT,DRIFT1,0.645910542188001,0.754918806704725,0.539876051604717,5.09955442392779,0.1,4.8861070407328
development,7,MJ1,TCN_DIRECT,DRIFT1,0.82487541991417,0.89269867337966,0.526532818613372,3.16562315633472,0.091891891891892,3.21278694569879
development,7,ATU1,TCN_DIRECT,RR_DIRECT,0.968242004264228,2.6682885653756,1.03254972207973,15.3487620814738,0.040540540540541,6.88650125499887
development,7,ATU5,TCN_DIRECT,RR_DIRECT,1.29991748578613,2.26879455985098,1.17976648727452,13.2772106931662,0.081081081081081,8.92272711531395
development,7,MJ3,TCN_DIRECT,RR_DIRECT,0.682174041197891,0.802575112174151,0.566262899949027,5.33619964169031,0.056756756756757,5.00896850272702
