phase,horizon,point,candidate,reference,mae_difference,rmse_difference,crps_difference,interval_score90_difference,coverage90_difference,width90_difference
development,1,ATU1,TCN_DIRECT,B_ANCHOR,-0.046161187449737,-0.136671463778911,-0.047974260000917,-0.59229631108546,0.0106382978723401,-0.268979550279479
development,1,ATU5,TCN_DIRECT,B_ANCHOR,-0.051749547711956,-0.397155035175304,-0.077659698184357,-1.38350222820825,-0.0106382978723401,-0.38004978024755
development,1,MJ3,TCN_DIRECT,B_ANCHOR,-0.169608986279571,-0.355241244458163,-0.129472504702502,-1.34266745238499,0.031914893617021,-0.500302611913307
development,1,MJ1,TCN_DIRECT,B_ANCHOR,-0.122325084249418,-0.189251428936663,-0.0863840355543152,-0.767467598315168,0.037234042553191,-0.335123831041845
development,1,ATU1,TCN_DIRECT,DRIFT1,0.130284272869592,0.303563442078281,0.11779701690946,1.42171976861624,0.034574468085106,0.829839726034528
development,1,ATU5,TCN_DIRECT,DRIFT1,0.147280268029677,0.236884227431387,0.131778632923069,1.34452269847313,0.0106382978723409,1.05422833546517
development,1,MJ3,TCN_DIRECT,DRIFT1,0.0892120459497228,0.106037640474289,0.0739128297889576,0.676841248089885,0.071808510638298,0.636689636320268
development,1,MJ1,TCN_DIRECT,DRIFT1,0.113967685322389,0.125650997659116,0.0735026000753141,0.454468613887101,0.103723404255319,0.444643463165216
development,1,ATU1,TCN_DIRECT,RR_DIRECT,0.132212570530751,0.30595758650443,0.119181503675293,1.43255800961509,0.0505319148936171,0.837728619533314
development,1,ATU5,TCN_DIRECT,RR_DIRECT,0.148441362609971,0.238315104450303,0.132663326412779,1.35257048120531,0.0186170212765959,1.06009602278721
development,1,MJ3,TCN_DIRECT,RR_DIRECT,0.0908780755597319,0.108237491220198,0.0750630965419593,0.685962940013384,0.023936170212766,0.642534847928054
development,1,MJ1,TCN_DIRECT,RR_DIRECT,0.116157006415756,0.128818502760803,0.0752291636534495,0.471185367999808,-0.00531914893617103,0.454382818667335
development,1,ATU1,TCN_BRES,B_ANCHOR,-0.0798152370672174,-0.260203403823433,-0.0772319958523205,-1.00201953551518,-0.095744680851064,-0.468437043636172
development,1,ATU5,TCN_BRES,B_ANCHOR,-0.050835046126225,-0.439909946614021,-0.08754928035322,-1.69250267347125,0.015957446808511,-0.50875966862998
development,1,MJ3,TCN_BRES,B_ANCHOR,-0.215127729299691,-0.411282159308701,-0.163203937579392,-1.63132949201425,0.039893617021277,-0.755943865403454
development,1,MJ1,TCN_BRES,B_ANCHOR,-0.172650039148061,-0.241778498993562,-0.115506801190789,-0.87384498030766,-0.0106382978723409,-0.490728860501465
development,1,ATU1,TCN_BRES,DRIFT1,0.0966302232521115,0.180031502033759,0.0885392810580566,1.01199654418652,-0.0718085106382981,0.630382232677835
development,1,ATU5,TCN_BRES,DRIFT1,0.148194769615408,0.19412931599267,0.121889050754206,1.03552225321013,0.037234042553192,0.925518447082735
development,1,MJ3,TCN_BRES,DRIFT1,0.0436933029296033,0.0499967256237504,0.0401813969120681,0.388179208460626,0.0797872340425539,0.381048382830121
development,1,MJ1,TCN_BRES,DRIFT1,0.0636427304237466,0.073123927602217,0.0443798344388405,0.348091231894609,0.0558510638297871,0.289038433705596
development,1,ATU1,TCN_BRES,RR_DIRECT,0.0985585209132707,0.182425646459908,0.0899237678238891,1.02283478518537,-0.055851063829787,0.638271126176621
development,1,ATU5,TCN_BRES,RR_DIRECT,0.149355864195702,0.195560193011586,0.122773744243916,1.04357003594231,0.0452127659574469,0.931386134404785
development,1,MJ3,TCN_BRES,RR_DIRECT,0.0453593325396124,0.0521965763696598,0.0413316636650698,0.397300900384125,0.0319148936170219,0.386893594437907
development,1,MJ1,TCN_BRES,RR_DIRECT,0.0658320515171132,0.0762914327039038,0.0461063980169759,0.364807986007316,-0.0531914893617029,0.298777789207715
development,1,ATU1,TCN_BRES,TCN_DIRECT,-0.0336540496174804,-0.123531940044522,-0.0292577358514035,-0.40972322442972,-0.106382978723404,-0.199457493356693
development,1,ATU5,TCN_BRES,TCN_DIRECT,0.000914501585731003,-0.042754911438717,-0.009889582168863,-0.309000445263,0.026595744680851,-0.12870988838243
development,1,MJ3,TCN_BRES,TCN_DIRECT,-0.0455187430201195,-0.0560409148505384,-0.0337314328768895,-0.288662039629259,0.00797872340425598,-0.255641253490147
development,1,MJ1,TCN_BRES,TCN_DIRECT,-0.0503249548986428,-0.0525270700568989,-0.0291227656364736,-0.106377381992492,-0.0478723404255319,-0.15560502945962
development,2,ATU1,TCN_DIRECT,B_ANCHOR,-0.080158577866535,-0.229591281454646,-0.080976716120819,-0.90648732738084,-0.016,-0.41771022228087
development,2,ATU5,TCN_DIRECT,B_ANCHOR,-0.106089593731418,-0.855854890471238,-0.169104120574418,-3.2032532408961,-0.024,-0.86056631403826
development,2,MJ3,TCN_DIRECT,B_ANCHOR,-0.333454719838485,-0.700841495640869,-0.256984269599062,-2.75327467292156,0.0266666666666671,-0.96532853392901
development,2,MJ1,TCN_DIRECT,B_ANCHOR,-0.239504612766812,-0.372668784858912,-0.170598888488085,-1.56228568171917,0.037333333333334,-0.642668359551409
development,2,ATU1,TCN_DIRECT,DRIFT1,0.265957225360545,0.636294947077032,0.246084726526104,3.11895289835036,0.032,1.7169151984372
development,2,ATU5,TCN_DIRECT,DRIFT1,0.303029873320187,0.503194268451119,0.276252214864852,2.86591375133974,0,2.19170329579103
development,2,MJ3,TCN_DIRECT,DRIFT1,0.17857501287884,0.211602097532345,0.148453105566428,1.36857969916084,0.074666666666667,1.29031379060452
development,2,MJ1,TCN_DIRECT,DRIFT1,0.228406642758585,0.251244286981163,0.147217552383352,0.907739036008795,0.106666666666667,0.891739938050239
development,2,ATU1,TCN_DIRECT,RR_DIRECT,0.270560029382225,0.641794744177898,0.249334683143871,3.14416879090061,0.0640000000000001,1.7355379221815
development,2,ATU5,TCN_DIRECT,RR_DIRECT,0.305769521453293,0.506313358569678,0.278305941112727,2.88621670135117,0.058666666666666,2.20615307038694
development,2,MJ3,TCN_DIRECT,RR_DIRECT,0.183436536856791,0.218010155003172,0.151892549377375,1.39669475095675,0.024,1.30810898573311
development,2,MJ1,TCN_DIRECT,RR_DIRECT,0.234936332445258,0.260667547526341,0.152380117579544,0.958683212763382,-0.00533333333333308,0.920711163659803
development,2,ATU1,TCN_BRES,B_ANCHOR,-0.160642445775885,-0.595173353091007,-0.172997957950233,-2.40160730507727,-0.098666666666667,-1.04632223034894
development,2,ATU5,TCN_BRES,B_ANCHOR,-0.104012916226097,-0.977157847629419,-0.199281509829925,-4.03608728755499,0.013333333333334,-1.18658707495546
development,2,MJ3,TCN_BRES,B_ANCHOR,-0.423386989460771,-0.811294679294827,-0.324588257050542,-3.33269763513728,0.032,-1.48228203643185
development,2,MJ1,TCN_BRES,B_ANCHOR,-0.335037447428814,-0.47354030509444,-0.226218003412297,-1.76113130357005,0,-0.944939410975724
development,2,ATU1,TCN_BRES,DRIFT1,0.185473357451195,0.270712875440671,0.15406348469669,1.62383292065393,-0.050666666666667,1.08830319036913
development,2,ATU5,TCN_BRES,DRIFT1,0.305106550825508,0.381891311292938,0.246074825609345,2.03307970468085,0.037333333333334,1.86568253487383
development,2,MJ3,TCN_BRES,DRIFT1,0.0886427432565537,0.101148913878387,0.080849118114948,0.789156736945121,0.08,0.773360288101679
development,2,MJ1,TCN_BRES,DRIFT1,0.132873808096583,0.150372766745635,0.0915984374591399,0.708893414157915,0.069333333333333,0.589468886625924
development,2,ATU1,TCN_BRES,RR_DIRECT,0.190076161472874,0.276212672541537,0.157313441314457,1.64904881320418,-0.0186666666666669,1.10692591411343
development,2,ATU5,TCN_BRES,RR_DIRECT,0.307846198958614,0.385010401411497,0.24812855185722,2.05338265469228,0.096,1.88013230946974
development,2,MJ3,TCN_BRES,RR_DIRECT,0.093504267234505,0.107556971349214,0.0842885619258947,0.817271788741029,0.029333333333333,0.791155483230273
development,2,MJ1,TCN_BRES,RR_DIRECT,0.139403497783256,0.159796027290813,0.0967610026553315,0.759837590912502,-0.0426666666666671,0.618440112235488
development,2,ATU1,TCN_BRES,TCN_DIRECT,-0.08048386790935,-0.365582071636361,-0.092021241829414,-1.49511997769643,-0.082666666666667,-0.62861200806807
