phase,model,horizon,n_per_point,mae,rmse,crps,coverage80,width80,interval_score80,coverage90,width90,interval_score90,coverage95,width95,interval_score95,pooled_rmse,role,limitation
development,CL_DIRECT,1,376,0.168946659637313,0.228968554949258,0.128006852081533,0.757978723404255,0.640986640649478,0.877729561244178,0.843085106382979,0.82269744663118,1.09217767517303,0.913563829787234,0.980304471564842,1.31390309089947,0.246643874901482,historical_only_excluded_from_selection_and_gates,v4_inputs_and_separately_selected_checkpoints
development,CL_DIRECT,2,375,0.340797190453587,0.464534076006189,0.260544825163823,0.761333333333333,1.30840303748306,1.81716530158094,0.835333333333333,1.67931711807772,2.26772165743151,0.911333333333333,2.00102976710099,2.75159143101872,0.499981889080393,historical_only_excluded_from_selection_and_gates,v4_inputs_and_separately_selected_checkpoints
development,CL_DIRECT,3,374,0.513653390695582,0.700701840987422,0.394818986473008,0.755347593582888,1.98356622032336,2.77337609779531,0.830882352941176,2.54587968172067,3.4674556879351,0.912433155080214,3.03360274943906,4.20262673649796,0.753052362172629,historical_only_excluded_from_selection_and_gates,v4_inputs_and_separately_selected_checkpoints
development,CL_DIRECT,4,373,0.68537075711314,0.93461481399677,0.528474325610333,0.75201072386059,2.64412659017786,3.71808931839575,0.82372654155496,3.39369973780546,4.65441361540566,0.904825737265416,4.04384265654658,5.63208085167404,1.00338993244701,historical_only_excluded_from_selection_and_gates,v4_inputs_and_separately_selected_checkpoints
development,CL_DIRECT,5,372,0.855281186955885,1.16460308161901,0.660144433780669,0.745967741935484,3.27958849291882,4.6519056692808,0.817876344086022,4.20930626009844,5.83208009686109,0.899193548387097,5.01569777061708,7.05758638594282,1.25002207898045,historical_only_excluded_from_selection_and_gates,v4_inputs_and_separately_selected_checkpoints
development,CL_DIRECT,6,371,1.02067459735197,1.38790920166556,0.787689032550729,0.742587601078167,3.88428441401422,5.55545589163374,0.818733153638814,4.98542507244904,6.98731852662862,0.8955525606469,5.94050037615377,8.46939743837874,1.49039492878014,historical_only_excluded_from_selection_and_gates,v4_inputs_and_separately_selected_checkpoints
development,CL_DIRECT,7,370,1.17919481269629,1.60264107297311,0.909895866291186,0.743243243243243,4.45998634864412,6.4147368200928,0.825,5.72433050604864,8.08762897016449,0.895945945945946,6.82096050592243,9.83464080344077,1.72294776622625,historical_only_excluded_from_selection_and_gates,v4_inputs_and_separately_selected_checkpoints
development,CL_BRES,1,376,0.203956312127972,0.340196394127976,0.156051211032143,0.779920212765958,0.738691606308031,1.07197650642814,0.875664893617021,0.94810041242315,1.41183879102102,0.925531914893617,1.1297313217596,1.8462208236333,0.352175933700586,historical_only_excluded_from_selection_and_gates,v4_inputs_and_separately_selected_checkpoints
development,CL_BRES,2,375,0.420170109195399,0.702998475406491,0.323666990142973,0.782,1.52465230032482,2.24203852137003,0.875333333333333,1.95687004210672,2.98291145556744,0.922666666666667,2.33175447475102,3.95516059265627,0.736262398885355,historical_only_excluded_from_selection_and_gates,v4_inputs_and_separately_selected_checkpoints
development,CL_BRES,3,374,0.647166280690119,1.08583244723778,0.50164625667583,0.780080213903743,2.35251634684124,3.50524746263174,0.874331550802139,3.01942204246776,4.68796441341877,0.921791443850267,3.59786327512398,6.30009851300427,1.15020096860314,historical_only_excluded_from_selection_and_gates,v4_inputs_and_separately_selected_checkpoints
