phase,horizon,candidate,reference,mae_difference,mae_ratio,rmse_difference,rmse_ratio,crps_difference,crps_ratio,interval_score90_difference,interval_score90_ratio,coverage90_difference,coverage90_ratio,width90_difference,width90_ratio,mean_win,probability_score_win,candidate_average_coverage_pass
development,1,TCN_DIRECT,B_ANCHOR,-0.097461201422671,0.557181225544807,-0.26957979308726,0.421290893740366,-0.085372624610522,0.542088632009018,-1.02148339749846,0.492107868543833,0.0172872340425529,1.01924500370096,-0.371113943370547,0.669596420168223,True,True,True
development,1,TCN_DIRECT,DRIFT1,0.120186068042845,50.1462150727123,0.193034076910769,61.0293121024337,0.0992477699242008,55.5678518660947,0.974388082266589,64.4794082191085,0.055186170212766,1.06414219474498,0.741350290246295,69.9639891766302,False,False,True
development,1,TCN_DIRECT,RR_DIRECT,0.121922253779052,172.892432993204,0.195332171233934,213.880013912282,0.100534272570871,189.870185697838,0.985569199708399,237.429494461137,0.0219414893617019,1.02455357142857,0.74868557722898,220.264580356448,False,False,True
development,1,TCN_BRES,B_ANCHOR,-0.129607012910299,0.411125475779468,-0.33829350218493,0.273782622722347,-0.11087300374393,0.405312779719848,-1.29992417032708,0.353664230651575,-0.012632978723405,0.985936343449296,-0.55596735954277,0.50502100731058,True,True,True
development,1,TCN_BRES,DRIFT1,0.0880402565552174,37.0012225558208,0.124320367813099,39.6608741812546,0.0737473907907929,41.5473765229833,0.69594730943797,46.3395563419013,0.025265957446808,1.02936630602782,0.556496874074072,52.7680304511955,False,False,True
development,1,TCN_BRES,RR_DIRECT,0.0897764422914246,127.571570100013,0.126618462136264,138.993346466406,0.0750338934374627,141.963524425715,0.70712842687978,170.633970436323,-0.00797872340425598,0.991071428571428,0.563832161056757,166.127292345005,False,False,True
development,1,TCN_BRES,TCN_DIRECT,-0.0321458114876277,0.737866706433751,-0.06871370909767,0.64986598758784,-0.0255003791334079,0.747687289102025,-0.278440772828619,0.718672171810791,-0.0299202127659579,0.967320261437908,-0.184853416172223,0.754217006094064,True,True,True
development,2,TCN_DIRECT,B_ANCHOR,-0.189801876050813,0.569733065419504,-0.539739113106417,0.431831114380495,-0.169415998695596,0.55345333234823,-2.10632523072942,0.500685644437936,0.00600000000000001,1.00663716814159,-0.72156835744989,0.683039464724628,True,True,True
development,2,TCN_DIRECT,DRIFT1,0.243992188579539,34.2785938351254,0.400583900010415,42.5567246041318,0.204501899835184,38.3616624915092,2.06529634621493,45.1174643553063,0.053333333333333,1.06225680933852,1.52266805572075,48.1591264752402,False,False,True
development,2,TCN_DIRECT,RR_DIRECT,0.248675605034391,94.8969196009942,0.406696451319272,116.312822490256,0.207978322803379,105.137398354492,2.09644086399298,134.794935518776,0.035333333333333,1.04039634146341,1.54262778549034,126.13054946322,False,False,True
development,2,TCN_BRES,B_ANCHOR,-0.255769949722892,0.420188279932416,-0.714291546277424,0.248084450429924,-0.230771432060749,0.391732688946849,-2.8828808828349,0.316599455214987,-0.013333333333333,0.985250737463127,-1.16503268817799,0.488240607219468,True,True,True
development,2,TCN_BRES,DRIFT1,0.17802411490746,25.281073289081,0.226031466839408,24.4485894691948,0.143146466470031,27.1522752180578,1.28874069410945,28.5292074862798,0.034,1.03968871595331,1.07920372499265,34.4244254801734,False,False,True
development,2,TCN_BRES,RR_DIRECT,0.182707531362312,69.9881678600946,0.232144018148265,66.8210364759019,0.146622889438226,74.41595046783,1.3198852118875,85.2351243241482,0.016,1.01829268292683,1.09916345476224,90.1588549992127,False,False,True
development,2,TCN_BRES,TCN_DIRECT,-0.065968073672079,0.737517805154988,-0.174552433171007,0.574494153312287,-0.061355433365153,0.707797145758936,-0.77655565210548,0.632331800865588,-0.019333333333333,0.978754578754579,-0.4434643307281,0.714805853006321,True,True,True
development,3,TCN_DIRECT,B_ANCHOR,-0.276890334417916,0.58282617911287,-0.806557552646175,0.443592538050865,-0.252145336977499,0.564802203763142,-3.23117019862322,0.511212685329304,0,1,-1.04492150765963,0.697610115786807,True,True,True
development,3,TCN_DIRECT,DRIFT1,0.372190752957899,26.4092512134069,0.623768238102404,33.3951789706214,0.31625747318125,29.8077821492935,3.28425285976449,35.5121712890934,0.050802139037433,1.05951448707909,2.34598385458096,37.2939106419181,False,False,True
development,3,TCN_DIRECT,RR_DIRECT,0.380163714983935,57.9543709085286,0.633988933187929,71.1759526878912,0.322169483567739,64.5921224488919,3.33843703677049,82.4690370753007,0.035427807486631,1.04076923076923,2.37995700127851,78.610623524844,False,False,True
development,3,TCN_BRES,B_ANCHOR,-0.372645704298095,0.438557389061563,-1.0874952552662,0.249786363193552,-0.348619157027657,0.398290324607802,-4.57360235855436,0.308139566228394,-0.00735294117647001,0.991869918699188,-1.73594398461657,0.497635088702008,True,True,True
