fold,scope,station,rows,point_metric_population,point_rmse_mm,point_mae_mm,persistence_rmse_mm,persistence_mae_mm,point_rmse_skill_vs_persistence,point_mae_skill_vs_persistence,active_point_rows,active_point_rmse_mm,active_point_mae_mm,active_persistence_rmse_mm,active_persistence_mae_mm,active_point_rmse_skill_vs_persistence,active_point_mae_skill_vs_persistence,interval_rows,empirical_coverage,coverage_gap,mean_interval_width_mm,mean_interval_score_80_mm,abstention_rows,abstention_rate,drift_count,anomaly_rows,mean_anomaly_score,p95_anomaly_score,maximum_anomaly_score,artifact_status,formal_warning_output,independent_label_used,confirmatory_external_validation,vajont_used
1,station,ATU1,287,all_shadow_and_active_rows,0.25415543253369521,0.14591984812637077,0.21342476008737271,0.1597519356373974,-0.19084323875846465,0.086584788195759321,167,0.098825899038287882,0.080142580254696533,0.09885651683064077,0.080158556773088085,0.0003097195140442377,0.00019931145263474281,167,0.92814371257485029,0.12814371257485024,0.45337754216224718,0.45560604642706021,120,0.41811846689895471,1,167,0.346293955440308,0.75167635485202178,0.78055732014952206,retrospective_prequential_self_supervised_not_confirmatory,False,False,False,False
1,station,ATU2,287,all_shadow_and_active_rows,0.28205709054333289,0.11515510610970725,0.15842394430096271,0.10696860627177686,-0.78039431973427309,-0.076531798658111105,167,0.063032930245089699,0.048171962691211608,0.069793595330100253,0.050631437125748413,0.096866554202214128,0.048576034459153261,167,0.89820359281437123,0.098203592814371188,0.27728870101544384,0.28583234993642348,120,0.41811846689895471,1,167,0.42656332338314873,0.80774312317676533,1.8129133566428555,retrospective_prequential_self_supervised_not_confirmatory,False,False,False,False
1,station,ATU3,287,all_shadow_and_active_rows,0.38966939415480223,0.25265261573891973,0.31916955309138978,0.23802623693379796,-0.22088523288192774,-0.061448599085275557,167,0.37289890729830755,0.28713419481192454,0.38702225148241148,0.29627748502994011,0.036492331203199058,0.030860563762013848,167,0.78443113772455086,-0.01556886227544918,0.98853146207513509,1.1298151293794787,120,0.41811846689895471,1,167,0.58708146405930961,1.8808135922807914,1.9242792860618816,retrospective_prequential_self_supervised_not_confirmatory,False,False,False,False
1,station,ATU4,287,all_shadow_and_active_rows,0.20522859490920672,0.11256686694010948,0.1401208085467853,0.096702125435539993,-0.46465465791743865,-0.16405783671367868,167,0.17852108247008186,0.13442151462052906,0.17868985443288457,0.13467754491017966,0.00094449661587303613,0.0019010614562461337,167,0.62874251497005984,-0.1712574850299402,0.43113605420753193,0.56276576312785354,120,0.41811846689895471,1,167,0.94514135236176933,1.9344984512435677,1.968482948553935,retrospective_prequential_self_supervised_not_confirmatory,False,False,False,False
1,station,ATU5,287,all_shadow_and_active_rows,0.55175951711315296,0.2758830762670415,0.38743690823451499,0.28761980401839121,-0.42412740083909028,0.04080639645592421,167,0.15456401310122289,0.13870006032097487,0.17644118830839442,0.1521446161640955,0.12399131640925753,0.088366951010740991,167,0.97005988023952094,0.1700598802395209,0.78852656015753309,0.80248509325427542,120,0.41811846689895471,1,167,0.37330366385682451,0.70937276473578603,1.7923916894982539,retrospective_prequential_self_supervised_not_confirmatory,False,False,False,False
1,station,MJ1,287,all_shadow_and_active_rows,0.18188857493918026,0.11880331627868028,0.34170452501504067,0.26700872006361237,0.46770217651880919,0.55505829079148994,167,0.21513055716767823,0.13639302818132942,0.29695696449546777,0.20951587383870277,0.27554971632611225,0.34900861838118991,167,0.70059880239520955,-0.099401197604790492,0.31402326219673576,0.88463479949076074,120,0.41811846689895471,1,167,0.10823064380194489,0.47033526537637033,0.65066532476146377,retrospective_prequential_self_supervised_not_confirmatory,False,False,False,False
1,station,MJ3,287,all_shadow_and_active_rows,0.093801040043063819,0.055967712926867724,0.077251893499880375,0.055663480939815109,-0.2142231833218311,-0.005465558062772935,107,0.044694599957789606,0.030914564261306239,0.045147516876633147,0.032025953219598169,0.010031934205399384,0.034702759685910634,107,0.65420560747663548,-0.14579439252336457,0.13405612773372055,0.1765591240365279,180,0.62717770034843201,2,107,1.0191699075539309,2.0606978403536118,2.0791812460476247,retrospective_prequential_self_supervised_not_confirmatory,False,False,False,False
1,station,MJ9,287,all_shadow_and_active_rows,0.08995766295740068,0.071203889457671227,0.12517122329896871,0.092866132404181387,0.2813231301371979,0.23326311095017449,208,0.0971542026901515,0.076160469803080458,0.12315737166598312,0.083291201923077166,0.21113773884648324,0.085612068926346319,208,0.73076923076923073,-0.069230769230769318,0.1913849632848342,0.32850735840387829,79,0.27526132404181186,1,208,0.50453245412460501,2.2576785748691846,2.2576785748691846,retrospective_prequential_self_supervised_not_confirmatory,False,False,False,False
1,overall,__overall__,2296,all_shadow_and_active_rows,0.29422041775210822,0.143519053980671,0.24511638802417446,0.16307588021306405,-0.20032944399903152,0.11992470135277766,1317,0.18430102852308769,0.11914815035844475,0.20637285630893443,0.1328474318952696,0.10695121529357443,0.10312040918957832,1317,0.79119210326499623,-0.0088078967350038173,0.45359425679103743,0.58880151871660025,979,0.42639372822299654,9,1317,0.5158379163637361,1.9138138523837167,2.2576785748691846,retrospective_prequential_self_supervised_not_confirmatory,False,False,False,False
2,station,ATU1,287,all_shadow_and_active_rows,0.095132601684604898,0.059830694118175404,0.090926679760846618,0.070589805746716652,-0.046256191635068999,0.15241735707767812,107,0.13760732427505692,0.094709691628734841,0.1171682895015228,0.085793729759787579,-0.17444169288882971,-0.10392323417936145,107,0.47663551401869159,-0.32336448598130846,0.13063770219068871,0.52785842979755171,180,0.62717770034843201,2,107,0.12596731985842469,0.75063017673238075,2.0170333392987803,retrospective_prequential_self_supervised_not_confirmatory,False,False,False,False
