fold,date,issue_batch_sha256,outcome_phase,available_station_score_count,abstained_station_score_count,block_o1_available_station_count,block_o1_expected_station_count,block_o1_contributor_station,block_o1_max_anomaly_score,block_o2_available_station_count,block_o2_expected_station_count,block_o2_contributor_station,block_o2_max_anomaly_score,block_o3_available_station_count,block_o3_expected_station_count,block_o3_contributor_station,block_o3_max_anomaly_score,cross_block_min_of_block_max_anomaly_score,site_score_status,artifact_status,formal_warning_output,independent_label_used,confirmatory_external_validation,vajont_used
1,2018-03-07,213bdaa8b494612306d65a1d4d2cd4909f33da1285792170e98445f4bd6995e6,after_all_same_date_station_outcomes_revealed,0,8,0,3,,,0,3,,,0,2,,,,abstain_spatial_incomplete,retrospective_prequential_self_supervised_not_confirmatory,False,False,False,False
1,2018-03-08,559a7cbe13bb40122d5ab9eb20abb551c23568cb8601aa2cbda7e846be16bd58,after_all_same_date_station_outcomes_revealed,0,8,0,3,,,0,3,,,0,2,,,,abstain_spatial_incomplete,retrospective_prequential_self_supervised_not_confirmatory,False,False,False,False
1,2018-03-09,a3334d36e31627dc4bfd4729e61b75895df54f579a5a591f960e4e1f677af190,after_all_same_date_station_outcomes_revealed,0,8,0,3,,,0,3,,,0,2,,,,abstain_spatial_incomplete,retrospective_prequential_self_supervised_not_confirmatory,False,False,False,False
1,2018-03-10,ef1bd4741a96391c6a36af9f5b6312338b0604920fd239e63f18ee12c08bf57f,after_all_same_date_station_outcomes_revealed,0,8,0,3,,,0,3,,,0,2,,,,abstain_spatial_incomplete,retrospective_prequential_self_supervised_not_confirmatory,False,False,False,False
1,2018-03-11,a6dd4d6fdeb320ab15f2fbcf8cc511f01abf25f5ed42452c00238b2decd2b72f,after_all_same_date_station_outcomes_revealed,0,8,0,3,,,0,3,,,0,2,,,,abstain_spatial_incomplete,retrospective_prequential_self_supervised_not_confirmatory,False,False,False,False
1,2018-03-12,086e435b73d5f749a306d30f60f41989f5f720f030dbf3b8eaa31c0255a5bfec,after_all_same_date_station_outcomes_revealed,0,8,0,3,,,0,3,,,0,2,,,,abstain_spatial_incomplete,retrospective_prequential_self_supervised_not_confirmatory,False,False,False,False
1,2018-03-13,0964f65093915f5923dd29dc31799a5a16cd04017be19300bda5e010a1b67978,after_all_same_date_station_outcomes_revealed,0,8,0,3,,,0,3,,,0,2,,,,abstain_spatial_incomplete,retrospective_prequential_self_supervised_not_confirmatory,False,False,False,False
1,2018-03-14,68d9b91081789e9960509ac1150352aecfd480f077c9a3979bc7c688722bb32b,after_all_same_date_station_outcomes_revealed,0,8,0,3,,,0,3,,,0,2,,,,abstain_spatial_incomplete,retrospective_prequential_self_supervised_not_confirmatory,False,False,False,False
1,2018-03-15,46ac2624f3778257361b97a7234bde70b8459b487e0be45151dcd229f61592fb,after_all_same_date_station_outcomes_revealed,0,8,0,3,,,0,3,,,0,2,,,,abstain_spatial_incomplete,retrospective_prequential_self_supervised_not_confirmatory,False,False,False,False
1,2018-03-16,872fc24124e43d360082cb548028834c0dcd5c70461bce3255a3f72b4b997688,after_all_same_date_station_outcomes_revealed,0,8,0,3,,,0,3,,,0,2,,,,abstain_spatial_incomplete,retrospective_prequential_self_supervised_not_confirmatory,False,False,False,False
1,2018-03-17,0d1489827a944ad396f485508f0a58f825c455ca78dad112b357b2fe26e5deab,after_all_same_date_station_outcomes_revealed,0,8,0,3,,,0,3,,,0,2,,,,abstain_spatial_incomplete,retrospective_prequential_self_supervised_not_confirmatory,False,False,False,False
1,2018-03-18,9ee7855b78e434429d86462bf13bfba5a9be45e365ecb4fd748ae1afce971b36,after_all_same_date_station_outcomes_revealed,0,8,0,3,,,0,3,,,0,2,,,,abstain_spatial_incomplete,retrospective_prequential_self_supervised_not_confirmatory,False,False,False,False
1,2018-03-19,428c60ca5857df98dc535963cd7256e61e49e8bfa990e12123467e20770583d0,after_all_same_date_station_outcomes_revealed,0,8,0,3,,,0,3,,,0,2,,,,abstain_spatial_incomplete,retrospective_prequential_self_supervised_not_confirmatory,False,False,False,False
1,2018-03-20,f3f14914cd029338ae603f2d766fbb60c3b1ef476bdbe6c7e49a043428c287f2,after_all_same_date_station_outcomes_revealed,0,8,0,3,,,0,3,,,0,2,,,,abstain_spatial_incomplete,retrospective_prequential_self_supervised_not_confirmatory,False,False,False,False
1,2018-03-21,36e85eaa76237ca4522cf91b2d73a24b624660f304f018ce7900a0b63e03a30e,after_all_same_date_station_outcomes_revealed,0,8,0,3,,,0,3,,,0,2,,,,abstain_spatial_incomplete,retrospective_prequential_self_supervised_not_confirmatory,False,False,False,False
1,2018-03-22,30a57dffa1e0bcd22ba7dad2f9f69708729e54effa9968b64622bcb62e8fbd47,after_all_same_date_station_outcomes_revealed,0,8,0,3,,,0,3,,,0,2,,,,abstain_spatial_incomplete,retrospective_prequential_self_supervised_not_confirmatory,False,False,False,False
1,2018-03-23,799b3463e1518cc53b9d7449d8422d20c687fd5fee4ab5bf660e7b092abe9ffc,after_all_same_date_station_outcomes_revealed,0,8,0,3,,,0,3,,,0,2,,,,abstain_spatial_incomplete,retrospective_prequential_self_supervised_not_confirmatory,False,False,False,False
1,2018-03-24,cc58eda1c2b6387832eb484a2c6abf9a10ed385fa27b3606ea05d3f4c521809b,after_all_same_date_station_outcomes_revealed,0,8,0,3,,,0,3,,,0,2,,,,abstain_spatial_incomplete,retrospective_prequential_self_supervised_not_confirmatory,False,False,False,False
1,2018-03-25,6a837cde5c686310c550582d8875cea5244e4a7ae9341c37f18a303f612620e7,after_all_same_date_station_outcomes_revealed,0,8,0,3,,,0,3,,,0,2,,,,abstain_spatial_incomplete,retrospective_prequential_self_supervised_not_confirmatory,False,False,False,False
1,2018-03-26,23043cfada1bed1a8e0a6faebad5231b7c8a6ce4b15187bc114c97aaa18274fe,after_all_same_date_station_outcomes_revealed,0,8,0,3,,,0,3,,,0,2,,,,abstain_spatial_incomplete,retrospective_prequential_self_supervised_not_confirmatory,False,False,False,False
1,2018-03-27,c856333137982cfbcf1b104a1ca6b1b141f5b5286ebef0510c56efcd91d4329a,after_all_same_date_station_outcomes_revealed,0,8,0,3,,,0,3,,,0,2,,,,abstain_spatial_incomplete,retrospective_prequential_self_supervised_not_confirmatory,False,False,False,False
1,2018-03-28,8406a84cd8a217f8e86fa4559b22d5745c5d93c8dded639b790e0e2314fbc43b,after_all_same_date_station_outcomes_revealed,0,8,0,3,,,0,3,,,0,2,,,,abstain_spatial_incomplete,retrospective_prequential_self_supervised_not_confirmatory,False,False,False,False
1,2018-03-29,8ee5dcac8775fae4cd79f464d21c26a1668bf172fae51dcd82f274d2f275f969,after_all_same_date_station_outcomes_revealed,0,8,0,3,,,0,3,,,0,2,,,,abstain_spatial_incomplete,retrospective_prequential_self_supervised_not_confirmatory,False,False,False,False
1,2018-03-30,124b8df8874b4807276c926612f9c8174b2a6aaadbe8a77e8b4e9738bf6333da,after_all_same_date_station_outcomes_revealed,0,8,0,3,,,0,3,,,0,2,,,,abstain_spatial_incomplete,retrospective_prequential_self_supervised_not_confirmatory,False,False,False,False
1,2018-03-31,649253f05542cae64f5a4382e62d5fcd847f79e06fb9381ea4c0ba209752ec0e,after_all_same_date_station_outcomes_revealed,0,8,0,3,,,0,3,,,0,2,,,,abstain_spatial_incomplete,retrospective_prequential_self_supervised_not_confirmatory,False,False,False,False
1,2018-04-01,be57bd52aef9ad647b20e9434e55b398af62c7155c6dafb2c5aaa913a7911623,after_all_same_date_station_outcomes_revealed,0,8,0,3,,,0,3,,,0,2,,,,abstain_spatial_incomplete,retrospective_prequential_self_supervised_not_confirmatory,False,False,False,False
1,2018-04-02,41d6924bf03e456721d2b6eb575ab1d7f670363129ac4866606a04bf6ce9b4b2,after_all_same_date_station_outcomes_revealed,0,8,0,3,,,0,3,,,0,2,,,,abstain_spatial_incomplete,retrospective_prequential_self_supervised_not_confirmatory,False,False,False,False
1,2018-04-03,2186e79e976bb00cb69eb9cbcc24ebe364c4625c952c769ed527c0b5f28b39ee,after_all_same_date_station_outcomes_revealed,0,8,0,3,,,0,3,,,0,2,,,,abstain_spatial_incomplete,retrospective_prequential_self_supervised_not_confirmatory,False,False,False,False
1,2018-04-04,ecfffcf58e3fb412e15299ed1628983855696898ec33dd6ae9eb15c1d4a2c936,after_all_same_date_station_outcomes_revealed,0,8,0,3,,,0,3,,,0,2,,,,abstain_spatial_incomplete,retrospective_prequential_self_supervised_not_confirmatory,False,False,False,False
1,2018-04-05,30434dbc846147ab848f3d4aaf18b5e9fdbafeda2eb8a216184782bb0db47cf5,after_all_same_date_station_outcomes_revealed,0,8,0,3,,,0,3,,,0,2,,,,abstain_spatial_incomplete,retrospective_prequential_self_supervised_not_confirmatory,False,False,False,False
1,2018-04-06,6ac7c17240de722076e4812789e21bda553bdb1385ff1695499afc9504cf2abf,after_all_same_date_station_outcomes_revealed,0,8,0,3,,,0,3,,,0,2,,,,abstain_spatial_incomplete,retrospective_prequential_self_supervised_not_confirmatory,False,False,False,False
1,2018-04-07,69310bb06b5a6462d05e13228cfdf72f5ed009adfd1c53e553ec99e24a507025,after_all_same_date_station_outcomes_revealed,0,8,0,3,,,0,3,,,0,2,,,,abstain_spatial_incomplete,retrospective_prequential_self_supervised_not_confirmatory,False,False,False,False
1,2018-04-08,ea37664a3db4858e6e3a8b48d76920f3bacaea45f616834f34528210b607a6d2,after_all_same_date_station_outcomes_revealed,0,8,0,3,,,0,3,,,0,2,,,,abstain_spatial_incomplete,retrospective_prequential_self_supervised_not_confirmatory,False,False,False,False
1,2018-04-09,025358f7e114c58d70670e570e94669a085af8cef0bf5d667aa720089cb565f3,after_all_same_date_station_outcomes_revealed,0,8,0,3,,,0,3,,,0,2,,,,abstain_spatial_incomplete,retrospective_prequential_self_supervised_not_confirmatory,False,False,False,False
1,2018-04-10,010c0b9429851f955aeeccfb57963817f6baaaf07819eb627558cdd7d7d1b1ef,after_all_same_date_station_outcomes_revealed,0,8,0,3,,,0,3,,,0,2,,,,abstain_spatial_incomplete,retrospective_prequential_self_supervised_not_confirmatory,False,False,False,False
1,2018-04-11,b8d1382c7c9b6fce5cbcf5ff641255540415f3f937983183d5d1bfa8ff29fe74,after_all_same_date_station_outcomes_revealed,0,8,0,3,,,0,3,,,0,2,,,,abstain_spatial_incomplete,retrospective_prequential_self_supervised_not_confirmatory,False,False,False,False
1,2018-04-12,bed74f8fd9917a992b368e742df7ffa1a81ca3d324704a6de902674686e3034b,after_all_same_date_station_outcomes_revealed,0,8,0,3,,,0,3,,,0,2,,,,abstain_spatial_incomplete,retrospective_prequential_self_supervised_not_confirmatory,False,False,False,False
1,2018-04-13,a90b871dab15be73d379cca99b946ed2563ac071be176932e428ca9d7dd5e7ed,after_all_same_date_station_outcomes_revealed,0,8,0,3,,,0,3,,,0,2,,,,abstain_spatial_incomplete,retrospective_prequential_self_supervised_not_confirmatory,False,False,False,False
