figure,point,model_rmse,bplus_rmse,fitted_days,predicted_days
TRANSFORMER_DIRECT_COND,ATU1,18.210930183476453,8.0682459891575906,1168,293
TRANSFORMER_DIRECT_COND,ATU5,42.695039161162498,9.1150067099766563,1168,293
TRANSFORMER_DIRECT_COND,MJ3,37.559807047329194,13.016273948901418,1168,293
TRANSFORMER_DIRECT_COND,MJ1,47.201657372104449,6.2971662230627254,1168,293
TRANSFORMER_BRES_COND,ATU1,7.483541191338646,8.0682459891575906,1168,293
TRANSFORMER_BRES_COND,ATU5,6.6469539925140575,9.1150067099766563,1168,293
TRANSFORMER_BRES_COND,MJ3,16.488313314109192,13.016273948901418,1168,293
TRANSFORMER_BRES_COND,MJ1,6.4975194208905505,6.2971662230627254,1168,293
CNN_MAMBA_DIRECT_COND,ATU1,29.763502599030009,8.0682459891575906,1168,293
CNN_MAMBA_DIRECT_COND,ATU5,48.999201589632669,9.1150067099766563,1168,293
CNN_MAMBA_DIRECT_COND,MJ3,39.065893314989736,13.016273948901418,1168,293
CNN_MAMBA_DIRECT_COND,MJ1,40.611879216941311,6.2971662230627254,1168,293
CNN_MAMBA_BRES_COND,ATU1,10.62737746701765,8.0682459891575906,1168,293
CNN_MAMBA_BRES_COND,ATU5,12.398621538401034,9.1150067099766563,1168,293
CNN_MAMBA_BRES_COND,MJ3,12.255235998234539,13.016273948901418,1168,293
CNN_MAMBA_BRES_COND,MJ1,6.221222735264349,6.2971662230627254,1168,293
