origin,phase,method,seed,n_per_point,mae,rmse,crps,coverage80,width80,interval_score80,coverage90,width90,interval_score90,coverage95,width95,interval_score95
612,historical_exploratory,BPLUS_CONTINUOUS,0,293,29.431282942901532,34.94954821347779,34.552636701589471,0.72866894197952214,172.33652776154906,316.06415074895239,0.77901023890784982,221.19153873012218,472.09108954613492,0.81655290102389078,263.56597480319522,715.0528938617291
612,historical_exploratory,BPLUS_CONTINUOUS,1,293,29.431282942901532,34.94954821347779,34.552636701589471,0.72866894197952214,172.33652776154906,316.06415074895239,0.77901023890784982,221.19153873012218,472.09108954613492,0.81655290102389078,263.56597480319522,715.0528938617291
612,historical_exploratory,BPLUS_CONTINUOUS,2,293,29.431282942901532,34.94954821347779,34.552636701589471,0.72866894197952214,172.33652776154906,316.06415074895239,0.77901023890784982,221.19153873012218,472.09108954613492,0.81655290102389078,263.56597480319522,715.0528938617291
612,historical_exploratory,DRIFT1,0,293,19.879082093017622,22.780897914938627,71.617502340259236,1,775.01047002301891,775.01047002301891,1,994.71516934319004,994.71516934319004,1,1185.2762305674951,1185.2762305674951
612,historical_exploratory,DRIFT1,1,293,19.879082093017622,22.780897914938627,71.617502340259236,1,775.01047002301891,775.01047002301891,1,994.71516934319004,994.71516934319004,1,1185.2762305674951,1185.2762305674951
612,historical_exploratory,DRIFT1,2,293,19.879082093017622,22.780897914938627,71.617502340259236,1,775.01047002301891,775.01047002301891,1,994.71516934319004,994.71516934319004,1,1185.2762305674951,1185.2762305674951
612,historical_exploratory,RR_COND,0,293,32.792665013116057,38.231831608019327,43.07675721199395,0.58703071672354956,221.16701033636804,422.25713608651358,0.63395904436860062,283.86478460521073,654.8957271350364,0.6774744027303754,338.24575341490095,1034.4674730492145
612,historical_exploratory,RR_COND,1,293,32.792665013116057,38.231831608019327,43.07675721199395,0.58703071672354956,221.16701033636804,422.25713608651358,0.63395904436860062,283.86478460521073,654.8957271350364,0.6774744027303754,338.24575341490095,1034.4674730492145
612,historical_exploratory,RR_COND,2,293,32.792665013116057,38.231831608019327,43.07675721199395,0.58703071672354956,221.16701033636804,422.25713608651358,0.63395904436860062,283.86478460521073,654.8957271350364,0.6774744027303754,338.24575341490095,1034.4674730492145
612,historical_exploratory,A0,0,293,29.431282942901532,34.94954821347779,34.552636701589471,0.72866894197952214,172.33652776154906,316.06415074895239,0.77901023890784982,221.19153873012218,472.09108954613492,0.81655290102389078,263.56597480319522,715.0528938617291
