origin,phase,method,n_per_point,mae,rmse,crps,coverage80,width80,interval_score80,coverage90,width90,interval_score90,coverage95,width95,interval_score95
612,historical_exploratory,BPLUS_CONTINUOUS,293,29.431282942901532,34.94954821347779,34.552636701589471,0.72866894197952214,172.33652776154906,316.06415074895239,0.77901023890784982,221.19153873012218,472.09108954613492,0.81655290102389078,263.56597480319522,715.0528938617291
612,historical_exploratory,DRIFT1,293,19.879082093017622,22.780897914938627,71.617502340259236,1,775.01047002301891,775.01047002301891,1,994.71516934319004,994.71516934319004,1,1185.2762305674951,1185.2762305674951
612,historical_exploratory,RR_COND,293,32.792665013116057,38.231831608019327,43.07675721199395,0.58703071672354956,221.16701033636804,422.25713608651358,0.63395904436860062,283.86478460521073,654.8957271350364,0.6774744027303754,338.24575341490095,1034.4674730492145
612,historical_exploratory,A0,293,29.431282942901532,34.94954821347779,34.552636701589471,0.72866894197952214,172.33652776154906,316.06415074895239,0.77901023890784982,221.19153873012218,472.09108954613492,0.81655290102389078,263.56597480319522,715.0528938617291
612,historical_exploratory,A025,293,29.417944449819309,34.836424310437366,34.840202364161321,0.72440273037542668,172.10298894186474,319.71462403141862,0.77559726962457343,220.89179490012768,479.27354969544183,0.81399317406143346,263.20880800017341,728.57465260372931
612,historical_exploratory,A05,293,29.465830174650353,34.758173035237846,35.139166223218318,0.72098976109215018,171.87330118653512,323.43335315561467,0.77218430034129693,220.59699385772097,486.61021689396387,0.8122866894197952,262.85753089183083,742.35670545731409
612,historical_exploratory,A075,293,29.556556306241621,34.720120966165652,35.449320182903406,0.71501706484641647,171.64769317275437,327.1967076761992,0.76706484641638228,220.30742910690367,494.07361388622326,0.79351535836177478,262.51249320975705,756.51837182599286
612,historical_exploratory,A1,293,29.689613771460515,34.731632671915079,35.770444662966383,0.70989761092150172,171.4264233952033,331.05631734807361,0.76023890784982928,220.02343242200638,501.77112835065566,0.77986348122866889,262.1740902874501,772.55217814352727
612,historical_exploratory,ALPHA_SELECTED,293,29.431282942901532,34.94954821347779,34.552636701589471,0.72866894197952214,172.33652776154906,316.06415074895239,0.77901023890784982,221.19153873012218,472.09108954613492,0.81655290102389078,263.56597480319522,715.0528938617291
612,historical_exploratory,L0,293,29.689613771460515,34.731632671915079,35.770444662966383,0.70989761092150172,171.4264233952033,331.05631734807361,0.76023890784982928,220.02343242200638,501.77112835065566,0.77986348122866889,262.1740902874501,772.55217814352727
612,historical_exploratory,L033,293,29.658178528490851,34.826160086891285,35.340035531380295,0.71928327645051193,171.76151551242873,325.09887463128473,0.7696245733788396,220.45351849829069,488.62294172715553,0.79351535836177478,262.68656945639088,743.32888887211402
612,historical_exploratory,L1,293,29.588850615129786,34.87107937231071,34.914361960533626,0.72098976109215018,171.29754090135614,319.99434634224821,0.77303754266211611,219.85801353200259,478.77485850081888,0.81313993174061427,261.97698152259846,724.0671400016505
612,historical_exploratory,L3,293,29.505688983416011,34.927836242809697,34.691637978317473,0.72610921501706482,171.59451649725807,317.40990152418397,0.77559726962457332,220.2391775828051,473.91370962424548,0.81569965870307171,262.43116650266802,715.83506419698904
612,historical_exploratory,LAMBDA_SELECTED,293,29.505688983416011,34.927836242809697,34.691637978317473,0.72610921501706482,171.59451649725807,317.40990152418397,0.77559726962457332,220.2391775828051,473.91370962424548,0.81569965870307171,262.43116650266802,715.83506419698904
792,historical_exploratory,BPLUS_CONTINUOUS,293,23.582514327478208,27.313324693235963,24.157336515615388,0.54948805460750849,75.008991503086577,217.79102734855053,0.56825938566552903,96.272998328704517,366.24197087329276,0.57764505119453924,114.71635306398764,631.1815576174132
792,historical_exploratory,DRIFT1,293,4.9600133758283906,5.824269689498327,6.2740718102309723,0.9837883959044369,59.109581859581283,59.143644903792456,1,75.866326976862837,75.866326976862837,1,90.400304366035556,90.400304366035556
792,historical_exploratory,RR_COND,293,27.493400923428066,31.315923952310108,24.693028769120119,0.53583617747440271,91.560493407760362,212.09134378211368,0.57423208191126274,117.51662103679877,317.63934116972848,0.60665529010238906,140.02969081440514,477.09134144267148
792,historical_exploratory,A0,293,23.582514327478208,27.313324693235963,24.157336515615388,0.54948805460750849,75.008991503086577,217.79102734855053,0.56825938566552903,96.272998328704517,366.24197087329276,0.57764505119453924,114.71635306398764,631.1815576174132
792,historical_exploratory,A025,293,24.723967518800439,28.484649070349601,24.621249919630124,0.53924914675767921,75.305703099679647,221.89947557186684,0.56399317406143346,96.653823540062504,373.05807728635915,0.58105802047781574,115.17013429195606,642.68686105125698
792,historical_exploratory,A05,293,25.923436406353336,29.789180827174597,25.092188878710562,0.52559726962457332,75.770648317704683,225.65861967034124,0.56825938566552903,97.250574266887369,378.79690354804069,0.58447098976109213,115.88120664098494,651.74911117988745
792,historical_exploratory,A075,293,27.122905293906239,31.181572563702282,25.575758070501692,0.52815699658703075,76.377298962083842,229.14212024021671,0.55546075085324231,98.029201939411408,383.97231117474081,0.59044368600682595,116.80899873780621,658.69153676141411
792,historical_exploratory,A1,293,28.322374181459143,32.638861837561372,26.065784697307436,0.52986348122866889,77.154544278364995,232.18408780697069,0.55119453924914674,99.026785502873167,388.13452158433955,0.59812286689419802,117.99769287077768,663.35993249072965
792,historical_exploratory,ALPHA_SELECTED,293,23.582514327478208,27.313324693235963,24.157336515615388,0.54948805460750849,75.008991503086577,217.79102734855053,0.56825938566552903,96.272998328704517,366.24197087329276,0.57764505119453924,114.71635306398764,631.1815576174132
792,historical_exploratory,L0,293,28.322374181459143,32.638861837561372,26.065784697307436,0.52986348122866889,77.154544278364995,232.18408780697069,0.55119453924914674,99.026785502873167,388.13452158433955,0.59812286689419802,117.99769287077768,663.35993249072965
792,historical_exploratory,L033,293,26.742625846418029,30.897719016759293,25.234957037577495,0.54180887372013653,76.471402408809411,225.6279963831679,0.5759385665529011,98.149982405696747,377.32132931219144,0.61092150170648463,116.95291754010958,647.22083591690784
792,historical_exploratory,L1,293,25.407807002501634,29.408014403689794,24.632992837566281,0.54351535836177478,75.671148668949343,220.68798720198927,0.59556313993174059,97.122867850278155,369.35243973342654,0.61006825938566556,115.72903505984993,634.53155543503942
792,historical_exploratory,L3,293,24.222704245535542,28.101706385002799,24.223414816764688,0.53924914675767921,75.009583494043568,217.87350828880355,0.57935153583617749,96.273758140872104,365.67046265077823,0.61177474402730381,114.71725843602744,630.23843158503462
792,historical_exploratory,LAMBDA_SELECTED,293,24.222704245535542,28.101706385002799,24.223414816764688,0.53924914675767921,75.009583494043568,217.87350828880355,0.57935153583617749,96.273758140872104,365.67046265077823,0.61177474402730381,114.71725843602744,630.23843158503462
972,historical_exploratory,BPLUS_CONTINUOUS,293,61.563105654715187,67.16738918938411,48.09195283382784,0.22781569965870307,67.661105635248617,352.38791734290538,0.44197952218430042,86.842088917734046,535.73027460944616,0.55375426621160406,103.47873137893829,868.82363484720258
972,historical_exploratory,DRIFT1,293,8.6373392339333819,10.594506460633186,7.0340237741414544,0.39249146757679182,14.57471637624883,54.771497245775898,0.44368600682593862,18.706445950205875,79.448306641031678,0.60324232081911267,22.290105174343523,119.58042682149103
972,historical_exploratory,RR_COND,293,43.445352022147233,48.588247590159071,33.31071408273327,0.44539249146757676,66.79237283582664,239.39875913888406,0.5955631399317407,85.727082440898528,366.35583903757129,0.65529010238907848,102.15011921471987,592.94094788780262
972,historical_exploratory,A0,293,61.563105654715187,67.16738918938411,48.09195283382784,0.22781569965870307,67.661105635248617,352.38791734290538,0.44197952218430042,86.842088917734046,535.73027460944616,0.55375426621160406,103.47873137893829,868.82363484720258
