phase,model,seed,mae,rmse,crps,coverage80,width80,interval_score80,coverage90,width90,interval_score90,coverage95,width95,interval_score95
development,TRANSFORMER_BRES_COND,0,38.991132240639566,49.240736637366737,34.788446308469901,0.5,77.154544278364497,304.48801381200133,0.51529255319148937,99.026785502873551,525.07172868672626,0.52859042553191493,117.99769287077753,922.84147914511379
development,TRANSFORMER_BRES_COND,1,38.057174147362602,46.532463491397728,33.849571761128686,0.48470744680851063,77.154544278364497,291.05722703296431,0.52327127659574468,99.026785502873551,496.47147961361657,0.53723404255319152,117.99769287077753,864.442253058402
development,TRANSFORMER_BRES_COND,2,43.21402537549713,49.846752985233408,37.780346944873124,0.44547872340425532,77.154544278364497,328.31617084034292,0.45345744680851063,99.026785502873551,570.25559322653316,0.45877659574468083,117.99769287077753,1007.9278586432713
development,TRANSFORMER_BRES_REG1,0,35.569929488656093,44.862200426023833,32.490498876152145,0.51196808510638292,75.671148668949641,283.95249781490293,0.5352393617021276,97.122867850278993,487.48243999719881,0.54321808510638292,115.72903505984966,853.83694386099944
development,TRANSFORMER_BRES_REG1,1,35.363744749529495,43.51015379810751,32.252577454508469,0.4853723404255319,75.671148668949641,278.9693635886851,0.51994680851063835,97.122867850278993,476.28175262461434,0.53390957446808507,115.72903505984966,830.24452601403914
development,TRANSFORMER_BRES_REG1,2,37.520577549620143,45.081153060711394,33.659756124921628,0.4521276595744681,75.671148668949641,292.33576295674641,0.46875,97.122867850278993,501.8899282106849,0.48005319148936165,115.72903505984966,878.38381958172556
final_exploratory,TRANSFORMER_BRES_COND,0,8.5387335091195169,11.092461047975966,19.371550714181108,1,204.77835314544075,204.77835314544075,1,262.83017082444957,262.83017082444957,1,313.1814651624494,313.1814651624494
final_exploratory,TRANSFORMER_BRES_COND,1,6.8125064105765283,9.008235578215281,19.152842610105424,1,204.77835314544075,204.77835314544075,1,262.83017082444957,262.83017082444957,1,313.1814651624494,313.1814651624494
final_exploratory,TRANSFORMER_BRES_COND,2,9.1645639320947456,11.493235091091334,19.429248507263807,1,204.77835314544075,204.77835314544075,1,262.83017082444957,262.83017082444957,1,313.1814651624494,313.1814651624494
final_exploratory,TRANSFORMER_BRES_REG1,0,7.2391904160543001,9.5710534182966249,17.720606520371692,1,188.28022125983975,188.28022125983975,1,241.65504779424751,241.65504779424751,1,287.9497498126039,287.9497498126039
final_exploratory,TRANSFORMER_BRES_REG1,1,6.8779990197024894,9.0437675854705546,17.660035946985261,1,188.28022125983975,188.28022125983975,1,241.65504779424751,241.65504779424751,1,287.9497498126039,287.9497498126039
final_exploratory,TRANSFORMER_BRES_REG1,2,6.8655075674940367,9.237890198628639,17.721691188074139,1,188.28022125983975,188.28022125983975,1,241.65504779424751,241.65504779424751,1,287.9497498126039,287.9497498126039
