phase,mean_source,sigma_source,point,diagnostic_only,mae,rmse,crps,coverage80,width80,interval_score80,coverage90,width90,interval_score90,coverage95,width95,interval_score95
development,BPLUS_CONTINUOUS,BPLUS_CONTINUOUS,ATU1,True,35.977567233169452,40.328442814079295,34.396354276572765,0.050531914893617018,7.4327035636015353,330.96169518151299,0.053191489361702128,9.5397717449236872,636.59462547096882,0.053191489361702128,11.367339156759479,1230.8699190230216
development,BPLUS_CONTINUOUS,BPLUS_CONTINUOUS,ATU5,True,43.55499084906868,48.518020357563614,40.591435821699392,0.1702127659574468,14.850198314250605,381.18465023290184,0.18351063829787234,19.060023189752492,717.08799432552394,0.18882978723404256,22.711418441317527,1359.3410340202095
development,BPLUS_CONTINUOUS,BPLUS_CONTINUOUS,MJ3,True,20.525886341157616,36.377155092530664,25.335082863265988,1,212.78477852195917,212.78477852195917,1,273.10630654426865,273.10630654426865,1,325.4262361141453,325.4262361141453
development,BPLUS_CONTINUOUS,BPLUS_CONTINUOUS,MJ1,True,33.002102984452229,40.249869223585421,23.817619101911568,0.71276595744680848,64.968285612535226,155.36447252037505,0.75531914893617025,83.385891835874418,215.61198051699702,0.78457446808510634,99.360418543726482,290.1025458490634
development,BPLUS_CONTINUOUS,TRANSFORMER_BRES_COND,ATU1,True,35.977567233169452,40.328442814079295,32.362961627898883,0.17553191489361702,18.034696701390274,293.62080622414499,0.18617021276595744,23.14728262038053,532.53283240910253,0.19414893617021275,27.581688444824806,974.5084701218301
development,BPLUS_CONTINUOUS,TRANSFORMER_BRES_COND,ATU5,True,43.55499084906868,48.518020357563614,41.940915943792341,0.055851063829787231,7.716787550011011,406.07017281826035,0.061170212765957445,9.9043895940744733,786.0304819558587,0.11968085106382979,11.801808121502779,1529.1719538093234
development,BPLUS_CONTINUOUS,TRANSFORMER_BRES_COND,MJ3,True,20.525886341157616,36.377155092530664,25.705784508318818,1,218.28333905400495,218.28333905400495,1,280.16363258351225,280.16363258351225,1,333.83555876597813,333.83555876597813
development,BPLUS_CONTINUOUS,TRANSFORMER_BRES_COND,MJ1,True,33.002102984452229,40.249869223585421,23.839773958475568,0.71276595744680848,64.583353808051754,155.53236830743651,0.75265957446808507,82.891837213526983,216.33494366114988,0.78191489361702127,98.771716150804366,292.05124631975201
development,BPLUS_CONTINUOUS,TRANSFORMER_BRES_REG1,ATU1,True,35.977567233169452,40.328442814079295,33.01984167536844,0.13829787234042554,14.447262378385055,305.00591436028645,0.17819148936170212,18.542860514947922,565.53103750944274,0.18617021276595744,22.095181105570823,1057.9909117219381
development,BPLUS_CONTINUOUS,TRANSFORMER_BRES_REG1,ATU5,True,43.55499084906868,48.518020357563614,41.828482359846113,0.058510638297872342,8.282633136192544,403.96801437573333,0.063829787234042548,10.630644541396578,779.95424574782123,0.13297872340425532,12.667194267128153,1514.9662662828493
development,BPLUS_CONTINUOUS,TRANSFORMER_BRES_REG1,MJ3,True,20.525886341157616,36.377155092530664,25.48136936867763,1,214.96418277879854,214.96418277879854,1,275.90354162464678,275.90354162464678,1,328.7593472943729,328.7593472943729
development,BPLUS_CONTINUOUS,TRANSFORMER_BRES_REG1,MJ1,True,33.002102984452229,40.249869223585421,23.816348736362684,0.71276595744680848,64.990516382422427,155.35477612074286,0.75531914893617025,83.414424720124728,215.57069889723135,0.78457446808510634,99.394417572326816,289.99005970124955
development,TRANSFORMER_BRES_COND,BPLUS_CONTINUOUS,ATU1,True,43.629134155800912,49.667692611174459,42.0306149847342,0.050531914893617018,7.4327035636015353,407.18676473668887,0.055851063829787231,9.5397717449236872,789.09100367018686,0.063829787234042548,11.367339156759479,1536.1024653197389
development,TRANSFORMER_BRES_COND,BPLUS_CONTINUOUS,ATU5,True,47.44688126682189,55.108665433207285,44.585131002151229,0.21010638297872342,14.850198314250605,422.5543027764042,0.21276595744680851,19.060023189752492,801.30162623934211,0.21542553191489361,22.711418441317527,1529.7869429433631
development,TRANSFORMER_BRES_COND,BPLUS_CONTINUOUS,MJ3,True,32.063809179020943,43.35515017871947,27.807078609784863,1,212.78477852195917,212.78477852195917,1,273.10630654426865,273.10630654426865,1,325.4262361141453,325.4262361141453
development,TRANSFORMER_BRES_COND,BPLUS_CONTINUOUS,MJ1,True,36.209234378645199,44.614959314268674,26.734076514764773,0.68617021276595747,64.968285612535226,186.48198972101579,0.7021276595744681,83.385891835874418,269.90309514773185,0.72872340425531912,99.360418543726482,381.34932859460463
development,TRANSFORMER_BRES_COND,TRANSFORMER_BRES_COND,ATU1,True,43.629134155800912,49.667692611174459,39.91568857367939,0.085106382978723402,18.034696701390274,368.49108929941275,0.098404255319148939,23.147282620380455,677.64927860266914,0.17287234042553193,27.581688444824806,1258.8668355195373
development,TRANSFORMER_BRES_COND,TRANSFORMER_BRES_COND,ATU5,True,47.44688126682189,55.108665433207285,45.849885526471866,0.10372340425531915,7.716787550011011,445.19825965248242,0.13829787234042554,9.9043895940744733,865.69341191132901,0.18351063829787234,11.801808121502779,1691.4269428148077
development,TRANSFORMER_BRES_COND,TRANSFORMER_BRES_COND,MJ3,True,32.063809179020943,43.35515017871947,28.124153559513413,1,218.28333905400495,218.28333905400495,1,280.16363258351225,280.16363258351225,1,333.83555876597813,333.83555876597813
development,TRANSFORMER_BRES_COND,TRANSFORMER_BRES_COND,MJ1,True,36.209234378645199,44.614959314268674,26.758833270534002,0.68351063829787229,64.583353808051754,186.7032192702805,0.7021276595744681,82.891837213526983,270.8806925919485,0.72872340425531912,98.771716150804366,383.95464982285989
development,TRANSFORMER_BRES_COND,TRANSFORMER_BRES_REG1,ATU1,True,43.629134155800912,49.667692611174459,40.61128819608026,0.079787234042553196,14.447262378385064,381.35551781224865,0.087765957446808512,18.542860514947922,714.81689700404718,0.095744680851063829,22.095181105570781,1350.0782143010717
development,TRANSFORMER_BRES_COND,TRANSFORMER_BRES_REG1,ATU5,True,47.44688126682189,55.108665433207285,45.743451146662444,0.11702127659574468,8.282633136192544,443.24299603839881,0.15159574468085107,10.630644541396578,860.20725190416942,0.19148936170212766,12.667194267128153,1678.2348027403177
development,TRANSFORMER_BRES_COND,TRANSFORMER_BRES_REG1,MJ3,True,32.063809179020943,43.35515017871947,27.931849166895706,1,214.96418277879854,214.96418277879854,1,275.90354162464678,275.90354162464678,1,328.7593472943729,328.7593472943729
development,TRANSFORMER_BRES_COND,TRANSFORMER_BRES_REG1,MJ1,True,36.209234378645199,44.614959314268674,26.732655038032831,0.68617021276595747,64.990516382422427,186.46933710198363,0.7021276595744681,83.414424720124728,269.84663646187573,0.72872340425531912,99.394417572326816,381.19886480846145
development,TRANSFORMER_BRES_REG1,BPLUS_CONTINUOUS,ATU1,True,38.877976312974283,44.159616828432725,37.286260375938546,0.047872340425531915,7.4327035636015353,359.80606874337855,0.053191489361702128,9.5397717449236872,694.29037593109183,0.055851063829787231,11.367339156759479,1346.2897715563661
development,TRANSFORMER_BRES_REG1,BPLUS_CONTINUOUS,ATU5,True,44.823706289090637,51.395397750698237,41.987995903445736,0.19414893617021275,14.850198314250605,396.96158818877836,0.20744680851063829,19.060023189752492,749.62015774166935,0.21010638297872342,22.711418441317527,1426.1121979475208
development,TRANSFORMER_BRES_REG1,BPLUS_CONTINUOUS,MJ3,True,25.936492745015105,39.476794749243389,26.374320388182753,1,212.78477852195917,212.78477852195917,1,273.10630654426865,273.10630654426865,1,325.4262361141453,325.4262361141453
development,TRANSFORMER_BRES_REG1,BPLUS_CONTINUOUS,MJ1,True,34.949569131623164,42.622404280404602,25.49100883069201,0.68882978723404253,64.968285612535226,171.6226287096012,0.72606382978723405,83.385891835874418,242.41295094931155,0.75,99.360418543726482,333.71767901173723
development,TRANSFORMER_BRES_REG1,TRANSFORMER_BRES_COND,ATU1,True,38.877976312974283,44.159616828432725,35.217676814608048,0.14095744680851063,18.034696701390274,321.2360425602937,0.18617021276595744,23.147282620380476,587.53326562942743,0.19414893617021275,27.581688444824806,1084.5574999618193
development,TRANSFORMER_BRES_REG1,TRANSFORMER_BRES_COND,ATU5,True,44.823706289090637,51.395397750698237,43.236690467378693,0.13563829787234041,7.716787550011011,419.16626275455502,0.17553191489361702,9.9043895940744733,814.35044491650012,0.18617021276595744,11.801808121502779,1589.66460684194
development,TRANSFORMER_BRES_REG1,TRANSFORMER_BRES_COND,MJ3,True,25.936492745015105,39.476794749243389,26.72273744224216,1,218.28333905400495,218.28333905400495,1,280.16363258351225,280.16363258351225,1,333.83555876597813,333.83555876597813
development,TRANSFORMER_BRES_REG1,TRANSFORMER_BRES_COND,MJ1,True,34.949569131623164,42.622404280404602,25.515514004098375,0.68882978723404253,64.583353808051754,171.83659346262476,0.72340425531914898,82.891837213526983,243.27625742047351,0.75,98.771716150804366,336.07248858342945
development,TRANSFORMER_BRES_REG1,TRANSFORMER_BRES_REG1,ATU1,True,38.877976312974283,44.159616828432725,35.887711100752853,0.077127659574468085,14.447262378385062,333.77161049569872,0.16755319148936171,18.542860514947922,620.65727923479812,0.18351063829787234,22.095181105570781,1168.0080109621802
development,TRANSFORMER_BRES_REG1,TRANSFORMER_BRES_REG1,ATU5,True,44.823706289090637,51.395397750698237,43.132247111133992,0.14893617021276595,8.282633136192544,417.30353916903567,0.18351063829787234,10.630644541396578,809.10784991440175,0.18882978723404256,12.667194267128153,1576.4516643924085
development,TRANSFORMER_BRES_REG1,TRANSFORMER_BRES_REG1,MJ3,True,25.936492745015105,39.476794749243389,26.511668400449437,1,214.96418277879854,214.96418277879854,1,275.90354162464678,275.90354162464678,1,328.7593472943729,328.7593472943729
development,TRANSFORMER_BRES_REG1,TRANSFORMER_BRES_REG1,MJ1,True,34.949569131623164,42.622404280404602,25.48960246827842,0.68882978723404253,64.990516382422427,171.61027171250907,0.72606382978723405,83.414424720124728,242.36332194319613,0.75,99.394417572326816,333.58168289733851
final_exploratory,BPLUS_CONTINUOUS,BPLUS_CONTINUOUS,ATU1,True,5.4317941274103116,8.0682459891575906,14.246442103166364,1,151.49741639183313,151.49741639183313,1,194.44482885087152,194.44482885087152,1,231.69530424059312,231.69530424059312
final_exploratory,BPLUS_CONTINUOUS,BPLUS_CONTINUOUS,ATU5,True,8.1080330697934198,9.1150067099766563,15.604424736904477,1,165.53001893032285,165.53001893032285,1,212.45547922309385,212.45547922309385,1,253.15631784648085,253.15631784648085
final_exploratory,BPLUS_CONTINUOUS,BPLUS_CONTINUOUS,MJ3,True,8.7790588990733678,13.016273948901418,18.050633046245412,1,187.9635881634531,187.9635881634531,1,241.24865361471853,241.24865361471853,1,287.46550127987564,287.46550127987564
final_exploratory,BPLUS_CONTINUOUS,BPLUS_CONTINUOUS,MJ1,True,5.287870905170764,6.2971662230627263,16.71624419472241,1,180.88361724178853,180.88361724178853,1,232.16160931442619,232.16160931442619,1,276.6376201464646,276.6376201464646
final_exploratory,BPLUS_CONTINUOUS,TRANSFORMER_BRES_COND,ATU1,True,5.4317941274103116,8.0682459891575906,18.294103984004654,1,196.96833483645653,196.96833483645653,1,252.80612084669576,252.80612084669576,1,301.23707289938596,301.23707289938596
final_exploratory,BPLUS_CONTINUOUS,TRANSFORMER_BRES_COND,ATU5,True,8.1080330697934198,9.1150067099766563,19.499713513621479,1,209.42528739868382,209.42528739868382,1,268.7944463683682,268.7944463683682,1,320.28833781568397,320.28833781568397
final_exploratory,BPLUS_CONTINUOUS,TRANSFORMER_BRES_COND,MJ3,True,8.7790588990733678,13.016273948901418,20.023783674688804,1,210.66579437949991,210.66579437949991,1,270.3866198411464,270.3866198411464,1,322.18552952481349,322.18552952481349
final_exploratory,BPLUS_CONTINUOUS,TRANSFORMER_BRES_COND,MJ1,True,5.287870905170764,6.2971662230627263,18.623076119371476,1,202.05399596712277,202.05399596712277,1,259.33349624158791,259.33349624158791,1,309.014920409914,309.014920409914
final_exploratory,BPLUS_CONTINUOUS,TRANSFORMER_BRES_REG1,ATU1,True,5.4317941274103116,8.0682459891575906,16.120007889966395,1,172.61486851941999,172.61486851941999,1,221.54878522524672,221.54878522524672,1,263.99166025785968,263.99166025785968
final_exploratory,BPLUS_CONTINUOUS,TRANSFORMER_BRES_REG1,ATU5,True,8.1080330697934198,9.1150067099766563,17.709652164715493,1,189.32237948434138,189.32237948434138,1,242.99264339439065,242.99264339439065,1,289.5435932763645,289.5435932763645
final_exploratory,BPLUS_CONTINUOUS,TRANSFORMER_BRES_REG1,MJ3,True,8.7790588990733678,13.016273948901418,19.029324360165155,1,199.25487230403087,199.25487230403087,1,255.74085991441137,255.74085991441137,1,304.73403018634519,304.73403018634519
final_exploratory,BPLUS_CONTINUOUS,TRANSFORMER_BRES_REG1,MJ1,True,5.287870905170764,6.2971662230627263,17.710446654183421,1,191.9287647315669,191.9287647315669,1,246.3379026429412,246.3379026429412,1,293.52971552984621,293.52971552984621
final_exploratory,TRANSFORMER_BRES_COND,BPLUS_CONTINUOUS,ATU1,True,4.1213251295538953,7.4835411913386451,14.18512786656416,1,151.49741639183313,151.49741639183313,1,194.44482885087155,194.44482885087155,1,231.69530424059312,231.69530424059312
final_exploratory,TRANSFORMER_BRES_COND,BPLUS_CONTINUOUS,ATU5,True,5.538352189246277,6.6469539925140566,15.364693643329211,1,165.53001893032285,165.53001893032285,1,212.45547922309385,212.45547922309385,1,253.15631784648085,253.15631784648085
final_exploratory,TRANSFORMER_BRES_COND,BPLUS_CONTINUOUS,MJ3,True,11.9368913388981,16.488313314109192,18.598947115383087,1,187.9635881634531,187.9635881634531,1,241.24865361471853,241.24865361471853,1,287.46550127987564,287.46550127987564
final_exploratory,TRANSFORMER_BRES_COND,BPLUS_CONTINUOUS,MJ1,True,5.9387738088495077,6.4975194208905496,16.730760169376019,1,180.88361724178856,180.88361724178856,1,232.16160931442619,232.16160931442619,1,276.6376201464646,276.6376201464646
final_exploratory,TRANSFORMER_BRES_COND,TRANSFORMER_BRES_COND,ATU1,True,4.1213251295538953,7.4835411913386451,18.246926736568664,1,196.96833483645653,196.96833483645653,1,252.80612084669576,252.80612084669576,1,301.23707289938596,301.23707289938596
final_exploratory,TRANSFORMER_BRES_COND,TRANSFORMER_BRES_COND,ATU5,True,5.538352189246277,6.6469539925140566,19.310059482398309,1,209.42528739868382,209.42528739868382,1,268.7944463683682,268.7944463683682,1,320.28833781568397,320.28833781568397
final_exploratory,TRANSFORMER_BRES_COND,TRANSFORMER_BRES_COND,MJ3,True,11.9368913388981,16.488313314109192,20.514613629871533,1,210.66579437949991,210.66579437949991,1,270.3866198411464,270.3866198411464,1,322.18552952481349,322.18552952481349
final_exploratory,TRANSFORMER_BRES_COND,TRANSFORMER_BRES_COND,MJ1,True,5.9387738088495077,6.4975194208905496,18.636066772415717,1,202.05399596712275,202.05399596712275,1,259.33349624158791,259.33349624158791,1,309.014920409914,309.014920409914
final_exploratory,TRANSFORMER_BRES_COND,TRANSFORMER_BRES_REG1,ATU1,True,4.1213251295538953,7.4835411913386451,16.066183660028013,1,172.61486851941987,172.61486851941987,1,221.54878522524672,221.54878522524672,1,263.99166025785968,263.99166025785968
final_exploratory,TRANSFORMER_BRES_COND,TRANSFORMER_BRES_REG1,ATU5,True,5.538352189246277,6.6469539925140566,17.499930158476484,1,189.32237948434138,189.32237948434138,1,242.99264339439065,242.99264339439065,1,289.5435932763645,289.5435932763645
final_exploratory,TRANSFORMER_BRES_COND,TRANSFORMER_BRES_REG1,MJ3,True,11.9368913388981,16.488313314109192,19.547481097785276,1,199.25487230403087,199.25487230403087,1,255.74085991441137,255.74085991441137,1,304.73403018634519,304.73403018634519
final_exploratory,TRANSFORMER_BRES_COND,TRANSFORMER_BRES_REG1,MJ1,True,5.9387738088495077,6.4975194208905496,17.724124655718313,1,191.92876473156679,191.92876473156679,1,246.3379026429412,246.3379026429412,1,293.5297155298461,293.5297155298461
final_exploratory,TRANSFORMER_BRES_REG1,BPLUS_CONTINUOUS,ATU1,True,4.4604470663158668,7.5760138654794815,14.194631321596267,1,151.49741639183313,151.49741639183313,1,194.44482885087155,194.44482885087155,1,231.69530424059312,231.69530424059312
final_exploratory,TRANSFORMER_BRES_REG1,BPLUS_CONTINUOUS,ATU5,True,5.5020264989306531,6.874177030315006,15.383673489535584,1,165.53001893032285,165.53001893032285,1,212.45547922309385,212.45547922309385,1,253.15631784648085,253.15631784648085
final_exploratory,TRANSFORMER_BRES_REG1,BPLUS_CONTINUOUS,MJ3,True,10.914830228584542,15.272657164200394,18.39239199667638,1,187.9635881634531,187.9635881634531,1,241.24865361471853,241.24865361471853,1,287.46550127987564,287.46550127987564
final_exploratory,TRANSFORMER_BRES_REG1,BPLUS_CONTINUOUS,MJ1,True,5.2801664532872117,5.9064857982094363,16.689378299524225,1,180.88361724178856,180.88361724178856,1,232.16160931442619,232.16160931442619,1,276.6376201464646,276.6376201464646
final_exploratory,TRANSFORMER_BRES_REG1,TRANSFORMER_BRES_COND,ATU1,True,4.4604470663158668,7.5760138654794815,18.254203711778203,1,196.96833483645653,196.96833483645653,1,252.80612084669576,252.80612084669576,1,301.23707289938596,301.23707289938596
final_exploratory,TRANSFORMER_BRES_REG1,TRANSFORMER_BRES_COND,ATU5,True,5.5020264989306531,6.874177030315006,19.325060923122582,1,209.42528739868382,209.42528739868382,1,268.7944463683682,268.7944463683682,1,320.28833781568397,320.28833781568397
final_exploratory,TRANSFORMER_BRES_REG1,TRANSFORMER_BRES_COND,MJ3,True,10.914830228584542,15.272657164200394,20.329694357274363,1,210.66579437949991,210.66579437949991,1,270.3866198411464,270.3866198411464,1,322.18552952481349,322.18552952481349
final_exploratory,TRANSFORMER_BRES_REG1,TRANSFORMER_BRES_COND,MJ1,True,5.2801664532872117,5.9064857982094363,18.59900987241187,1,202.05399596712275,202.05399596712275,1,259.33349624158791,259.33349624158791,1,309.014920409914,309.014920409914
final_exploratory,TRANSFORMER_BRES_REG1,TRANSFORMER_BRES_REG1,ATU1,True,4.4604470663158668,7.5760138654794815,16.074503602828965,1,172.61486851941987,172.61486851941987,1,221.54878522524672,221.54878522524672,1,263.99166025785968,263.99166025785968
final_exploratory,TRANSFORMER_BRES_REG1,TRANSFORMER_BRES_REG1,ATU5,True,5.5020264989306531,6.874177030315006,17.516524625640518,1,189.32237948434138,189.32237948434138,1,242.99264339439065,242.99264339439065,1,289.5435932763645,289.5435932763645
final_exploratory,TRANSFORMER_BRES_REG1,TRANSFORMER_BRES_REG1,MJ3,True,10.914830228584542,15.272657164200394,19.35227575035951,1,199.25487230403087,199.25487230403087,1,255.74085991441137,255.74085991441137,1,304.73403018634519,304.73403018634519
final_exploratory,TRANSFORMER_BRES_REG1,TRANSFORMER_BRES_REG1,MJ1,True,5.2801664532872117,5.9064857982094363,17.685117806797802,1,191.92876473156682,191.92876473156682,1,246.3379026429412,246.3379026429412,1,293.5297155298461,293.5297155298461
