phase,model,n_per_point,mae,rmse,crps,coverage80,width80,interval_score80,coverage90,width90,interval_score90,coverage95,width95,interval_score95
development,BPLUS_CONTINUOUS,376,33.265136851961991,41.36837187193975,31.035123015862425,0.4833776595744681,75.008991503086634,270.07389911418727,0.4980053191489362,96.272998328704816,460.6002267144396,0.50664893617021278,114.7163530639872,801.43493375160995
development,DRIFT1,376,5.4246456008308126,6.5413179707791249,6.4505083991397507,0.9667553191489362,59.109581859580842,59.41751999070619,0.99734042553191493,75.866326976862851,75.879365922073717,1,90.400304366035556,90.400304366035556
development,RR_COND,376,38.181959671411008,45.899829150075504,32.693411126797599,0.47273936170212766,91.560493407760831,274.09852885322351,0.50265957446808507,117.51662103679818,430.65319378206908,0.52792553191489366,140.02969081440503,682.30730786446554
development,TRANSFORMER_BRES_COND,376,39.837264745072233,48.18661688434247,35.162140232549667,0.46808510638297873,77.154544278364497,304.66897681904516,0.48470744680851063,99.026785502873537,523.59675392236477,0.52127659574468088,117.99769287077753,917.02099673079579
development,TRANSFORMER_BRES_REG1,376,36.1469361196758,44.413553402194736,32.755307270153679,0.47872340425531912,75.671148668949641,284.41240103901055,0.51928191489361697,97.122867850278993,487.00799817926065,0.53058510638297873,115.72903505984966,851.70017638657487
final_exploratory,BPLUS_CONTINUOUS,293,6.9016892503619651,9.1241732177745973,16.154436020259666,1,171.4686601818494,171.4686601818494,1,220.0776427507775,220.0776427507775,1,262.23868587835352,262.23868587835352
final_exploratory,DRIFT1,293,9.1098452790877857,12.977734531327499,7.2775867206033986,0.55802047781569963,18.476388238281871,54.775680212727835,0.68088737201365179,23.714187570584844,78.313588319779541,0.7960750853242321,28.257197357504104,118.51211793217723
final_exploratory,RR_COND,293,11.318236548369155,12.338213669009027,18.572699509267117,1,194.25307811229519,194.25307811229519,1,249.32112657028847,249.32112657028847,1,297.08444609043408,297.08444609043408
final_exploratory,TRANSFORMER_BRES_COND,293,6.8838356166369445,9.2790819797131103,19.176916655313555,1,204.77835314544075,204.77835314544075,1,262.83017082444957,262.83017082444957,1,313.1814651624494,313.1814651624494
final_exploratory,TRANSFORMER_BRES_REG1,293,6.5393675617795681,8.9073334645510798,17.6571054464067,1,188.28022125983975,188.28022125983975,1,241.65504779424751,241.65504779424751,1,287.9497498126039,287.9497498126039
