phase,model,point,n,mae,rmse,crps,coverage80,width80,interval_score80,coverage90,width90,interval_score90,coverage95,width95,interval_score95
development,BPLUS_CONTINUOUS,ATU1,376,35.977567233169452,40.328442814079295,34.396354276572765,0.050531914893617018,7.4327035636015353,330.96169518151299,0.053191489361702128,9.5397717449236872,636.59462547096882,0.053191489361702128,11.367339156759479,1230.8699190230216
development,BPLUS_CONTINUOUS,ATU5,376,43.55499084906868,48.518020357563614,40.591435821699392,0.1702127659574468,14.850198314250605,381.18465023290184,0.18351063829787234,19.060023189752492,717.08799432552394,0.18882978723404256,22.711418441317527,1359.3410340202095
development,BPLUS_CONTINUOUS,MJ3,376,20.525886341157616,36.377155092530664,25.335082863265988,1,212.78477852195917,212.78477852195917,1,273.10630654426865,273.10630654426865,1,325.4262361141453,325.4262361141453
development,BPLUS_CONTINUOUS,MJ1,376,33.002102984452229,40.249869223585421,23.817619101911568,0.71276595744680848,64.968285612535226,155.36447252037505,0.75531914893617025,83.385891835874418,215.61198051699702,0.78457446808510634,99.360418543726482,290.1025458490634
development,DRIFT1,ATU1,376,7.9945153492393075,9.3317841877160976,8.329189100784955,1,79.195486039368078,79.195486039368078,1,101.64630589381227,101.64630589381227,1,121.11904393745286,121.11904393745286
development,DRIFT1,ATU5,376,4.745805374094564,5.9170301992313075,11.043781199799781,1,117.80226627508887,117.80226627508887,1,151.19757187713546,151.19757187713546,1,180.16301911211542,180.16301911211542
development,DRIFT1,MJ3,376,3.747390114316675,4.6640387089536581,2.755169426593453,0.91755319148936165,17.672440570802792,18.798017861752321,0.98936170212765961,22.682331910395078,22.734487691238574,1,27.027665502462881,27.027665502462881
development,DRIFT1,MJ1,376,5.2108715656727052,6.2524187872154355,3.6738938693808114,0.94946808510638303,21.768134553063646,21.874309786615495,1,27.939098226108577,27.939098226108577,1,33.291488912111127,33.291488912111127
development,RR_COND,ATU1,376,46.1701715154773,50.597734235533899,36.830243505523413,0.14893617021276595,46.220192834401537,287.85908247244868,0.21542553191489361,59.322975263780677,436.33778886777077,0.29255319148936171,70.687684951191073,656.30935847636692
development,RR_COND,ATU5,376,49.041025827670282,55.203993214353552,44.985617194087318,0.039893617021276598,18.794455370981911,416.27338875985578,0.063829787234042548,24.122422315796168,768.5807162692206,0.079787234042553196,28.743639059513995,1431.9650748129316
development,RR_COND,MJ3,376,31.864446822939911,41.678539494875224,28.801818523330308,1,238.16140974428905,238.16140974428905,1,305.67686010456629,305.67686010456629,1,364.23644444437781,364.23644444437781
development,RR_COND,MJ1,376,25.652194519556552,36.119049655539364,20.155965284249362,0.7021276595744681,63.065915681370825,154.10023443630067,0.7313829787234043,80.944226463049588,212.01740988671864,0.73936170212765961,96.450994802537238,276.71835372418593
development,TRANSFORMER_BRES_COND,ATU1,376,43.629134155800912,49.667692611174459,39.91568857367939,0.085106382978723402,18.034696701390274,368.49108929941275,0.098404255319148939,23.147282620380455,677.64927860266914,0.17287234042553193,27.581688444824806,1258.8668355195373
development,TRANSFORMER_BRES_COND,ATU5,376,47.44688126682189,55.108665433207285,45.849885526471866,0.10372340425531915,7.716787550011011,445.19825965248242,0.13829787234042554,9.9043895940744733,865.69341191132901,0.18351063829787234,11.801808121502779,1691.4269428148077
development,TRANSFORMER_BRES_COND,MJ3,376,32.063809179020943,43.35515017871947,28.124153559513413,1,218.28333905400495,218.28333905400495,1,280.16363258351225,280.16363258351225,1,333.83555876597813,333.83555876597813
development,TRANSFORMER_BRES_COND,MJ1,376,36.209234378645199,44.614959314268674,26.758833270534002,0.68351063829787229,64.583353808051754,186.7032192702805,0.7021276595744681,82.891837213526983,270.8806925919485,0.72872340425531912,98.771716150804366,383.95464982285989
development,TRANSFORMER_BRES_REG1,ATU1,376,38.877976312974283,44.159616828432725,35.887711100752853,0.077127659574468085,14.447262378385062,333.77161049569872,0.16755319148936171,18.542860514947922,620.65727923479812,0.18351063829787234,22.095181105570781,1168.0080109621802
development,TRANSFORMER_BRES_REG1,ATU5,376,44.823706289090637,51.395397750698237,43.132247111133992,0.14893617021276595,8.282633136192544,417.30353916903567,0.18351063829787234,10.630644541396578,809.10784991440175,0.18882978723404256,12.667194267128153,1576.4516643924085
development,TRANSFORMER_BRES_REG1,MJ3,376,25.936492745015105,39.476794749243389,26.511668400449437,1,214.96418277879854,214.96418277879854,1,275.90354162464678,275.90354162464678,1,328.7593472943729,328.7593472943729
development,TRANSFORMER_BRES_REG1,MJ1,376,34.949569131623164,42.622404280404602,25.48960246827842,0.68882978723404253,64.990516382422427,171.61027171250907,0.72606382978723405,83.414424720124728,242.36332194319613,0.75,99.394417572326816,333.58168289733851
final_exploratory,BPLUS_CONTINUOUS,ATU1,293,5.4317941274103116,8.0682459891575906,14.246442103166364,1,151.49741639183313,151.49741639183313,1,194.44482885087152,194.44482885087152,1,231.69530424059312,231.69530424059312
final_exploratory,BPLUS_CONTINUOUS,ATU5,293,8.1080330697934198,9.1150067099766563,15.604424736904477,1,165.53001893032285,165.53001893032285,1,212.45547922309385,212.45547922309385,1,253.15631784648085,253.15631784648085
final_exploratory,BPLUS_CONTINUOUS,MJ3,293,8.7790588990733678,13.016273948901418,18.050633046245412,1,187.9635881634531,187.9635881634531,1,241.24865361471853,241.24865361471853,1,287.46550127987564,287.46550127987564
final_exploratory,BPLUS_CONTINUOUS,MJ1,293,5.287870905170764,6.2971662230627263,16.71624419472241,1,180.88361724178853,180.88361724178853,1,232.16160931442619,232.16160931442619,1,276.6376201464646,276.6376201464646
final_exploratory,DRIFT1,ATU1,293,12.872364151197313,19.244197895113505,10.144178050900333,0.68600682593856654,38.28939663521686,73.501630441727158,0.88737201365187712,49.143908542186693,93.633659699003672,0.9078498293515358,58.558578844935674,128.3001738521348
final_exploratory,DRIFT1,ATU5,293,4.2142148646442639,6.9817034172927084,3.4330330215895581,0.55631399317406138,8.0863111134147232,26.169530294154026,0.63822525597269619,10.378667953096283,37.273960641231426,0.91808873720136519,12.366945643224296,55.705765614106753
final_exploratory,DRIFT1,MJ3,293,10.867921588627036,12.334873689346736,7.7769198105576702,0.42320819112627989,20.366558779386057,48.688272029376172,0.60409556313993173,26.140195195779839,54.510132840803919,0.75085324232081907,31.147963741632132,55.873541209348495
final_exploratory,DRIFT1,MJ1,293,8.4848805118825315,13.350163123557049,7.7562159993660345,0.56655290102389078,7.1632864251098418,70.743288085653973,0.59385665529010234,9.193978591276565,127.83660009807915,0.60750853242320824,10.955301200224312,234.16899105311884
final_exploratory,RR_COND,ATU1,293,11.605648621437894,12.200267709171117,18.400352540931991,1,193.19364026124873,193.19364026124873,1,247.96135280957984,247.96135280957984,1,295.46417571838401,295.46417571838401
final_exploratory,RR_COND,ATU5,293,13.912059377385878,14.345710269854926,20.256275686255606,1,211.27488414299876,211.27488414299876,1,271.16837808916733,271.16837808916733,1,323.11705193242136,323.11705193242136
final_exploratory,RR_COND,MJ3,293,14.611218165582471,17.030816367209297,19.689335538131367,1,199.82918474785606,199.82918474785606,1,256.4779819558749,256.4779819558749,1,305.61236527331198,305.61236527331198
final_exploratory,RR_COND,MJ1,293,5.1440200290703757,5.7760603298007727,15.9448342717495,1,172.71460329707713,172.71460329707713,1,221.6767934265317,221.6767934265317,1,264.14419143761887,264.14419143761887
final_exploratory,TRANSFORMER_BRES_COND,ATU1,293,4.1213251295538953,7.4835411913386451,18.246926736568664,1,196.96833483645653,196.96833483645653,1,252.80612084669576,252.80612084669576,1,301.23707289938596,301.23707289938596
final_exploratory,TRANSFORMER_BRES_COND,ATU5,293,5.538352189246277,6.6469539925140566,19.310059482398309,1,209.42528739868382,209.42528739868382,1,268.7944463683682,268.7944463683682,1,320.28833781568397,320.28833781568397
