phase,model,horizon,n,crps,coverage90,width90,interval_score90,mae,rmse,pooled_rmse
development,B_ANCHOR,30,12,5.90485685967,0.875,42.6062423203,66.9581321117,6.50010987169,10.1170846612,10.3705109147
development,B_RAW,30,12,,,,,34.4996172347,42.0017292159,42.2670253051
development,B_TREND14,30,12,5.57228121518,0.875,41.7076511238,63.2224513602,5.60745113629,9.5587127562,10.4793571391
development,C4_RIDGE_DATA,30,12,0.29751232547,0.875,2.34459344274,2.78523518607,0.384703917013,0.483529466431,0.492189614474
development,C4_RIDGE_FULL,30,12,0.514358897252,0.916666666667,4.02700423081,5.32816713724,0.576570223404,0.7823383864,0.901191398838
development,DRIFT1,30,12,1.96384666151,0.958333333333,24.3107705881,25.3933795748,1.06354619692,1.42336558504,1.4467407323
development,DRIFT14,30,12,2.53182136448,0.958333333333,30.9192459164,32.4878524525,1.42712631077,1.95187796983,1.98124134292
development,DRIFT3,30,12,2.07245626436,0.958333333333,25.5459993021,26.7356536858,1.14342838924,1.52971622328,1.55513209646
development,DRIFT30,30,12,2.79762494126,0.958333333333,34.3999879753,36.0059323996,1.50045029141,2.13192707071,2.1489721891
development,DRIFT7,30,12,2.26709363128,0.958333333333,27.7880970507,29.1388261072,1.28002259959,1.71501367797,1.74329124162
development,EXPERT_INIT,30,12,2.52349818887,0.958333333333,30.8143863426,32.387411067,1.43256107609,1.9524208186,1.9814874857
development,PERSIST,30,12,3.6819033932,0.979166666667,40.2398509598,40.3468981089,3.38081341979,3.86796675461,3.94381101544
transfer,B_ANCHOR,30,9,3.02580999013,0.916666666667,30.1699648173,32.9385593377,2.90546682377,3.73486290747,3.83280255529
transfer,B_RAW,30,9,,,,,6.77871599081,8.36272397829,8.77657777493
transfer,B_TREND14,30,9,3.03859316349,0.916666666667,27.8054002496,29.1279934794,3.07560252066,3.88475628873,4.20698888133
transfer,C4_RIDGE_DATA,30,9,0.738807340357,0.833333333333,3.8463471368,6.99441818272,1.01981021058,1.56584717049,1.93907930225
transfer,C4_RIDGE_FULL,30,9,0.772862909986,0.805555555556,3.54103435749,7.43025680593,1.05199122908,1.60350155674,1.98632090938
transfer,DRIFT1,30,9,2.40749511231,0.861111111111,22.2037057645,27.4724983428,1.9310010647,3.10253909424,3.74606369081
transfer,DRIFT14,30,9,2.82814616522,0.861111111111,28.2388981178,30.2497181399,2.27954677775,3.26211523729,3.81914325468
transfer,DRIFT3,30,9,2.49089463865,0.861111111111,23.3093675868,28.0812038338,1.99765196288,3.15092072054,3.79169681483
transfer,DRIFT30,30,9,3.04640933259,0.944444444444,31.4425399625,34.8805474796,2.41389333803,3.36398335685,3.80089107391
transfer,DRIFT7,30,9,2.63539811777,0.833333333333,25.3677292409,29.061709627,2.11568935274,3.20913072195,3.82890005681
transfer,EXPERT_INIT,30,9,2.82093510736,0.861111111111,28.1440425156,30.1835749032,2.27449413712,3.25727562678,3.81314073029
transfer,PERSIST,30,9,4.18584903759,0.944444444444,37.541723724,41.8189930877,4.18945245988,5.51473647991,5.52711716838
