phase,candidate,reference,metric,difference,lower,upper,n,replicates,block_length,seed
development,C4_RIDGE_FULL,B_ANCHOR,crps,-5.27460807114,-7.3191956175,-3.58326273788,347,2000,30,20260913
development,C4_RIDGE_FULL,B_ANCHOR,coverage90,-0.0252161383285,-0.0979827089337,0.0561959654179,347,2000,30,20260913
development,C4_RIDGE_FULL,B_ANCHOR,width90,-36.694948275,-47.0595068242,-27.9704454536,347,2000,30,20260913
development,C4_RIDGE_FULL,B_ANCHOR,interval_score90,-61.3893188942,-98.5838908981,-37.1385402931,347,2000,30,20260913
development,C4_RIDGE_FULL,B_ANCHOR,mae,-5.9390698212,-8.65603450371,-3.57847926968,347,2000,30,20260913
development,C4_RIDGE_FULL,B_ANCHOR,rmse,-8.9118610978,-11.6956647598,-5.20568190898,347,2000,30,20260913
development,C4_RIDGE_FULL,B_ANCHOR,pooled_rmse,-8.92245789758,-12.2602767391,-5.24277685493,347,2000,30,20260913
development,C4_RIDGE_FULL,DRIFT1,crps,-1.18406930732,-1.78637677341,-0.746940435134,347,2000,30,20260913
development,C4_RIDGE_FULL,DRIFT1,coverage90,-0.0914985590778,-0.170028818444,-0.0179935158501,347,2000,30,20260913
development,C4_RIDGE_FULL,DRIFT1,width90,-18.1674928227,-27.3333628282,-11.4494691417,347,2000,30,20260913
development,C4_RIDGE_FULL,DRIFT1,interval_score90,-16.331365086,-25.1148362968,-9.86399137698,347,2000,30,20260913
development,C4_RIDGE_FULL,DRIFT1,mae,-0.316372799267,-0.581390879348,-0.0344955660529,347,2000,30,20260913
development,C4_RIDGE_FULL,DRIFT1,rmse,-0.167395852546,-0.709841939972,0.356059275326,347,2000,30,20260913
development,C4_RIDGE_FULL,DRIFT1,pooled_rmse,0.0934104710381,-0.723154035387,0.964136213276,347,2000,30,20260913
development,C4_RIDGE_FULL,C4_RIDGE_DATA,crps,0.256834845921,0.133641903965,0.411923036081,347,2000,30,20260913
development,C4_RIDGE_FULL,C4_RIDGE_DATA,coverage90,-0.0036023054755,-0.0526116714697,0.0432276657061,347,2000,30,20260913
development,C4_RIDGE_FULL,C4_RIDGE_DATA,width90,1.72011894844,0.76433060822,2.80407710317,347,2000,30,20260913
development,C4_RIDGE_FULL,C4_RIDGE_DATA,interval_score90,3.39972166985,1.35468984624,5.94721885406,347,2000,30,20260913
development,C4_RIDGE_FULL,C4_RIDGE_DATA,mae,0.224673304235,0.0891057642924,0.403218435667,347,2000,30,20260913
development,C4_RIDGE_FULL,C4_RIDGE_DATA,rmse,0.558359434487,0.114176615394,0.964186621305,347,2000,30,20260913
development,C4_RIDGE_FULL,C4_RIDGE_DATA,pooled_rmse,0.831922032828,0.1060637004,1.588242658,347,2000,30,20260913
development,C4_RIDGE_DATA,B_ANCHOR,crps,-5.53144291706,-7.57129229575,-3.8415261754,347,2000,30,20260913
development,C4_RIDGE_DATA,B_ANCHOR,coverage90,-0.021613832853,-0.0980007204611,0.056916426513,347,2000,30,20260913
development,C4_RIDGE_DATA,B_ANCHOR,width90,-38.4150672234,-48.4914385352,-29.7283422074,347,2000,30,20260913
development,C4_RIDGE_DATA,B_ANCHOR,interval_score90,-64.789040564,-101.161874546,-41.5092088495,347,2000,30,20260913
development,C4_RIDGE_DATA,B_ANCHOR,mae,-6.16374312544,-8.94737472304,-3.7640987437,347,2000,30,20260913
development,C4_RIDGE_DATA,B_ANCHOR,rmse,-9.47022053229,-12.266237954,-5.73273392685,347,2000,30,20260913
development,C4_RIDGE_DATA,B_ANCHOR,pooled_rmse,-9.75437993041,-12.91776663,-5.90650052972,347,2000,30,20260913
