prefix,part,start_index,end_index_exclusive,seed,domain,days,mean,lower_fraction,upper_fraction,baseline_rate_sum_mm,weighted_mean,weighted_lower_fraction,weighted_upper_fraction,min,q05,median,q95,max
342,train,30,342,0,O3,312,0.8259740999151629,0.0,0.0,81.66578763912732,0.8601194802818883,0.0,0.0,0.5298532550705535,0.5309329708334709,0.5797260665120401,1.6724564632345793,1.8082818712472823
342,train,30,342,0,O2,312,0.8263998921929206,0.0,0.0,94.3046600722071,0.8603226192197746,0.0,0.0,0.5206200446441955,0.5214654298929563,0.5619405271907152,1.7297917346109841,1.8554671401333644
342,train,30,342,0,O1_up,312,0.9980000745395774,0.0,0.0,17.512082875795556,0.9959914605003637,0.0,0.0,0.813635171252857,0.8486360485747199,1.0164075490200701,1.1272112747138214,1.1614821530874258
342,train,30,342,0,O1_down,312,1.0547485277505797,0.0,0.0,142.35894953943182,1.0562616622733463,0.0,0.0,0.7630552725582261,0.7843019388018087,1.048701903040953,1.3716409140179422,1.4379414246166426
342,train,30,342,1,O3,312,0.8191989509290911,0.0,0.0,81.66578763912732,0.8490273738612754,0.0,0.0,0.5250925127410946,0.5361731205912229,0.5803940709477456,1.6577849603406394,1.869977366681599
342,train,30,342,1,O2,312,0.8167911711556127,0.003205128205128205,0.0,94.3046600722071,0.8450418961401093,0.0017385368467355423,0.0,0.5161158336928334,0.5246907108009375,0.5619990298994371,1.7107110157977847,1.9108641686223748
342,train,30,342,1,O1_up,312,0.9968614327117765,0.0,0.0,17.512082875795556,0.9936579866720071,0.0,0.0,0.8113862535537185,0.8457063624500444,1.0094770606333192,1.139890108586454,1.2176176796949902
342,train,30,342,1,O1_down,312,1.0521956953988298,0.0,0.0,142.35894953943182,1.0532607660389115,0.0,0.0,0.7428719366077436,0.7777008921942894,1.0492529528806651,1.3522902622854118,1.487650364316836
342,train,30,342,2,O3,312,0.8209209792262959,0.0,0.0,81.66578763912732,0.8525160024713414,0.0,0.0,0.5332264921408445,0.5380757737431301,0.5845498083505869,1.660549300668592,1.8546041113289966
342,train,30,342,2,O2,312,0.8178567476032508,0.0,0.0,94.3046600722071,0.8480880508572191,0.0,0.0,0.5240953070990956,0.5274604255427053,0.5623901284491089,1.710356627744807,1.891264275983962
342,train,30,342,2,O1_up,312,0.9959949463906048,0.0,0.0,17.512082875795556,0.9938944056063876,0.0,0.0,0.7877358012474517,0.8536990660496223,1.0206960850242424,1.1317540939689126,1.1781627193157553
342,train,30,342,2,O1_down,312,1.0534800200606629,0.0,0.0,142.35894953943182,1.0577383095410895,0.0,0.0,0.7459783954561261,0.7902944179310677,1.042805138540062,1.3852869388280311,1.4806804803003317
342,forward,342,432,0,O3,90,1.3186636802190077,0.0,0.0,30.527869449962154,1.2542659598159225,0.0,0.0,0.5562780222693834,0.6039707909675912,1.4402057885781174,1.7711548956646888,1.809379257651892
342,forward,342,432,0,O2,90,1.3544079437509056,0.0,0.0,35.02595951109275,1.2868081657297699,0.0,0.0,0.5431994398727698,0.5855902025135683,1.4884994215071674,1.8225227437640075,1.8555543342039287
