prefix,part,start_index,end_index_exclusive,feature,days,mean_z,sd_z,min_z,max_z,training_min_z,training_max_z,outside_days,outside_fraction
342,train,30,342,rain_mm,312,-0.012696728139141217,0.9614599377639899,-0.39664086062730364,6.985953662283139,-0.39664086062730364,6.985953662283139,0,0.0
342,train,30,342,rwl_m,312,0.08482494750010826,1.0024267112775074,-1.8080123010100106,1.3308748308632676,-1.8080123010100106,1.3308748308632676,0,0.0
342,train,30,342,rwl_daily_change_m,312,-0.01963618983355831,0.46601199919193237,-4.143450292397667,2.706549707602356,-4.143450292397667,2.706549707602356,0,0.0
342,train,30,342,rain_head_O3,312,0.030319019072684056,1.029622491121296,-0.7844825182849475,4.758917935463885,-0.8791580509746755,4.758917935463885,0,0.0
342,train,30,342,rain_head_O2,312,0.033376711661274976,1.028981419930748,-0.7915473485042486,4.643791782998664,-0.9041313244199989,4.643791782998664,0,0.0
342,train,30,342,rain_head_O1_up,312,-0.0005780533360576689,0.9932346913969494,-0.4463949533111501,5.998084432755603,-0.44639495335687834,5.998084432755603,0,0.0
342,train,30,342,rain_head_O1_down,312,0.009662330945534068,1.0287975228567139,-0.6791487231817096,5.765046262471818,-0.6986604061104614,5.765046262471818,0,0.0
342,train,30,342,moisture_O3,312,-0.01887834793563745,1.0036989922364012,-1.7008530066602305,2.1211958940097437,-1.7008530066602305,2.1211958940097437,0,0.0
342,train,30,342,moisture_O2,312,-0.018006481786546555,1.003137243590894,-1.7247258550942441,2.1001287932834143,-1.7247258550942441,2.1001287932834143,0,0.0
342,train,30,342,moisture_O1_up,312,-0.006931151738489583,0.9938798233216586,-1.9111221968413723,1.9405872286418953,-1.9111221968413723,1.9405872286418953,0,0.0
342,train,30,342,moisture_O1_down,312,-0.006931151738489583,0.9938798233216586,-1.9111221968413723,1.9405872286418953,-1.9111221968413723,1.9405872286418953,0,0.0
342,train,30,342,reservoir_head,312,0.1332296662248644,0.9450247267815868,-1.5196831657733512,1.1244570026489722,-1.5196831657733512,1.1244570026489722,0,0.0
342,forward,342,432,rain_mm,90,1.0670517181170014,3.0263317263712963,-0.39664086062730364,14.878618352231033,-0.39664086062730364,6.985953662283139,8,0.08888888888888889
342,forward,342,432,rwl_m,90,-1.4366452494049489,0.3620502083705047,-1.8036842939340056,-0.5052821711322355,-1.8080123010100106,1.3308748308632676,0,0.0
342,forward,342,432,rwl_daily_change_m,90,0.058549707602338866,0.6159693354560934,-1.2134502923976598,2.226549707602338,-4.143450292397667,2.706549707602356,0,0.0
342,forward,342,432,rain_head_O3,90,1.8916947757935552,2.271572859513871,-0.5276528796625839,7.165090840734072,-0.8791580509746755,4.758917935463885,15,0.16666666666666666
342,forward,342,432,rain_head_O2,90,1.9227017822700643,2.218835413408059,-0.5204419805411569,7.0146062964649305,-0.9041313244199989,4.643791782998664,15,0.16666666666666666
342,forward,342,432,rain_head_O1_up,90,1.2547147021045357,3.208276038057041,-0.44639495326070394,14.75185846439522,-0.44639495335687834,5.998084432755603,8,0.08888888888888889
342,forward,342,432,rain_head_O1_down,90,1.6940507473139526,2.772687413549488,-0.5453819196673021,8.979547836692918,-0.6986604061104614,5.765046262471818,11,0.12222222222222222
342,forward,342,432,moisture_O3,90,0.6083437492842004,0.9894472810450727,-1.0742799533562721,2.199134716316765,-1.7008530066602305,2.1211958940097437,8,0.08888888888888889
342,forward,342,432,moisture_O2,90,0.6121655136090008,0.9769061308895782,-1.0607649674889041,2.1753417929132053,-1.7247258550942441,2.1001287932834143,8,0.08888888888888889
342,forward,342,432,moisture_O1_up,90,0.6425187131067953,0.8761642327604278,-0.922128828695589,1.9977669216290006,-1.9111221968413723,1.9405872286418953,8,0.08888888888888889
