prefix,seed,station,sigma_mm,calibration_days,calibration_bias_mm,calibration_sd_mm,calibration_rms_mm,calibration_bias_squared_mm2,calibration_sd_squared_mm2,calibration_rms_over_sigma,prediction_days,prediction_bias_mm,prediction_sd_mm,prediction_rms_mm,prediction_bias_squared_mm2,prediction_sd_squared_mm2,prediction_rms_over_sigma,coverage_90,width_90_mm,interval_score_90_mm
432,0,ATU1,44.628040302223795,90,-41.9336340913109,15.271945295637986,44.62804030222379,1758.4296681039518,233.2323131129592,0.9999999999999999,180,-63.205695577027996,11.0445362678764,64.16339871568817,3994.9599533759365,121.98178137243714,1.4377373122630916,0.9611111111111112,146.8131881078805,154.51949541576235
432,0,ATU5,58.772083483658314,90,-54.87145950118871,21.05423304752536,58.772083483658314,3010.8770677905927,443.28072921950906,1.0,180,-145.27694816914024,40.240140121986556,150.74700841600864,21105.39166933906,1619.2688770371121,2.564942392384713,0.1388888888888889,193.34294962417255,1257.1936981623626
432,0,MJ3,20.157271462384784,90,-13.601192406932016,14.87693375389858,20.157271462384784,184.99243489038514,221.3231579178869,1.0,180,-10.010937591839577,6.904672870234456,12.161142171385816,100.21887146770678,47.674507444951715,0.603312913361293,1.0,66.3115222382119,66.3115222382119
432,0,MJ1,3.7888550029080967,90,2.6368276760016367,2.7207649733362698,3.7888550029080954,6.952860192928193,7.402562040133513,0.9999999999999997,180,3.482047690604143,7.292663483423072,8.081311576847781,12.124656119641644,53.18294068245234,2.132916559394607,0.6333333333333333,12.464223803879024,52.73089318212011
432,1,ATU1,46.04416076560867,90,-43.35317877764825,15.51021052347409,46.04416076560867,1879.4981101267308,240.5666304824864,1.0,180,-63.04103111677135,11.007177054722252,63.99476190267246,3974.1716042657335,121.15794671400403,1.3898561910693235,0.9611111111111112,151.4718098749671,157.34165384103082
432,1,ATU5,60.72613709690603,90,-56.834846115219605,21.3884079298,60.72613709690602,3230.199732940693,457.4639937715315,0.9999999999999999,180,-145.54378280480205,40.24645289600746,151.00585976657308,21182.992713131393,1619.7769707105474,2.4866699412412774,0.1444444444444444,199.7712139788663,1212.9955908480777
432,1,MJ3,20.401073828897555,90,-13.811537548977428,15.014834128464933,20.401073828897555,190.75856946681344,225.44524390531532,1.0,180,-10.261171034765313,6.7558645138743465,12.285492921919467,105.29163100470664,45.64170532982666,0.6021983462712344,1.0,67.11356065292983,67.11356065292983
432,1,MJ1,3.6639133598548157,90,2.1483125907190885,2.967998335761062,3.663913359854815,4.615246987442162,8.809014121080436,0.9999999999999998,180,3.5602436037212732,7.455742048920782,8.262168239504911,12.67533451783824,55.58808950004546,2.2550119034016416,0.5944444444444444,12.053202373857014,55.98050324260202
432,2,ATU1,44.705739092271926,90,-42.09294823586104,15.059442771876167,44.70573909227193,1771.8162911868767,226.78681659941333,1.0000000000000002,180,-62.78265923552843,11.036531093715974,63.74533174489755,3941.662300684483,121.80501858255951,1.4258869898857551,0.9611111111111112,147.06879438146652,154.34702374895954
432,2,ATU5,58.89450810258064,90,-55.16504001075389,20.624777459571717,58.89450810258063,3043.1816393880777,425.3814452568576,0.9999999999999999,180,-145.45208537352585,40.27101112451813,150.92403213702752,21156.30913950745,1621.7543369910632,2.562616396662193,0.1388888888888889,193.7456907816413,1257.2889595549989
