prefix,part,start_index,end_index_exclusive,seed,station,days,active_days,opposed_days,overshot_days,opposed_fraction,overshot_fraction,base_rmse_mm,base_mae_mm,s_rmse_mm,s_mae_mm,correction_max_abs_mm,correction_energy_mm2,alignment_term_mm2,mse_change_mm2,demand_mean_mm,demand_rms_mm,correction_mean_mm,correction_rms_mm,background_mean_mm,background_rms_mm,state_mean_mm,state_rms_mm
342,train,30,342,0,ATU1,312,312,7,10,0.022435897435897436,0.03205128205128205,13.179558042950767,11.804451804431979,4.948246418510518,4.048717969773569,16.621481774823962,100.09832444563781,-249.3139320348439,-149.2156075892061,-6.243179225618292,13.179558042950767,-6.519111626114194,10.004915014413557,-6.519111626114194,10.004915014413557,2.1279274638648835e-16,2.9315707087721103e-15
342,train,30,342,0,ATU5,312,312,7,8,0.022435897435897436,0.02564102564102564,16.390920889788493,14.680667079357018,6.283408715683649,5.30675202210759,19.528615745636657,134.3036539748746,-363.48471650185013,-229.18106252697552,-6.990130423634373,16.390920889788493,-7.233283322470393,11.588945334881625,-7.233283322470391,11.588945334881625,-2.2240044563804813e-18,4.256881230387475e-15
342,train,30,342,0,MJ3,312,312,201,14,0.6442307692307693,0.04487179487179487,2.504105987575885,2.23142235801153,2.9537351811357717,2.670462435164171,2.954914244576912,1.3756876559873352,1.078317067278436,2.454004723265771,-0.03036266442154629,2.504105987575885,0.4616392397903556,1.1728971208027306,-0.17802141385464007,0.4972360139821726,0.6396606536449985,1.1767593881643181
342,train,30,342,0,MJ1,312,312,42,12,0.1346153846153846,0.038461538461538464,4.479916209451356,3.880559983244052,2.9552411310615483,2.558359795420598,5.027380976958511,4.467146635448377,-15.80334573643545,-11.336199100987074,0.3579833484915808,4.479916209451356,-0.1443073777750484,2.1135625459040424,-0.42438527310408986,2.075393129507001,0.2800778953290411,0.5522011914972809
342,train,30,342,1,ATU1,312,312,6,11,0.019230769230769232,0.035256410256410256,13.179558042950767,11.804451804431979,5.036187470323937,4.136602128298973,16.256227118695435,99.05486585462081,-247.39243182588123,-148.3375659712604,-6.243179225618292,13.179558042950767,-6.448068648814171,9.95263110210666,-6.4480686488141705,9.95263110210666,2.1279274638648835e-16,2.9315707087721103e-15
342,train,30,342,1,ATU5,312,312,8,9,0.02564102564102564,0.028846153846153848,16.390920889788493,14.680667079357018,6.3407784867779675,5.352032370543323,19.234280290203216,134.36938124801523,-362.82619704493374,-228.4568157969185,-6.990130423634373,16.390920889788493,-7.1441406698235435,11.591780762592744,-7.1441406698235435,11.591780762592743,-2.2240044563804813e-18,4.256881230387475e-15
342,train,30,342,1,MJ3,312,312,197,14,0.6314102564102564,0.04487179487179487,2.504105987575885,2.23142235801153,2.982515351137177,2.6925907881173763,2.933823461664815,1.4122483606299705,1.2126026621255512,2.6248510227555215,-0.03036266442154629,2.504105987575885,0.5473559066338166,1.1883805622063879,-0.29189058849694194,0.5865087037165317,0.8392464951307625,1.3029843464643653
342,train,30,342,1,MJ1,312,312,35,11,0.11217948717948718,0.035256410256410256,4.479916209451356,3.880559983244052,2.8619885930429896,2.4439439380251367,4.8427566582349755,4.643577897304275,-16.522248434301098,-11.878670536996822,0.3579833484915808,4.479916209451356,-0.1900154646392393,2.1548962613787874,-0.5671364020756201,2.187196902199109,0.3771209374363827,0.6106432636742706
342,train,30,342,2,ATU1,312,312,6,10,0.019230769230769232,0.03205128205128205,13.179558042950767,11.804451804431979,4.979158424890702,4.089826292788867,16.57579927058005,100.03403730494993,-248.94276889229812,-148.9087315873482,-6.243179225618292,13.179558042950767,-6.51045968607028,10.001701720454871,-6.51045968607028,10.001701720454871,2.1279274638648835e-16,2.9315707087721103e-15
342,train,30,342,2,ATU5,312,312,7,8,0.022435897435897436,0.02564102564102564,16.390920889788493,14.680667079357018,6.284699856952686,5.319897437377117,19.60915398399581,134.9193403246368,-364.0841756479605,-229.16483532332367,-6.990130423634373,16.390920889788493,-7.169045970904421,11.615478480227873,-7.16904597090442,11.615478480227873,-2.2240044563804813e-18,4.256881230387475e-15
