date,split,site_fusion_status,site_level,site_color,site_fusion_reason,formal_warning_output,total_station_count,valid_station_count,minimum_valid_station_count,minimum_supporting_stations,contributing_stations,uncorroborated_stations,nonvalid_stations,station_count_green,station_count_blue,station_count_yellow,station_count_orange,station_count_red,station_count_at_or_above_green,station_count_at_or_above_blue,station_count_at_or_above_yellow,station_count_at_or_above_orange,station_count_at_or_above_red,artifact_kind,artifact_status,case,vajont_used,operational_profile_id,operational_profile_version,base_protocol_id,base_protocol_version,base_protocol_content_sha256
2019-02-03,calibration,valid,2.0,yellow,2_station_corroborated_yellow,False,8,6,6,2,MJ1;MJ3,ATU2;MJ9,,4,0,2,0,0,6,2,2,0,0,ootang_operational_four_indicator_run,operational_draft_not_formal,ootang,False,ootang-operational-four-indicator-v1,1.0-draft,ootang-five-level-rule-v1,1.3-draft,b7a252175d2ba5789572c0bc8a073802f079fbe22cdc1c523cec21ac0dda450b
2019-02-04,calibration,valid,2.0,yellow,2_station_corroborated_yellow,False,8,6,6,2,MJ1;MJ3,ATU2;MJ9,,4,0,2,0,0,6,2,2,0,0,ootang_operational_four_indicator_run,operational_draft_not_formal,ootang,False,ootang-operational-four-indicator-v1,1.0-draft,ootang-five-level-rule-v1,1.3-draft,b7a252175d2ba5789572c0bc8a073802f079fbe22cdc1c523cec21ac0dda450b
2019-02-05,calibration,valid,2.0,yellow,2_station_corroborated_yellow,False,8,7,6,2,MJ1;MJ3,MJ9,,4,1,2,0,0,7,3,2,0,0,ootang_operational_four_indicator_run,operational_draft_not_formal,ootang,False,ootang-operational-four-indicator-v1,1.0-draft,ootang-five-level-rule-v1,1.3-draft,b7a252175d2ba5789572c0bc8a073802f079fbe22cdc1c523cec21ac0dda450b
2019-02-06,calibration,valid,2.0,yellow,2_station_corroborated_yellow,False,8,8,6,2,MJ1;MJ3,,,4,2,2,0,0,8,4,2,0,0,ootang_operational_four_indicator_run,operational_draft_not_formal,ootang,False,ootang-operational-four-indicator-v1,1.0-draft,ootang-five-level-rule-v1,1.3-draft,b7a252175d2ba5789572c0bc8a073802f079fbe22cdc1c523cec21ac0dda450b
2019-02-07,calibration,valid,2.0,yellow,2_station_corroborated_yellow,False,8,8,6,2,MJ1;MJ3,,,4,2,2,0,0,8,4,2,0,0,ootang_operational_four_indicator_run,operational_draft_not_formal,ootang,False,ootang-operational-four-indicator-v1,1.0-draft,ootang-five-level-rule-v1,1.3-draft,b7a252175d2ba5789572c0bc8a073802f079fbe22cdc1c523cec21ac0dda450b
2019-02-08,calibration,valid,2.0,yellow,2_station_corroborated_yellow,False,8,8,6,2,MJ1;MJ3,,,4,2,2,0,0,8,4,2,0,0,ootang_operational_four_indicator_run,operational_draft_not_formal,ootang,False,ootang-operational-four-indicator-v1,1.0-draft,ootang-five-level-rule-v1,1.3-draft,b7a252175d2ba5789572c0bc8a073802f079fbe22cdc1c523cec21ac0dda450b
2019-02-09,calibration,valid,2.0,yellow,2_station_corroborated_yellow,False,8,8,6,2,MJ1;MJ3;MJ9,,,4,1,3,0,0,8,4,3,0,0,ootang_operational_four_indicator_run,operational_draft_not_formal,ootang,False,ootang-operational-four-indicator-v1,1.0-draft,ootang-five-level-rule-v1,1.3-draft,b7a252175d2ba5789572c0bc8a073802f079fbe22cdc1c523cec21ac0dda450b
2019-02-10,calibration,valid,2.0,yellow,2_station_corroborated_yellow,False,8,8,6,2,MJ1;MJ3;MJ9,,,4,1,3,0,0,8,4,3,0,0,ootang_operational_four_indicator_run,operational_draft_not_formal,ootang,False,ootang-operational-four-indicator-v1,1.0-draft,ootang-five-level-rule-v1,1.3-draft,b7a252175d2ba5789572c0bc8a073802f079fbe22cdc1c523cec21ac0dda450b
2019-02-11,calibration,valid,2.0,yellow,2_station_corroborated_yellow,False,8,8,6,2,MJ1;MJ3;MJ9,,,4,1,3,0,0,8,4,3,0,0,ootang_operational_four_indicator_run,operational_draft_not_formal,ootang,False,ootang-operational-four-indicator-v1,1.0-draft,ootang-five-level-rule-v1,1.3-draft,b7a252175d2ba5789572c0bc8a073802f079fbe22cdc1c523cec21ac0dda450b
2019-02-12,calibration,valid,3.0,orange,2_station_corroborated_orange,False,8,7,6,2,MJ1;MJ9,MJ3,,4,1,0,2,0,7,3,2,2,0,ootang_operational_four_indicator_run,operational_draft_not_formal,ootang,False,ootang-operational-four-indicator-v1,1.0-draft,ootang-five-level-rule-v1,1.3-draft,b7a252175d2ba5789572c0bc8a073802f079fbe22cdc1c523cec21ac0dda450b
2019-02-13,calibration,valid,3.0,orange,2_station_corroborated_orange,False,8,7,6,2,MJ1;MJ9,MJ3,,4,1,0,2,0,7,3,2,2,0,ootang_operational_four_indicator_run,operational_draft_not_formal,ootang,False,ootang-operational-four-indicator-v1,1.0-draft,ootang-five-level-rule-v1,1.3-draft,b7a252175d2ba5789572c0bc8a073802f079fbe22cdc1c523cec21ac0dda450b
2019-02-14,calibration,valid,3.0,orange,2_station_corroborated_orange,False,8,6,6,2,MJ1;MJ9,ATU2;MJ3,,4,0,0,2,0,6,2,2,2,0,ootang_operational_four_indicator_run,operational_draft_not_formal,ootang,False,ootang-operational-four-indicator-v1,1.0-draft,ootang-five-level-rule-v1,1.3-draft,b7a252175d2ba5789572c0bc8a073802f079fbe22cdc1c523cec21ac0dda450b
2019-02-15,calibration,valid,3.0,orange,2_station_corroborated_orange,False,8,6,6,2,MJ1;MJ9,ATU2;MJ3,,4,0,0,2,0,6,2,2,2,0,ootang_operational_four_indicator_run,operational_draft_not_formal,ootang,False,ootang-operational-four-indicator-v1,1.0-draft,ootang-five-level-rule-v1,1.3-draft,b7a252175d2ba5789572c0bc8a073802f079fbe22cdc1c523cec21ac0dda450b
