date,split,site_fusion_status,site_level,site_color,site_fusion_reason,formal_warning_output,total_station_count,valid_station_count,minimum_valid_station_count,minimum_supporting_stations,contributing_stations,uncorroborated_stations,nonvalid_stations,station_count_green,station_count_blue,station_count_yellow,station_count_orange,station_count_red,station_count_at_or_above_green,station_count_at_or_above_blue,station_count_at_or_above_yellow,station_count_at_or_above_orange,station_count_at_or_above_red,artifact_kind,artifact_status,case,vajont_used,operational_profile_id,operational_profile_version,base_protocol_id,base_protocol_version,base_protocol_content_sha256
2019-02-16,calibration,valid,1.0,blue,2_station_corroborated_blue,False,8,6,6,2,MJ1;MJ9,ATU2;MJ3,,4,1,0,1,0,6,2,1,1,0,ootang_operational_four_indicator_run,operational_draft_not_formal,ootang,False,ootang-operational-four-indicator-v1,1.0-draft,ootang-five-level-rule-v1,1.3-draft,b7a252175d2ba5789572c0bc8a073802f079fbe22cdc1c523cec21ac0dda450b
2019-02-17,calibration,valid,1.0,blue,2_station_corroborated_blue,False,8,6,6,2,MJ1;MJ9,ATU2;MJ3,,4,1,0,1,0,6,2,1,1,0,ootang_operational_four_indicator_run,operational_draft_not_formal,ootang,False,ootang-operational-four-indicator-v1,1.0-draft,ootang-five-level-rule-v1,1.3-draft,b7a252175d2ba5789572c0bc8a073802f079fbe22cdc1c523cec21ac0dda450b
2019-02-18,calibration,valid,1.0,blue,2_station_corroborated_blue,False,8,6,6,2,MJ1;MJ9,ATU2;MJ3,,4,1,0,1,0,6,2,1,1,0,ootang_operational_four_indicator_run,operational_draft_not_formal,ootang,False,ootang-operational-four-indicator-v1,1.0-draft,ootang-five-level-rule-v1,1.3-draft,b7a252175d2ba5789572c0bc8a073802f079fbe22cdc1c523cec21ac0dda450b
2019-02-19,calibration,insufficient_valid_station_results,,,valid_station_count_below_6,False,8,5,6,2,,ATU2;ATU3;MJ3,,3,1,0,1,0,5,2,1,1,0,ootang_operational_four_indicator_run,operational_draft_not_formal,ootang,False,ootang-operational-four-indicator-v1,1.0-draft,ootang-five-level-rule-v1,1.3-draft,b7a252175d2ba5789572c0bc8a073802f079fbe22cdc1c523cec21ac0dda450b
2019-02-20,calibration,insufficient_valid_station_results,,,valid_station_count_below_6,False,8,5,6,2,,ATU2;ATU3;MJ3,,3,1,0,1,0,5,2,1,1,0,ootang_operational_four_indicator_run,operational_draft_not_formal,ootang,False,ootang-operational-four-indicator-v1,1.0-draft,ootang-five-level-rule-v1,1.3-draft,b7a252175d2ba5789572c0bc8a073802f079fbe22cdc1c523cec21ac0dda450b
2019-02-21,calibration,insufficient_valid_station_results,,,valid_station_count_below_6,False,8,5,6,2,,ATU2;ATU3;MJ3,,3,2,0,0,0,5,2,0,0,0,ootang_operational_four_indicator_run,operational_draft_not_formal,ootang,False,ootang-operational-four-indicator-v1,1.0-draft,ootang-five-level-rule-v1,1.3-draft,b7a252175d2ba5789572c0bc8a073802f079fbe22cdc1c523cec21ac0dda450b
2019-02-22,calibration,insufficient_valid_station_results,,,valid_station_count_below_6,False,8,5,6,2,,ATU2;ATU3;MJ3,,3,2,0,0,0,5,2,0,0,0,ootang_operational_four_indicator_run,operational_draft_not_formal,ootang,False,ootang-operational-four-indicator-v1,1.0-draft,ootang-five-level-rule-v1,1.3-draft,b7a252175d2ba5789572c0bc8a073802f079fbe22cdc1c523cec21ac0dda450b
2019-02-23,calibration,insufficient_valid_station_results,,,valid_station_count_below_6,False,8,4,6,2,,ATU2;ATU3;ATU4;MJ3,,2,2,0,0,0,4,2,0,0,0,ootang_operational_four_indicator_run,operational_draft_not_formal,ootang,False,ootang-operational-four-indicator-v1,1.0-draft,ootang-five-level-rule-v1,1.3-draft,b7a252175d2ba5789572c0bc8a073802f079fbe22cdc1c523cec21ac0dda450b
2019-02-24,calibration,insufficient_valid_station_results,,,valid_station_count_below_6,False,8,4,6,2,,ATU2;ATU3;ATU4;MJ3,,2,2,0,0,0,4,2,0,0,0,ootang_operational_four_indicator_run,operational_draft_not_formal,ootang,False,ootang-operational-four-indicator-v1,1.0-draft,ootang-five-level-rule-v1,1.3-draft,b7a252175d2ba5789572c0bc8a073802f079fbe22cdc1c523cec21ac0dda450b
2019-02-25,calibration,insufficient_valid_station_results,,,valid_station_count_below_6,False,8,4,6,2,,ATU2;ATU3;ATU4;MJ3,,2,2,0,0,0,4,2,0,0,0,ootang_operational_four_indicator_run,operational_draft_not_formal,ootang,False,ootang-operational-four-indicator-v1,1.0-draft,ootang-five-level-rule-v1,1.3-draft,b7a252175d2ba5789572c0bc8a073802f079fbe22cdc1c523cec21ac0dda450b
2019-02-26,calibration,insufficient_valid_station_results,,,valid_station_count_below_6,False,8,5,6,2,,ATU3;ATU4;MJ3,,3,2,0,0,0,5,2,0,0,0,ootang_operational_four_indicator_run,operational_draft_not_formal,ootang,False,ootang-operational-four-indicator-v1,1.0-draft,ootang-five-level-rule-v1,1.3-draft,b7a252175d2ba5789572c0bc8a073802f079fbe22cdc1c523cec21ac0dda450b
2019-02-27,calibration,insufficient_valid_station_results,,,valid_station_count_below_6,False,8,5,6,2,,ATU3;ATU4;MJ3,,3,2,0,0,0,5,2,0,0,0,ootang_operational_four_indicator_run,operational_draft_not_formal,ootang,False,ootang-operational-four-indicator-v1,1.0-draft,ootang-five-level-rule-v1,1.3-draft,b7a252175d2ba5789572c0bc8a073802f079fbe22cdc1c523cec21ac0dda450b
2019-02-28,calibration,insufficient_valid_station_results,,,valid_station_count_below_6,False,8,5,6,2,,ATU3;ATU4;MJ3,,3,2,0,0,0,5,2,0,0,0,ootang_operational_four_indicator_run,operational_draft_not_formal,ootang,False,ootang-operational-four-indicator-v1,1.0-draft,ootang-five-level-rule-v1,1.3-draft,b7a252175d2ba5789572c0bc8a073802f079fbe22cdc1c523cec21ac0dda450b
2019-03-01,calibration,valid,1.0,blue,2_station_corroborated_blue,False,8,7,6,2,ATU3;ATU4;MJ1;MJ9,MJ3,,3,4,0,0,0,7,4,0,0,0,ootang_operational_four_indicator_run,operational_draft_not_formal,ootang,False,ootang-operational-four-indicator-v1,1.0-draft,ootang-five-level-rule-v1,1.3-draft,b7a252175d2ba5789572c0bc8a073802f079fbe22cdc1c523cec21ac0dda450b
2019-03-02,calibration,valid,1.0,blue,2_station_corroborated_blue,False,8,6,6,2,ATU3;MJ1;MJ9,ATU4;MJ3,,3,3,0,0,0,6,3,0,0,0,ootang_operational_four_indicator_run,operational_draft_not_formal,ootang,False,ootang-operational-four-indicator-v1,1.0-draft,ootang-five-level-rule-v1,1.3-draft,b7a252175d2ba5789572c0bc8a073802f079fbe22cdc1c523cec21ac0dda450b
2019-03-03,calibration,insufficient_valid_station_results,,,valid_station_count_below_6,False,8,5,6,2,,ATU3;ATU4;MJ3,,3,2,0,0,0,5,2,0,0,0,ootang_operational_four_indicator_run,operational_draft_not_formal,ootang,False,ootang-operational-four-indicator-v1,1.0-draft,ootang-five-level-rule-v1,1.3-draft,b7a252175d2ba5789572c0bc8a073802f079fbe22cdc1c523cec21ac0dda450b
2019-03-04,calibration,insufficient_valid_station_results,,,valid_station_count_below_6,False,8,4,6,2,,ATU3;ATU4;MJ1;MJ3,,3,1,0,0,0,4,1,0,0,0,ootang_operational_four_indicator_run,operational_draft_not_formal,ootang,False,ootang-operational-four-indicator-v1,1.0-draft,ootang-five-level-rule-v1,1.3-draft,b7a252175d2ba5789572c0bc8a073802f079fbe22cdc1c523cec21ac0dda450b
2019-03-05,calibration,insufficient_valid_station_results,,,valid_station_count_below_6,False,8,4,6,2,,ATU3;ATU4;MJ1;MJ3,,3,1,0,0,0,4,1,0,0,0,ootang_operational_four_indicator_run,operational_draft_not_formal,ootang,False,ootang-operational-four-indicator-v1,1.0-draft,ootang-five-level-rule-v1,1.3-draft,b7a252175d2ba5789572c0bc8a073802f079fbe22cdc1c523cec21ac0dda450b
2019-03-06,calibration,insufficient_valid_station_results,,,valid_station_count_below_6,False,8,4,6,2,,ATU3;ATU4;MJ1;MJ3,,3,1,0,0,0,4,1,0,0,0,ootang_operational_four_indicator_run,operational_draft_not_formal,ootang,False,ootang-operational-four-indicator-v1,1.0-draft,ootang-five-level-rule-v1,1.3-draft,b7a252175d2ba5789572c0bc8a073802f079fbe22cdc1c523cec21ac0dda450b
2019-03-07,calibration,insufficient_valid_station_results,,,valid_station_count_below_6,False,8,4,6,2,,ATU3;ATU4;MJ1;MJ3,,3,1,0,0,0,4,1,0,0,0,ootang_operational_four_indicator_run,operational_draft_not_formal,ootang,False,ootang-operational-four-indicator-v1,1.0-draft,ootang-five-level-rule-v1,1.3-draft,b7a252175d2ba5789572c0bc8a073802f079fbe22cdc1c523cec21ac0dda450b
2019-03-08,calibration,insufficient_valid_station_results,,,valid_station_count_below_6,False,8,4,6,2,,ATU3;ATU4;MJ1;MJ3,,3,1,0,0,0,4,1,0,0,0,ootang_operational_four_indicator_run,operational_draft_not_formal,ootang,False,ootang-operational-four-indicator-v1,1.0-draft,ootang-five-level-rule-v1,1.3-draft,b7a252175d2ba5789572c0bc8a073802f079fbe22cdc1c523cec21ac0dda450b
2019-03-09,calibration,insufficient_valid_station_results,,,valid_station_count_below_6,False,8,4,6,2,,ATU3;ATU4;MJ1;MJ3,,3,1,0,0,0,4,1,0,0,0,ootang_operational_four_indicator_run,operational_draft_not_formal,ootang,False,ootang-operational-four-indicator-v1,1.0-draft,ootang-five-level-rule-v1,1.3-draft,b7a252175d2ba5789572c0bc8a073802f079fbe22cdc1c523cec21ac0dda450b
2019-03-10,calibration,insufficient_valid_station_results,,,valid_station_count_below_6,False,8,4,6,2,,ATU3;ATU4;MJ1;MJ3,,3,1,0,0,0,4,1,0,0,0,ootang_operational_four_indicator_run,operational_draft_not_formal,ootang,False,ootang-operational-four-indicator-v1,1.0-draft,ootang-five-level-rule-v1,1.3-draft,b7a252175d2ba5789572c0bc8a073802f079fbe22cdc1c523cec21ac0dda450b
2019-03-11,calibration,insufficient_valid_station_results,,,valid_station_count_below_6,False,8,4,6,2,,ATU3;ATU4;MJ1;MJ3,,3,1,0,0,0,4,1,0,0,0,ootang_operational_four_indicator_run,operational_draft_not_formal,ootang,False,ootang-operational-four-indicator-v1,1.0-draft,ootang-five-level-rule-v1,1.3-draft,b7a252175d2ba5789572c0bc8a073802f079fbe22cdc1c523cec21ac0dda450b
2019-03-12,calibration,insufficient_valid_station_results,,,valid_station_count_below_6,False,8,4,6,2,,ATU3;ATU4;MJ1;MJ3,,3,1,0,0,0,4,1,0,0,0,ootang_operational_four_indicator_run,operational_draft_not_formal,ootang,False,ootang-operational-four-indicator-v1,1.0-draft,ootang-five-level-rule-v1,1.3-draft,b7a252175d2ba5789572c0bc8a073802f079fbe22cdc1c523cec21ac0dda450b
2019-03-13,calibration,insufficient_valid_station_results,,,valid_station_count_below_6,False,8,5,6,2,,ATU3;MJ1;MJ3,,4,1,0,0,0,5,1,0,0,0,ootang_operational_four_indicator_run,operational_draft_not_formal,ootang,False,ootang-operational-four-indicator-v1,1.0-draft,ootang-five-level-rule-v1,1.3-draft,b7a252175d2ba5789572c0bc8a073802f079fbe22cdc1c523cec21ac0dda450b
2019-03-14,calibration,insufficient_valid_station_results,,,valid_station_count_below_6,False,8,4,6,2,,ATU3;ATU4;MJ1;MJ3,,3,1,0,0,0,4,1,0,0,0,ootang_operational_four_indicator_run,operational_draft_not_formal,ootang,False,ootang-operational-four-indicator-v1,1.0-draft,ootang-five-level-rule-v1,1.3-draft,b7a252175d2ba5789572c0bc8a073802f079fbe22cdc1c523cec21ac0dda450b
2019-03-15,calibration,insufficient_valid_station_results,,,valid_station_count_below_6,False,8,4,6,2,,ATU3;ATU4;MJ1;MJ3,,3,1,0,0,0,4,1,0,0,0,ootang_operational_four_indicator_run,operational_draft_not_formal,ootang,False,ootang-operational-four-indicator-v1,1.0-draft,ootang-five-level-rule-v1,1.3-draft,b7a252175d2ba5789572c0bc8a073802f079fbe22cdc1c523cec21ac0dda450b
2019-03-16,calibration,insufficient_valid_station_results,,,valid_station_count_below_6,False,8,4,6,2,,ATU3;ATU4;MJ1;MJ3,,3,1,0,0,0,4,1,0,0,0,ootang_operational_four_indicator_run,operational_draft_not_formal,ootang,False,ootang-operational-four-indicator-v1,1.0-draft,ootang-five-level-rule-v1,1.3-draft,b7a252175d2ba5789572c0bc8a073802f079fbe22cdc1c523cec21ac0dda450b
2019-03-17,calibration,insufficient_valid_station_results,,,valid_station_count_below_6,False,8,4,6,2,,ATU3;ATU4;MJ1;MJ3,,3,1,0,0,0,4,1,0,0,0,ootang_operational_four_indicator_run,operational_draft_not_formal,ootang,False,ootang-operational-four-indicator-v1,1.0-draft,ootang-five-level-rule-v1,1.3-draft,b7a252175d2ba5789572c0bc8a073802f079fbe22cdc1c523cec21ac0dda450b
2019-03-18,calibration,insufficient_valid_station_results,,,valid_station_count_below_6,False,8,4,6,2,,ATU3;ATU4;MJ1;MJ3,,3,1,0,0,0,4,1,0,0,0,ootang_operational_four_indicator_run,operational_draft_not_formal,ootang,False,ootang-operational-four-indicator-v1,1.0-draft,ootang-five-level-rule-v1,1.3-draft,b7a252175d2ba5789572c0bc8a073802f079fbe22cdc1c523cec21ac0dda450b
2019-03-19,calibration,insufficient_valid_station_results,,,valid_station_count_below_6,False,8,4,6,2,,ATU3;ATU4;MJ1;MJ3,,3,1,0,0,0,4,1,0,0,0,ootang_operational_four_indicator_run,operational_draft_not_formal,ootang,False,ootang-operational-four-indicator-v1,1.0-draft,ootang-five-level-rule-v1,1.3-draft,b7a252175d2ba5789572c0bc8a073802f079fbe22cdc1c523cec21ac0dda450b
2019-03-20,calibration,insufficient_valid_station_results,,,valid_station_count_below_6,False,8,4,6,2,,ATU3;ATU4;MJ1;MJ3,,3,0,1,0,0,4,1,1,0,0,ootang_operational_four_indicator_run,operational_draft_not_formal,ootang,False,ootang-operational-four-indicator-v1,1.0-draft,ootang-five-level-rule-v1,1.3-draft,b7a252175d2ba5789572c0bc8a073802f079fbe22cdc1c523cec21ac0dda450b
2019-03-21,calibration,insufficient_valid_station_results,,,valid_station_count_below_6,False,8,4,6,2,,ATU3;ATU4;MJ1;MJ3,,3,0,1,0,0,4,1,1,0,0,ootang_operational_four_indicator_run,operational_draft_not_formal,ootang,False,ootang-operational-four-indicator-v1,1.0-draft,ootang-five-level-rule-v1,1.3-draft,b7a252175d2ba5789572c0bc8a073802f079fbe22cdc1c523cec21ac0dda450b
2019-03-22,calibration,insufficient_valid_station_results,,,valid_station_count_below_6,False,8,4,6,2,,ATU3;ATU4;MJ1;MJ3,,3,0,1,0,0,4,1,1,0,0,ootang_operational_four_indicator_run,operational_draft_not_formal,ootang,False,ootang-operational-four-indicator-v1,1.0-draft,ootang-five-level-rule-v1,1.3-draft,b7a252175d2ba5789572c0bc8a073802f079fbe22cdc1c523cec21ac0dda450b
2019-03-23,calibration,insufficient_valid_station_results,,,valid_station_count_below_6,False,8,4,6,2,,ATU3;ATU4;MJ1;MJ3,,3,0,1,0,0,4,1,1,0,0,ootang_operational_four_indicator_run,operational_draft_not_formal,ootang,False,ootang-operational-four-indicator-v1,1.0-draft,ootang-five-level-rule-v1,1.3-draft,b7a252175d2ba5789572c0bc8a073802f079fbe22cdc1c523cec21ac0dda450b
2019-03-24,calibration,insufficient_valid_station_results,,,valid_station_count_below_6,False,8,4,6,2,,ATU3;ATU4;MJ1;MJ3,,3,0,1,0,0,4,1,1,0,0,ootang_operational_four_indicator_run,operational_draft_not_formal,ootang,False,ootang-operational-four-indicator-v1,1.0-draft,ootang-five-level-rule-v1,1.3-draft,b7a252175d2ba5789572c0bc8a073802f079fbe22cdc1c523cec21ac0dda450b
2019-03-25,calibration,insufficient_valid_station_results,,,valid_station_count_below_6,False,8,5,6,2,,ATU3;ATU4;MJ3,,3,0,1,1,0,5,2,2,1,0,ootang_operational_four_indicator_run,operational_draft_not_formal,ootang,False,ootang-operational-four-indicator-v1,1.0-draft,ootang-five-level-rule-v1,1.3-draft,b7a252175d2ba5789572c0bc8a073802f079fbe22cdc1c523cec21ac0dda450b
2019-03-26,calibration,insufficient_valid_station_results,,,valid_station_count_below_6,False,8,5,6,2,,ATU3;ATU4;MJ3,,3,0,1,1,0,5,2,2,1,0,ootang_operational_four_indicator_run,operational_draft_not_formal,ootang,False,ootang-operational-four-indicator-v1,1.0-draft,ootang-five-level-rule-v1,1.3-draft,b7a252175d2ba5789572c0bc8a073802f079fbe22cdc1c523cec21ac0dda450b
2019-03-27,calibration,insufficient_valid_station_results,,,valid_station_count_below_6,False,8,5,6,2,,ATU3;ATU4;MJ3,,3,0,1,1,0,5,2,2,1,0,ootang_operational_four_indicator_run,operational_draft_not_formal,ootang,False,ootang-operational-four-indicator-v1,1.0-draft,ootang-five-level-rule-v1,1.3-draft,b7a252175d2ba5789572c0bc8a073802f079fbe22cdc1c523cec21ac0dda450b
2019-03-28,calibration,insufficient_valid_station_results,,,valid_station_count_below_6,False,8,5,6,2,,ATU3;ATU4;MJ3,,3,0,1,1,0,5,2,2,1,0,ootang_operational_four_indicator_run,operational_draft_not_formal,ootang,False,ootang-operational-four-indicator-v1,1.0-draft,ootang-five-level-rule-v1,1.3-draft,b7a252175d2ba5789572c0bc8a073802f079fbe22cdc1c523cec21ac0dda450b
2019-03-29,calibration,insufficient_valid_station_results,,,valid_station_count_below_6,False,8,4,6,2,,ATU1;ATU3;ATU4;MJ3,,2,0,1,1,0,4,2,2,1,0,ootang_operational_four_indicator_run,operational_draft_not_formal,ootang,False,ootang-operational-four-indicator-v1,1.0-draft,ootang-five-level-rule-v1,1.3-draft,b7a252175d2ba5789572c0bc8a073802f079fbe22cdc1c523cec21ac0dda450b
2019-03-30,calibration,insufficient_valid_station_results,,,valid_station_count_below_6,False,8,4,6,2,,ATU1;ATU3;ATU4;MJ3,,2,0,1,1,0,4,2,2,1,0,ootang_operational_four_indicator_run,operational_draft_not_formal,ootang,False,ootang-operational-four-indicator-v1,1.0-draft,ootang-five-level-rule-v1,1.3-draft,b7a252175d2ba5789572c0bc8a073802f079fbe22cdc1c523cec21ac0dda450b
2019-03-31,calibration,insufficient_valid_station_results,,,valid_station_count_below_6,False,8,4,6,2,,ATU1;ATU3;ATU4;MJ3,,2,0,1,1,0,4,2,2,1,0,ootang_operational_four_indicator_run,operational_draft_not_formal,ootang,False,ootang-operational-four-indicator-v1,1.0-draft,ootang-five-level-rule-v1,1.3-draft,b7a252175d2ba5789572c0bc8a073802f079fbe22cdc1c523cec21ac0dda450b
2019-04-01,calibration,insufficient_valid_station_results,,,valid_station_count_below_6,False,8,4,6,2,,ATU1;ATU3;ATU4;MJ3,,2,0,1,1,0,4,2,2,1,0,ootang_operational_four_indicator_run,operational_draft_not_formal,ootang,False,ootang-operational-four-indicator-v1,1.0-draft,ootang-five-level-rule-v1,1.3-draft,b7a252175d2ba5789572c0bc8a073802f079fbe22cdc1c523cec21ac0dda450b
2019-04-02,calibration,insufficient_valid_station_results,,,valid_station_count_below_6,False,8,5,6,2,,ATU3;ATU4;MJ3,,3,0,1,0,1,5,2,2,1,1,ootang_operational_four_indicator_run,operational_draft_not_formal,ootang,False,ootang-operational-four-indicator-v1,1.0-draft,ootang-five-level-rule-v1,1.3-draft,b7a252175d2ba5789572c0bc8a073802f079fbe22cdc1c523cec21ac0dda450b
2019-04-03,calibration,insufficient_valid_station_results,,,valid_station_count_below_6,False,8,5,6,2,,ATU3;ATU4;MJ3,,3,0,1,0,1,5,2,2,1,1,ootang_operational_four_indicator_run,operational_draft_not_formal,ootang,False,ootang-operational-four-indicator-v1,1.0-draft,ootang-five-level-rule-v1,1.3-draft,b7a252175d2ba5789572c0bc8a073802f079fbe22cdc1c523cec21ac0dda450b
2019-04-04,calibration,insufficient_valid_station_results,,,valid_station_count_below_6,False,8,5,6,2,,ATU3;ATU4;MJ3,,3,0,1,0,1,5,2,2,1,1,ootang_operational_four_indicator_run,operational_draft_not_formal,ootang,False,ootang-operational-four-indicator-v1,1.0-draft,ootang-five-level-rule-v1,1.3-draft,b7a252175d2ba5789572c0bc8a073802f079fbe22cdc1c523cec21ac0dda450b
2019-04-05,calibration,insufficient_valid_station_results,,,valid_station_count_below_6,False,8,5,6,2,,ATU3;ATU4;MJ3,,3,0,1,0,1,5,2,2,1,1,ootang_operational_four_indicator_run,operational_draft_not_formal,ootang,False,ootang-operational-four-indicator-v1,1.0-draft,ootang-five-level-rule-v1,1.3-draft,b7a252175d2ba5789572c0bc8a073802f079fbe22cdc1c523cec21ac0dda450b
2019-04-06,calibration,insufficient_valid_station_results,,,valid_station_count_below_6,False,8,5,6,2,,ATU3;ATU4;MJ3,,3,0,1,0,1,5,2,2,1,1,ootang_operational_four_indicator_run,operational_draft_not_formal,ootang,False,ootang-operational-four-indicator-v1,1.0-draft,ootang-five-level-rule-v1,1.3-draft,b7a252175d2ba5789572c0bc8a073802f079fbe22cdc1c523cec21ac0dda450b
2019-04-07,calibration,insufficient_valid_station_results,,,valid_station_count_below_6,False,8,5,6,2,,ATU3;ATU4;MJ3,,3,0,1,0,1,5,2,2,1,1,ootang_operational_four_indicator_run,operational_draft_not_formal,ootang,False,ootang-operational-four-indicator-v1,1.0-draft,ootang-five-level-rule-v1,1.3-draft,b7a252175d2ba5789572c0bc8a073802f079fbe22cdc1c523cec21ac0dda450b
2019-04-08,calibration,insufficient_valid_station_results,,,valid_station_count_below_6,False,8,5,6,2,,ATU3;ATU4;MJ3,,3,0,1,0,1,5,2,2,1,1,ootang_operational_four_indicator_run,operational_draft_not_formal,ootang,False,ootang-operational-four-indicator-v1,1.0-draft,ootang-five-level-rule-v1,1.3-draft,b7a252175d2ba5789572c0bc8a073802f079fbe22cdc1c523cec21ac0dda450b
2019-04-09,calibration,insufficient_valid_station_results,,,valid_station_count_below_6,False,8,5,6,2,,ATU3;ATU4;MJ3,,3,0,1,0,1,5,2,2,1,1,ootang_operational_four_indicator_run,operational_draft_not_formal,ootang,False,ootang-operational-four-indicator-v1,1.0-draft,ootang-five-level-rule-v1,1.3-draft,b7a252175d2ba5789572c0bc8a073802f079fbe22cdc1c523cec21ac0dda450b
