check,values,max_difference,tolerance
792/DRIFT1/0/1/3/endpoint,3,0,1e-08
792/DRIFT1/0/7/0/endpoint,3,0,1e-08
792/DRIFT1/0/7/1/endpoint,3,0,1e-08
792/DRIFT1/0/7/2/endpoint,3,0,1e-08
792/DRIFT1/0/7/3/endpoint,3,0,1e-08
792/DRIFT1/0/30/0/endpoint,3,0,1e-08
792/DRIFT1/0/30/1/endpoint,3,0,1e-08
792/DRIFT1/0/30/2/endpoint,3,0,1e-08
792/DRIFT1/0/30/3/endpoint,3,0,1e-08
792/DRIFT1/1/1/0/endpoint,3,0,1e-08
792/DRIFT1/1/1/1/endpoint,3,0,1e-08
792/DRIFT1/1/1/2/endpoint,3,0,1e-08
792/DRIFT1/1/1/3/endpoint,3,0,1e-08
792/DRIFT1/1/7/0/endpoint,3,0,1e-08
792/DRIFT1/1/7/1/endpoint,3,0,1e-08
792/DRIFT1/1/7/2/endpoint,3,0,1e-08
792/DRIFT1/1/7/3/endpoint,3,0,1e-08
792/DRIFT1/1/30/0/endpoint,3,0,1e-08
792/DRIFT1/1/30/1/endpoint,3,0,1e-08
792/DRIFT1/1/30/2/endpoint,3,0,1e-08
792/DRIFT1/1/30/3/endpoint,3,0,1e-08
792/DRIFT1/2/1/0/endpoint,3,0,1e-08
792/DRIFT1/2/1/1/endpoint,3,0,1e-08
792/DRIFT1/2/1/2/endpoint,3,0,1e-08
792/DRIFT1/2/1/3/endpoint,3,0,1e-08
792/DRIFT1/2/7/0/endpoint,3,0,1e-08
792/DRIFT1/2/7/1/endpoint,3,0,1e-08
792/DRIFT1/2/7/2/endpoint,3,0,1e-08
792/DRIFT1/2/7/3/endpoint,3,0,1e-08
792/DRIFT1/2/30/0/endpoint,3,0,1e-08
792/DRIFT1/2/30/1/endpoint,3,0,1e-08
792/DRIFT1/2/30/2/endpoint,3,0,1e-08
792/DRIFT1/2/30/3/endpoint,3,0,1e-08
792/RR_COND/calibration,360,0,0
792/RR_COND/scale,4,0,0
792/RR_COND/mae/summary,1,3.5527136788005009e-15,1e-08
792/RR_COND/mae/points,4,1.4210854715202004e-14,1e-08
792/RR_COND/rmse/summary,1,7.1054273576010019e-15,1e-08
792/RR_COND/rmse/points,4,1.4210854715202004e-14,1e-08
792/RR_COND/crps/summary,1,0,1e-08
792/RR_COND/crps/points,4,7.1054273576010019e-15,1e-08
792/RR_COND/coverage80/summary,1,0,1e-08
792/RR_COND/coverage80/points,4,0,1e-08
792/RR_COND/width80/summary,1,8.5265128291212022e-14,1e-08
792/RR_COND/width80/points,4,1.5631940186722204e-13,1e-08
792/RR_COND/interval_score80/summary,1,0,1e-08
792/RR_COND/interval_score80/points,4,5.6843418860808015e-14,1e-08
792/RR_COND/coverage90/summary,1,0,1e-08
792/RR_COND/coverage90/points,4,0,1e-08
792/RR_COND/width90/summary,1,3.5527136788005009e-13,1e-08
792/RR_COND/width90/points,4,9.0949470177292824e-13,1e-08
792/RR_COND/interval_score90/summary,1,2.2737367544323206e-13,1e-08
792/RR_COND/interval_score90/points,4,9.0949470177292824e-13,1e-08
792/RR_COND/coverage95/summary,1,0,1e-08
792/RR_COND/coverage95/points,4,0,1e-08
792/RR_COND/width95/summary,1,5.6843418860808015e-14,1e-08
792/RR_COND/width95/points,4,7.9580786405131221e-13,1e-08
792/RR_COND/interval_score95/summary,1,5.6843418860808015e-14,1e-08
792/RR_COND/interval_score95/points,4,7.9580786405131221e-13,1e-08
792/RR_COND/0/mae/summary,1,3.5527136788005009e-15,1e-08
792/RR_COND/0/mae/points,4,1.4210854715202004e-14,1e-08
792/RR_COND/0/rmse/summary,1,7.1054273576010019e-15,1e-08
792/RR_COND/0/rmse/points,4,1.4210854715202004e-14,1e-08
792/RR_COND/0/crps/summary,1,0,1e-08
792/RR_COND/0/crps/points,4,7.1054273576010019e-15,1e-08
792/RR_COND/0/coverage80/summary,1,0,1e-08
792/RR_COND/0/coverage80/points,4,0,1e-08
792/RR_COND/0/width80/summary,1,8.5265128291212022e-14,1e-08
792/RR_COND/0/width80/points,4,1.5631940186722204e-13,1e-08
792/RR_COND/0/interval_score80/summary,1,0,1e-08
792/RR_COND/0/interval_score80/points,4,5.6843418860808015e-14,1e-08
792/RR_COND/0/coverage90/summary,1,0,1e-08
792/RR_COND/0/coverage90/points,4,0,1e-08
792/RR_COND/0/width90/summary,1,3.5527136788005009e-13,1e-08
792/RR_COND/0/width90/points,4,9.0949470177292824e-13,1e-08
792/RR_COND/0/interval_score90/summary,1,2.2737367544323206e-13,1e-08
792/RR_COND/0/interval_score90/points,4,9.0949470177292824e-13,1e-08
792/RR_COND/0/coverage95/summary,1,0,1e-08
792/RR_COND/0/coverage95/points,4,0,1e-08
792/RR_COND/0/width95/summary,1,5.6843418860808015e-14,1e-08
792/RR_COND/0/width95/points,4,7.9580786405131221e-13,1e-08
792/RR_COND/0/interval_score95/summary,1,5.6843418860808015e-14,1e-08
792/RR_COND/0/interval_score95/points,4,7.9580786405131221e-13,1e-08
792/RR_COND/1/mae/summary,1,3.5527136788005009e-15,1e-08
792/RR_COND/1/mae/points,4,1.4210854715202004e-14,1e-08
792/RR_COND/1/rmse/summary,1,7.1054273576010019e-15,1e-08
792/RR_COND/1/rmse/points,4,1.4210854715202004e-14,1e-08
792/RR_COND/1/crps/summary,1,0,1e-08
792/RR_COND/1/crps/points,4,7.1054273576010019e-15,1e-08
792/RR_COND/1/coverage80/summary,1,0,1e-08
792/RR_COND/1/coverage80/points,4,0,1e-08
792/RR_COND/1/width80/summary,1,8.5265128291212022e-14,1e-08
792/RR_COND/1/width80/points,4,1.5631940186722204e-13,1e-08
792/RR_COND/1/interval_score80/summary,1,0,1e-08
792/RR_COND/1/interval_score80/points,4,5.6843418860808015e-14,1e-08
792/RR_COND/1/coverage90/summary,1,0,1e-08
792/RR_COND/1/coverage90/points,4,0,1e-08
792/RR_COND/1/width90/summary,1,3.5527136788005009e-13,1e-08
792/RR_COND/1/width90/points,4,9.0949470177292824e-13,1e-08
792/RR_COND/1/interval_score90/summary,1,2.2737367544323206e-13,1e-08
792/RR_COND/1/interval_score90/points,4,9.0949470177292824e-13,1e-08
792/RR_COND/1/coverage95/summary,1,0,1e-08
792/RR_COND/1/coverage95/points,4,0,1e-08
792/RR_COND/1/width95/summary,1,5.6843418860808015e-14,1e-08
792/RR_COND/1/width95/points,4,7.9580786405131221e-13,1e-08
792/RR_COND/1/interval_score95/summary,1,5.6843418860808015e-14,1e-08
792/RR_COND/1/interval_score95/points,4,7.9580786405131221e-13,1e-08
792/RR_COND/2/mae/summary,1,3.5527136788005009e-15,1e-08
792/RR_COND/2/mae/points,4,1.4210854715202004e-14,1e-08
792/RR_COND/2/rmse/summary,1,7.1054273576010019e-15,1e-08
792/RR_COND/2/rmse/points,4,1.4210854715202004e-14,1e-08
792/RR_COND/2/crps/summary,1,0,1e-08
792/RR_COND/2/crps/points,4,7.1054273576010019e-15,1e-08
792/RR_COND/2/coverage80/summary,1,0,1e-08
792/RR_COND/2/coverage80/points,4,0,1e-08
792/RR_COND/2/width80/summary,1,8.5265128291212022e-14,1e-08
792/RR_COND/2/width80/points,4,1.5631940186722204e-13,1e-08
792/RR_COND/2/interval_score80/summary,1,0,1e-08
792/RR_COND/2/interval_score80/points,4,5.6843418860808015e-14,1e-08
792/RR_COND/2/coverage90/summary,1,0,1e-08
792/RR_COND/2/coverage90/points,4,0,1e-08
792/RR_COND/2/width90/summary,1,3.5527136788005009e-13,1e-08
792/RR_COND/2/width90/points,4,9.0949470177292824e-13,1e-08
792/RR_COND/2/interval_score90/summary,1,2.2737367544323206e-13,1e-08
792/RR_COND/2/interval_score90/points,4,9.0949470177292824e-13,1e-08
792/RR_COND/2/coverage95/summary,1,0,1e-08
792/RR_COND/2/coverage95/points,4,0,1e-08
792/RR_COND/2/width95/summary,1,5.6843418860808015e-14,1e-08
792/RR_COND/2/width95/points,4,7.9580786405131221e-13,1e-08
792/RR_COND/2/interval_score95/summary,1,5.6843418860808015e-14,1e-08
792/RR_COND/2/interval_score95/points,4,7.9580786405131221e-13,1e-08
792/RR_COND/ATU1/target_indices,293,0,0
792/RR_COND/ATU1/daily,879,0,0
792/RR_COND/ATU5/target_indices,293,0,0
792/RR_COND/ATU5/daily,879,0,0
792/RR_COND/MJ3/target_indices,293,0,0
792/RR_COND/MJ3/daily,879,0,0
792/RR_COND/MJ1/target_indices,293,0,0
792/RR_COND/MJ1/daily,879,0,0
792/RR_COND/ensemble/1/0/endpoint,3,0,1e-08
792/RR_COND/ensemble/1/1/endpoint,3,0,1e-08
792/RR_COND/ensemble/1/2/endpoint,3,0,1e-08
792/RR_COND/ensemble/1/3/endpoint,3,0,1e-08
792/RR_COND/ensemble/7/0/endpoint,3,0,1e-08
792/RR_COND/ensemble/7/1/endpoint,3,0,1e-08
792/RR_COND/ensemble/7/2/endpoint,3,0,1e-08
792/RR_COND/ensemble/7/3/endpoint,3,0,1e-08
792/RR_COND/ensemble/30/0/endpoint,3,0,1e-08
792/RR_COND/ensemble/30/1/endpoint,3,0,1e-08
792/RR_COND/ensemble/30/2/endpoint,3,0,1e-08
792/RR_COND/ensemble/30/3/endpoint,3,0,1e-08
792/RR_COND/0/1/0/endpoint,3,0,1e-08
792/RR_COND/0/1/1/endpoint,3,0,1e-08
792/RR_COND/0/1/2/endpoint,3,0,1e-08
792/RR_COND/0/1/3/endpoint,3,0,1e-08
792/RR_COND/0/7/0/endpoint,3,0,1e-08
792/RR_COND/0/7/1/endpoint,3,0,1e-08
792/RR_COND/0/7/2/endpoint,3,0,1e-08
792/RR_COND/0/7/3/endpoint,3,0,1e-08
792/RR_COND/0/30/0/endpoint,3,0,1e-08
792/RR_COND/0/30/1/endpoint,3,0,1e-08
792/RR_COND/0/30/2/endpoint,3,0,1e-08
792/RR_COND/0/30/3/endpoint,3,0,1e-08
792/RR_COND/1/1/0/endpoint,3,0,1e-08
792/RR_COND/1/1/1/endpoint,3,0,1e-08
792/RR_COND/1/1/2/endpoint,3,0,1e-08
792/RR_COND/1/1/3/endpoint,3,0,1e-08
792/RR_COND/1/7/0/endpoint,3,0,1e-08
792/RR_COND/1/7/1/endpoint,3,0,1e-08
792/RR_COND/1/7/2/endpoint,3,0,1e-08
792/RR_COND/1/7/3/endpoint,3,0,1e-08
792/RR_COND/1/30/0/endpoint,3,0,1e-08
792/RR_COND/1/30/1/endpoint,3,0,1e-08
792/RR_COND/1/30/2/endpoint,3,0,1e-08
792/RR_COND/1/30/3/endpoint,3,0,1e-08
792/RR_COND/2/1/0/endpoint,3,0,1e-08
792/RR_COND/2/1/1/endpoint,3,0,1e-08
792/RR_COND/2/1/2/endpoint,3,0,1e-08
792/RR_COND/2/1/3/endpoint,3,0,1e-08
792/RR_COND/2/7/0/endpoint,3,0,1e-08
792/RR_COND/2/7/1/endpoint,3,0,1e-08
792/RR_COND/2/7/2/endpoint,3,0,1e-08
792/RR_COND/2/7/3/endpoint,3,0,1e-08
792/RR_COND/2/30/0/endpoint,3,0,1e-08
792/RR_COND/2/30/1/endpoint,3,0,1e-08
792/RR_COND/2/30/2/endpoint,3,0,1e-08
792/RR_COND/2/30/3/endpoint,3,0,1e-08
792/G_CACHED/calibration,360,0,0
792/G_CACHED/scale,4,0,0
792/G_CACHED/mae/summary,1,3.5527136788005009e-15,1e-08
792/G_CACHED/mae/points,4,1.4210854715202004e-14,1e-08
792/G_CACHED/rmse/summary,1,3.5527136788005009e-15,1e-08
792/G_CACHED/rmse/points,4,1.4210854715202004e-14,1e-08
792/G_CACHED/crps/summary,1,0,1e-08
792/G_CACHED/crps/points,4,3.5527136788005009e-15,1e-08
792/G_CACHED/coverage80/summary,1,0,1e-08
792/G_CACHED/coverage80/points,4,0,1e-08
792/G_CACHED/width80/summary,1,8.5265128291212022e-14,1e-08
792/G_CACHED/width80/points,4,9.0949470177292824e-13,1e-08
792/G_CACHED/interval_score80/summary,1,1.4210854715202004e-13,1e-08
792/G_CACHED/interval_score80/points,4,9.0949470177292824e-13,1e-08
792/G_CACHED/coverage90/summary,1,0,1e-08
792/G_CACHED/coverage90/points,4,0,1e-08
792/G_CACHED/width90/summary,1,2.8421709430404007e-14,1e-08
792/G_CACHED/width90/points,4,3.979039320256561e-13,1e-08
792/G_CACHED/interval_score90/summary,1,5.6843418860808015e-14,1e-08
792/G_CACHED/interval_score90/points,4,3.979039320256561e-13,1e-08
792/G_CACHED/coverage95/summary,1,0,1e-08
792/G_CACHED/coverage95/points,4,0,1e-08
792/G_CACHED/width95/summary,1,7.1054273576010019e-14,1e-08
792/G_CACHED/width95/points,4,3.979039320256561e-13,1e-08
792/G_CACHED/interval_score95/summary,1,0,1e-08
792/G_CACHED/interval_score95/points,4,3.979039320256561e-13,1e-08
792/G_CACHED/0/mae/summary,1,0,1e-08
792/G_CACHED/0/mae/points,4,1.4210854715202004e-14,1e-08
792/G_CACHED/0/rmse/summary,1,3.5527136788005009e-15,1e-08
792/G_CACHED/0/rmse/points,4,7.1054273576010019e-15,1e-08
792/G_CACHED/0/crps/summary,1,1.7763568394002505e-15,1e-08
792/G_CACHED/0/crps/points,4,5.3290705182007514e-15,1e-08
792/G_CACHED/0/coverage80/summary,1,0,1e-08
792/G_CACHED/0/coverage80/points,4,0,1e-08
792/G_CACHED/0/width80/summary,1,8.5265128291212022e-14,1e-08
792/G_CACHED/0/width80/points,4,9.0949470177292824e-13,1e-08
792/G_CACHED/0/interval_score80/summary,1,1.7053025658242404e-13,1e-08
792/G_CACHED/0/interval_score80/points,4,9.0949470177292824e-13,1e-08
792/G_CACHED/0/coverage90/summary,1,0,1e-08
792/G_CACHED/0/coverage90/points,4,0,1e-08
792/G_CACHED/0/width90/summary,1,2.8421709430404007e-14,1e-08
792/G_CACHED/0/width90/points,4,3.979039320256561e-13,1e-08
792/G_CACHED/0/interval_score90/summary,1,8.5265128291212022e-14,1e-08
792/G_CACHED/0/interval_score90/points,4,3.979039320256561e-13,1e-08
792/G_CACHED/0/coverage95/summary,1,0,1e-08
792/G_CACHED/0/coverage95/points,4,0,1e-08
792/G_CACHED/0/width95/summary,1,7.1054273576010019e-14,1e-08
792/G_CACHED/0/width95/points,4,3.979039320256561e-13,1e-08
792/G_CACHED/0/interval_score95/summary,1,5.6843418860808015e-14,1e-08
792/G_CACHED/0/interval_score95/points,4,3.979039320256561e-13,1e-08
792/G_CACHED/1/mae/summary,1,7.1054273576010019e-15,1e-08
792/G_CACHED/1/mae/points,4,1.2434497875801753e-14,1e-08
792/G_CACHED/1/rmse/summary,1,7.1054273576010019e-15,1e-08
792/G_CACHED/1/rmse/points,4,1.4210854715202004e-14,1e-08
792/G_CACHED/1/crps/summary,1,3.5527136788005009e-15,1e-08
792/G_CACHED/1/crps/points,4,1.0658141036401503e-14,1e-08
792/G_CACHED/1/coverage80/summary,1,0,1e-08
792/G_CACHED/1/coverage80/points,4,0,1e-08
792/G_CACHED/1/width80/summary,1,8.5265128291212022e-14,1e-08
792/G_CACHED/1/width80/points,4,9.0949470177292824e-13,1e-08
792/G_CACHED/1/interval_score80/summary,1,1.4210854715202004e-13,1e-08
792/G_CACHED/1/interval_score80/points,4,9.0949470177292824e-13,1e-08
792/G_CACHED/1/coverage90/summary,1,0,1e-08
792/G_CACHED/1/coverage90/points,4,0,1e-08
792/G_CACHED/1/width90/summary,1,2.8421709430404007e-14,1e-08
792/G_CACHED/1/width90/points,4,3.979039320256561e-13,1e-08
792/G_CACHED/1/interval_score90/summary,1,5.6843418860808015e-14,1e-08
792/G_CACHED/1/interval_score90/points,4,3.979039320256561e-13,1e-08
792/G_CACHED/1/coverage95/summary,1,0,1e-08
792/G_CACHED/1/coverage95/points,4,0,1e-08
792/G_CACHED/1/width95/summary,1,7.1054273576010019e-14,1e-08
792/G_CACHED/1/width95/points,4,3.979039320256561e-13,1e-08
792/G_CACHED/1/interval_score95/summary,1,1.1368683772161603e-13,1e-08
792/G_CACHED/1/interval_score95/points,4,3.979039320256561e-13,1e-08
792/G_CACHED/2/mae/summary,1,0,1e-08
792/G_CACHED/2/mae/points,4,7.1054273576010019e-15,1e-08
792/G_CACHED/2/rmse/summary,1,0,1e-08
792/G_CACHED/2/rmse/points,4,1.7763568394002505e-15,1e-08
792/G_CACHED/2/crps/summary,1,3.5527136788005009e-15,1e-08
792/G_CACHED/2/crps/points,4,7.1054273576010019e-15,1e-08
792/G_CACHED/2/coverage80/summary,1,0,1e-08
792/G_CACHED/2/coverage80/points,4,0,1e-08
792/G_CACHED/2/width80/summary,1,8.5265128291212022e-14,1e-08
792/G_CACHED/2/width80/points,4,9.0949470177292824e-13,1e-08
792/G_CACHED/2/interval_score80/summary,1,1.4210854715202004e-13,1e-08
792/G_CACHED/2/interval_score80/points,4,9.0949470177292824e-13,1e-08
792/G_CACHED/2/coverage90/summary,1,0,1e-08
792/G_CACHED/2/coverage90/points,4,0,1e-08
792/G_CACHED/2/width90/summary,1,2.8421709430404007e-14,1e-08
792/G_CACHED/2/width90/points,4,3.979039320256561e-13,1e-08
792/G_CACHED/2/interval_score90/summary,1,1.7053025658242404e-13,1e-08
792/G_CACHED/2/interval_score90/points,4,3.979039320256561e-13,1e-08
792/G_CACHED/2/coverage95/summary,1,0,1e-08
792/G_CACHED/2/coverage95/points,4,0,1e-08
792/G_CACHED/2/width95/summary,1,7.1054273576010019e-14,1e-08
792/G_CACHED/2/width95/points,4,3.979039320256561e-13,1e-08
792/G_CACHED/2/interval_score95/summary,1,0,1e-08
792/G_CACHED/2/interval_score95/points,4,3.979039320256561e-13,1e-08
792/G_CACHED/ATU1/target_indices,293,0,0
792/G_CACHED/ATU1/daily,879,0,0
792/G_CACHED/ATU5/target_indices,293,0,0
792/G_CACHED/ATU5/daily,879,0,0
792/G_CACHED/MJ3/target_indices,293,0,0
792/G_CACHED/MJ3/daily,879,0,0
792/G_CACHED/MJ1/target_indices,293,0,0
792/G_CACHED/MJ1/daily,879,0,0
792/G_CACHED/ensemble/1/0/endpoint,3,0,1e-08
792/G_CACHED/ensemble/1/1/endpoint,3,0,1e-08
792/G_CACHED/ensemble/1/2/endpoint,3,0,1e-08
792/G_CACHED/ensemble/1/3/endpoint,3,0,1e-08
792/G_CACHED/ensemble/7/0/endpoint,3,0,1e-08
792/G_CACHED/ensemble/7/1/endpoint,3,0,1e-08
792/G_CACHED/ensemble/7/2/endpoint,3,0,1e-08
792/G_CACHED/ensemble/7/3/endpoint,3,0,1e-08
792/G_CACHED/ensemble/30/0/endpoint,3,0,1e-08
792/G_CACHED/ensemble/30/1/endpoint,3,0,1e-08
792/G_CACHED/ensemble/30/2/endpoint,3,0,1e-08
792/G_CACHED/ensemble/30/3/endpoint,3,0,1e-08
792/G_CACHED/0/1/0/endpoint,3,0,1e-08
792/G_CACHED/0/1/1/endpoint,3,0,1e-08
792/G_CACHED/0/1/2/endpoint,3,0,1e-08
792/G_CACHED/0/1/3/endpoint,3,0,1e-08
792/G_CACHED/0/7/0/endpoint,3,0,1e-08
792/G_CACHED/0/7/1/endpoint,3,0,1e-08
792/G_CACHED/0/7/2/endpoint,3,0,1e-08
792/G_CACHED/0/7/3/endpoint,3,0,1e-08
792/G_CACHED/0/30/0/endpoint,3,0,1e-08
792/G_CACHED/0/30/1/endpoint,3,0,1e-08
792/G_CACHED/0/30/2/endpoint,3,0,1e-08
792/G_CACHED/0/30/3/endpoint,3,0,1e-08
792/G_CACHED/1/1/0/endpoint,3,0,1e-08
792/G_CACHED/1/1/1/endpoint,3,0,1e-08
792/G_CACHED/1/1/2/endpoint,3,0,1e-08
792/G_CACHED/1/1/3/endpoint,3,0,1e-08
792/G_CACHED/1/7/0/endpoint,3,0,1e-08
792/G_CACHED/1/7/1/endpoint,3,0,1e-08
792/G_CACHED/1/7/2/endpoint,3,0,1e-08
792/G_CACHED/1/7/3/endpoint,3,0,1e-08
792/G_CACHED/1/30/0/endpoint,3,0,1e-08
792/G_CACHED/1/30/1/endpoint,3,0,1e-08
792/G_CACHED/1/30/2/endpoint,3,0,1e-08
792/G_CACHED/1/30/3/endpoint,3,0,1e-08
792/G_CACHED/2/1/0/endpoint,3,0,1e-08
792/G_CACHED/2/1/1/endpoint,3,0,1e-08
792/G_CACHED/2/1/2/endpoint,3,0,1e-08
792/G_CACHED/2/1/3/endpoint,3,0,1e-08
792/G_CACHED/2/7/0/endpoint,3,0,1e-08
792/G_CACHED/2/7/1/endpoint,3,0,1e-08
792/G_CACHED/2/7/2/endpoint,3,0,1e-08
792/G_CACHED/2/7/3/endpoint,3,0,1e-08
792/G_CACHED/2/30/0/endpoint,3,0,1e-08
792/G_CACHED/2/30/1/endpoint,3,0,1e-08
792/G_CACHED/2/30/2/endpoint,3,0,1e-08
792/G_CACHED/2/30/3/endpoint,3,0,1e-08
792/G_REFRESH/calibration,360,0,0
792/G_REFRESH/scale,4,0,0
792/G_REFRESH/mae/summary,1,1.0658141036401503e-14,1e-08
792/G_REFRESH/mae/points,4,3.5527136788005009e-14,1e-08
792/G_REFRESH/rmse/summary,1,0,1e-08
792/G_REFRESH/rmse/points,4,7.1054273576010019e-15,1e-08
792/G_REFRESH/crps/summary,1,3.5527136788005009e-15,1e-08
792/G_REFRESH/crps/points,4,1.7763568394002505e-14,1e-08
792/G_REFRESH/coverage80/summary,1,0,1e-08
792/G_REFRESH/coverage80/points,4,0,1e-08
792/G_REFRESH/width80/summary,1,2.5579538487363607e-13,1e-08
792/G_REFRESH/width80/points,4,8.8107299234252423e-13,1e-08
792/G_REFRESH/interval_score80/summary,1,2.5579538487363607e-13,1e-08
792/G_REFRESH/interval_score80/points,4,8.8107299234252423e-13,1e-08
792/G_REFRESH/coverage90/summary,1,0,1e-08
792/G_REFRESH/coverage90/points,4,0,1e-08
792/G_REFRESH/width90/summary,1,2.9842794901924208e-13,1e-08
792/G_REFRESH/width90/points,4,7.9580786405131221e-13,1e-08
792/G_REFRESH/interval_score90/summary,1,2.2737367544323206e-13,1e-08
792/G_REFRESH/interval_score90/points,4,7.9580786405131221e-13,1e-08
792/G_REFRESH/coverage95/summary,1,0,1e-08
792/G_REFRESH/coverage95/points,4,0,1e-08
792/G_REFRESH/width95/summary,1,1.1368683772161603e-13,1e-08
792/G_REFRESH/width95/points,4,3.979039320256561e-13,1e-08
792/G_REFRESH/interval_score95/summary,1,1.1368683772161603e-13,1e-08
792/G_REFRESH/interval_score95/points,4,4.5474735088646412e-13,1e-08
792/G_REFRESH/0/mae/summary,1,1.4210854715202004e-14,1e-08
792/G_REFRESH/0/mae/points,4,2.1316282072803006e-14,1e-08
792/G_REFRESH/0/rmse/summary,1,3.5527136788005009e-15,1e-08
792/G_REFRESH/0/rmse/points,4,3.5527136788005009e-15,1e-08
792/G_REFRESH/0/crps/summary,1,0,1e-08
792/G_REFRESH/0/crps/points,4,7.1054273576010019e-15,1e-08
792/G_REFRESH/0/coverage80/summary,1,0,1e-08
792/G_REFRESH/0/coverage80/points,4,0,1e-08
792/G_REFRESH/0/width80/summary,1,2.5579538487363607e-13,1e-08
792/G_REFRESH/0/width80/points,4,8.8107299234252423e-13,1e-08
792/G_REFRESH/0/interval_score80/summary,1,1.9895196601282805e-13,1e-08
792/G_REFRESH/0/interval_score80/points,4,8.8107299234252423e-13,1e-08
792/G_REFRESH/0/coverage90/summary,1,0,1e-08
792/G_REFRESH/0/coverage90/points,4,0,1e-08
792/G_REFRESH/0/width90/summary,1,2.9842794901924208e-13,1e-08
792/G_REFRESH/0/width90/points,4,7.9580786405131221e-13,1e-08
792/G_REFRESH/0/interval_score90/summary,1,1.1368683772161603e-13,1e-08
792/G_REFRESH/0/interval_score90/points,4,7.9580786405131221e-13,1e-08
792/G_REFRESH/0/coverage95/summary,1,0,1e-08
792/G_REFRESH/0/coverage95/points,4,0,1e-08
792/G_REFRESH/0/width95/summary,1,1.1368683772161603e-13,1e-08
792/G_REFRESH/0/width95/points,4,3.979039320256561e-13,1e-08
792/G_REFRESH/0/interval_score95/summary,1,5.6843418860808015e-14,1e-08
792/G_REFRESH/0/interval_score95/points,4,3.979039320256561e-13,1e-08
792/G_REFRESH/1/mae/summary,1,1.0658141036401503e-14,1e-08
792/G_REFRESH/1/mae/points,4,2.1316282072803006e-14,1e-08
792/G_REFRESH/1/rmse/summary,1,7.1054273576010019e-15,1e-08
792/G_REFRESH/1/rmse/points,4,1.4210854715202004e-14,1e-08
792/G_REFRESH/1/crps/summary,1,0,1e-08
792/G_REFRESH/1/crps/points,4,1.0658141036401503e-14,1e-08
792/G_REFRESH/1/coverage80/summary,1,0,1e-08
792/G_REFRESH/1/coverage80/points,4,0,1e-08
792/G_REFRESH/1/width80/summary,1,2.5579538487363607e-13,1e-08
792/G_REFRESH/1/width80/points,4,8.8107299234252423e-13,1e-08
792/G_REFRESH/1/interval_score80/summary,1,2.2737367544323206e-13,1e-08
792/G_REFRESH/1/interval_score80/points,4,8.8107299234252423e-13,1e-08
792/G_REFRESH/1/coverage90/summary,1,0,1e-08
792/G_REFRESH/1/coverage90/points,4,0,1e-08
792/G_REFRESH/1/width90/summary,1,2.9842794901924208e-13,1e-08
792/G_REFRESH/1/width90/points,4,7.9580786405131221e-13,1e-08
792/G_REFRESH/1/interval_score90/summary,1,1.7053025658242404e-13,1e-08
792/G_REFRESH/1/interval_score90/points,4,7.9580786405131221e-13,1e-08
792/G_REFRESH/1/coverage95/summary,1,0,1e-08
792/G_REFRESH/1/coverage95/points,4,0,1e-08
792/G_REFRESH/1/width95/summary,1,1.1368683772161603e-13,1e-08
792/G_REFRESH/1/width95/points,4,3.979039320256561e-13,1e-08
792/G_REFRESH/1/interval_score95/summary,1,0,1e-08
792/G_REFRESH/1/interval_score95/points,4,3.979039320256561e-13,1e-08
792/G_REFRESH/2/mae/summary,1,7.1054273576010019e-15,1e-08
792/G_REFRESH/2/mae/points,4,2.8421709430404007e-14,1e-08
792/G_REFRESH/2/rmse/summary,1,3.5527136788005009e-15,1e-08
792/G_REFRESH/2/rmse/points,4,1.4210854715202004e-14,1e-08
792/G_REFRESH/2/crps/summary,1,7.1054273576010019e-15,1e-08
792/G_REFRESH/2/crps/points,4,1.4210854715202004e-14,1e-08
792/G_REFRESH/2/coverage80/summary,1,0,1e-08
792/G_REFRESH/2/coverage80/points,4,0,1e-08
792/G_REFRESH/2/width80/summary,1,2.5579538487363607e-13,1e-08
792/G_REFRESH/2/width80/points,4,8.8107299234252423e-13,1e-08
792/G_REFRESH/2/interval_score80/summary,1,2.2737367544323206e-13,1e-08
792/G_REFRESH/2/interval_score80/points,4,8.8107299234252423e-13,1e-08
792/G_REFRESH/2/coverage90/summary,1,0,1e-08
792/G_REFRESH/2/coverage90/points,4,0,1e-08
792/G_REFRESH/2/width90/summary,1,2.9842794901924208e-13,1e-08
792/G_REFRESH/2/width90/points,4,7.9580786405131221e-13,1e-08
792/G_REFRESH/2/interval_score90/summary,1,1.1368683772161603e-13,1e-08
792/G_REFRESH/2/interval_score90/points,4,7.9580786405131221e-13,1e-08
792/G_REFRESH/2/coverage95/summary,1,0,1e-08
792/G_REFRESH/2/coverage95/points,4,0,1e-08
792/G_REFRESH/2/width95/summary,1,1.1368683772161603e-13,1e-08
792/G_REFRESH/2/width95/points,4,3.979039320256561e-13,1e-08
792/G_REFRESH/2/interval_score95/summary,1,1.1368683772161603e-13,1e-08
792/G_REFRESH/2/interval_score95/points,4,5.6843418860808015e-13,1e-08
792/G_REFRESH/ATU1/target_indices,293,0,0
792/G_REFRESH/ATU1/daily,879,0,0
792/G_REFRESH/ATU5/target_indices,293,0,0
792/G_REFRESH/ATU5/daily,879,0,0
792/G_REFRESH/MJ3/target_indices,293,0,0
792/G_REFRESH/MJ3/daily,879,0,0
792/G_REFRESH/MJ1/target_indices,293,0,0
