check,values,max_difference,tolerance
teacher/852/prefix_mean,3408,0,1e-08
teacher/852/state/coordinates,4580,0,0
teacher/852/prefix/coordinates,3408,0,1e-08
teacher/852/state/plastic,4580,0,0
teacher/852/prefix/plastic,3408,0,1e-08
teacher/852/state/contact,4580,0,0
teacher/852/prefix/contact,3408,0,1e-08
teacher/852/state/bulk_reaction,4580,0,0
teacher/852/prefix/bulk_reaction,3408,0,1e-08
teacher/852/state/basal_reaction,4580,0,0
teacher/852/prefix/basal_reaction,3408,0,1e-08
teacher/852/state/rain_head,4580,0,0
teacher/852/prefix/rain_head,3408,0,1e-08
teacher/852/state/reservoir_head,1145,0,0
teacher/852/prefix/reservoir_head,852,0,1e-08
teacher/852/state/force,4580,0,0
teacher/852/prefix/force,3408,0,1e-08
teacher/852/state/kc,16,0,0
teacher/852/prefix/kc,16,0,1e-08
teacher/852/state/ke,16,0,0
teacher/852/prefix/ke,16,0,1e-08
teacher/852/state/moisture,4580,0,0
teacher/852/prefix/moisture,3408,0,1e-08
teacher/852/state/background,4580,0,0
teacher/852/prefix/background,3408,0,1e-08
teacher/852/state/background_rate,4580,0,0
teacher/852/prefix/background_rate,3408,0,1e-08
teacher/852/explicit_projection,4580,5.6843418860808015e-14,1e-08
teacher/852/derived_features,45800,0,1e-08
teacher/852/objective,3,7.1054273576010019e-15,1e-08
teacher/852/terminal_error,4,0,0
teacher/912/initialization,54,0,0
teacher/912/clipped_initialization,54,0,0
teacher/912/parameter_record,54,0,0
teacher/912/forcing,2410,0,0
teacher/912/full_mean,4820,0,0
teacher/912/prefix_mean,3648,0,1e-08
teacher/912/state/coordinates,4820,0,0
teacher/912/prefix/coordinates,3648,0,1e-08
teacher/912/state/plastic,4820,0,0
teacher/912/prefix/plastic,3648,0,1e-08
teacher/912/state/contact,4820,0,0
teacher/912/prefix/contact,3648,0,1e-08
teacher/912/state/bulk_reaction,4820,0,0
teacher/912/prefix/bulk_reaction,3648,0,1e-08
teacher/912/state/basal_reaction,4820,0,0
teacher/912/prefix/basal_reaction,3648,0,1e-08
teacher/912/state/rain_head,4820,0,0
teacher/912/prefix/rain_head,3648,0,1e-08
teacher/912/state/reservoir_head,1205,0,0
teacher/912/prefix/reservoir_head,912,0,1e-08
teacher/912/state/force,4820,0,0
teacher/912/prefix/force,3648,0,1e-08
teacher/912/state/kc,16,0,0
teacher/912/prefix/kc,16,0,1e-08
teacher/912/state/ke,16,0,0
teacher/912/prefix/ke,16,0,1e-08
teacher/912/state/moisture,4820,0,0
teacher/912/prefix/moisture,3648,0,1e-08
teacher/912/state/background,4820,0,0
teacher/912/prefix/background,3648,0,1e-08
teacher/912/state/background_rate,4820,0,0
teacher/912/prefix/background_rate,3648,0,1e-08
teacher/912/explicit_projection,4820,5.6843418860808015e-14,1e-08
teacher/912/derived_features,48200,0,1e-08
teacher/912/objective,3,0,1e-08
teacher/912/terminal_error,4,0,0
teacher/972/initialization,54,0,0
teacher/972/clipped_initialization,54,0,0
teacher/972/parameter_record,54,0,0
teacher/972/forcing,2530,0,0
teacher/972/full_mean,5060,0,0
teacher/972/prefix_mean,3888,0,1e-08
teacher/972/state/coordinates,5060,0,0
teacher/972/prefix/coordinates,3888,0,1e-08
teacher/972/state/plastic,5060,0,0
teacher/972/prefix/plastic,3888,0,1e-08
teacher/972/state/contact,5060,0,0
teacher/972/prefix/contact,3888,0,1e-08
teacher/972/state/bulk_reaction,5060,0,0
teacher/972/prefix/bulk_reaction,3888,0,1e-08
teacher/972/state/basal_reaction,5060,0,0
teacher/972/prefix/basal_reaction,3888,0,1e-08
teacher/972/state/rain_head,5060,0,0
teacher/972/prefix/rain_head,3888,0,1e-08
teacher/972/state/reservoir_head,1265,0,0
teacher/972/prefix/reservoir_head,972,0,1e-08
teacher/972/state/force,5060,0,0
teacher/972/prefix/force,3888,0,1e-08
teacher/972/state/kc,16,0,0
teacher/972/prefix/kc,16,0,1e-08
teacher/972/state/ke,16,0,0
teacher/972/prefix/ke,16,0,1e-08
teacher/972/state/moisture,5060,0,0
teacher/972/prefix/moisture,3888,0,1e-08
teacher/972/state/background,5060,0,0
teacher/972/prefix/background,3888,0,1e-08
teacher/972/state/background_rate,5060,0,0
teacher/972/prefix/background_rate,3888,0,1e-08
teacher/972/explicit_projection,5060,5.6843418860808015e-14,1e-08
teacher/972/derived_features,50600,0,1e-08
teacher/972/objective,3,7.1054273576010019e-15,1e-08
teacher/972/terminal_error,4,0,0
teacher/1032/initialization,54,0,0
teacher/1032/clipped_initialization,54,0,0
teacher/1032/parameter_record,54,0,0
teacher/1032/forcing,2650,0,0
teacher/1032/full_mean,5300,0,0
teacher/1032/prefix_mean,4128,0,1e-08
teacher/1032/state/coordinates,5300,0,0
teacher/1032/prefix/coordinates,4128,0,1e-08
teacher/1032/state/plastic,5300,0,0
teacher/1032/prefix/plastic,4128,0,1e-08
teacher/1032/state/contact,5300,0,0
teacher/1032/prefix/contact,4128,0,1e-08
