fit_prefix,point,policy,fit_mae,fit_rmse,terminal_error,optimizer_success
492,ATU1,G_CACHED,12.787187593203285,21.616112606912459,-45.452724449500977,
492,ATU1,G_REFRESH,8.380072998234553,11.755843015931564,0.0081074947453316781,False
492,ATU5,G_CACHED,13.410063632050518,33.339353265701099,-121.42405439339353,
492,ATU5,G_REFRESH,7.9312954705677541,11.388494390507345,-0.0054537124522653357,False
492,MJ3,G_CACHED,5.4364993591099537,6.3297816746760294,3.8986665032473411,
492,MJ3,G_REFRESH,5.7720203829310854,6.7249761881134393,-0.001747621307231384,False
492,MJ1,G_CACHED,6.3098771176634241,7.7598709764444322,11.802631439999004,
492,MJ1,G_REFRESH,7.2667522041432715,8.5073622133124953,0.019774711380705412,False
552,ATU1,G_CACHED,17.160678920762056,26.917524510999453,-56.54500076164868,
552,ATU1,G_REFRESH,7.4723521187693285,10.943504449768099,-0.0035509720709114845,False
552,ATU5,G_CACHED,28.344165329400436,59.019503656392871,-164.04253373903208,
552,ATU5,G_REFRESH,12.741945484597776,16.673476799112777,-0.022049255346871632,False
552,MJ3,G_CACHED,5.9871772881699874,6.9924705846264992,16.090154465975274,
552,MJ3,G_REFRESH,5.8652559979842271,6.9801437058815772,0.0037052166528610542,False
552,MJ1,G_CACHED,7.6775261674546149,9.6984930506605842,25.181363169219708,
552,MJ1,G_REFRESH,7.2636668203169226,8.7267910513815501,0.022881653112904132,False
672,ATU1,G_CACHED,6.0641020424157102,8.025969877628766,-5.3468113878582244,
672,ATU1,G_REFRESH,6.0400135610852272,7.9944734641423691,-0.0019510759754552964,False
672,ATU5,G_CACHED,7.3767447220103062,8.9450520582767759,2.3318002934432798,
672,ATU5,G_REFRESH,7.4038071990193073,8.9404295800968931,0.0021293028399895775,False
672,MJ3,G_CACHED,5.3711650870032654,6.6120238980962363,23.831537566754378,
672,MJ3,G_REFRESH,7.1651336868971143,8.3927587188210371,0.028679878124648894,False
672,MJ1,G_CACHED,3.9457926158905474,5.5005899009856254,-12.018910906976885,
672,MJ1,G_REFRESH,5.0642980203509635,6.2822626081408712,-0.017128725209204276,False
732,ATU1,G_CACHED,5.9605403747176533,7.856437181449424,0.61620628543920475,
732,ATU1,G_REFRESH,5.6242673156672138,7.6499446352239016,-0.0042127317456106539,False
732,ATU5,G_CACHED,7.2143918333596906,8.7422376984571066,-9.2123304894375906,
732,ATU5,G_REFRESH,7.8945297545538393,9.7062730545135665,-0.026682127752110318,False
732,MJ3,G_CACHED,8.9403247070552023,15.980786041892099,72.756379395910699,
732,MJ3,G_REFRESH,9.8549833367334969,11.534318410460552,0.048455646644470107,False
732,MJ1,G_CACHED,4.6702476421803505,6.7335541565038719,22.744258946411946,
732,MJ1,G_REFRESH,5.4244837904043575,6.5731969962614949,-0.0034794987407167355,False
852,ATU1,G_CACHED,7.5905781424238583,11.5789657953197,7.158838360605273,
852,ATU1,G_REFRESH,8.7895052857522291,12.65032044882847,0.038655371915751857,False
852,ATU5,G_CACHED,11.495905400222512,15.791203832170533,6.9994706956016444,
852,ATU5,G_REFRESH,11.861566438334307,15.986477665729897,0.016351362026853167,False
852,MJ3,G_CACHED,10.264752556234027,13.758622682007008,-1.035327380102899,
852,MJ3,G_REFRESH,8.5672553738905375,11.016793813167245,0.054303361078154921,False
852,MJ1,G_CACHED,6.3399827248878573,7.825455768602505,11.201213054196273,
852,MJ1,G_REFRESH,6.6898741737299918,8.2682415548012909,0.0089343963438750507,False
912,ATU1,G_CACHED,8.7054516742079162,13.056785491244121,32.154189848803128,
912,ATU1,G_REFRESH,11.446743562203249,15.444221653702289,0.071491609917814003,False
912,ATU5,G_CACHED,12.675268395073736,17.364173108789316,41.515515900673677,
912,ATU5,G_REFRESH,15.696764915275205,19.506915132948002,0.073312829879910169,False
912,MJ3,G_CACHED,9.7405296878990999,13.316666371220435,4.6509276327326461,
912,MJ3,G_REFRESH,8.3641905466732069,10.687096467046821,0.089736520722226487,False
912,MJ1,G_CACHED,7.1133005180574962,8.9269934099956441,23.392056967890881,
912,MJ1,G_REFRESH,8.5792863304057914,10.914978916423308,0.042634896416075208,False
972,ATU1,G_CACHED,10.214801460750175,15.096728961365411,35.713196639781813,
972,ATU1,G_REFRESH,7.6756170529985077,12.079546837476085,0.031367149929678817,False
972,ATU5,G_CACHED,14.662399179286446,20.18510871140823,48.658411535979667,
972,ATU5,G_REFRESH,12.725808262272155,17.664056578243443,0.033148491028896387,False
972,MJ3,G_CACHED,9.492620422441524,12.977836097817466,4.7647315740448448,
972,MJ3,G_REFRESH,6.2161989210127642,8.2498503214814907,0.039073283933475977,False
972,MJ1,G_CACHED,8.298984816198395,10.845589960944183,27.140724849198932,
972,MJ1,G_REFRESH,7.6206875904506086,10.239288849529414,0.038421615614311122,False
1032,ATU1,G_CACHED,11.866694493956176,17.368109563777793,42.116852183302228,
1032,ATU1,G_REFRESH,12.449693428968125,16.784177246237768,0.088014415792144973,False
1032,ATU5,G_CACHED,16.884007781772187,23.383246455686582,57.651933987422467,
1032,ATU5,G_REFRESH,15.359773932448517,19.699966790975385,0.074886480438749459,False
1032,MJ3,G_CACHED,9.1581289437739315,12.627530708274687,4.3019240260314291,
1032,MJ3,G_REFRESH,7.7517193107684497,10.73480280877987,0.082051087792706312,False
1032,MJ1,G_CACHED,9.4390101775591013,12.494133266081553,28.906272946424338,
1032,MJ1,G_REFRESH,8.6009745032425862,11.626594919646339,0.041550823966758799,False
1092,ATU1,G_CACHED,13.84944830284436,20.306903844017388,53.303360245810268,
1092,ATU1,G_REFRESH,7.4231046011010475,11.732113159388669,0.019948117422131872,False
1092,ATU5,G_CACHED,19.211438791047332,26.6412095027361,62.077247722416246,
1092,ATU5,G_REFRESH,12.347817061929636,17.836436188609596,0.034137976937017811,False
1092,MJ3,G_CACHED,9.7110443283749053,13.592401740394816,51.362053999101136,
1092,MJ3,G_REFRESH,6.606087070789882,9.2770657242009182,0.049535512909869794,False
1092,MJ1,G_CACHED,10.905402435703913,14.921270473575854,52.615661225586109,
1092,MJ1,G_REFRESH,8.660544698857418,11.315749426631548,0.0072014878528534609,False
1152,ATU1,G_CACHED,16.169782586730165,23.862023242766597,64.008187831590931,
1152,ATU1,G_REFRESH,8.5048911650682673,11.800217787039735,0.026462567151156691,False
