outer_prefix,training_origin,policy,point,teacher_fit_prefix,mature_distances,centered_target_mean_mm,positive_centered_target_fraction
1168,432,G_CACHED,ATU5,432,293,139.27672240501997,1
1168,432,G_CACHED,MJ3,432,293,-25.448117868966801,0.17406143344709898
1168,432,G_CACHED,MJ1,432,293,-22.846303557749216,0.085324232081911269
1168,492,G_CACHED,ATU1,432,293,3.9267115766972558,0.70648464163822522
1168,492,G_CACHED,ATU5,432,293,20.851216480983418,0.78498293515358364
1168,492,G_CACHED,MJ3,432,293,-44.736101197659856,0
1168,492,G_CACHED,MJ1,432,293,-22.500890430168816,0
1168,552,G_CACHED,ATU1,432,293,-12.952271603961696,0.071672354948805458
1168,552,G_CACHED,ATU5,432,293,-35.276937289033299,0.14334470989761092
1168,552,G_CACHED,MJ3,432,293,-59.018161799491949,0
1168,552,G_CACHED,MJ1,432,293,-21.70811921730488,0.10238907849829351
1168,612,G_CACHED,ATU1,612,293,-4.2897155951066903,0.3651877133105802
1168,612,G_CACHED,ATU5,612,293,-4.5952138983431894,0.35153583617747441
1168,612,G_CACHED,MJ3,612,293,-77.763580502429605,0
1168,612,G_CACHED,MJ1,612,293,-22.67237712687621,0.19453924914675769
1168,672,G_CACHED,ATU1,612,293,-14.691964672804835,0
1168,672,G_CACHED,ATU5,612,293,-8.3188242700645709,0.40955631399317405
1168,672,G_CACHED,MJ3,612,293,-80.62553434750852,0
1168,672,G_CACHED,MJ1,612,293,-46.427470580920584,0.030716723549488054
1168,732,G_CACHED,ATU1,612,293,-12.101844817986681,0.23208191126279865
1168,732,G_CACHED,ATU5,612,293,-30.24717833670546,0
1168,732,G_CACHED,MJ3,612,293,-51.487177966437933,0
1168,732,G_CACHED,MJ1,612,293,-21.226203764676885,0
1168,792,G_CACHED,ATU1,792,293,-29.315155514329426,0
1168,792,G_CACHED,ATU5,792,293,-37.532022682040946,0
1168,792,G_CACHED,MJ3,792,293,-4.9583357964946639,0.20136518771331058
1168,792,G_CACHED,MJ1,792,293,-22.181406781202178,0
1168,852,G_CACHED,ATU1,792,293,-32.796191357904895,0.013651877133105802
1168,852,G_CACHED,ATU5,792,293,-42.646559132277815,0
1168,852,G_CACHED,MJ3,792,293,-20.251937822003782,0
1168,852,G_CACHED,MJ1,792,293,-23.273223912915793,0
1168,912,G_CACHED,ATU1,792,256,-13.659801275029039,0.046875
1168,912,G_CACHED,ATU5,792,256,-14.556182815282446,0
1168,912,G_CACHED,MJ3,792,256,-24.852251992888519,0.30078125
1168,912,G_CACHED,MJ1,792,256,-19.504812643438051,0
1168,972,G_CACHED,ATU1,792,196,-13.975408639450249,0
1168,972,G_CACHED,ATU5,792,196,-10.8433621646611,0
1168,972,G_CACHED,MJ3,792,196,-32.017666430597181,0.40306122448979592
1168,972,G_CACHED,MJ1,792,196,-20.830272352963334,0.11224489795918367
1168,1032,G_CACHED,ATU1,792,136,-12.451713528579239,0
1168,1032,G_CACHED,ATU5,792,136,-4.7738279008357658,0
1168,1032,G_CACHED,MJ3,792,136,-47.058281779470768,0
1168,1032,G_CACHED,MJ1,792,136,-27.916301978043684,0.13970588235294118
1168,1092,G_CACHED,ATU1,792,76,-6.4881674893557086,0.11842105263157894
1168,1092,G_CACHED,ATU5,792,76,-2.8610218534827228,0.27631578947368424
1168,1092,G_CACHED,MJ3,792,76,-25.371059855340988,0
1168,1092,G_CACHED,MJ1,792,76,-20.545249737308261,0
1168,1152,G_CACHED,ATU1,792,16,-1.0020693350031458,0.0625
1168,1152,G_CACHED,ATU5,792,16,-0.26365882153304909,0.25
1168,1152,G_CACHED,MJ3,792,16,-2.1288682192409993,0
1168,1152,G_CACHED,MJ1,792,16,-2.8496144878193164,0
1168,432,G_REFRESH,ATU1,432,293,53.050159343192817,1
1168,432,G_REFRESH,ATU5,432,293,139.27672240501997,1
1168,432,G_REFRESH,MJ3,432,293,-25.448117868966801,0.17406143344709898
1168,432,G_REFRESH,MJ1,432,293,-22.846303557749216,0.085324232081911269
1168,492,G_REFRESH,ATU1,492,293,5.9680741425102966,0.80887372013651881
1168,492,G_REFRESH,ATU5,492,293,31.889325373949653,1
1168,492,G_REFRESH,MJ3,492,293,-39.029032157538175,0
1168,492,G_REFRESH,MJ1,492,293,-14.004544809392536,0
1168,552,G_REFRESH,ATU1,552,293,-7.4426160900796212,0.12627986348122866
1168,552,G_REFRESH,ATU5,552,293,-53.2819965668522,0.064846416382252553
1168,552,G_REFRESH,MJ3,552,293,-48.267928691726553,0
1168,552,G_REFRESH,MJ1,552,293,-8.76995973371295,0.25938566552901021
1168,612,G_REFRESH,ATU1,612,293,-4.2897155951066903,0.3651877133105802
1168,612,G_REFRESH,ATU5,612,293,-4.5952138983431894,0.35153583617747441
1168,612,G_REFRESH,MJ3,612,293,-77.763580502429605,0
1168,612,G_REFRESH,MJ1,612,293,-22.67237712687621,0.19453924914675769
1168,672,G_REFRESH,ATU1,672,293,-39.17723303290493,0
1168,672,G_REFRESH,ATU5,672,293,-41.508788248669454,0.023890784982935155
1168,672,G_REFRESH,MJ3,672,293,-58.496205218245372,0
1168,672,G_REFRESH,MJ1,672,293,-40.519963348041117,0.023890784982935155
1168,732,G_REFRESH,ATU1,732,293,-9.4978015540677596,0.22866894197952217
1168,732,G_REFRESH,ATU5,732,293,-33.654495080998572,0
1168,732,G_REFRESH,MJ3,732,293,-3.0814039999443787,0.058020477815699661
1168,732,G_REFRESH,MJ1,732,293,-8.0762872810081205,0.010238907849829351
1168,792,G_REFRESH,ATU1,792,293,-29.315155514329426,0
1168,792,G_REFRESH,ATU5,792,293,-37.532022682040946,0
1168,792,G_REFRESH,MJ3,792,293,-4.9583357964946639,0.20136518771331058
1168,792,G_REFRESH,MJ1,792,293,-22.181406781202178,0
1168,852,G_REFRESH,ATU1,852,293,-30.441815344810898,0.013651877133105802
1168,852,G_REFRESH,ATU5,852,293,-38.502715262948357,0
1168,852,G_REFRESH,MJ3,852,293,-18.591038863895314,0
1168,852,G_REFRESH,MJ1,852,293,-21.996688268690303,0
1168,912,G_REFRESH,ATU1,912,256,-11.681690611446909,0.0703125
1168,912,G_REFRESH,ATU5,912,256,-14.417694066593564,0
1168,912,G_REFRESH,MJ3,912,256,-21.838744770242702,0.37109375
1168,912,G_REFRESH,MJ1,912,256,-16.627293787233324,0
1168,972,G_REFRESH,ATU1,972,196,-8.1837046333459913,0
1168,972,G_REFRESH,ATU5,972,196,-8.0253066096167718,0
1168,972,G_REFRESH,MJ3,972,196,-29.234009129698268,0.43367346938775508
1168,972,G_REFRESH,MJ1,972,196,-17.705503175807454,0.35714285714285715
1168,1032,G_REFRESH,ATU1,1032,136,-9.0782567131379661,0
1168,1032,G_REFRESH,ATU5,1032,136,-2.5976517546392395,0.17647058823529413
1168,1032,G_REFRESH,MJ3,1032,136,-42.638611945555702,0.044117647058823532
1168,1032,G_REFRESH,MJ1,1032,136,-24.401677962875791,0.18382352941176472
1168,1092,G_REFRESH,ATU1,1092,76,-3.5849190629548024,0.13157894736842105
1168,1092,G_REFRESH,ATU5,1092,76,-2.6002535288961144,0.078947368421052627
1168,1092,G_REFRESH,MJ3,1092,76,-4.6818711705487646,0
1168,1092,G_REFRESH,MJ1,1092,76,-9.8732815549203856,0
1168,1152,G_REFRESH,ATU1,1152,16,-0.41640956951370356,0.0625
1168,1152,G_REFRESH,ATU5,1152,16,0.1541880804624185,1
1168,1152,G_REFRESH,MJ3,1152,16,0.78469626628860567,1
1168,1152,G_REFRESH,MJ1,1152,16,-0.98056215886315101,0
