panel,fold,fold_role,estimator,n,metric,value,status,decision_status
all_valid_280,2,development_already_exposed,ngboost,280,accuracy,0.353571428571,reported_descriptive,exploratory_negative_result
all_valid_280,2,development_already_exposed,ngboost,280,macro_f1_fixed_five,0.28710863673,reported_descriptive,exploratory_negative_result
all_valid_280,2,development_already_exposed,ngboost,280,ordinal_mae,0.742857142857,reported_descriptive,exploratory_negative_result
all_valid_280,2,development_already_exposed,ngboost,280,multiclass_log_loss,3.33584049457,reported_descriptive,exploratory_negative_result
all_valid_280,2,development_already_exposed,ngboost,280,multiclass_brier,0.995969261524,reported_descriptive,exploratory_negative_result
all_valid_280,2,development_already_exposed,multinomial_logistic,280,accuracy,0.25,reported_descriptive,exploratory_negative_result
all_valid_280,2,development_already_exposed,multinomial_logistic,280,macro_f1_fixed_five,0.196427758186,reported_descriptive,exploratory_negative_result
all_valid_280,2,development_already_exposed,multinomial_logistic,280,ordinal_mae,0.832142857143,reported_descriptive,exploratory_negative_result
all_valid_280,2,development_already_exposed,multinomial_logistic,280,multiclass_log_loss,2.27323996055,reported_descriptive,exploratory_negative_result
all_valid_280,2,development_already_exposed,multinomial_logistic,280,multiclass_brier,1.07712104015,reported_descriptive,exploratory_negative_result
all_valid_280,2,development_already_exposed,fold1_prior,280,accuracy,0.492857142857,reported_descriptive,exploratory_negative_result
all_valid_280,2,development_already_exposed,fold1_prior,280,macro_f1_fixed_five,0.132057416268,reported_descriptive,exploratory_negative_result
all_valid_280,2,development_already_exposed,fold1_prior,280,ordinal_mae,0.967857142857,reported_descriptive,exploratory_negative_result
all_valid_280,2,development_already_exposed,fold1_prior,280,multiclass_log_loss,1.60943791243,reported_descriptive,exploratory_negative_result
all_valid_280,2,development_already_exposed,fold1_prior,280,multiclass_brier,0.8,reported_descriptive,exploratory_negative_result
common_273,2,development_already_exposed,memory_ngboost,273,accuracy,0.336996336996,reported_descriptive,rejected
common_273,2,development_already_exposed,memory_ngboost,273,macro_f1_fixed_five,0.281322288996,reported_descriptive,rejected
common_273,2,development_already_exposed,memory_ngboost,273,ordinal_mae,0.761904761905,reported_descriptive,rejected
common_273,2,development_already_exposed,memory_ngboost,273,multiclass_log_loss,3.43455348306,reported_descriptive,rejected
common_273,2,development_already_exposed,memory_ngboost,273,multiclass_brier,1.02824311203,reported_descriptive,rejected
common_273,2,development_already_exposed,residual_ngboost,273,accuracy,0.355311355311,reported_descriptive,rejected
common_273,2,development_already_exposed,residual_ngboost,273,macro_f1_fixed_five,0.330686744782,reported_descriptive,rejected
common_273,2,development_already_exposed,residual_ngboost,273,ordinal_mae,0.70695970696,reported_descriptive,rejected
common_273,2,development_already_exposed,residual_ngboost,273,multiclass_log_loss,3.7537832665,reported_descriptive,rejected
common_273,2,development_already_exposed,residual_ngboost,273,multiclass_brier,1.02377874757,reported_descriptive,rejected
common_273,2,development_already_exposed,v1_ngboost,273,accuracy,0.336996336996,reported_descriptive,exploratory_negative_result
common_273,2,development_already_exposed,v1_ngboost,273,macro_f1_fixed_five,0.281322288996,reported_descriptive,exploratory_negative_result
common_273,2,development_already_exposed,v1_ngboost,273,ordinal_mae,0.761904761905,reported_descriptive,exploratory_negative_result
common_273,2,development_already_exposed,v1_ngboost,273,multiclass_log_loss,3.42118574076,reported_descriptive,exploratory_negative_result
common_273,2,development_already_exposed,v1_ngboost,273,multiclass_brier,1.02150408492,reported_descriptive,exploratory_negative_result
common_273,2,development_already_exposed,lag7_persistence,273,accuracy,0.802197802198,reported_descriptive,causal_hard_baseline
common_273,2,development_already_exposed,lag7_persistence,273,macro_f1_fixed_five,0.672214572137,reported_descriptive,causal_hard_baseline
common_273,2,development_already_exposed,lag7_persistence,273,ordinal_mae,0.223443223443,reported_descriptive,causal_hard_baseline
