fold,scope,n_dates,n_stations,seed_count,model_rmse_mean,model_rmse_std,model_mae_mean,model_mae_std,baseline_rmse,baseline_mae,rmse_skill_vs_baseline_mean,mae_skill_vs_baseline_mean,rmse_skill_positive_seeds,mae_skill_positive_seeds,increment_correlation_mean,increment_std_ratio_mean,coverage_mean,coverage_std,mean_width_mean,interval_score_80_mean
1,overall,287,8,5,1.969853447303009,0.4182506335588141,1.5116822596787602,0.4966787958629035,0.2451163880241744,0.163075880213064,-7.036400434836423,-8.269808985263163,0,0,0.2017117603141175,6.933324612281053,0.3869337979094077,0.1939001204346853,2.9588356510235783,8.462620579709142
1,ATU1,287,1,5,2.588664075569748,0.3994044995486119,2.0640985730133217,0.6559838398571997,0.2134247600873727,0.1597519356373974,-11.129164744099931,-11.920648283713962,0,0,0.0387728301853288,10.610289621867016,0.3958188153310105,0.2639312449718328,3.27887838053748,15.546787058908365
1,ATU2,287,1,5,2.221372469861506,0.4146035010204195,1.9565568732271197,0.6402502178843062,0.1584239443009627,0.1069686062717768,-13.021696528660453,-17.290944805395185,0,0,0.046162395305483,7.77729336110797,0.2857142857142857,0.2388475692210991,3.504651018710333,11.72172418022367
1,ATU3,287,1,5,2.993830808364554,0.7224818746903895,2.7570253314743223,0.9307464632555688,0.3191695530913898,0.2380262369337979,-8.38006391702191,-10.582863162438397,0,0,0.1634243894624233,4.768863986344806,0.3031358885017422,0.2585685151728488,5.569306192791918,13.73818256780435
1,ATU4,287,1,5,1.737128566345182,0.4523231392272229,1.6238937891280287,0.548943411807689,0.1401208085467853,0.0967021254355399,-11.397363277882938,-15.792741439902365,0,0,0.1736954302270654,5.326280335732112,0.3142857142857142,0.245878012020007,3.4391395936110287,7.353547394437695
1,ATU5,287,1,5,2.515323121426409,0.5939776332794066,2.2951557747549365,0.8088013219174573,0.387436908234515,0.2876198040183912,-5.492213488096203,-6.979825250865472,0,0,0.2612664009799775,3.445142460991608,0.2857142857142857,0.265037494853472,4.519498297086695,12.369066793594802
1,MJ1,287,1,5,0.4220031398051053,0.1277305856096884,0.3663712344912239,0.1274074090990967,0.3417045250150406,0.2670087200636123,-0.2349942974461052,-0.3721320951762897,1,1,0.2475721556690663,0.6089417832729948,0.6682926829268293,0.1169040175041008,1.2130738702710828,1.5787205728594738
1,MJ3,287,1,5,0.9034067825511652,0.2269323887670694,0.8519116449891723,0.2766932624750099,0.0772518934998803,0.0556634809398151,-10.6942995391118,-14.30467787148063,0,0,-0.1279242237408356,4.398100895217986,0.1700348432055749,0.2080900881394788,1.59258471648441,4.620925097496403
1,MJ9,287,1,5,0.1983963052666348,0.0559311653469257,0.1784448563519558,0.0545550942452881,0.1251712232989687,0.0928661324041813,-0.5849993316176965,-0.9215278135554308,1,1,0.2079777967902917,0.6997816822563158,0.672473867595819,0.1623670948387771,0.5535531386956754,0.7720109723484004
2,overall,287,8,5,0.3564804302144431,0.0848091795000113,0.2189331606079231,0.0434316376261698,0.1200124840950918,0.0926456108289642,-1.9703612328529587,-1.3631250163820714,0,0,0.1870436016164174,3.667965870388711,0.9557491289198607,0.0197189533999537,1.3197830281153544,1.4753064957229447
2,ATU1,287,1,5,0.3918685101697397,0.1354243594704615,0.2286429296570989,0.0777926974193038,0.0909266797608466,0.0705898057467166,-3.3097197786218935,-2.2390361078126895,0,0,0.0043431787879119,5.513474032689004,0.975609756097561,0.0118159058939464,2.026207183449429,2.19970234610844
2,ATU2,287,1,5,0.3930718783061275,0.0814648726524191,0.2621702710769942,0.0520301594165729,0.0733521187830668,0.047890069686411,-4.358698355648142,-4.474418241479105,0,0,0.0036008844863664,5.031658982455654,0.970034843205575,0.0122199846109757,1.5641804524531264,1.7701095033334688
2,ATU3,287,1,5,0.5409481114487631,0.1279815260949253,0.3778424898015831,0.0693124047091313,0.1453102964570847,0.1084560278745645,-2.722710121980407,-2.4838311637097656,0,0,0.0568257211640378,3.841670634064184,0.956794425087108,0.0287957540228493,2.0028297150822523,2.2754941602934076
2,ATU4,287,1,5,0.309474567124991,0.0784960343203727,0.2132308271782662,0.041109180575347,0.0692697546711054,0.0510004878048782,-3.467672342631849,-3.1809566213182507,0,0,-0.1610972023724419,3.509115393954803,0.9491289198606272,0.0335654204286893,1.1132965786336293,1.2802051100759118
2,ATU5,287,1,5,0.4918472760331759,0.1148507907006345,0.3424924232081475,0.0803579851071513,0.166818708780996,0.1492101012380346,-1.9483939758752484,-1.295370222031885,0,0,0.3155883596986586,4.894793966478103,0.9658536585365852,0.0166008770028872,2.0998025735566905,2.334815006190103
2,MJ1,287,1,5,0.2059962741541356,0.0333076106605415,0.1534195882123845,0.0274285310242646,0.1598610472025586,0.1332539635150423,-0.2885958009090201,-0.1513322693404604,0,1,0.1847570453107189,1.5003202174797283,0.9038327526132404,0.0249561039435121,0.7899302666676044,0.8783379377010482
2,MJ3,287,1,5,0.1572916755565051,0.0468294833932262,0.1099048518097693,0.0257406214324016,0.1287219494268245,0.1173457896510838,-0.2219491412062696,0.0634103521177831,1,3,0.3159236933306509,3.0306148476674553,0.9533101045296168,0.0530487089705038,0.62743284724904,0.7230363555688875
2,MJ9,287,1,5,0.0760001664307556,0.012250974376311,0.0637619039191411,0.011989631338681,0.0755580494862081,0.0634186411149825,-0.0058513546545194,-0.0054126483652689,3,3,0.5358055722110666,0.9119463771204872,0.9714285714285712,0.0194623554616988,0.3345846078310645,0.3407515465122922
3,overall,287,8,5,0.3280900088545566,0.0076710177710054,0.1686425346640917,0.0046858875811127,0.3402614103099604,0.1805325973970722,0.0357707371056752,0.0658610295559475,5,5,-0.0408680890940858,0.1555937381523058,0.7543554006968641,0.0186902012553356,0.4757017914143531,1.1021216832564051
3,ATU1,287,1,5,0.4602581078545084,0.0139405154273307,0.2506673920793906,0.0014726894871515,0.4774991824649447,0.2485967719772182,0.0361070243543341,-0.0083292316537488,5,1,-0.2692179870535436,0.0909418138057624,0.8655052264808363,0.0443892046109856,0.8424764165983571,1.633670602896246
3,ATU2,287,1,5,0.3102283791771237,0.0099920526104026,0.146857322741632,0.0075251699581469,0.3222258673501355,0.1563390940766549,0.0372331627863231,0.0606487544975398,4,5,-0.1820604462345662,0.1246956312809415,0.8891986062717769,0.0045429981917788,0.514887241905075,1.0697518163657418
3,ATU3,287,1,5,0.4849778773923798,0.009413615996596,0.2285675709417989,0.0119759778363105,0.4935066784621653,0.2444569686411152,0.0172820377960483,0.0649987512634313,4,5,-0.070899509515,0.120362066170134,0.8794425087108013,0.0164539636977248,0.7402602887429099,1.6552908521476013
3,ATU4,287,1,5,0.3092514657809171,0.0074782200643062,0.156414283313694,0.008841074399926,0.3068758477422523,0.1492666202090592,-0.0077413001255805,-0.047885207654759,1,1,0.0879208338090134,0.1223203060301343,0.8620209059233449,0.0553447880405917,0.427418408705526,1.0425584230910925
3,ATU5,287,1,5,0.3709552544204381,0.0105617901315101,0.1918722628082997,0.0076560160831419,0.3974059679631964,0.2208207887240037,0.0665584205449273,0.1310951114837549,5,5,-0.2613288797463296,0.1250886537676192,0.880836236933798,0.0173167576861173,0.6310807538916408,1.287021104298831
3,MJ1,287,1,5,0.1579315587458262,0.0055476764869418,0.1247069870967707,0.0035105887208199,0.183211493961161,0.1491726296894676,0.1379822557458863,0.1640089247178048,5,5,-0.0689907864244094,0.2145270233353799,0.6418118466898955,0.0486184466412728,0.2686305601571131,0.5915109036679266
3,MJ3,287,1,5,0.2141676921469123,0.0114187782386557,0.1617554751178709,0.0131501697783685,0.2228104696269016,0.1820172786813589,0.0387898176170164,0.1113180227189228,4,5,-0.513992273272526,0.1749627475023176,0.5372822299651568,0.0146590132180924,0.2482955886206714,0.9737402278578692
3,MJ9,287,1,5,0.1165994676755901,0.0049104044597433,0.0882989832132767,0.0031386768401494,0.1245935473564225,0.0935906271777004,0.0641612655747241,0.0565403195170017,5,5,0.2277489712364634,0.1807191551484754,0.4787456445993031,0.0303356081667998,0.1325650726935317,0.563429535725934
