case,date,station,split,actual_displacement_mm,v0_candidate_status,candidate_v0_mm_per_day,v0_candidate_available,v5_kinematic_branch_status,velocity_mm_per_day,velocity_status,velocity_ratio,velocity_ratio_status,delta_v_mm_per_day,delta_v_state,delta_v_near_zero_tau_mm_per_day,tangent_angle_degree,tangent_angle_status,interval_level,v4_reference_final_color,v4_reference_candidate_color,v4_reference_site_fusion_status,v4_reference_site_confirmed_color,v4_reference_local_max_color,candidate_display_only,v5_fusion_output,formal_warning_output,vajont_used
ootang,2019-02-05,ATU5,calibration,593.0568003318568,unavailable,,False,not_applicable_v0_unavailable,0.077111387400464,valid,,not_applicable_v0_unavailable,-0.0020079957369034,near_zero,0.008835445149900466,,not_applicable_v0_unavailable,0,green,green,candidate_not_site_confirmed,,yellow,True,False,False,False
ootang,2019-02-05,MJ1,calibration,940.4109076071038,initial_segment_selected,0.2503420449965549,True,candidate_available,0.1578903626949568,valid,0.6306985416577932,candidate_available,0.0069779100181222,positive,0.00474848045251647,32.23957034690396,candidate_available,2,yellow,yellow,candidate_not_site_confirmed,,yellow,True,False,False,False
ootang,2019-02-05,MJ3,calibration,1209.515767530894,initial_segment_selected,0.2481312611240816,True,candidate_available,0.1235478575979414,valid,0.49791331023042484,candidate_available,0.0061856234669903,positive,0.0033703372423854266,26.469324551806125,candidate_available,1,blue,blue,candidate_not_site_confirmed,,yellow,True,False,False,False
ootang,2019-02-05,MJ9,calibration,342.46587,unavailable,,False,not_applicable_v0_unavailable,0.01891999999998,valid,,not_applicable_v0_unavailable,0.010029999999972,positive,0.0004299540000099334,,not_applicable_v0_unavailable,0,blue,blue,candidate_not_site_confirmed,,yellow,True,False,False,False
ootang,2019-02-06,ATU1,calibration,458.7633910524675,unavailable,,False,not_applicable_v0_unavailable,0.0273580757411195,valid,,not_applicable_v0_unavailable,-0.0044091544097568,near_zero,0.006800805353298056,,not_applicable_v0_unavailable,0,green,green,candidate_not_site_confirmed,,yellow,True,False,False,False
ootang,2019-02-06,ATU2,calibration,327.32942,unavailable,,False,not_applicable_v0_unavailable,0.0732800000000111,valid,,not_applicable_v0_unavailable,0.0078800000000001,positive,0.0015419039999837046,,not_applicable_v0_unavailable,0,green,green,candidate_not_site_confirmed,,yellow,True,False,False,False
ootang,2019-02-06,ATU3,calibration,559.97479,unavailable,,False,not_applicable_v0_unavailable,0.0231899999999996,valid,,not_applicable_v0_unavailable,-0.0115799999999808,negative,0.002846591999955304,,not_applicable_v0_unavailable,0,green,green,candidate_not_site_confirmed,,yellow,True,False,False,False
ootang,2019-02-06,ATU4,calibration,281.94097,unavailable,,False,not_applicable_v0_unavailable,0.0004799999999818,valid,,not_applicable_v0_unavailable,-0.000630000000001,near_zero,0.0013639920000009212,,not_applicable_v0_unavailable,0,green,green,candidate_not_site_confirmed,,yellow,True,False,False,False
ootang,2019-02-06,ATU5,calibration,593.1321054254784,unavailable,,False,not_applicable_v0_unavailable,0.0753050936215231,valid,,not_applicable_v0_unavailable,-0.0018062937789409,near_zero,0.008835445149900466,,not_applicable_v0_unavailable,0,green,green,candidate_not_site_confirmed,,yellow,True,False,False,False
ootang,2019-02-06,MJ1,calibration,940.5753292839264,initial_segment_selected,0.2503420449965549,True,candidate_available,0.1644216768225987,valid,0.6567881029527478,candidate_available,0.0065313141276419,positive,0.00474848045251647,33.29643281800888,candidate_available,2,yellow,yellow,candidate_not_site_confirmed,,yellow,True,False,False,False
