model,point,n,mae,rmse
BPLUS_CONTINUOUS,ATU1,1168,7.4597744931331551,9.4951282202674676
BPLUS_CONTINUOUS,ATU5,1168,9.1064456092090644,11.651664999206577
BPLUS_CONTINUOUS,MJ3,1168,4.4940281773852551,5.4445663147354484
BPLUS_CONTINUOUS,MJ1,1168,5.4536594916508498,7.1035065969592193
TRANSFORMER_BRES_COND,ATU1,1168,0.47522623769039224,0.63713744725620591
TRANSFORMER_BRES_COND,ATU5,1168,0.5731503329817994,0.75352668791474897
TRANSFORMER_BRES_COND,MJ3,1168,0.22171385449565573,0.3061315016372137
TRANSFORMER_BRES_COND,MJ1,1168,0.26830031398120646,0.37163283102480876
TRANSFORMER_BRES_REG1,ATU1,1168,3.7641439713159945,4.7990879633773513
TRANSFORMER_BRES_REG1,ATU5,1168,4.5770394790804918,5.8812780073683513
TRANSFORMER_BRES_REG1,MJ3,1168,2.2644684145314673,2.750598164785945
TRANSFORMER_BRES_REG1,MJ1,1168,2.7552898724116694,3.5715802472037685
