origin,phase,method,point,n,mae,rmse,crps,coverage80,width80,interval_score80,coverage90,width90,interval_score90,coverage95,width95,interval_score95
792,historical_exploratory,BPLUS_CONTINUOUS,ATU1,293,29.335478509690908,32.877890262058848,27.769809438054018,0.064846416382252553,7.4327035636015353,264.80052630730955,0.068259385665529013,9.53977174492376,504.57470014981777,0.068259385665529013,11.367339156759497,967.38082030571661
792,historical_exploratory,BPLUS_CONTINUOUS,ATU5,293,37.540839766187069,42.775051365351246,34.66375960584616,0.21843003412969283,14.850198314250747,322.46958788509306,0.23549488054607509,19.060023189752656,601.77035165188488,0.24232081911262798,22.711418441317392,1132.5587555060624
792,historical_exploratory,BPLUS_CONTINUOUS,MJ3,293,5.2911468095600966,9.1163682048876531,19.795751435674784,1,212.78477852195923,212.78477852195923,1,273.10630654426768,273.10630654426768,1,325.42623611414683,325.42623611414683
792,historical_exploratory,BPLUS_CONTINUOUS,MJ1,293,22.162592224474757,24.483988940646118,14.400025582886581,0.91467576791808869,64.968285612534814,71.109216679840287,0.96928327645051193,83.385891835873934,85.516525147200809,1,99.360418543726865,99.360418543726865
792,historical_exploratory,DRIFT1,ATU1,293,5.9813792142944369,6.8635290099170927,7.8248223249987445,1,79.195486039368689,79.195486039368689,1,101.64630589381215,101.64630589381215,1,121.11904393745239,121.11904393745239
792,historical_exploratory,DRIFT1,ATU5,293,5.2546804338996838,6.5132103689305554,11.107852044033262,1,117.80226627509001,117.80226627509001,1,151.19757187713526,151.19757187713526,1,180.16301911211576,180.16301911211576
792,historical_exploratory,DRIFT1,MJ3,293,2.5771279957390369,3.0088285939791439,2.1214085025366054,1,17.672440570802792,17.672440570802792,1,22.682331910395078,22.682331910395078,1,27.027665502463151,27.027665502463151
792,historical_exploratory,DRIFT1,MJ1,293,6.0268658593804041,6.9115107851665174,4.0422043693552752,0.93515358361774747,21.768134553063646,21.904386729908339,1,27.939098226108854,27.939098226108854,1,33.291488912110943,33.291488912110943
792,historical_exploratory,RR_COND,ATU1,293,37.974720687292688,40.985804802484971,28.870979923417643,0.19112627986348124,46.220192834401367,209.03141892912953,0.2764505119453925,59.322975263780542,285.69776302891432,0.37542662116040953,70.687684951191542,371.71039186837953
792,historical_exploratory,RR_COND,ATU5,293,39.785641871996496,44.532580148377896,35.753354804367142,0.051194539249146756,18.794455370981723,324.01442638150553,0.08191126279863481,24.122422315796257,584.85032741619591,0.10238907849829351,28.743639059514177,1066.410516102914
792,historical_exploratory,RR_COND,MJ3,293,18.499927680220548,20.942476315535973,23.574745954594768,1,238.16140974428751,238.16140974428751,1,305.67686010456828,305.67686010456828,1,364.2364444443769,364.2364444443769
792,historical_exploratory,RR_COND,MJ1,293,13.713313454202529,18.802834542841602,10.573034394100914,0.90102389078498291,63.065915681370825,77.15812007353216,0.93856655290102387,80.944226463049972,94.332414129235644,0.94880546075085326,96.450994802537934,106.00801335501552
792,historical_exploratory,OLD_TRANSFORMER,ATU1,293,34.107725854105944,38.368092334356348,30.466897365039962,0.10921501706484642,18.034696701390427,274.50601094935064,0.12627986348122866,23.147282620380331,491.01479018930308,0.22184300341296928,27.581688444824653,888.70519501607816
792,historical_exploratory,OLD_TRANSFORMER,ATU5,293,37.744227938642219,44.645180406855125,36.176019174660588,0.13310580204778158,7.7167875500110759,348.62400475395367,0.17747440273037543,9.9043895940744733,673.3103430012834,0.23549488054607509,11.801808121502745,1308.3591777947568
792,historical_exploratory,OLD_TRANSFORMER,MJ3,293,17.515947260841042,20.282108689868164,21.804291917351584,1,218.28333905400632,218.28333905400632,1,280.16363258351021,280.16363258351021,1,333.83555876597939,333.83555876597939
792,historical_exploratory,OLD_TRANSFORMER,MJ1,293,23.921595672247367,27.260065919165864,15.815930332177606,0.87713310580204773,64.583353808052152,87.322996470572264,0.90102389078498291,82.891837213527666,108.04932056326147,0.93515358361774747,98.771716150803996,122.53979838610434
792,historical_exploratory,OLD_HALF,ATU1,293,31.72160218189843,35.580723809868573,29.192551700301937,0.071672354948805458,12.219846053263385,270.96089583139991,0.10238907849829351,15.684002612066124,501.72976875015138,0.12627986348122866,18.688641803377099,937.76170502262255
792,historical_exploratory,OLD_HALF,ATU5,293,37.642533852414651,43.588398347304299,35.524986423710509,0.14334470989761092,10.583548372878568,337.28157891533135,0.23890784982935154,13.583837275988117,642.66902171909408,0.24573378839590443,16.186140454414499,1234.9077890769513
792,historical_exploratory,OLD_HALF,MJ3,293,11.287515642739208,14.283511168884001,20.606751163394282,1,215.51423204283947,215.51423204283947,1,276.60952221199437,276.60952221199437,1,329.60057505003527,329.60057505003527
792,historical_exploratory,OLD_HALF,MJ1,293,23.04209394836106,25.704089982641523,15.044466227435516,0.88737201365187712,64.764966801837318,78.877771891794239,0.93174061433447097,83.124934967500835,94.179301510923125,0.96587030716723554,99.049469256112872,104.72637556994054
792,historical_exploratory,OLD_REG1,ATU1,293,30.714551418651475,34.641789578183364,27.778069742634951,0.098976109215017066,14.447262378385181,252.92512414973393,0.21501706484641639,18.542860514947737,460.2168711149522,0.23549488054607509,22.095181105570642,850.7334184461655
792,historical_exploratory,OLD_REG1,ATU5,293,36.568330223367589,42.828981440024378,34.914181907400703,0.19112627986348124,8.282633136192544,335.37213937289931,0.23549488054607509,10.630644541396578,646.35422134884266,0.24232081911262798,12.667194267128025,1253.0862757704822
792,historical_exploratory,OLD_REG1,MJ3,293,10.935792249745957,14.040648558429385,20.526444207784767,1,214.96418277879684,214.96418277879684,1,275.90354162464428,275.90354162464428,1,328.75934729437449,328.75934729437449
