origin,phase,method,n_per_point,mae,rmse,crps,coverage80,width80,interval_score80,coverage90,width90,interval_score90,coverage95,width95,interval_score95
792,historical_exploratory,BPLUS_CONTINUOUS,293,23.582514327478208,27.313324693235963,24.157336515615388,0.54948805460750849,75.008991503086577,217.79102734855053,0.56825938566552903,96.272998328704517,366.24197087329276,0.57764505119453924,114.71635306398764,631.1815576174132
792,historical_exploratory,DRIFT1,293,4.9600133758283906,5.824269689498327,6.2740718102309723,0.9837883959044369,59.109581859581283,59.143644903792456,1,75.866326976862837,75.866326976862837,1,90.400304366035556,90.400304366035556
792,historical_exploratory,RR_COND,293,27.493400923428066,31.315923952310108,24.693028769120119,0.53583617747440271,91.560493407760362,212.09134378211368,0.57423208191126274,117.51662103679877,317.63934116972848,0.60665529010238906,140.02969081440514,477.09134144267148
792,historical_exploratory,OLD_TRANSFORMER,293,28.322374181459143,32.638861837561372,26.065784697307436,0.52986348122866889,77.154544278364995,232.18408780697069,0.55119453924914674,99.026785502873167,388.13452158433955,0.59812286689419802,117.99769287077768,663.35993249072965
792,historical_exploratory,OLD_HALF,293,25.923436406353336,29.789180827174597,25.092188878710562,0.52559726962457332,75.770648317704683,225.65861967034124,0.56825938566552903,97.250574266887369,378.79690354804069,0.58447098976109213,115.88120664098494,651.74911117988745
792,historical_exploratory,OLD_REG1,293,25.407807002501634,29.408014403689794,24.632992837566281,0.54351535836177478,75.671148668949343,220.68798720198927,0.59556313993174059,97.122867850278155,369.35243973342654,0.61006825938566556,115.72903505984993,634.53155543503942
792,historical_exploratory,COND_ATTN,293,40.258465013631927,42.081237661174349,26.711752457262683,0.69027303754266212,111.34925635093049,152.29382967146091,0.81058020477815695,142.91522330538876,169.94587817464415,0.94539249146757676,170.29399208013871,176.58538685780945
792,historical_exploratory,NO_OBS_ATTN,293,41.10951064827303,42.866188865567487,27.419405291117076,0.67064846416382251,108.4264604976816,157.95443303749207,0.79351535836177467,139.16385544059895,176.76033256928287,0.83788395904436863,165.82396156357783,185.41572254826195
792,historical_exploratory,POOL_MLP,293,40.273900393602936,42.369016159211469,26.91858612894406,0.6774744027303754,111.54163538850813,157.74381115986213,0.8088737201365187,143.16213912697305,171.51329428157979,0.91040955631399323,170.58821042856104,178.14619355933382
972,historical_exploratory,BPLUS_CONTINUOUS,293,61.563105654715187,67.16738918938411,48.09195283382784,0.22781569965870307,67.661105635248617,352.38791734290538,0.44197952218430042,86.842088917734046,535.73027460944616,0.55375426621160406,103.47873137893829,868.82363484720258
972,historical_exploratory,DRIFT1,293,8.6373392339333819,10.594506460633186,7.0340237741414544,0.39249146757679182,14.57471637624883,54.771497245775898,0.44368600682593862,18.706445950205875,79.448306641031678,0.60324232081911267,22.290105174343523,119.58042682149103
972,historical_exploratory,RR_COND,293,43.445352022147233,48.588247590159071,33.31071408273327,0.44539249146757676,66.79237283582664,239.39875913888406,0.5955631399317407,85.727082440898528,366.35583903757129,0.65529010238907848,102.15011921471987,592.94094788780262
972,historical_exploratory,OLD_TRANSFORMER,293,53.200442432760312,61.393257336253129,41.12479367824141,0.40187713310580203,80.089256757676637,300.31573270763846,0.52303754266211611,102.79344819163059,431.4932681109417,0.67064846416382251,122.48594829418455,651.90626027616315
972,historical_exploratory,OLD_HALF,293,57.36444589248358,63.980506823560937,44.176443779258385,0.34641638225255977,73.732366163720783,323.71708297933804,0.48549488054607515,94.634467444602748,480.96619525844977,0.62030716723549484,112.76392309224107,752.83880734041531
972,historical_exploratory,OLD_REG1,293,56.613911651730128,63.14825835457485,43.693158796379329,0.33788395904436863,71.846793725491807,321.2271406271251,0.48293515358361772,92.214361420556401,480.80420500054856,0.59470989761092152,109.8801888996184,751.34926345537633
972,historical_exploratory,COND_ATTN,293,41.997002295803959,46.468504398969984,32.01536851525514,0.60153583617747441,115.61366295758179,245.87358223066474,0.6186006825938567,148.38852993021081,362.61991804163245,0.69795221843003408,176.81583918265423,537.27924329797906
972,historical_exploratory,NO_OBS_ATTN,293,42.073186882258312,46.556050507761952,31.547042128939292,0.6049488054607508,117.79898403963537,235.98517373555018,0.63907849829351537,151.19335917353658,344.38500113730663,0.72866894197952214,180.15799936616679,514.39648090223704
972,historical_exploratory,POOL_MLP,293,41.535383917636544,45.874273082444461,31.597011870395182,0.60238907849829348,117.25582185256238,242.39200171009475,0.62713310580204773,150.49621805377959,356.71161498221448,0.71075085324232079,179.32730448579733,532.61314455899401
1168,final_exploratory,BPLUS_CONTINUOUS,293,6.9016892503619642,9.1241732177745973,14.894908209734146,1,157.10494480504926,157.10494480504926,1,201.64201365146147,201.64201365146147,1,240.27127888544848,240.27127888544848
1168,final_exploratory,DRIFT1,293,9.109845279087784,12.977734531327499,7.5850142827683182,0.64931740614334477,22.143964933972455,60.349973068814748,0.71075085324232079,28.421471297764327,88.559115918360874,0.75853242320819114,33.866271878853581,131.71247414362051
1168,final_exploratory,RR_COND,293,11.318236548369157,12.338213669009026,13.077240340273208,1,128.68886090991452,128.68886090991452,1,165.17036481944021,165.17036481944021,1,196.81262882912762,196.81262882912762
1168,final_exploratory,OLD_TRANSFORMER,293,6.883835616636941,9.2790819797131103,14.141968702417442,1,147.90685737541557,147.90685737541557,1,189.83639624486079,189.83639624486079,1,226.2040180951488,226.2040180951488
