model,horizon,point,n,mae,rmse,crps,coverage80,width80,interval_score80,coverage90,width90,interval_score90,coverage95,width95,interval_score95
B_RAW,21,ATU1,356,37.8840185973,41.4418194624,,,,,,,,,,
B_RAW,21,ATU5,356,45.9306646335,49.8609326056,,,,,,,,,,
B_RAW,21,MJ3,356,21.6721451876,37.3850099655,,,,,,,,,,
B_RAW,21,MJ1,356,34.7748244945,41.3629525902,,,,,,,,,,
B_RAW,22,ATU1,355,37.9746437131,41.4990398128,,,,,,,,,,
B_RAW,22,ATU5,355,46.0501889471,49.9307644299,,,,,,,,,,
B_RAW,22,MJ3,355,21.7330274507,37.4376277496,,,,,,,,,,
B_RAW,22,MJ1,355,34.8629198348,41.4207525272,,,,,,,,,,
B_RAW,23,ATU1,354,38.0634715249,41.5561638455,,,,,,,,,,
B_RAW,23,ATU5,354,46.1689163834,50.0007817209,,,,,,,,,,
B_RAW,23,MJ3,354,21.7942201776,37.4904682755,,,,,,,,,,
B_RAW,23,MJ1,354,34.9507433055,41.4787303073,,,,,,,,,,
B_RAW,24,ATU1,353,38.150959027,41.6132287494,,,,,,,,,,
B_RAW,24,ATU5,353,46.2869555234,50.0709811532,,,,,,,,,,
B_RAW,24,MJ3,353,21.8557272694,37.5435331118,,,,,,,,,,
B_RAW,24,MJ1,353,35.0382729153,41.5368803982,,,,,,,,,,
B_RAW,25,ATU1,352,38.2369314408,41.6701752452,,,,,,,,,,
B_RAW,25,ATU5,352,46.404196426,50.1413408902,,,,,,,,,,
B_RAW,25,MJ3,352,21.9175545998,37.5968238488,,,,,,,,,,
B_RAW,25,MJ1,352,35.1254838245,41.595196573,,,,,,,,,,
B_RAW,26,ATU1,351,38.3214265107,41.7269796551,,,,,,,,,,
B_RAW,26,ATU5,351,46.5206081437,50.2118446345,,,,,,,,,,
B_RAW,26,MJ3,351,21.9797080887,37.6503420952,,,,,,,,,,
B_RAW,26,MJ1,351,35.2123532405,41.6536723713,,,,,,,,,,
B_RAW,27,ATU1,350,38.4047276444,41.7836747214,,,,,,,,,,
B_RAW,27,ATU5,350,46.6362706746,50.2824886511,,,,,,,,,,
B_RAW,27,MJ3,350,22.0421931814,37.7040894765,,,,,,,,,,
B_RAW,27,MJ1,350,35.2988623858,41.7123013808,,,,,,,,,,
B_RAW,28,ATU1,349,38.4903166653,41.8410001604,,,,,,,,,,
B_RAW,28,ATU5,349,46.7526256808,50.3534410932,,,,,,,,,,
B_RAW,28,MJ3,349,22.1049957662,37.7580675733,,,,,,,,,,
B_RAW,28,MJ1,349,35.385046397,41.7710835929,,,,,,,,,,
B_RAW,29,ATU1,348,38.5783789943,41.8989632273,,,,,,,,,,
B_RAW,29,ATU5,348,46.8700072719,50.4247429519,,,,,,,,,,
B_RAW,29,MJ3,348,22.1681016926,37.8122779642,,,,,,,,,,
B_RAW,29,MJ1,348,35.4709431991,41.830020106,,,,,,,,,,
B_RAW,30,ATU1,347,38.6683786661,41.9574384747,,,,,,,,,,
B_RAW,30,ATU5,347,46.9884225384,50.4963955359,,,,,,,,,,
B_RAW,30,MJ3,347,22.2314979905,37.8667222226,,,,,,,,,,
B_RAW,30,MJ1,347,35.5565895353,41.8891126045,,,,,,,,,,
B_ANCHOR,1,ATU1,376,0.265010890428,0.521885441099,0.252543730385,0.914893617021,1.52800373993,2.05007234754,0.946808510638,1.96117156827,2.75168931999,0.968085106383,2.33688005931,3.62599673431
B_ANCHOR,1,ATU5,376,0.218684496937,0.568615924845,0.224344017738,0.912234042553,1.42454779094,1.95842817304,0.962765957447,1.82838729528,2.71115955857,0.981382978723,2.17865783911,3.76134186401
B_ANCHOR,1,MJ3,376,0.265150899902,0.472188753227,0.203551678712,0.890957446809,0.88793739774,1.51059174666,0.909574468085,1.13965531193,2.09510424694,0.917553191489,1.35798306279,2.8939961694
B_ANCHOR,1,MJ1,376,0.240820093362,0.32078579677,0.162423945861,0.845744680851,0.668355062666,0.974661869023,0.904255319149,0.857824436,1.26521057597,0.917553191489,1.02216086105,1.61104431477
B_ANCHOR,2,ATU1,375,0.51677054046,0.983880873196,0.490327674794,0.906666666667,2.98055309353,3.97462087477,0.944,3.82549848014,5.31884724483,0.965333333333,4.55836259296,6.97422368871
B_ANCHOR,2,ATU5,375,0.4344113102,1.10629554594,0.448762048109,0.92,2.86858587716,3.93954735855,0.96,3.68179011374,5.46574600956,0.978666666667,4.38712351258,7.57519107501
B_ANCHOR,2,MJ3,375,0.531118588475,0.945156218725,0.409778492927,0.890666666667,1.78267253209,3.06824189225,0.906666666667,2.28803542433,4.3007035833,0.917333333333,2.72636236657,6.01033955281
B_ANCHOR,2,MJ1,375,0.481731886133,0.641859549539,0.326279552655,0.84,1.31984758073,1.97261999752,0.904,1.69400603032,2.59517945755,0.914666666667,2.01853268559,3.36698333965
B_ANCHOR,3,ATU1,374,0.746000471858,1.39288145424,0.704505832252,0.911764705882,4.3117918739,5.69132167771,0.949197860963,5.53412495691,7.61072352151,0.965240641711,6.59431661502,10.0013177637
B_ANCHOR,3,ATU5,374,0.643202919616,1.6001174807,0.664755081443,0.922459893048,4.2492121348,5.84468608852,0.96256684492,5.45380473133,8.14495508028,0.98128342246,6.49860916314,11.4140609061
B_ANCHOR,3,MJ3,374,0.797934369424,1.41864818542,0.61935247294,0.887700534759,2.65695236074,4.67915931959,0.906417112299,3.41016143611,6.64156040281,0.914438502674,4.06345797992,9.42649456322
B_ANCHOR,3,MJ1,374,0.722723139953,0.963098289817,0.490686945993,0.844919786096,1.97875023285,2.99595691649,0.901069518717,2.53969842872,3.97697543838,0.911764705882,3.0262373322,5.21876492417
B_ANCHOR,4,ATU1,373,0.954701874804,1.75495478099,0.91014183953,0.898123324397,5.740783484,7.43176031223,0.949061662198,7.36821583233,9.79334855093,0.970509383378,8.77977068905,12.6763461531
B_ANCHOR,4,ATU5,373,0.84760483902,2.04726345129,0.878716142057,0.922252010724,5.65468077527,7.76908804108,0.965147453083,7.2577042021,10.846003839,0.981233243968,8.64808795961,15.1806078203
B_ANCHOR,4,MJ3,373,1.06550723559,1.89246659985,0.831991235483,0.890080428954,3.56825242889,6.3480737687,0.903485254692,4.57980241087,9.08280901038,0.911528150134,5.45717116377,13.0060551069
B_ANCHOR,4,MJ1,373,0.963751875097,1.28440224855,0.657040082567,0.839142091153,2.61201585115,4.04493753405,0.900804289544,3.35248605045,5.42599519857,0.908847184987,3.99473351908,7.24610672621
B_ANCHOR,5,ATU1,372,1.15199865683,2.076320812,1.10613744944,0.903225806452,7.18484083296,9.0943798045,0.94623655914,9.22164337425,11.8441191465,0.970430107527,10.9882658224,15.1313823692
B_ANCHOR,5,ATU5,372,1.04703320784,2.45151556301,1.09638769785,0.935483870968,7.18259862342,9.77032350648,0.959677419355,9.21876552947,13.627427579,0.978494623656,10.9848366588,18.9616624475
B_ANCHOR,5,MJ3,372,1.33383533731,2.36647259531,1.04796729348,0.889784946237,4.49407558399,8.07620235537,0.900537634409,5.76808356594,11.6324144509,0.911290322581,6.8730954924,16.8077422703
B_ANCHOR,5,MJ1,372,1.20486486498,1.60570243617,0.823372824489,0.838709677419,3.26806557149,5.11997079646,0.897849462366,4.19451675055,6.91951619998,0.905913978495,4.99807498304,9.33729661608
B_ANCHOR,6,ATU1,371,1.33639350503,2.36551301032,1.28166834093,0.897574123989,8.40753688948,10.5588200941,0.948787061995,10.7909567732,13.6851686756,0.973045822102,12.8582180734,17.3156573736
B_ANCHOR,6,ATU5,371,1.24082683422,2.82100799124,1.305645405,0.943396226415,8.62783679988,11.7076150288,0.956873315364,11.0737086471,16.3116817264,0.975741239892,13.1951377119,22.6052676541
B_ANCHOR,6,MJ3,371,1.60291887223,2.84055961732,1.26712035024,0.88409703504,5.36360249756,9.85210345747,0.900269541779,6.88410927725,14.319682975,0.905660377358,8.20292214941,20.9353058976
B_ANCHOR,6,MJ1,371,1.44616167809,1.92695144472,0.990549146002,0.838274932615,3.92586006908,6.22399082917,0.894878706199,5.03878684802,8.46283406424,0.905660377358,6.00408485356,11.5379694392
B_ANCHOR,7,ATU1,370,1.51574129829,2.63261335327,1.4659262611,0.910810810811,9.84207492694,12.1948017543,0.948648648649,12.6321664111,15.7793311178,0.972972972973,15.0521546761,19.7828681606
B_ANCHOR,7,ATU5,370,1.43088922317,3.16513894392,1.5018967455,0.937837837838,9.91599433622,13.4919511874,0.959459459459,12.7270409457,18.7973600439,0.972972972973,15.1652046569,26.0241734456
B_ANCHOR,7,MJ3,370,1.87272252532,3.3146273386,1.48949038595,0.883783783784,6.30192160435,11.6872813661,0.897297297297,8.08842881268,17.0857692107,0.905405405405,9.63795738697,25.1557571933
B_ANCHOR,7,MJ1,370,1.68743364745,2.24809009918,1.16018998381,0.835135135135,4.53725201955,7.34576303279,0.894594594595,5.82349992103,10.0761388868,0.9,6.9391281523,13.9279835224
B_ANCHOR,8,ATU1,369,1.69050854308,2.88474831465,1.6301520878,0.907859078591,11.0044175446,13.6043495425,0.948509485095,14.1240170098,17.5499462257,0.970189701897,16.8298043077,22.0116693458
B_ANCHOR,8,ATU5,369,1.61783756545,3.49142003118,1.69535869554,0.937669376694,11.2053452154,15.2559276684,0.959349593496,14.3819048834,21.2555685195,0.970189701897,17.1370966624,29.3838501961
B_ANCHOR,8,MJ3,369,2.14347167829,3.78858604268,1.71509904211,0.880758807588,7.25050936162,13.5758504182,0.894308943089,9.30592801831,19.9497459528,0.90243902439,11.0886971702,29.5841767267
B_ANCHOR,8,MJ1,369,1.92875797266,2.56906162235,1.32921084135,0.831978319783,5.23109448404,8.5372442138,0.888888888889,6.71403708312,11.7793221441,0.89972899729,8.00026863069,16.4074201073
B_ANCHOR,9,ATU1,368,1.85618211273,3.1281012807,1.78985738642,0.904891304348,12.1159415571,14.9799617878,0.951086956522,15.550642635,19.3474192488,0.970108695652,18.5297335895,24.2271691324
B_ANCHOR,9,ATU5,368,1.8029526294,3.80527872708,1.88596776223,0.940217391304,12.482733836,16.9887157144,0.959239130435,16.0214154283,23.6707916564,0.970108695652,19.0906939719,32.7017172409
B_ANCHOR,9,MJ3,368,2.4149999467,4.26235837344,1.94721411672,0.877717391304,8.18703388911,15.5771155848,0.891304347826,10.5079442361,23.0543065011,0.899456521739,12.5209878356,34.4887752174
B_ANCHOR,9,MJ1,368,2.16997695143,2.88981367247,1.49916950485,0.828804347826,5.88603095879,9.71350749908,0.885869565217,7.55463894799,13.4811709344,0.896739130435,9.00190753247,18.9344698365
B_ANCHOR,10,ATU1,367,2.019406819,3.36794896036,1.94721997746,0.901907356948,13.2325391915,16.3370936689,0.950953678474,16.9837801835,21.123867262,0.967302452316,20.2374223065,26.391970973
B_ANCHOR,10,ATU5,367,1.98972419101,4.11056259353,2.06043323606,0.937329700272,13.552961345,18.5273135531,0.961852861035,17.395037565,25.8403607041,0.967302452316,20.7274657018,35.7299430227
B_ANCHOR,10,MJ3,367,2.68732156015,4.73588077418,2.1795967891,0.874659400545,9.15017167631,17.567047333,0.888283378747,11.744118203,26.1257245224,0.899182561308,13.9939799693,39.3078616116
B_ANCHOR,10,MJ1,367,2.41101441246,3.2102979567,1.67183969073,0.825613079019,6.47338100094,10.9026302447,0.885558583106,8.30849456574,15.2563115173,0.893732970027,9.90018190541,21.6681849223
B_ANCHOR,11,ATU1,366,2.18556373151,3.60766904985,2.10249112663,0.909836065574,14.3274549356,17.650319446,0.953551912568,18.3890893269,22.8599630943,0.967213114754,21.9119514337,28.5389608646
B_ANCHOR,11,ATU5,366,2.17657889041,4.40973947395,2.26133520404,0.939890710383,15.0172928558,20.3994961763,0.959016393443,19.2744867121,28.4073498854,0.964480874317,22.9669674901,39.096874234
B_ANCHOR,11,MJ3,366,2.96037346817,5.20909216254,2.41516088706,0.874316939891,10.1214328323,19.6034748311,0.885245901639,12.9907184008,29.2850596907,0.896174863388,15.4793957235,44.3068588157
B_ANCHOR,11,MJ1,366,2.65175575857,3.53046553706,1.84357505071,0.819672131148,7.12109256304,12.1219871962,0.882513661202,9.13982335561,17.0542639146,0.893442622951,10.8907712568,24.3939939484
B_ANCHOR,12,ATU1,365,2.35160003237,3.84741701797,2.25724464482,0.906849315068,15.4170605288,18.9510596931,0.953424657534,19.7875829654,24.5730233077,0.964383561644,23.5783593858,30.5849249967
B_ANCHOR,12,ATU5,365,2.36392733551,4.70392460715,2.44738082851,0.945205479452,16.2963485894,22.0834178327,0.958904109589,20.9161369734,30.7238715577,0.961643835616,24.923114429,42.0785829242
B_ANCHOR,12,MJ3,365,3.23424272336,5.68192082017,2.65192226186,0.871232876712,10.9615285217,21.6542092055,0.884931506849,14.0689695449,32.5636711644,0.893150684932,16.7642112075,49.6503791037
B_ANCHOR,12,MJ1,365,2.89206602088,3.85026320559,2.01617472014,0.816438356164,7.76981702543,13.3637319682,0.879452054795,9.97245218892,18.8948853053,0.890410958904,11.8829097055,27.2035977517
B_ANCHOR,13,ATU1,364,2.51534516382,4.08537588457,2.41098583716,0.912087912088,16.4991039755,20.224438513,0.953296703297,21.1763706941,26.2337357368,0.958791208791,25.2332020331,32.4645604276
B_ANCHOR,13,ATU5,364,2.54905356501,4.99324805961,2.63174668709,0.945054945055,17.5636002545,23.754579982,0.958791208791,22.5426368768,33.017190471,0.958791208791,26.8612086031,44.9973677772
B_ANCHOR,13,MJ3,364,3.50874687115,6.15427855024,2.89318078456,0.868131868132,11.9331616279,23.7750154263,0.881868131868,15.3160471357,35.8949245922,0.89010989011,18.2501958105,54.9850076181
B_ANCHOR,13,MJ1,364,3.13198994526,4.16962969913,2.1926447261,0.815934065934,8.39829709839,14.6834261782,0.876373626374,10.7790976297,20.8920052222,0.887362637363,12.8440870324,30.3288551937
