outer_days,strategy,station,train_rmse_mm_minus_P0,train_mae_mm_minus_P0,train_crps_mm_minus_P0,prediction_rmse_mm_minus_P0,prediction_mae_mm_minus_P0,prediction_crps_mm_minus_P0,train_rmse_mm_minus_R,train_mae_mm_minus_R,train_crps_mm_minus_R,prediction_rmse_mm_minus_R,prediction_mae_mm_minus_R,prediction_crps_mm_minus_R,strict_mean_improvement
432,S,ATU1,-2.8230785351460534,-2.9812509869762414,1.0759236713384812,8.581811894473525,8.4958244128035,5.380696519024696,-0.2951749262041474,-0.20686680499075827,0.8318025533794966,-0.823696864786271,-0.8428842232972826,-1.8183233918646593,False
432,S,ATU5,-0.3668333450446637,-0.4379512407095141,1.6123015869184343,10.828094823195727,10.817880195717919,7.040807648280605,-0.6908992838065222,-0.23926181538817293,0.5613341883569429,3.4253848294955276,3.626101563189252,2.215419481124883,False
432,S,MJ3,-2.742630003054476,-2.796707124599386,-1.1627694945383888,-2.4965965807327244,-2.0515674583032766,-1.4144597798795946,-0.6337677963696464,-0.7281820450979382,0.07897142158885284,2.834447958039412,2.6532707285584625,1.2282120994208254,True
432,S,MJ1,-4.857772620410669,-4.221997137762492,-3.3832797986956766,-13.589783331331793,-11.684638508364001,-11.352764676249553,-0.4704664746898737,-0.31451189595343143,-1.3840040091880907,-1.2578955810136883,-1.0206321441017305,-0.42690018301338917,True
612,S,ATU1,-0.18692098005217872,-0.2543335888341689,1.9228558826864859,0.985802074075683,1.609034817085646,2.0510588490285535,-11.34202402303066,-8.261025573639337,-2.044130152365705,-31.848261092224437,-31.92145245231109,-8.258640280228285,False
612,S,ATU5,-0.23295168712240688,-0.11735634344059687,2.5010388974363806,2.8849291228376464,2.445915465546012,2.627883618973499,-16.536659524741484,-11.410746190037495,-0.7616792449209058,-50.55850080565308,-50.43085819033383,-8.15525259409278,False
612,S,MJ3,-1.0393076861115045,-1.0988797894818183,-0.7545889457803199,4.2483188366384255,4.870896828871757,5.352306561045133,0.022521085618943282,0.030739734401527663,0.48320192628782754,-1.2143670072724149,-1.0455508552404709,-2.348161123229495,False
612,S,MJ1,-0.41543051089278116,-0.1870997807346022,-2.5989822853117874,1.778647223576499,1.1864309388432197,2.539605875524165,0.17607992149624252,0.14847067503119904,-0.1042180222532827,-0.9602162079978314,-0.6319668474026479,-0.3646573407506928,False
