prefix,seed,epoch,total,data,rate_prior,gradient_norm,elapsed_seconds
342,0,1,0.011717580846588286,0.011717580846588286,0.0,0.03324597725063119,9.733035374898463
342,0,2,0.011620822144003562,0.011620811765173572,1.0378829989653022e-05,0.032902321443872534,9.912779790814966
342,0,3,0.011521522943901628,0.01152148178332609,4.116057553823262e-05,0.03263979057915506,10.046676790807396
342,0,4,0.011419050251724782,0.011418957497235517,9.275448926390555e-05,0.032374579077533994,10.245092040859163
342,0,5,0.011313253681345108,0.011313087856293532,0.0001658250515760423,0.03210037474307069,10.46814804058522
342,0,6,0.011204127625025566,0.011203865724737864,0.00026190028770171095,0.03181471988123153,10.63269329071045
342,0,7,0.01109179422083395,0.01109141104546006,0.0003831753738905023,0.031515840358224426,10.867788374889642
342,0,8,0.010976427610861478,0.010975895197799302,0.0005324130621761849,0.031202349370407455,11.002596207894385
342,0,9,0.010858212817733241,0.010857500025950812,0.0007127917824288774,0.030872993297194257,11.102799790911376
342,0,10,0.010737357065017954,0.010736429492042872,0.0009275729750814531,0.03052668569284882,11.210599957965314
342,0,11,0.01061410792518654,0.010612927914222824,0.0011800109637163884,0.0301626215212166,11.3713419996202
342,0,12,0.010488748514718154,0.01048727509428365,0.0014734204345054473,0.0297802920945326,11.575200457591563
342,0,13,0.010361586419602465,0.010359775231501694,0.0018111881007710272,0.029379451354306002,11.784437374677509
342,0,14,0.010232941633951814,0.010230744928803642,0.0021967051481715594,0.028960043309615775,11.999716457910836
342,0,15,0.010103138673384715,0.01010050535815964,0.002633315225075622,0.02852212871356906,12.20540349977091
342,0,16,0.009972506534007297,0.009969382234322711,0.0031242996845857133,0.02806592387698224,12.407879707869142
342,0,17,0.009841381709857213,0.009837708836874,0.0036728729832130437,0.027591889059801148,12.632596707902849
342,0,18,0.009710107283611635,0.009705825127222869,0.0042821563887652896,0.02710080000491538,12.850557082798332
342,0,19,0.009579025800797659,0.009574070702608751,0.004955098188908192,0.026593751556989058,13.055711707565933
342,0,20,0.009448469275706637,0.009442774931236868,0.005694344469769256,0.026072105198887755,13.284981915727258
342,0,21,0.009318751718539943,0.009312249647808496,0.006502070731446224,0.025537417523104535,13.601504290942103
342,0,22,0.009190164035491952,0.009182784292490816,0.007379743001135775,0.024991426606104383,13.836218415759504
342,0,23,0.009062970223924148,0.009054642372131036,0.008327851793111869,0.024436049534496213,14.014241874683648
342,0,24,0.008937403739425559,0.008928058046874583,0.009345692550975645,0.02387336853523814,14.215721874963492
342,0,25,0.008813663722710322,0.008803232469595605,0.010431253114716097,0.023305577105427633,14.43179633282125
342,0,26,0.008691912188428422,0.008680330986949722,0.011581201478699689,0.022734903141795867,14.649107082746923
342,0,27,0.008572272576960692,0.008559481595983463,0.012790980977229447,0.022163536401940978,14.835232624784112
