outer_days,strategy,part,station,days,rmse_mm,mae_mm,crps_mm,coverage_80,width_80_mm,interval_score_80_mm,coverage_90,width_90_mm,interval_score_90_mm,coverage_95,width_95_mm,interval_score_95_mm
432,P0,train,ATU1,402,9.6637593255418,7.424712228000846,9.876802056175642,1.0,97.89694309558227,97.89694309558227,1.0,125.64936665749912,125.64936665749912,1.0,149.72045475197956,149.72045475197956
432,P0,train,ATU5,402,4.005363489196314,2.893415141871011,12.37086946393099,1.0,134.3449837170556,134.3449837170556,1.0,172.42992052549425,172.42992052549425,1.0,205.46292274035827,205.46292274035827
432,P0,train,MJ3,402,6.545388968296211,5.642903753780936,6.172962837778656,1.0,59.75862724224088,59.75862724224088,1.0,76.69936800762032,76.69936800762032,1.0,91.39293386645171,91.39293386645171
432,P0,train,MJ1,402,8.277645765670897,6.927245936145315,5.3145446776883505,0.3781094527363184,10.537824789370816,38.569799138466614,0.4850746268656716,13.52515174492545,52.60468290791045,0.5895522388059702,16.116212311357582,70.3668259468702
432,P0,prediction,ATU1,180,55.386000418770955,54.513970896972424,36.03956067232512,0.1666666666666666,97.8969430955823,168.29153845489765,0.9444444444444444,125.6493666574992,140.75374258175128,0.9666666666666668,149.72045475197956,159.11091435770655
432,P0,prediction,ATU5,180,140.06419011407704,134.6063919201048,106.70341561410947,0.0666666666666666,134.34498371705558,831.0425103555029,0.1333333333333333,172.42992052549425,1223.9961002212544,0.1722222222222222,205.4629227403582,1748.5565414047974
432,P0,prediction,MJ3,180,14.720515018928182,12.545990697413949,8.931087249357883,1.0,59.75862724224062,59.75862724224062,1.0,76.69936800761951,76.69936800761951,1.0,91.39293386645186,91.39293386645186
432,P0,prediction,MJ1,180,21.877992443612733,18.144087691792183,16.371228819011314,0.2333333333333333,10.537824789370836,148.55283286270986,0.2555555555555555,13.52515174492547,266.9179650094598,0.2722222222222222,16.116212311357604,484.6858662505409
432,R,train,ATU1,402,7.135855716599894,4.650328046015363,10.120923174134626,1.0,105.73468675344552,105.73468675344552,1.0,135.7693574538333,135.7693574538333,1.0,161.85644913385644,161.85644913385644
432,R,train,ATU5,402,4.329429427958172,2.69472571654967,13.421836862492482,1.0,145.93897332263535,145.93897332263535,1.0,187.5864188921474,187.5864188921474,1.0,223.88341313762473,223.88341313762473
432,R,train,MJ3,402,4.436526761611382,3.574378674279488,4.931221921651415,1.0,51.26185061612993,51.26185061612993,1.0,69.3305128488596,69.3305128488596,1.0,87.42759813800386,87.42759813800386
432,R,train,MJ1,402,3.890339619950101,3.0197606943362545,3.3152688881807646,1.0,32.534532356750745,32.534532356750745,1.0,44.281278042637815,44.281278042637815,1.0,55.343299781370504,55.343299781370504
432,R,prediction,ATU1,180,64.79150917803075,63.85267953307321,43.23858058321448,0.05,105.73531924068068,228.19717968827123,0.5388888888888889,135.77007367857428,157.77243474888994,0.9722222222222222,161.85717323492318,167.94255839867313
432,R,prediction,ATU5,180,147.46690010777724,141.79817055263348,111.5288037812652,0.0722222222222222,145.9442577510309,858.8687702591005,0.1388888888888889,187.5934209436427,1241.744961216784,0.1777777777777777,223.89199774034535,1719.8334547853854
432,R,prediction,MJ3,180,9.389470480156046,7.8411525105522095,6.288415370057463,1.0,51.29436759635159,51.29436759635159,1.0,69.3581941791349,69.3581941791349,1.0,87.44155947341861,87.44155947341861
432,R,prediction,MJ1,180,9.546104693294629,7.480081327529913,5.445364325775151,0.8666666666666667,32.57449719615079,36.56875224132022,0.9833333333333332,44.332684033508585,44.4274859361356,1.0,55.39756453924949,55.39756453924949
612,P0,train,ATU1,582,8.205017090481682,6.205121246043955,13.425116522208764,1.0,141.96003093320132,141.96003093320132,1.0,182.2037273819287,182.2037273819287,1.0,217.10913195809985,217.10913195809985
612,P0,train,ATU5,582,9.456274591068324,7.908746182511195,32.986773456186306,1.0,358.99896383363745,358.99896383363745,1.0,460.770182330531,460.770182330531,1.0,549.041535842251,549.041535842251
612,P0,train,MJ3,582,5.607264439348578,4.851707010023789,4.273393725998595,1.0,37.730198094092266,37.730198094092266,1.0,48.4261850494875,48.4261850494875,1.0,57.70335849440606,57.70335849440606
