phase,model,rule,n_per_point,mae,rmse,crps,coverage80,width80,interval_score80,coverage90,width90,interval_score90,coverage95,width95,interval_score95
final_exploratory,BPLUS_CONTINUOUS,LAST90,293,6.901689250361964,9.124173217774597,16.154436020259663,1.0,171.46866018184943,171.46866018184943,1.0,220.07764275077767,220.07764275077767,1.0,262.23868587835307,262.23868587835307
final_exploratory,BPLUS_CONTINUOUS,DIST90,293,6.901689250361964,9.124173217774597,7.560231623302368,0.909556313993174,66.22796806261667,70.2617265683283,0.9274744027303754,85.00267675700493,90.7452352807111,0.9385665529010239,101.28693660238065,109.61673565856131
final_exploratory,BPLUS_CONTINUOUS,DIST90_UNIT,293,6.901689250361964,9.124173217774597,8.038783732610362,0.9104095563139931,72.16260717984929,76.07734253777483,0.9291808873720137,92.61970360093058,98.14733575560194,0.939419795221843,110.36318389803716,118.27298197515714
final_exploratory,DRIFT1,LAST90,293,9.109845279087784,12.9777345313275,7.277586720603404,0.5580204778156996,18.47638823828197,54.77568021272784,0.6808873720136518,23.714187570584983,78.31358831977961,0.7960750853242321,28.257197357504115,118.5121179321772
final_exploratory,DRIFT1,DIST90,293,9.109845279087784,12.9777345313275,7.5684240523788,0.5716723549488055,13.734105129959044,61.49163949195933,0.629692832764505,17.627533096060787,98.5316950959041,0.6535836177474402,21.004501214250755,159.74153441852215
final_exploratory,DRIFT1,DIST90_UNIT,293,9.109845279087784,12.9777345313275,7.548750491414147,0.5947098976109215,15.008011243088301,60.910577616467194,0.6382252559726962,19.262573891072307,96.16170523154854,0.6629692832764504,22.95277248834322,153.08712766895962
final_exploratory,RR_COND,LAST90,293,11.318236548369157,12.338213669009026,18.572699509267117,1.0,194.25307811229553,194.25307811229553,1.0,249.32112657028864,249.32112657028864,1.0,297.0844460904333,297.0844460904333
final_exploratory,RR_COND,DIST90,293,11.318236548369157,12.338213669009026,9.152820025491204,0.9914675767918089,74.52994722050076,74.55059575812544,1.0,95.65815164842546,95.65815164842546,1.0,113.98371805646153,113.98371805646153
final_exploratory,RR_COND,DIST90_UNIT,293,11.318236548369157,12.338213669009026,9.525068391630658,1.0,79.9491080513526,79.9491080513526,1.0,102.61356927445917,102.61356927445917,1.0,122.27160934422734,122.27160934422734
final_exploratory,TRANSFORMER_BRES_COND,LAST90,293,6.883835616636941,9.27908197971311,19.176916655313555,1.0,204.77835314544103,204.77835314544103,1.0,262.8301708244495,262.8301708244495,1.0,313.1814651624495,313.1814651624495
final_exploratory,TRANSFORMER_BRES_COND,DIST90,293,6.883835616636941,9.27908197971311,8.390574232476116,1.0,78.27018035753152,78.27018035753152,1.0,100.45868890848863,100.45868890848863,1.0,119.70391101588281,119.70391101588281
final_exploratory,TRANSFORMER_BRES_COND,DIST90_UNIT,293,6.883835616636941,9.27908197971311,8.92824639011757,1.0,84.77270102422986,84.77270102422986,1.0,108.80458383032153,108.80458383032153,1.0,129.64865819430807,129.64865819430807
final_exploratory,TRANSFORMER_BRES_REG1,LAST90,293,6.539367561779567,8.90733346455108,17.657105446406703,1.0,188.28022125983964,188.28022125983964,1.0,241.65504779424725,241.65504779424725,1.0,287.9497498126037,287.9497498126037
final_exploratory,TRANSFORMER_BRES_REG1,DIST90,293,6.539367561779567,8.90733346455108,7.780425925544171,0.9607508532423208,70.6935919631342,72.21764015667408,0.9812286689419796,90.73424298254812,91.11534838157812,1.0,108.1165189998679,108.1165189998679
final_exploratory,TRANSFORMER_BRES_REG1,DIST90_UNIT,293,6.539367561779567,8.90733346455108,8.28924438881089,0.962457337883959,76.8514360456856,78.22590855402036,0.9837883959044369,98.63775029798109,98.85232165449608,1.0,117.53412883212229,117.53412883212229
final_exploratory,TRANSFORMER_BRES_HALF,LAST90,293,6.489278371615154,8.867132443968165,17.61941903152414,1.0,188.02575415314982,188.02575415314982,1.0,241.32844279868416,241.32844279868416,1.0,287.56057595665334,287.56057595665334
final_exploratory,TRANSFORMER_BRES_HALF,DIST90,293,6.489278371615154,8.867132443968165,7.817726540562695,0.9641638225255973,71.9829864543051,73.05955022198724,0.9948805460750854,92.38916289556188,92.40416088443871,1.0,110.08847770406987,110.08847770406987
final_exploratory,TRANSFORMER_BRES_HALF,DIST90_UNIT,293,6.489278371615154,8.867132443968165,8.330035981468063,0.9667235494880546,78.1846372430192,79.12489060799592,1.0,100.3488955096514,100.3488955096514,1.0,119.57308411193515,119.57308411193515
