phase,model,rule,seed,point,n,mae,rmse,crps,coverage80,width80,interval_score80,coverage90,width90,interval_score90,coverage95,width95,interval_score95
final_exploratory,TRANSFORMER_BRES_COND,LAST90,0,ATU1,293,6.337618357321833,8.142667046465306,18.302251587554366,1.0,196.96833483645753,196.96833483645753,1.0,252.80612084669477,252.80612084669477,1.0,301.2370728993874,301.2370728993874
final_exploratory,TRANSFORMER_BRES_COND,LAST90,0,ATU5,293,11.385904589941864,14.562447489383553,20.123622503760025,1.0,209.4252873986827,209.4252873986827,1.0,268.7944463683691,268.7944463683691,1.0,320.2883378156843,320.2883378156843
final_exploratory,TRANSFORMER_BRES_COND,LAST90,0,MJ3,293,11.700957458721893,16.367841574645084,20.49583135298982,1.0,210.6657943795003,210.6657943795003,1.0,270.3866198411465,270.3866198411465,1.0,322.1855295248138,322.1855295248138
final_exploratory,TRANSFORMER_BRES_COND,LAST90,0,MJ1,293,4.730453630492474,5.29688808140992,18.564497412420216,1.0,202.05399596712363,202.05399596712363,1.0,259.3334962415876,259.3334962415876,1.0,309.01492040991263,309.01492040991263
final_exploratory,TRANSFORMER_BRES_COND,LAST90,1,ATU1,293,6.085365695334442,8.534956272377356,18.33406932076559,1.0,196.96833483645753,196.96833483645753,1.0,252.80612084669477,252.80612084669477,1.0,301.2370728993874,301.2370728993874
final_exploratory,TRANSFORMER_BRES_COND,LAST90,1,ATU5,293,2.7634372212995233,4.04876843693447,19.17462157461924,1.0,209.4252873986827,209.4252873986827,1.0,268.7944463683691,268.7944463683691,1.0,320.2883378156843,320.2883378156843
final_exploratory,TRANSFORMER_BRES_COND,LAST90,1,MJ3,293,11.046604955502076,15.458823053488342,20.357374158995107,1.0,210.6657943795003,210.6657943795003,1.0,270.3866198411465,270.3866198411465,1.0,322.1855295248138,322.1855295248138
final_exploratory,TRANSFORMER_BRES_COND,LAST90,1,MJ1,293,7.354617770170065,7.99039455006096,18.745305386041775,1.0,202.05399596712363,202.05399596712363,1.0,259.3334962415876,259.3334962415876,1.0,309.01492040991263,309.01492040991263
final_exploratory,TRANSFORMER_BRES_COND,LAST90,2,ATU1,293,10.751040377379143,14.116152422578699,18.98072845764685,1.0,196.96833483645753,196.96833483645753,1.0,252.80612084669477,252.80612084669477,1.0,301.2370728993874,301.2370728993874
final_exploratory,TRANSFORMER_BRES_COND,LAST90,2,ATU5,293,6.595486067102743,7.802828171424313,19.391494833666123,1.0,209.4252873986827,209.4252873986827,1.0,268.7944463683691,268.7944463683691,1.0,320.2883378156843,320.2883378156843
final_exploratory,TRANSFORMER_BRES_COND,LAST90,2,MJ3,293,13.577896201576031,17.753355723566226,20.721442003876213,1.0,210.6657943795003,210.6657943795003,1.0,270.3866198411465,270.3866198411465,1.0,322.1855295248138,322.1855295248138
final_exploratory,TRANSFORMER_BRES_COND,LAST90,2,MJ1,293,5.733833082321072,6.300604046796098,18.623328733866053,1.0,202.05399596712363,202.05399596712363,1.0,259.3334962415876,259.3334962415876,1.0,309.01492040991263,309.01492040991263
final_exploratory,TRANSFORMER_BRES_COND,DIST90,0,ATU1,293,6.337618357321833,8.142667046465306,8.985561998163112,1.0,92.2413688407175,92.2413688407175,1.0,118.39051519409375,118.39051519409375,1.0,141.070999929413,141.070999929413
final_exploratory,TRANSFORMER_BRES_COND,DIST90,0,ATU5,293,11.385904589941864,14.562447489383553,10.80289852040086,1.0,101.37811167340088,101.37811167340088,1.0,130.1173976629047,130.1173976629047,1.0,155.04444225473526,155.04444225473526
final_exploratory,TRANSFORMER_BRES_COND,DIST90,0,MJ3,293,11.700957458721893,16.367841574645084,8.173971142229588,1.0,51.799651927742936,51.799651927742936,1.0,66.48413348234213,66.48413348234213,1.0,79.22073127579789,79.22073127579789
final_exploratory,TRANSFORMER_BRES_COND,DIST90,0,MJ1,293,4.730453630492474,5.29688808140992,6.5728014402809185,1.0,67.66158898826477,67.66158898826477,1.0,86.84270929461394,86.84270929461394,1.0,103.47947060358507,103.47947060358507
final_exploratory,TRANSFORMER_BRES_COND,DIST90,1,ATU1,293,6.085365695334442,8.534956272377356,9.019286666030249,1.0,92.2413688407175,92.2413688407175,1.0,118.39051519409378,118.39051519409378,1.0,141.070999929413,141.070999929413
final_exploratory,TRANSFORMER_BRES_COND,DIST90,1,ATU5,293,2.7634372212995233,4.04876843693447,9.40789256787624,1.0,101.37811167340088,101.37811167340088,1.0,130.1173976629047,130.1173976629047,1.0,155.04444225473526,155.04444225473526
final_exploratory,TRANSFORMER_BRES_COND,DIST90,1,MJ3,293,11.046604955502076,15.458823053488342,7.764272791655782,1.0,51.79965192774294,51.79965192774294,1.0,66.48413348234213,66.48413348234213,1.0,79.2207312757979,79.2207312757979
final_exploratory,TRANSFORMER_BRES_COND,DIST90,1,MJ1,293,7.354617770170065,7.99039455006096,7.095731304911621,1.0,67.66158898826477,67.66158898826477,1.0,86.84270929461394,86.84270929461394,1.0,103.47947060358506,103.47947060358506
final_exploratory,TRANSFORMER_BRES_COND,DIST90,2,ATU1,293,10.751040377379143,14.116152422578699,10.038602663042234,1.0,92.2413688407175,92.2413688407175,1.0,118.39051519409378,118.39051519409378,1.0,141.070999929413,141.070999929413
final_exploratory,TRANSFORMER_BRES_COND,DIST90,2,ATU5,293,6.595486067102743,7.802828171424313,10.565123110804219,0.931740614334471,101.37811167340088,102.69175204418686,0.9863481228668942,130.1173976629047,130.25879089953935,1.0,155.04444225473526,155.04444225473526
final_exploratory,TRANSFORMER_BRES_COND,DIST90,2,MJ3,293,13.577896201576031,17.753355723566226,8.847470915941011,0.9897610921501706,51.799651927742936,51.86125987044465,1.0,66.48413348234213,66.48413348234213,1.0,79.22073127579789,79.22073127579789
final_exploratory,TRANSFORMER_BRES_COND,DIST90,2,MJ1,293,5.733833082321072,6.300604046796098,6.740115022337177,1.0,67.66158898826478,67.66158898826478,1.0,86.84270929461394,86.84270929461394,1.0,103.47947060358507,103.47947060358507
final_exploratory,TRANSFORMER_BRES_COND,DIST90_UNIT,0,ATU1,293,6.337618357321833,8.142667046465306,9.323883836007518,1.0,96.20929630477,96.20929630477,1.0,123.4832949590294,123.4832949590294,1.0,147.13942131166567,147.13942131166567
final_exploratory,TRANSFORMER_BRES_COND,DIST90_UNIT,0,ATU5,293,11.385904589941864,14.562447489383553,11.473420658198586,1.0,110.05166264780668,110.05166264780668,1.0,141.2497798177633,141.2497798177633,1.0,168.30949376335985,168.30949376335985
final_exploratory,TRANSFORMER_BRES_COND,DIST90_UNIT,0,MJ3,293,11.700957458721893,16.367841574645084,8.216499932035326,1.0,53.06059755251215,53.06059755251215,1.0,68.10253967063231,68.10253967063231,1.0,81.1491811934264,81.1491811934264
final_exploratory,TRANSFORMER_BRES_COND,DIST90_UNIT,0,MJ1,293,4.730453630492474,5.29688808140992,7.615954550617946,1.0,79.76924759183058,79.76924759183058,1.0,102.38272087386109,102.38272087386109,1.0,121.99653650878028,121.99653650878028
