phase,model,rule,point,n,mae,rmse,crps,coverage80,width80,interval_score80,coverage90,width90,interval_score90,coverage95,width95,interval_score95
final_exploratory,BPLUS_CONTINUOUS,LAST90,ATU1,293,5.431794127410311,8.06824598915759,14.246442103166373,1.0,151.49741639183378,151.49741639183378,1.0,194.44482885087064,194.44482885087064,1.0,231.69530424059127,231.69530424059127
final_exploratory,BPLUS_CONTINUOUS,LAST90,ATU5,293,8.108033069793414,9.115006709976656,15.60442473690447,1.0,165.53001893032206,165.53001893032206,1.0,212.45547922309515,212.45547922309515,1.0,253.15631784648124,253.15631784648124
final_exploratory,BPLUS_CONTINUOUS,LAST90,MJ3,293,8.77905889907337,13.016273948901418,18.050633046245405,1.0,187.9635881634531,187.9635881634531,1.0,241.2486536147176,241.2486536147176,1.0,287.46550127987484,287.46550127987484
final_exploratory,BPLUS_CONTINUOUS,LAST90,MJ1,293,5.287870905170764,6.297166223062725,16.71624419472241,1.0,180.8836172417888,180.8836172417888,1.0,232.16160931442732,232.16160931442732,1.0,276.637620146465,276.637620146465
final_exploratory,BPLUS_CONTINUOUS,DIST90,ATU1,293,5.431794127410311,8.06824598915759,7.907165159766728,1.0,80.04946911020704,80.04946911020704,1.0,102.7423812989611,102.7423812989611,1.0,122.4250983384228,122.4250983384228
final_exploratory,BPLUS_CONTINUOUS,DIST90,ATU5,293,8.108033069793414,9.115006709976656,10.080586462275756,1.0,102.565359396633,102.565359396633,1.0,131.64121361861956,131.64121361861956,1.0,156.8601809583693,156.8601809583693
final_exploratory,BPLUS_CONTINUOUS,DIST90,MJ3,293,8.77905889907337,13.016273948901418,5.903822884223913,0.6382252559726962,20.741264865978813,36.87629888882535,0.7098976109215017,26.6211252513031,49.59135934612776,0.7542662116040956,31.721027248598617,65.04022347332118
final_exploratory,BPLUS_CONTINUOUS,DIST90,MJ1,293,5.287870905170764,6.297166223062725,6.349351986943073,1.0,61.55577887764781,61.55577887764781,1.0,79.00598685913597,79.00598685913597,1.0,94.14143986413191,94.14143986413191
final_exploratory,BPLUS_CONTINUOUS,DIST90_UNIT,ATU1,293,5.431794127410311,8.06824598915759,8.196777515627845,1.0,83.49294020085942,83.49294020085942,1.0,107.16202859606784,107.16202859606784,1.0,127.69143291358711,127.69143291358711
final_exploratory,BPLUS_CONTINUOUS,DIST90_UNIT,ATU5,293,8.108033069793414,9.115006709976656,10.823688188051571,1.0,111.34048706719857,111.34048706719857,1.0,142.90396805156996,142.90396805156996,1.0,170.28058061801204,170.28058061801204
final_exploratory,BPLUS_CONTINUOUS,DIST90_UNIT,MJ3,293,8.77905889907337,13.016273948901418,5.890559831690472,0.6416382252559727,21.2461641502717,36.90510558197387,0.7167235494880546,27.26915646701265,49.379685085698114,0.757679180887372,32.493204068977754,64.13239637745767
final_exploratory,BPLUS_CONTINUOUS,DIST90_UNIT,MJ1,293,5.287870905170764,6.297166223062725,7.24410939507156,1.0,72.57083730106747,72.57083730106747,1.0,93.14366128907189,93.14366128907189,1.0,110.9875179915717,110.9875179915717
final_exploratory,DRIFT1,LAST90,ATU1,293,12.87236415119731,19.24419789511351,10.144178050900338,0.6860068259385665,38.289396635217145,73.5016304417273,0.8873720136518771,49.143908542186985,93.63365969900384,0.9078498293515358,58.558578844936065,128.30017385213512
final_exploratory,DRIFT1,LAST90,ATU5,293,4.214214864644262,6.981703417292708,3.433033021589559,0.5563139931740614,8.086311113414695,26.169530294153958,0.6382252559726962,10.378667953096283,37.27396064123141,0.9180887372013652,12.366945643224199,55.705765614106674
final_exploratory,DRIFT1,LAST90,MJ3,293,10.867921588627034,12.334873689346734,7.77691981055768,0.4232081911262799,20.366558779386196,48.68827202937618,0.6040955631399317,26.140195195780052,54.51013284080396,0.7508532423208191,31.147963741631884,55.873541209348325
final_exploratory,DRIFT1,LAST90,MJ1,293,8.484880511882531,13.35016312355705,7.756215999366037,0.5665529010238908,7.1632864251098445,70.74328808565392,0.5938566552901023,9.193978591276618,127.83660009807922,0.6075085324232082,10.955301200224312,234.1689910531187
final_exploratory,DRIFT1,DIST90,ATU1,293,12.87236415119731,19.24419789511351,9.931295393224799,0.6143344709897611,16.617082179843464,74.62341914781881,0.6382252559726962,21.32779408002289,111.03771019801657,0.658703071672355,25.413634126220465,161.19804317075486
final_exploratory,DRIFT1,DIST90,ATU5,293,4.214214864644262,6.981703417292708,3.2999118659733737,0.8088737201365188,14.017950455033526,23.113711901180434,0.9385665529010239,17.991844626704165,32.08539713523577,0.9453924914675768,21.438605177979777,44.68300476808355
final_exploratory,DRIFT1,DIST90,MJ3,293,10.867921588627034,12.334873689346734,9.46305260645012,0.18088737201365188,7.549152011553711,82.48697874184184,0.22866894197952217,9.68923170979501,143.10688968120076,0.2764505119453925,11.545431689419193,252.0955316291913
final_exploratory,DRIFT1,DIST90,MJ1,293,8.484880511882531,13.35016312355705,7.57943634386691,0.6825938566552902,16.752235873405475,65.74244817699626,0.7133105802047781,21.50126196772108,107.8967833691633,0.7337883959044369,25.62033386338359,180.98955810605887
final_exploratory,DRIFT1,DIST90_UNIT,ATU1,293,12.87236415119731,19.24419789511351,9.848800625831217,0.6177474402730375,17.3318956912049,73.30195233168686,0.6416382252559727,22.245247289373165,106.97535674946812,0.6621160409556314,26.50684705311167,150.9467715163576
final_exploratory,DRIFT1,DIST90_UNIT,ATU5,293,4.214214864644262,6.981703417292708,3.3185185806694872,0.8737201365187713,15.217276481347042,23.42173922966293,0.9419795221843004,19.531162916593452,32.48310092418352,0.9488054607508533,23.272816052122117,44.13249592647056
final_exploratory,DRIFT1,DIST90_UNIT,MJ3,293,10.867921588627034,12.334873689346734,9.43437687802002,0.18430034129692832,7.732919080354964,81.93787003008686,0.2354948805460751,9.925094189119852,141.61242821685056,0.2832764505119454,11.82647916817743,248.5915202544288
final_exploratory,DRIFT1,DIST90_UNIT,MJ1,293,8.484880511882531,13.35016312355705,7.593305881135861,0.7030716723549488,19.749953719446292,64.98074887443212,0.7337883959044369,25.34879116920276,103.57593503569196,0.757679180887372,30.20494767996167,168.6777229785815
final_exploratory,RR_COND,LAST90,ATU1,293,11.605648621437904,12.20026770917112,18.400352540932,1.0,193.19364026124998,193.19364026124998,1.0,247.96135280958057,247.96135280958057,1.0,295.46417571838197,295.46417571838197
final_exploratory,RR_COND,LAST90,ATU5,293,13.912059377385877,14.345710269854921,20.25627568625559,1.0,211.2748841429982,211.2748841429982,1.0,271.1683780891674,271.1683780891674,1.0,323.1170519324203,323.1170519324203
