model,point,n,mae,rmse
BPLUS_CONTINUOUS,ATU1,1168,7.4597744931331551,9.4951282202674676
BPLUS_CONTINUOUS,ATU5,1168,9.1064456092090644,11.651664999206577
BPLUS_CONTINUOUS,MJ3,1168,4.4940281773852551,5.4445663147354484
BPLUS_CONTINUOUS,MJ1,1168,5.4536594916508498,7.1035065969592193
RR_COND,ATU1,1168,5.6196954222268634,7.483891418363763
RR_COND,ATU5,1168,5.6168407548668045,7.3742695818537358
RR_COND,MJ3,1168,3.3697846947148804,4.404600022184785
RR_COND,MJ1,1168,3.8891335918999257,5.2600117602538061
TCN_DIRECT_COND,ATU1,1168,23.041749634773499,28.406695948684217
TCN_DIRECT_COND,ATU5,1168,22.671434169793013,28.494355499746987
TCN_DIRECT_COND,MJ3,1168,19.04375162326496,23.036880048157276
TCN_DIRECT_COND,MJ1,1168,16.110829290572287,19.73072677292663
TCN_BRES_COND,ATU1,1168,1.5069179421969521,1.971086056119675
TCN_BRES_COND,ATU5,1168,1.8426389954414297,2.4382463941634542
TCN_BRES_COND,MJ3,1168,0.9814835536885167,1.2788155711277291
TCN_BRES_COND,MJ1,1168,1.0578675145005569,1.467757508131444
TRANSFORMER_DIRECT_COND,ATU1,1168,14.570091786922173,19.179295622223194
TRANSFORMER_DIRECT_COND,ATU5,1168,15.253524985421414,20.288264241410232
TRANSFORMER_DIRECT_COND,MJ3,1168,10.759537854370521,12.660703124797212
TRANSFORMER_DIRECT_COND,MJ1,1168,12.760932503991381,16.751249714979043
TRANSFORMER_BRES_COND,ATU1,1168,0.47522623769039224,0.63713744725620591
TRANSFORMER_BRES_COND,ATU5,1168,0.5731503329817994,0.75352668791474897
TRANSFORMER_BRES_COND,MJ3,1168,0.22171385449565573,0.3061315016372137
TRANSFORMER_BRES_COND,MJ1,1168,0.26830031398120646,0.37163283102480876
CNN_MAMBA_DIRECT_COND,ATU1,1168,7.9084826850359899,10.758516976551006
CNN_MAMBA_DIRECT_COND,ATU5,1168,9.6374500972730175,12.305131956532211
CNN_MAMBA_DIRECT_COND,MJ3,1168,7.9957217036326815,9.8476142325380405
CNN_MAMBA_DIRECT_COND,MJ1,1168,8.7081124042160596,10.838748116998209
CNN_MAMBA_BRES_COND,ATU1,1168,0.34721036293886631,0.46556770907060169
CNN_MAMBA_BRES_COND,ATU5,1168,0.41004223207791379,0.5487989841997355
CNN_MAMBA_BRES_COND,MJ3,1168,0.20304213088165238,0.26921566368187066
CNN_MAMBA_BRES_COND,MJ1,1168,0.23420862457884589,0.31388070367550674
