model,seed,point,n,mae,rmse,crps,coverage80,width80,interval_score80,coverage90,width90,interval_score90,coverage95,width95,interval_score95
TRANSFORMER_DIRECT_COND,0,ATU1,293,9.3634722216395669,15.176015327935966,10.314831068997016,0.95904436860068254,86.190587549991449,89.685109893440753,0.98634812286689422,110.62442148430888,111.1441642457625,1,131.81712850746041,131.81712850746041
TRANSFORMER_DIRECT_COND,0,ATU5,293,35.084507428024395,37.695530715606367,26.15154396736196,1,214.76112576742756,214.76112576742756,1,275.64292077207159,275.64292077207159,1,328.44879839428216,328.44879839428216
TRANSFORMER_DIRECT_COND,0,MJ3,293,32.293439687297528,35.460081471852746,21.661187132252337,0.65187713310580209,65.495016151222003,125.78256857458715,0.73720136518771329,84.061943163248543,147.0701215416419,0.82935153583617749,100.1659833864851,156.64015142668507
TRANSFORMER_DIRECT_COND,0,MJ1,293,42.540686089044414,44.715613952907084,27.513213044104042,1,186.75468490885075,186.75468490885075,1,239.69704308539724,239.69704308539724,1,285.61664329903596,285.61664329903596
TRANSFORMER_DIRECT_COND,1,ATU1,293,15.954942680408379,21.977921096127361,12.955217152823765,0.93515358361774747,86.190587549991449,93.589052583309766,0.97269624573378843,110.62442148430888,114.79707309189364,0.9965870307167235,131.81712850746041,131.95719123041036
TRANSFORMER_DIRECT_COND,1,ATU5,293,44.745378450604278,48.011568440747183,30.107595832282513,1,214.76112576742756,214.76112576742756,1,275.64292077207153,275.64292077207153,1,328.44879839428216,328.44879839428216
TRANSFORMER_DIRECT_COND,1,MJ3,293,36.463710218422385,39.994216889720654,25.186388103608181,0.5460750853242321,65.495016151222003,151.67189427398151,0.66552901023890787,84.061943163248543,185.30313821256132,0.7235494880546075,100.1659833864851,203.97855990587442
TRANSFORMER_DIRECT_COND,1,MJ1,293,47.371730655085855,49.791091533937596,29.916886614914134,1,186.75468490885072,186.75468490885072,1,239.69704308539724,239.69704308539724,1,285.61664329903596,285.61664329903596
TRANSFORMER_DIRECT_COND,2,ATU1,293,12.518121661321111,18.277443594753905,11.388804374360435,0.95221843003412965,86.190587549991449,91.908975684990764,0.97610921501706482,110.62442148430888,114.05008816221658,0.9965870307167235,131.81712850746041,131.84301531205341
TRANSFORMER_DIRECT_COND,2,ATU5,293,39.692429057775492,42.614773385588165,27.930027332239206,1,214.76112576742756,214.76112576742756,1,275.64292077207153,275.64292077207153,1,328.44879839428216,328.44879839428216
