origin,arm,seed,step,gradient_norm,mse,penalty,objective,free_output_lower_bound,excess_objective,mae_mm,rmse_mm
612,G10_ANCHOR_UNIFORM,0,400,0.0089517388511251832,0.0090063303893352289,0.0071970110330649029,0.016203341422400132,0.015648358364071975,0.00055498305832814114,7.0709570108232569,11.067886998684775
612,G10_ANCHOR_UNIFORM,1,400,0.020460513803781399,0.0089471327171646107,0.0073284487512797758,0.016275581468444385,0.015648358364071975,0.00062722310437239776,6.9165808805729476,11.030253874078827
612,G10_ANCHOR_UNIFORM,2,400,0.017727988115826543,0.0089807116733924448,0.0074705924020190004,0.016451304075411448,0.015648358364071975,0.00080294571133940741,7.0679704050423542,11.031856319336281
612,T10_ANCHOR_UNIFORM,0,400,0.0050758329442126809,0.0086275536347257299,0.0075854779902105318,0.016213031624936262,0.015648358364071975,0.00056467326086424873,6.8996395919572908,10.828579590649003
612,T10_ANCHOR_UNIFORM,1,400,0.01399155675917226,0.0093615312787863648,0.0070307672901786782,0.016392298568965041,0.015648358364071975,0.00074394020489308038,7.0076187354917217,11.119992108482663
612,T10_ANCHOR_UNIFORM,2,400,0.011213823309681984,0.009680192824062156,0.0066980586098012631,0.016378251433863421,0.015648358364071975,0.0007298930697914026,7.3847036833389819,11.427190189506144
792,G10_ANCHOR_UNIFORM,0,400,0.018384946793321474,0.022241506613907315,0.01908210247288224,0.041323609086789552,0.039257929459849579,0.0020656796269399435,11.435610157748361,16.686368779751401
792,G10_ANCHOR_UNIFORM,1,400,0.013966238178127293,0.023715957363303838,0.017392640507796087,0.041108597871099925,0.039257929459849579,0.0018506684112503616,11.415173730057266,16.657818597503908
792,G10_ANCHOR_UNIFORM,2,400,0.025792759931122435,0.024904645232908314,0.017128207494983502,0.042032852727891812,0.039257929459849579,0.0027749232680422029,11.97646176891103,17.708526789225193
792,T10_ANCHOR_UNIFORM,0,400,0.021922706300421126,0.022094939592602673,0.019361304324225552,0.041456243916828221,0.039257929459849579,0.0021983144569785668,11.448489260951842,16.786183415805723
792,T10_ANCHOR_UNIFORM,1,400,0.017380189773553909,0.023764211980439195,0.017394234609998234,0.041158446590437436,0.039257929459849579,0.001900517130587744,11.595197569399312,16.731890005974737
792,T10_ANCHOR_UNIFORM,2,400,0.017520680624485731,0.022289738256824853,0.018982607008516075,0.041272345265340932,0.039257929459849579,0.0020144158054912586,11.487496353021198,16.529085511115817
972,G10_ANCHOR_UNIFORM,0,400,0.047187993032199442,0.029391338939505893,0.022908349220681329,0.052299688160187222,0.049907711701470313,0.0023919764587169031,13.574186374813438,19.694709889150484
972,G10_ANCHOR_UNIFORM,1,400,0.019835131635621877,0.026567189400692248,0.025685012472491005,0.05225220187318326,0.049907711701470313,0.0023444901717129289,12.76796420850248,18.617225944953962
972,G10_ANCHOR_UNIFORM,2,400,0.007445949407666832,0.028086772896781263,0.023911204392970658,0.051997977289751911,0.049907711701470313,0.0020902655882815121,13.209323607543329,19.051247161041502
972,T10_ANCHOR_UNIFORM,0,400,0.032392067700736694,0.029832626958321212,0.022453766013164064,0.052286392971485268,0.049907711701470313,0.0023786812700148088,13.592934242847544,19.829970792500504
972,T10_ANCHOR_UNIFORM,1,400,0.013971682494768713,0.027153223902176615,0.025080358044242808,0.052233581946419423,0.049907711701470313,0.0023258702449490956,12.873865397607158,18.878685396685054
972,T10_ANCHOR_UNIFORM,2,400,0.014900730692854434,0.028695039912121086,0.023117256114427259,0.051812296026548341,0.049907711701470313,0.0019045843250779433,13.230645323224682,19.227732036973613
1168,G10_ANCHOR_UNIFORM,0,400,0.025387192529649442,0.030688121240464664,0.022460907445471245,0.053149028685935906,0.050404092875665454,0.0027449358102704445,14.567604205044205,20.640018828684287
1168,G10_ANCHOR_UNIFORM,1,400,0.0088737112232373776,0.02917728899011636,0.023437527146857772,0.052614816136974135,0.050404092875665454,0.0022107232613086873,14.148198913178421,19.760661740430955
1168,G10_ANCHOR_UNIFORM,2,400,0.012803751030554601,0.029411727408687374,0.023602361436651304,0.053014088845338675,0.050404092875665454,0.0026099959696732939,14.360485474138002,20.134445204814487
1168,T10_ANCHOR_UNIFORM,0,400,0.016535265885332318,0.030278573317450302,0.022784803408713604,0.053063376726163902,0.050404092875665454,0.0026592838504984283,14.523104121249515,20.616372529866986
1168,T10_ANCHOR_UNIFORM,1,400,0.022384005749984153,0.029632670630361544,0.023392722979858359,0.053025393610219899,0.050404092875665454,0.002621300734554498,14.179000729718435,19.877213631333589
1168,T10_ANCHOR_UNIFORM,2,400,0.013031455072057403,0.029747460200101074,0.023680535978665481,0.053427996178766556,0.050404092875665454,0.0030239033031011901,14.348565419714364,20.394635612780771
