origin,arm,seed,step,point,mse,penalty,objective,free_output_lower_bound,excess_objective,mae_mm,rmse_mm
612,G10_ANCHOR_UNIFORM,0,400,ATU1,0.0022653582181616006,0.0010623223007294156,0.0033276805188910165,0.002717350625755907,0.00061032989313508982,4.1379997670407924,7.1850297239016969
612,G10_ANCHOR_UNIFORM,0,400,ATU5,0.016906899638893857,0.01363638223459992,0.030543281873493776,0.02958245730657845,0.00096082456691537596,14.02988319288959,22.670675545680012
612,G10_ANCHOR_UNIFORM,0,400,MJ3,0.0052218736078518116,0.0046557099075947442,0.0098775835154465558,0.0096165682784511309,0.00026101523699541837,4.7010985611663454,6.8006357975205951
612,G10_ANCHOR_UNIFORM,0,400,MJ1,0.011631190092433645,0.0094336296893355303,0.021064819781769176,0.020677057245502419,0.00038776253626668063,5.4148465221962985,7.6152069276367973
612,G10_ANCHOR_UNIFORM,1,400,ATU1,0.0020128337991860588,0.0013781585859249615,0.0033909923851110201,0.002717350625755907,0.00067364175935509226,3.9765625033255594,6.7727350177173928
612,G10_ANCHOR_UNIFORM,1,400,ATU5,0.01857435445766592,0.012007188368729644,0.030581542826395566,0.02958245730657845,0.00099908551981715398,14.179808788283925,23.762347280941974
612,G10_ANCHOR_UNIFORM,1,400,MJ3,0.0044131516010285565,0.0054628661496393758,0.0098760177506679314,0.0096165682784511309,0.00025944947221678025,4.343839885274801,6.251881858793837
612,G10_ANCHOR_UNIFORM,1,400,MJ1,0.010788191010777907,0.010465581900825121,0.021253772911603026,0.020677057245502419,0.00057671566610056446,5.1661123454075062,7.3340513388621051
612,G10_ANCHOR_UNIFORM,2,400,ATU1,0.0021777196105111918,0.0011303402232785912,0.0033080598337897832,0.002717350625755907,0.000590709208033834,4.0692714222120552,7.0446773504776674
612,G10_ANCHOR_UNIFORM,2,400,ATU5,0.017981155274225162,0.013254337162516183,0.031235492436741345,0.02958245730657845,0.0016530351301627891,14.448653444585412,23.379825741030711
612,G10_ANCHOR_UNIFORM,2,400,MJ3,0.0042270398998029883,0.0056698448360003222,0.0098968847358033105,0.0096165682784511309,0.00028031645735219341,4.240206749123911,6.1186345247041789
612,G10_ANCHOR_UNIFORM,2,400,MJ1,0.011536931909030438,0.0098278473862809072,0.021364779295311345,0.020677057245502419,0.00068772204980881298,5.5137500042480383,7.584287661132568
612,T10_ANCHOR_UNIFORM,0,400,ATU1,0.0023016335816760723,0.0010142637578882555,0.003315897339564328,0.002717350625755907,0.00059854671380840554,4.0198075738997092,7.2423284821856129
612,T10_ANCHOR_UNIFORM,0,400,ATU5,0.015852844629081413,0.014638015777769808,0.030490860406851221,0.02958245730657845,0.00090840310027269619,13.662635455669298,21.952605643057296
612,T10_ANCHOR_UNIFORM,0,400,MJ3,0.0048251011836820314,0.0050975165352003951,0.0099226177188824274,0.0096165682784511309,0.00030604944043130506,4.4870256424645358,6.5371665802840502
612,T10_ANCHOR_UNIFORM,0,400,MJ1,0.011530635144463406,0.0095921158899836666,0.021122751034447072,0.020677057245502419,0.00044569378894458831,5.429089695795617,7.5822176570690516
612,T10_ANCHOR_UNIFORM,1,400,ATU1,0.0019414823021930573,0.0013226260030095491,0.0032641083052026062,0.002717350625755907,0.00054675767944668016,3.8891510282723734,6.6516110181507386
612,T10_ANCHOR_UNIFORM,1,400,ATU5,0.018087137234085306,0.012491540958772529,0.030578678192857835,0.02958245730657845,0.00099622088627964833,14.260791708966432,23.448625529020504
612,T10_ANCHOR_UNIFORM,1,400,MJ3,0.0046071782789148651,0.0056163307488773058,0.01022350902779217,0.0096165682784511309,0.00060694074934105648,4.2126374587423543,6.3878373335323184
612,T10_ANCHOR_UNIFORM,1,400,MJ1,0.01281032729995223,0.0086925714500553277,0.021502898750007556,0.020677057245502419,0.00082584150450493643,5.6678947459857287,7.9918945532270937
612,T10_ANCHOR_UNIFORM,2,400,ATU1,0.0021730915140426438,0.0010858017819492397,0.0032588932959918835,0.002717350625755907,0.00054154267023596005,3.960329861388467,7.0371876840215721
612,T10_ANCHOR_UNIFORM,2,400,ATU5,0.01867006217044781,0.012621174434586435,0.031291236605034245,0.02958245730657845,0.0017087792984558554,14.828778547594887,23.823488512777036
612,T10_ANCHOR_UNIFORM,2,400,MJ3,0.0055409608175284062,0.0042688430520897323,0.0098098038696181385,0.0096165682784511309,0.00019323559116695091,5.0461435360159665,7.0053345233610287
612,T10_ANCHOR_UNIFORM,2,400,MJ1,0.012336656794229767,0.0088164151705796452,0.021153071964809412,0.020677057245502419,0.0004760147193068442,5.7035627883566065,7.8427500378649384
792,G10_ANCHOR_UNIFORM,0,400,ATU1,0.0022383249974396824,0.00099235762286904771,0.0032306826203087301,0.0019305216148712988,0.0013001610054374497,5.6635351875419468,8.2695558242650105
792,G10_ANCHOR_UNIFORM,0,400,ATU5,0.011240603102851269,0.0053831979880146806,0.016623801090865951,0.013949080780921214,0.0026747203099447511,12.981324599393693,22.122917109416026
792,G10_ANCHOR_UNIFORM,0,400,MJ3,0.056307776389797795,0.056127224142335369,0.11243500053213316,0.11144385775457205,0.00099114277756123153,18.020617557146686,24.257804980237289
792,G10_ANCHOR_UNIFORM,0,400,MJ1,0.019179321965540511,0.013825630138309864,0.033004952103850377,0.029708257689033769,0.0032966944148163416,9.0769632869111145,12.095197205087276
792,G10_ANCHOR_UNIFORM,1,400,ATU1,0.0020179119554895597,0.0012499414149120278,0.0032678533704015873,0.0019305216148712988,0.0013373317555303,5.3027345934410137,7.8518449953673048
792,G10_ANCHOR_UNIFORM,1,400,ATU5,0.0098490000720065172,0.0057460524430209686,0.015595052515027486,0.013949080780921214,0.0016459717341062855,12.16920278075926,20.708262222778313
792,G10_ANCHOR_UNIFORM,1,400,MJ3,0.062394506579304725,0.050347621223146823,0.11274212780245155,0.11144385775457205,0.0012982700478796365,18.685987023370693,25.5352720368045
792,G10_ANCHOR_UNIFORM,1,400,MJ1,0.020602410846414551,0.012226946950104529,0.032829357796519076,0.029708257689033769,0.0031211001074852242,9.5027705226580927,12.535895135065521
792,G10_ANCHOR_UNIFORM,2,400,ATU1,0.0027821200584123911,0.00072161440244365705,0.0035037344608560483,0.0019305216148712988,0.0015732128459847576,6.1122854925369605,9.2195249625536917
792,G10_ANCHOR_UNIFORM,2,400,ATU5,0.012308425348517386,0.0044637927594987793,0.016772218108016164,0.013949080780921214,0.0028231373270949413,13.60339422112663,23.149884755743933
792,G10_ANCHOR_UNIFORM,2,400,MJ3,0.063090958481206064,0.050682786541358493,0.11377374502256456,0.11144385775457205,0.0023298872679925501,18.594159719953591,25.677389812751489
792,G10_ANCHOR_UNIFORM,2,400,MJ1,0.021437077043497409,0.012644636276633078,0.034081713320130491,0.029708257689033769,0.0043734556310965631,9.5960076420269314,12.787307625851659
792,T10_ANCHOR_UNIFORM,0,400,ATU1,0.0023544767087142178,0.0010556062420051893,0.0034100829507194069,0.0019305216148712988,0.0014795613358481313,5.6928692956100484,8.4814051603263287
792,T10_ANCHOR_UNIFORM,0,400,ATU5,0.011791935572969266,0.0051207970043439088,0.016912732577313176,0.013949080780921214,0.0029636517963919605,13.371221878429779,22.658968424455821
792,T10_ANCHOR_UNIFORM,0,400,MJ3,0.055813904729014742,0.057030639394722804,0.11284454412373754,0.11144385775457205,0.0014006863691652675,17.797903370462102,24.151188909476897
792,T10_ANCHOR_UNIFORM,0,400,MJ1,0.018419441359712459,0.014238174655830301,0.032657616015542762,0.029708257689033769,0.002949358326508908,8.9319624993054454,11.853171168963847
792,T10_ANCHOR_UNIFORM,1,400,ATU1,0.002254729518981933,0.0010228470482989496,0.0032775765672808828,0.0019305216148712988,0.0013470549524095857,5.7510561957478856,8.2998039911734605
792,T10_ANCHOR_UNIFORM,1,400,ATU5,0.0097781841591297585,0.0059371034281930496,0.01571528758732281,0.013949080780921214,0.0017662068064016366,12.237382390982132,20.6336800291641
792,T10_ANCHOR_UNIFORM,1,400,MJ3,0.063221222968730034,0.049936414915696441,0.11315763788442648,0.11144385775457205,0.001713780129854041,18.984961455123003,25.703884316470699
792,T10_ANCHOR_UNIFORM,1,400,MJ1,0.019802711274915057,0.0126805730478045,0.032483284322719561,0.029708257689033769,0.0027750266336857123,9.4073902357442236,12.290191687090696
792,T10_ANCHOR_UNIFORM,2,400,ATU1,0.0023098001666186723,0.0007713410356409851,0.0030811412022596573,0.0019305216148712988,0.0011506195873883672,5.6071180290051874,8.4005518167145006
792,T10_ANCHOR_UNIFORM,2,400,ATU5,0.010310032358413128,0.0057208896184110826,0.016030921976824208,0.013949080780921214,0.0020818411959030382,12.951748750028877,21.187396768985707
792,T10_ANCHOR_UNIFORM,2,400,MJ3,0.057840597156933835,0.05544110067252573,0.11328169782945957,0.11144385775457205,0.0018378400748871595,18.391478339451989,24.585763271713489
792,T10_ANCHOR_UNIFORM,2,400,MJ1,0.018698523345333774,0.013997096707486502,0.032695620052820278,0.029708257689033769,0.00298736236378647,8.9996402935987359,11.94263018704957
972,G10_ANCHOR_UNIFORM,0,400,ATU1,0.0037096801482217061,0.00179704540542927,0.0055067255536509763,0.0040028611424978815,0.0015038644111530881,7.7940732691300667,11.06519536914557
972,G10_ANCHOR_UNIFORM,0,400,ATU5,0.011470883824719393,0.0054769203246884668,0.016947804149407858,0.013809453733330791,0.0031383504160770884,15.677274322424545,23.775702480028265
972,G10_ANCHOR_UNIFORM,0,400,MJ3,0.078851942247206125,0.068262100241498203,0.14711404248870433,0.14491596820693156,0.0021980742817727769,19.83801883299309,29.157068087609954
972,G10_ANCHOR_UNIFORM,0,400,MJ1,0.023532849537876356,0.016097330911109368,0.039630180448985725,0.036902563723121,0.0027276167258646583,10.987379074706046,14.780873619818147
972,G10_ANCHOR_UNIFORM,1,400,ATU1,0.0030286392720963473,0.0023971249541692614,0.0054257642262656083,0.0040028611424978815,0.0014229030837677216,7.1151353412784095,9.998034431955876
972,G10_ANCHOR_UNIFORM,1,400,ATU5,0.010560821554672957,0.0058941394222258997,0.016454960976898858,0.013809453733330791,0.0026455072435680811,14.977354267861436,22.813071891370495
972,G10_ANCHOR_UNIFORM,1,400,MJ3,0.072414176963677801,0.075049601594431747,0.14746377855810955,0.14491596820693156,0.0025478103511780595,18.965088143396965,27.941483017485126
972,G10_ANCHOR_UNIFORM,1,400,MJ1,0.020265119812321892,0.019399183919137111,0.039664303731459002,0.036902563723121,0.0027617400083378542,10.014279081473109,13.716314439004345
