phase,point,scope,reg_minus_half_rms,original_correction_rms,ratio
development,ATU1,fitting,0.1415142800018428,11.842543662919306,0.011949652374510063
development,ATU1,forecast,1.1548315445946151,10.189706443820189,0.11333315154481144
development,ATU5,fitting,0.1549666435915978,16.281120775608926,0.009518180334596895
development,ATU5,forecast,1.3901608407344694,10.21504771548802,0.13608951024543062
development,MJ3,fitting,0.08028806397271838,14.257400454132073,0.005631325586386917
development,MJ3,forecast,0.38937435102447265,12.475347003520792,0.031211504651099762
development,MJ1,fitting,0.05871637827541334,7.888706167170188,0.007443093586090036
development,MJ1,forecast,0.4485864424465739,7.246562966265126,0.06190333880142562
final_exploratory,ATU1,fitting,0.12703040977890945,9.450230165677318,0.013442044008650334
final_exploratory,ATU1,forecast,0.20235313355117482,3.35715989046004,0.06027509566231767
final_exploratory,ATU5,fitting,0.1339605793955936,11.606599185350628,0.01154175975721408
final_exploratory,ATU5,forecast,0.43000915997162503,7.654199169262285,0.05617951015678489
final_exploratory,MJ3,fitting,0.06548273315004141,5.418281221060205,0.01208551761682615
final_exploratory,MJ3,forecast,0.6439938380439483,4.310361814218909,0.14940598163234425
final_exploratory,MJ1,fitting,0.07001587646403011,7.078537065705291,0.00989129191725916
final_exploratory,MJ1,forecast,0.425359768416143,3.353987621238992,0.1268221044474253
