phase,model,rule,seed,mae,rmse,crps,coverage80,width80,interval_score80,coverage90,width90,interval_score90,coverage95,width95,interval_score95
development,TRANSFORMER_BRES_COND,LAST90,0,38.991132240639566,49.24073663736674,34.7884463084699,0.5,77.1545442783645,304.4880138120013,0.5152925531914894,99.02678550287357,525.0717286867263,0.5285904255319149,117.99769287077754,922.8414791451138
development,TRANSFORMER_BRES_COND,LAST90,1,38.0571741473626,46.53246349139773,33.84957176112869,0.48470744680851063,77.1545442783645,291.0572270329643,0.5232712765957447,99.02678550287357,496.47147961361657,0.5372340425531915,117.99769287077754,864.442253058402
development,TRANSFORMER_BRES_COND,LAST90,2,43.21402537549713,49.84675298523341,37.78034694487312,0.4454787234042553,77.1545442783645,328.3161708403429,0.45345744680851063,99.02678550287357,570.2555932265332,0.4587765957446808,117.99769287077754,1007.9278586432713
development,TRANSFORMER_BRES_COND,DIST90,0,38.991132240639566,49.24073663736674,34.7884463084699,0.5,77.1545442783645,304.4880138120013,0.5152925531914894,99.02678550287357,525.0717286867263,0.5285904255319149,117.99769287077754,922.8414791451138
development,TRANSFORMER_BRES_COND,DIST90,1,38.0571741473626,46.53246349139773,33.84957176112869,0.48470744680851063,77.1545442783645,291.0572270329643,0.5232712765957447,99.02678550287357,496.47147961361657,0.5372340425531915,117.99769287077754,864.442253058402
development,TRANSFORMER_BRES_COND,DIST90,2,43.21402537549713,49.84675298523341,37.78034694487312,0.4454787234042553,77.1545442783645,328.3161708403429,0.45345744680851063,99.02678550287357,570.2555932265332,0.4587765957446808,117.99769287077754,1007.9278586432713
development,TRANSFORMER_BRES_COND,DIST90_UNIT,0,38.991132240639566,49.24073663736674,34.733308342483696,0.5113031914893618,86.7774505710741,303.8386968098393,0.5305851063829787,111.3776520172851,512.7614003219213,0.5398936170212766,132.71465804595505,881.9877693358029
development,TRANSFORMER_BRES_COND,DIST90_UNIT,1,38.0571741473626,46.53246349139773,33.699369592832845,0.5186170212765957,86.7774505710741,289.60041676754196,0.538563829787234,111.3776520172851,483.5028697019161,0.5472074468085106,132.71465804595505,822.8595265027508
development,TRANSFORMER_BRES_COND,DIST90_UNIT,2,43.21402537549713,49.84675298523341,37.63870927629452,0.45146276595744683,86.7774505710741,326.92714428167795,0.45944148936170215,111.3776520172851,555.402798441004,0.46875,132.71465804595505,960.4990615276096
development,TRANSFORMER_BRES_REG1,LAST90,0,35.56992948865609,44.86220042602383,32.490498876152145,0.5119680851063829,75.67114866894964,283.9524978149029,0.5352393617021276,97.122867850279,487.4824399971988,0.5432180851063829,115.72903505984966,853.8369438609994
development,TRANSFORMER_BRES_REG1,LAST90,1,35.363744749529495,43.51015379810751,32.25257745450846,0.4853723404255319,75.67114866894964,278.9693635886851,0.5199468085106383,97.122867850279,476.28175262461434,0.5339095744680851,115.72903505984966,830.2445260140391
development,TRANSFORMER_BRES_REG1,LAST90,2,37.52057754962014,45.081153060711394,33.65975612492163,0.4521276595744681,75.67114866894964,292.3357629567464,0.46875,97.122867850279,501.8899282106849,0.48005319148936165,115.72903505984966,878.3838195817256
development,TRANSFORMER_BRES_REG1,DIST90,0,35.56992948865609,44.86220042602383,32.490498876152145,0.5119680851063829,75.67114866894964,283.9524978149029,0.5352393617021276,97.122867850279,487.4824399971988,0.5432180851063829,115.72903505984966,853.8369438609994
development,TRANSFORMER_BRES_REG1,DIST90,1,35.363744749529495,43.51015379810751,32.25257745450846,0.4853723404255319,75.67114866894964,278.9693635886851,0.5199468085106383,97.122867850279,476.28175262461434,0.5339095744680851,115.72903505984966,830.2445260140391
development,TRANSFORMER_BRES_REG1,DIST90,2,37.52057754962014,45.081153060711394,33.65975612492163,0.4521276595744681,75.67114866894964,292.3357629567464,0.46875,97.122867850279,501.8899282106849,0.48005319148936165,115.72903505984966,878.3838195817256
development,TRANSFORMER_BRES_REG1,DIST90_UNIT,0,35.56992948865609,44.86220042602383,32.463455137690005,0.5292553191489362,85.13284349808119,283.8787427281642,0.5445478723404256,109.26682169125505,477.1898240048681,0.5578457446808511,130.19944857764506,818.525516157296
development,TRANSFORMER_BRES_REG1,DIST90_UNIT,1,35.363744749529495,43.51015379810751,32.16116628405774,0.5172872340425532,85.13284349808119,278.3998504754024,0.5345744680851063,109.26682169125505,465.330258734749,0.5472074468085106,130.19944857764506,793.0242257033766
development,TRANSFORMER_BRES_REG1,DIST90_UNIT,2,37.52057754962014,45.081153060711394,33.57416393818637,0.46476063829787234,85.13284349808119,291.4922047328809,0.48271276595744683,109.26682169125505,489.5149392742173,0.5,130.19944857764503,839.0949294299845
development,TRANSFORMER_BRES_HALF,LAST90,0,35.8977573161882,45.02123993336806,32.756461442595196,0.5066489361702128,75.77064831770517,286.74790692792124,0.5319148936170213,97.25057426688706,492.90926544927464,0.5405585106382979,115.8812066409844,864.3720016818994
development,TRANSFORMER_BRES_HALF,LAST90,1,35.522452623359555,43.78590681747656,32.38186306790743,0.47805851063829785,75.77064831770517,280.72792810344816,0.5226063829787234,97.25057426688706,479.521171192995,0.5345744680851063,115.88120664098442,836.9172300791703
development,TRANSFORMER_BRES_HALF,LAST90,2,38.21447163048825,45.346501491569754,34.34083717437797,0.4461436170212766,75.77064831770517,299.8374618653464,0.45944148936170215,97.25057426688706,516.5435660809187,0.46941489361702127,115.8812066409844,906.9708958227976
development,TRANSFORMER_BRES_HALF,DIST90,0,35.8977573161882,45.02123993336806,32.756461442595196,0.5066489361702128,75.77064831770517,286.74790692792124,0.5319148936170213,97.25057426688706,492.90926544927464,0.5405585106382979,115.8812066409844,864.3720016818994
development,TRANSFORMER_BRES_HALF,DIST90,1,35.522452623359555,43.78590681747656,32.38186306790743,0.47805851063829785,75.77064831770517,280.72792810344816,0.5226063829787234,97.25057426688706,479.521171192995,0.5345744680851063,115.88120664098442,836.9172300791703
development,TRANSFORMER_BRES_HALF,DIST90,2,38.21447163048825,45.346501491569754,34.34083717437797,0.4461436170212766,75.77064831770517,299.8374618653464,0.45944148936170215,97.25057426688706,516.5435660809187,0.46941489361702127,115.8812066409844,906.9708958227976
development,TRANSFORMER_BRES_HALF,DIST90_UNIT,0,35.8977573161882,45.02123993336806,32.72616049527285,0.5279255319148936,85.25613029118708,286.5817343066325,0.5412234042553192,109.42505857711171,482.3522207215003,0.5565159574468085,130.3879994567149,828.3486432485453
development,TRANSFORMER_BRES_HALF,DIST90_UNIT,1,35.522452623359555,43.78590681747656,32.29862507373752,0.5013297872340425,85.25613029118708,280.0421646161284,0.5365691489361702,109.42505857711171,468.56515230542516,0.5485372340425532,130.3879994567149,799.6636954503936
development,TRANSFORMER_BRES_HALF,DIST90_UNIT,2,38.21447163048825,45.346501491569754,34.25442992859009,0.45611702127659576,85.25613029118708,298.83988729441853,0.4727393617021277,109.42505857711171,503.6749917830049,0.4920212765957447,130.3879994567149,866.5551655838418
final_exploratory,TRANSFORMER_BRES_COND,LAST90,0,8.538733509119517,11.092461047975966,19.371550714181108,1.0,204.77835314544075,204.77835314544075,1.0,262.83017082444957,262.83017082444957,1.0,313.1814651624492,313.1814651624492
final_exploratory,TRANSFORMER_BRES_COND,LAST90,1,6.812506410576528,9.008235578215281,19.15284261010542,1.0,204.77835314544075,204.77835314544075,1.0,262.83017082444957,262.83017082444957,1.0,313.1814651624492,313.1814651624492
final_exploratory,TRANSFORMER_BRES_COND,LAST90,2,9.164563932094746,11.493235091091334,19.429248507263807,1.0,204.77835314544075,204.77835314544075,1.0,262.83017082444957,262.83017082444957,1.0,313.1814651624491,313.1814651624491
final_exploratory,TRANSFORMER_BRES_COND,DIST90,0,8.538733509119517,11.092461047975966,8.633808275268617,1.0,78.27018035753154,78.27018035753154,1.0,100.45868890848861,100.45868890848861,1.0,119.70391101588282,119.70391101588282
final_exploratory,TRANSFORMER_BRES_COND,DIST90,1,6.812506410576528,9.008235578215281,8.321795832618474,1.0,78.27018035753154,78.27018035753154,1.0,100.45868890848861,100.45868890848861,1.0,119.70391101588282,119.70391101588282
final_exploratory,TRANSFORMER_BRES_COND,DIST90,2,9.164563932094746,11.493235091091334,9.04782792803116,0.9803754266211604,78.27018035753154,78.61399243590347,0.9965870307167235,100.45868890848861,100.49403721764727,1.0,119.70391101588284,119.70391101588284
final_exploratory,TRANSFORMER_BRES_COND,DIST90_UNIT,0,8.538733509119517,11.092461047975966,9.157439744214843,1.0,84.77270102422986,84.77270102422986,1.0,108.80458383032153,108.80458383032153,1.0,129.64865819430807,129.64865819430807
final_exploratory,TRANSFORMER_BRES_COND,DIST90_UNIT,1,6.812506410576528,9.008235578215281,8.85449995047584,1.0,84.77270102422986,84.77270102422986,1.0,108.80458383032155,108.80458383032155,1.0,129.64865819430807,129.64865819430807
