phase,model,rule,point,n,mae,rmse,crps,coverage80,width80,interval_score80,coverage90,width90,interval_score90,coverage95,width95,interval_score95
development,BPLUS_CONTINUOUS,LAST90,ATU1,376,35.97756723316945,40.328442814079295,34.396354276572765,0.05053191489361702,7.432703563601535,330.961695181513,0.05319148936170213,9.539771744923687,636.5946254709688,0.05319148936170213,11.36733915675948,1230.8699190230216
development,BPLUS_CONTINUOUS,LAST90,ATU5,376,43.55499084906868,48.518020357563614,40.59143582169939,0.1702127659574468,14.850198314250605,381.18465023290184,0.18351063829787234,19.060023189752492,717.0879943255239,0.18882978723404256,22.711418441317527,1359.3410340202095
development,BPLUS_CONTINUOUS,LAST90,MJ3,376,20.525886341157616,36.377155092530664,25.33508286326599,1.0,212.78477852195917,212.78477852195917,1.0,273.10630654426865,273.10630654426865,1.0,325.4262361141453,325.4262361141453
development,BPLUS_CONTINUOUS,LAST90,MJ1,376,33.00210298445223,40.24986922358542,23.817619101911568,0.7127659574468085,64.96828561253523,155.36447252037505,0.7553191489361702,83.38589183587442,215.61198051699702,0.7845744680851063,99.36041854372648,290.1025458490634
development,BPLUS_CONTINUOUS,DIST90,ATU1,376,35.97756723316945,40.328442814079295,34.396354276572765,0.05053191489361702,7.432703563601535,330.961695181513,0.05319148936170213,9.539771744923687,636.5946254709688,0.05319148936170213,11.36733915675948,1230.8699190230216
development,BPLUS_CONTINUOUS,DIST90,ATU5,376,43.55499084906868,48.518020357563614,40.59143582169939,0.1702127659574468,14.850198314250605,381.18465023290184,0.18351063829787234,19.060023189752492,717.0879943255239,0.18882978723404256,22.711418441317527,1359.3410340202095
development,BPLUS_CONTINUOUS,DIST90,MJ3,376,20.525886341157616,36.377155092530664,25.33508286326599,1.0,212.78477852195917,212.78477852195917,1.0,273.10630654426865,273.10630654426865,1.0,325.4262361141453,325.4262361141453
development,BPLUS_CONTINUOUS,DIST90,MJ1,376,33.00210298445223,40.24986922358542,23.817619101911568,0.7127659574468085,64.96828561253523,155.36447252037505,0.7553191489361702,83.38589183587442,215.61198051699702,0.7845744680851063,99.36041854372648,290.1025458490634
development,BPLUS_CONTINUOUS,DIST90_UNIT,ATU1,376,35.97756723316945,40.328442814079295,34.15653107446076,0.05053191489361702,8.606118012809056,326.56451178009394,0.05319148936170213,11.045832885644353,623.84117155593,0.05851063829787234,13.161921693443125,1198.7798770203742
development,BPLUS_CONTINUOUS,DIST90_UNIT,ATU5,376,43.55499084906868,48.518020357563614,40.07219454714634,0.17819148936170212,17.772452598526797,372.0593597869732,0.18882978723404256,22.810695958291035,690.320194102074,0.19680851063829788,27.180620699608706,1291.703304188045
development,BPLUS_CONTINUOUS,DIST90_UNIT,MJ3,376,20.525886341157616,36.377155092530664,26.59234592229804,1.0,231.1380952036128,231.1380952036128,1.0,296.6625334820273,296.6625334820273,1.0,353.49521176837084,353.49521176837084
